Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147
265.09,112.07,162.19,218.76,252.76, ,139.91,56.27, ,105.72,228.18,69.67,291.13,192.35,66.80, ,76.62,108.52,222.44,86.54,208.15,143.32,172.64,44.16,234.38,34.63, ,240.25,79.25,145.76,211.13,160.06,289.18,163.08,192.88,0.07,60.62,226.77,121.52,261.52,144.38,85.06, ,25.31,191.72,127.01,167.82,23.38,28.75,85.45,186.69,242.36,298.55,196.90,12.76,177.42,251.27,148.24,62.79,110.51,130.24,117.83,277.09,220.44,135.03,248.13,243.82,291.85,81.72,158.27,295.65,157.67,286.01,76.17,179.47, ,9.71,121.14,101.29,228.21,97.38,55.27, ,245.75,120.29,299.70,121.96,14.25,242.26,285.54,49.07,205.12,174.71,173.53,130.61,110.69,233.26, ,52.36,238.77,43.00,163.00,88.20,35.81,100.60,53.37,85.15,24.16,93.09, ,275.57,146.95,121.85, , ,132.57,53.64, ,19.88,118.31,17.20,175.90,190.21,236.85,147.64,112.90,14.50,216.30,270.92,20.45,133.59,183.70,188.95, , ,38.43,16.91,256.52, ,146.73,110.28,269.73,234.99,85.79, ,284.39,129.31
81.01,140.15,150.25,144.28,237.94,236.74,238.34,147.66,40.00, ,162.09,293.35,149.94,156.04,63.53,106.00,266.93,208.51,219.15,75.92,175.55,290.23,196.96,278.06,223.49,230.79,187.28,182.65,3.29,13.91,224.61,135.18,188.81,123.17,281.31,161.45,157.71,287.26,35.18,63.41,213.12,44.24,218.34,137.62, ,151.53,190.18,123.63,160.25,204.89,148.64, ,5.50,281.35,16.37,258.09,275.19,73.98,271.62,246.32,213.95,260.76,102.09,26.03,92.45, ,60.66, ,190.33,154.38,40.27,188.21,250.52,169.58,182.84,16.82,250.43,41.06, ,143.14,159.20,235.84,115.65, , ,186.83,162.70,182.32,246.72,283.97,50.26,292.96,25.29,141.89,163.17,89.24,196.47,33.26,1.00, ,95.55,15.62,19.94,119.93,20.85,37.36,50.87,123.92,71.12,84.21,109.21,116.41,33.75,148.79, ,297.70,161.40,10.47,174.87,218.93,105.45,265.61,270.41, , ,82.56,296.95,115.58,226.15,167.98,79.90,56.85,28.89,232.53,17.26,123.97,35.66, ,1.28,126.16,226.18,95.27,35.84,48.14,131.16, ,122.16
72.09,136.73,97.27,140.34,176.67,50.73,193.73,213.61, ,226.32,71.52,218.29,226.60,277.42,245.67,179.92,87.57,141.55,156.21,28.89,87.48,21.47,186.93,213.42,260.56,232.23,161.34,139.44,116.96,145.70,132.34,67.45,84.56,108.45,119.81,211.50,130.54,207.10,160.91,263.96,260.26, ,121.60,292.98, ,109.84,226.31,80.85,162.08,202.75,106.17,107.87,229.85,250.64,255.87,257.47,233.02,116.02,39.32,79.55,26.42,4.09, , , ,293.66, ,264.19,171.80,74.21,10.47,238.59,136.40,186.17,113.78,155.98,164.93,101.97,124.92,144.07,191.01,250.14,239.79, ,111.59,272.11,296.86,151.82,133.36,149.36,161.66,58.75,16.47,116.74,119.19,51.89,113.81,25.82,82.24, ,193.83,125.18,223.40, ,186.59,6.77,158.26,187.51,183.20, , ,111.80,222.75,106.16,6.13,291.74,72.13,282.20, , ,222.07,48.15, , ,144.62,223.35,122.90,236.11,106.50,64.68,211.59,65.81,2.82, ,74.95,288.30,172.35,295.70,125.72,12.11,248.99,103.99,40.90,217.23,17.04,139.77,176.73
 , ,13.43, ,88.38, ,162.00, ,157.70,292.15,220.94,211.06,276.78,179.84,109.41,204.37,94.71,251.27,62.76, ,232.40,207.13,235.13,248.74, ,157.57,188.91,266.50,217.44,292.14,130.61, ,34.98,146.93,127.36,48.40, ,280.79,278.12,254.48,233.93,274.09,149.75,170.01, ,87.45,255.10,190.15,236.95,232.74,210.77,36.12,233.18,239.96,85.23,207.02,159.08,106.57,112.81,120.59,232.52,288.60,92.78,244.27,103.88,113.61,237.11,273.83,256.84,122.82,138.94,174.56,292.90,248.61, ,69.20,183.20,23.36,70.03,15.09,5.99, ,20.64, ,294.47,19.94,122.32,47.20,236.58,145.06,293.83,168.39,285.54,40.28, ,110.31,137.50,217.00,123.43,158.80,232.11,206.46, ,268.48,132.79,232.80,122.76,228.62,289.67,42.75,223.05, ,134.06,50.32,32.26, ,191.06,220.81,266.74,29.99,248.76,140.27,140.63,108.20,254.18,283.40,127.82,162.09,40.52,18.40,197.01,80.28,252.42,137.43,62.28,154.37,30.20,192.61,257.67,240.07,98.68,208.79,129.93,194.58,235.63,262.02,105.12
220.71,43.40,276.69,225.56,116.72, ,9.33,83.37,66.64,108.83,204.01,120.05,229.92,210.52,252.52,248.02, ,5.55,22.00,143.90,113.30,203.31,269.96,22.37, ,17.60,86.64,124.26,196.50,197.18,197.07,150.17,144.52,150.64,136.02, ,83.58,287.27,185.17,16.77,237.34, ,26.27,146.75,106.63,204.72,150.27,153.51,246.88,114.47,180.78,230.40,34.07,194.70,61.76,37.72,89.27,194.44,50.95,266.08,84.44,161.39,272.58,235.16, ,49.63,193.71,247.39,34.20,295.83,185.73,92.88, ,243.90,52.57,90.66,152.44,189.44,109.82,28.73,81.48,94.61,235.38, ,36.51,169.82,184.09, ,276.97, , ,260.05,215.72,188.35,225.82,81.99,239.80,80.61,152.38,119.74,269.95,124.27,35.42,282.97,36.72,1.55,180.80,23.56,12.32,164.68,289.70,273.77,57.38,250.78, ,70.52,199.55,121.80,271.54,281.40,15.14,64.06, ,25.66,218.65,104.48,276.11,30.00,23.67,4.26,297.15,44.97,133.42,116.48,252.62,113.26, ,54.59,279.05,104.85,95.37, ,178.70,70.27,68.82,296.09,68.38
6.95,287.92,94.43,272.23,199.31,62.18,140.07,288.41,246.21,112.16,136.12,207.97,199.57,0.33,49.86,188.90,182.06,197.19,281.23, ,180.54,85.72,94.97,178.30,173.29,223.91,174.45,170.29,114.34,81.17,196.94, ,253.75,75.72, ,56.95,31.99,275.24,127.38,44.80,181.96,44.01,180.41,20.65,299.30,197.77,145.00, ,43.90,262.29,199.39,176.58,2.71,194.98,241.44,165.22,147.16,291.14, ,209.60, ,208.90,212.18,253.68, ,297.58,182.01,254.74,293.78,155.45,69.46, ,34.65,296.42,224.41,134.84,197.15,202.54, ,114.73,170.88,15.15,176.96,285.66,49.90,6.17,87.29,181.23,110.28,132.99,246.74,126.93,17.70,37.41,152.65,219.19, ,234.34,150.71,177.66,181.40,288.58,244.40,267.98,174.48,213.97, ,34.52,71.93,228.95,175.98,261.48,105.14,29.51,85.95,174.79,42.40,56.94, ,121.15,57.27, ,271.24,24.51,155.69,57.97,205.78,166.24,29.12,102.50,268.51,219.64,256.82,175.20,91.19,134.91,208.76,275.78,292.74,185.75,96.73,233.07,177.67,169.78,70.69,265.43,160.74
182.49,147.10,131.32,209.18,126.63,96.76,297.93,102.70,237.93,127.39,201.93,270.31,211.86,43.99,80.19,62.35,22.29,20.37,147.75,119.83, ,216.59,45.40,179.47,244.01,56.47,280.83,85.32,273.40,96.53,206.51,213.04,23.55,189.56,270.23,296.98,166.59,21.38,219.65,141.07,279.75,278.68,259.07,13.13,190.32,83.16,110.93,266.03,118.69,11.63,274.70,33.52,222.19,53.28,255.76,5.50,91.88,196.10,48.18,283.43,18.88,35.33,62.79,264.29,156.95,270.40,284.54,272.93,58.83, ,14.59,54.06,12.44,146.19,86.42,46.82,74.30,60.24,176.21, ,57.70,144.31,50.19,32.02, ,90.85,84.14, ,138.20,282.32,201.73,262.86,92.54,31.45,48.01,82.17,103.94, ,248.26,78.35,199.99,112.69, ,196.83,120.70,151.82,211.47,148.73,10.70,162.09,147.23,277.70,19.72,69.28,29.90,126.23,137.23,219.69,78.51,224.35,151.55, ,63.02,150.96,140.41,99.44,239.46,160.25,29.26,238.14, , ,203.36,12.62,298.49,209.57,65.04,266.56,111.00,270.92,266.92,54.19,293.89,75.90,162.51,96.03,182.30
276.04,146.61,216.72,129.35,260.11,235.08,35.59,256.25,8.04,117.84,289.53,55.87,265.87,170.59,19.03, ,295.07,276.32,55.27,113.07,81.54,116.65, ,162.73,49.57,187.63,232.99,279.15,242.59, ,113.18,226.27,136.62,4.61,205.07,234.38,241.44,25.60,24.13, ,288.59,91.58,285.64,53.38,13.43,209.79,109.15,146.95,53.33,279.81,273.35,100.66,281.13,17.09,140.69,260.02,203.97,5.50,76.17,154.38,54.85, ,164.00,157.23,34.21,119.02,198.87,1.15,139.84,207.45,258.41,139.07,197.16,93.19,266.85,241.15,206.93,66.74,286.20,210.14,149.48,220.91,187.88, ,27.72,146.17,298.19,45.84,36.53,179.08,203.36,64.44,238.08,26.55,55.97,219.16,100.00,297.30,136.20,87.07,259.14,70.68,72.62,43.21,53.03,232.45,253.44,216.21, , ,200.54,193.28,199.02, ,196.32,204.21,228.71,74.82,138.81,234.57,75.35,8.35,276.16,251.08,180.95,39.71, ,162.34,162.83,10.27,257.68,135.05,80.61,148.17,41.99,177.13, ,220.85,253.31,270.41,170.07,46.98,275.07,72.12,252.94,2.33,91.16
 ,164.52,222.02, ,264.01,54.53,148.69,266.99,172.39,6.38,88.76,252.24,143.47,55.90,157.85,280.19,212.47,113.53,221.05,24.72,19.24,146.38,54.63,269.92,50.76,269.48,29.66,203.36,246.08,269.54,17.49, ,229.95,166.47,169.82,101.98,11.94,201.25,235.86,149.79,65.38,132.35,155.74,108.25,0.14,298.42,85.00,157.00,196.92, , ,16.16,121.61,75.43,207.96,37.48,174.17,183.83,7.75,60.59,68.45, ,66.87,268.52,21.80,211.95,75.69,61.43,100.30,45.32,297.49,160.65,230.79,239.07,271.26,297.90,47.10, ,113.97,239.30, ,222.77, ,298.46,51.95, ,141.48,243.10,70.28,194.21,67.25,238.38,111.94,125.77,294.92,273.02,35.86,163.62, ,154.14,162.60,225.43,47.58,225.64,9.37,80.77,96.64,248.81,25.99,260.92, , , ,98.39,260.06, ,103.02,9.05,22.25, , ,173.58, ,182.95, ,193.39, ,142.20,277.20,95.91,207.32,20.28,246.72,267.71,83.36,7.74, ,242.22,175.94,170.95,298.75,169.49,73.98,34.34,97.90,4.88,268.96
280.41,104.99,242.37,44.11,111.42,132.35,90.24,169.43,140.63,35.34,60.32,130.81,18.29,156.31,188.83, ,169.24,286.41,42.30,174.10,201.51,200.89,57.44,124.58,49.81,53.97,53.08,190.73,181.57,4.05, , ,86.16,229.25,7.49,162.67,40.09,148.78,19.32,150.16,224.85,136.66,259.88,142.10,37.48,270.04,228.41,170.86,155.82,87.15,71.66, ,111.75, ,52.73,99.89,177.22,102.86,3.55,203.61,213.35, ,183.39,97.73,153.49, ,253.60,180.82,149.27,137.02,119.39,196.58,92.64,244.02,87.68,258.24,93.22,232.39,54.98,60.27,68.51,234.19,72.02,47.38,40.74,84.56,74.15,79.42,54.94,62.30,271.01,133.90,192.12,26.77,281.31,163.77,259.62,71.94,212.98,252.93,3.73,113.85,18.63,244.68,216.71,216.18,27.51,251.95,116.37,166.72,65.77, ,25.38,219.45,41.44,9.95,42.51,109.01,66.07,65.07,218.99,55.82,99.55,58.67,222.27,185.90, ,216.40,128.54,86.92,86.30,195.51,168.21,190.47,9.02,53.66,111.75,204.47,225.25,277.13,232.65,130.33,117.68,120.08,91.58,131.78,32.70
