Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38
109.37,53.65,146.21, , ,269.96,46.54,114.10,96.30,75.77,76.22,86.32,60.43,240.49,252.99,119.56,110.08,137.88,133.13,108.71,76.86,86.73,171.93,289.13, , ,217.81,282.55,212.62,15.85,61.59,191.77,27.31,110.08,165.58,149.29,23.61,52.97
49.54,11.17,193.12,103.57,149.21, ,61.84,130.92,190.68,106.71,127.07,181.91,274.14, ,248.44,67.71,259.07,226.30,155.93,162.33,230.35,45.62,73.38,176.33,65.40,95.04,103.15,19.13, ,144.26,126.19,4.69,252.06,53.88,277.87,84.63,103.65,282.99
169.55,25.39,223.10,252.92,104.62, ,200.04,223.71,160.45,141.71,168.76,41.93,241.52, ,178.89, ,161.87,141.41,193.32,242.67,252.20,299.41,82.44,142.98,36.47,222.85,291.47,141.84,182.66,248.63,262.24,30.21,135.43,143.69,170.89,223.53,89.34,231.80
122.39,177.94,78.22,37.04,192.40,103.10,262.23,133.42,19.22,48.58,35.24,183.40,278.62,29.22,29.86,239.75,35.81,11.11,218.49, ,110.89,286.82,189.25,19.38,57.76,162.31,218.24,95.81, , , ,101.17,114.63,84.85,158.61, ,77.10, 
 ,71.13,73.95,173.57,74.11,276.33,143.75,291.00,18.95,142.30, ,74.91,166.29, ,24.90,102.10,99.83,290.00, ,63.96,258.91,205.46,133.62,34.00,132.88,47.15,115.87,282.45,206.88,50.54,173.64,146.60,106.09,265.65,182.23,108.41,186.90,31.39
155.76,48.72, ,95.86,154.83,128.17, ,276.91,266.94,102.40,126.20,210.43,185.56,121.47,233.80,7.84,28.88,30.58,152.24,173.47,224.36,126.12,111.47,66.10,253.57,191.94,77.01,171.63,195.03,256.53,1.46,94.03,127.98,107.94,194.14, ,118.50,104.28
281.90,154.57,160.88,252.25,100.08,112.28,249.65,19.18, ,283.55, ,111.53,245.11,191.27,69.91, ,174.19,78.85,252.80,242.37,91.41, , ,295.30,95.67,157.77,207.50,46.68,252.85, ,44.59,216.29,244.84,288.69,92.09,295.87,12.56,22.66
47.69,190.88,264.35,44.05,199.06,185.20,138.22,233.49,164.08,297.32,163.01,152.00,56.19,186.35,119.62,264.33,77.69,53.59,146.77,180.56, ,65.76,121.25,223.04,158.85,1.38,235.83,119.77, ,267.65,112.32,286.29,254.57,231.86,106.01,105.82,124.46,52.33
210.08,37.05,205.94,215.53,45.69,293.49,246.49,13.91,48.40,135.46,64.17,11.14,145.96,156.76,205.80, ,115.88,121.47,162.12,245.55,277.03,29.32,94.95,227.57,38.86,289.22,291.94,52.98,202.51,18.89,75.74, ,191.62,78.82,46.28,167.20,287.18,111.44
110.62,128.41,140.77,253.61,48.12,235.59,212.66,229.14, ,157.12,72.89,121.76,87.56,161.74,119.10,281.12,288.02,148.34,223.79,206.01, ,216.17,162.88,147.51,214.42,249.14,101.67,79.13,77.97,257.94,30.15,228.76,123.37,198.43,235.56,281.79,55.58,83.93
26.79,10.49,260.22,198.58,250.04,158.10,188.75,275.65,251.39,268.98,216.18,150.53, ,132.32,25.94,277.63,57.06, ,298.28,214.52,231.18,174.56,192.56,205.32,282.20,72.61,231.46,118.59,140.53, ,34.23,244.58,59.30,220.92,299.91,228.72,21.40,71.33
285.84,16.01, ,172.71,68.02,215.44,186.16, ,100.46,90.46,102.06, ,22.98,46.59, ,243.36,185.96,245.28,149.32,25.85,134.00,34.18,167.95,124.33,196.36,14.12,269.84,136.57,139.16,63.10,93.21,86.96,21.15,150.98,293.52,136.62,129.33,65.70
91.59, ,287.95,235.32,84.66,111.33,190.66,164.28,205.08,229.98,191.89,35.23,255.74,198.98,41.38,148.96,161.38,259.85,153.81,124.09,246.67,39.65,47.29, ,252.37,210.33,266.56,171.86,128.28,227.91,125.30,60.50, ,99.49,8.40, ,132.49,265.66
231.42,115.21,83.35,210.02,204.21,166.23, ,294.51,133.41,285.29,266.56,290.17,273.06,19.35,131.07,257.71,142.55,14.20,144.06,187.92,285.99,3.97,270.00,222.05,204.54,234.50,56.59,237.14,223.24,21.70,167.61,253.29,40.12,288.05,49.27,21.93,240.46,97.33
24.39,13.86,226.72,100.01,173.03, ,96.28,34.67,161.25,103.88,54.21,159.45,120.64,260.33,275.88,253.23,10.62,200.20,199.33,39.55,21.59,195.61,70.34,268.45,244.37,102.99, ,262.44, ,297.86,120.24,183.54,160.07,46.08,133.70,208.83,128.05, 
23.66,20.31,16.73,198.30,54.89,232.76,133.86,15.19,17.34,214.71,149.00,136.90,242.58,118.10,210.36, ,234.01,86.10,113.53,86.26,92.88,135.34,117.01,125.40,49.78,62.89, ,171.77,172.61,59.80,230.18,39.23,204.17,82.07,249.55,178.38,212.95,287.47
278.52,148.57,69.69,189.60,226.24,187.77,175.71,89.55,217.73, , ,264.80,214.01,3.99,66.49,253.91,240.10,73.87,59.14,51.57,53.84,10.10,76.65,189.18,291.68,294.99,228.80, ,142.82,281.44,240.63,189.12,138.48,68.46,180.69,278.72,265.85,139.52
33.19,96.64,17.01, ,110.54,154.18,275.17,69.44,268.96,99.50,106.29,32.01,101.75, ,231.17,268.70,117.33,96.02,201.28, ,95.67,249.89,11.56, ,81.00,247.14,234.95,155.10,242.70,257.76, , ,96.59,259.63,171.30,127.91,168.67,168.25
195.33,103.79,96.28,255.84,233.60,254.10,46.80,277.25,83.52,193.50,47.38,94.04,208.77,291.26,167.39,169.67,277.62,183.12,158.26,117.31,29.75,180.57,268.22,81.12,35.79,231.85,127.75,1.85,247.85,113.97,152.63,177.96,257.11,204.14,200.03,207.23, , 
6.34,245.62,112.82, ,44.67,189.83,66.42,18.42,40.32,212.17,11.61,281.07,246.56,272.72,3.67,60.88,208.84,37.08,234.77,58.38,83.06,50.02,174.56,209.02,202.08,238.84,163.60,286.38,16.34,78.17,161.60,111.47,261.01,66.74,167.04,175.23,73.32,99.59
293.67, ,195.76,101.61,293.40,95.84,37.86,181.74,216.54, , ,281.80,53.71,184.95,52.80,252.15,234.64,271.72,62.80,73.05,276.93,185.93,170.02,127.71,281.66, ,151.01,54.35,84.93,53.85,284.73,215.90,123.55,234.50,178.74,139.85,78.92,229.08
76.33,279.40,134.53,200.64,54.87,154.44,186.92,103.55,97.20,134.44, ,68.94,14.13,127.39,249.83,286.36,110.02,80.92,273.75,138.75,159.44,113.72,280.67,102.78,119.21,286.76,257.62,27.49,226.62, ,176.45,15.39,298.58,58.90,128.36, ,87.64,169.18
22.13,223.37,2.17,247.15,82.53, ,110.02, , ,205.56,153.46,125.68,75.56,88.73, ,164.17,70.95,192.93,183.19,218.00, ,165.15,241.42,218.92,246.45,16.34,37.87,72.96, ,148.52,110.58,96.17,44.01,8.09,260.20,53.25,76.64, 
250.93,113.26,204.99, ,221.32,97.89,284.68,112.97,9.58,185.64,198.30,272.87,166.60,97.66,111.26,131.97,125.23,267.86,190.51,55.10,239.29,202.96, ,15.93,124.02,242.80,137.78,202.63,39.05,141.83,246.95, ,101.55,76.39,136.44,96.99,78.73,44.53
260.25,297.62, ,237.10,212.74,132.68,119.05,251.07,130.62,277.01,299.58,297.88, , , , ,43.50,190.86, ,49.83,179.93,259.91,245.55, ,60.93,144.55,114.73,210.02,196.66,210.11,278.58,159.32,11.25,46.83,228.02, ,250.83,284.74
