Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91
224.99,12.20,197.49,32.06,58.75,200.70,97.52,212.70,112.18,226.47, ,125.38,20.85,101.37,261.51,174.71,91.65,196.62, ,148.01,22.82,64.48,265.97,97.43,276.18, ,202.65,168.97,105.49,282.82,242.34,73.52,128.74,58.64,114.97,173.37,220.53,161.31,46.11,241.48,299.49,129.94,233.52, ,39.01,212.99,131.06,19.38,286.06,6.75,299.51,184.79,124.98,257.65,11.05,210.52,280.46,65.77,295.14,112.78,253.39, ,84.45,299.40, ,183.94,180.56,243.76,279.80,30.29,37.78, ,248.29,198.88,42.94,5.05,194.27,61.01,19.21,103.13,178.02,202.55,152.84,161.09, ,229.84,3.25,289.83, ,267.00,225.82
202.03,117.57,270.07,16.35,24.03,7.89,91.76,119.37,296.45, ,62.25,111.30,177.91,287.17,68.14,19.64,9.75,195.65, ,74.23, ,98.26,217.75,33.65,119.68, ,100.14,186.89,252.37,188.35,239.55,121.64, ,199.72,252.32,163.07,169.60,82.76,227.36,268.17,128.70,239.27,187.99,140.23,32.70,86.77,32.17,207.84,70.75,136.45,202.94,195.96,284.99,40.40, ,8.57,107.93,112.62,284.40,201.50,225.66,269.60, ,38.54,105.73,27.27,132.36,241.70,2.76,7.04,139.04,51.73,94.20,125.02, , ,56.98,243.63,284.97,77.39,175.19,132.80,125.30,132.67, ,135.43,0.52,132.74,230.32,80.99,270.15
211.02,293.44,231.76,211.36,121.93,62.44,67.68,130.36,97.58,26.31, ,26.83,23.80,41.92,94.60, ,31.06,127.21,257.79,69.04,246.22,104.03,196.04,273.57,204.54,223.76,4.16, ,115.75,271.28,7.56,278.05,96.95,273.85,267.23,190.50,279.04,240.41,277.51,261.28,16.65,227.67,36.58,205.17,181.13,10.00,242.34,35.33, , ,160.74, ,51.24,21.05,41.51, , ,270.03,170.28,41.80,39.04,22.95,265.43, , ,141.75,189.44,186.91,41.77, ,93.01,261.68,294.25,35.94,240.46,18.16,191.86,281.96, ,173.33,58.30, ,200.04,285.14,151.03,122.85,124.39,255.40,141.58,56.49,97.52
27.57, ,219.43,221.83,110.51,137.17,169.86,68.85, , ,285.02,272.78,226.15,243.08,30.21,68.70, ,65.66, ,5.53,57.56,50.32,22.53,36.88,120.36,26.38,255.67,140.12,299.08,117.08, ,147.29,147.18,125.14,290.31,218.37,288.64,195.36,168.26,193.60,203.21, ,241.57,98.43,183.45,147.97, ,226.44,174.56,202.84,286.47,230.78,38.20,50.57,76.14,16.42,279.49,269.07,161.20,164.95, , ,90.87, ,17.31,176.68,158.73,77.40,107.16,90.08,32.81,102.73,40.06,231.13,41.54,120.89,162.60,73.14,154.66,127.18, ,3.87,295.81,40.31,287.41,137.77,55.35,116.73,201.47,238.12,230.73
282.05,98.37, ,223.43,150.69,72.46,54.48,283.58,75.67, ,98.22,236.15,30.45,160.56,242.06,93.07,34.45,69.13,120.96,56.26, , ,93.92,161.36,160.66,204.96,18.23, ,254.38,91.43,17.30,249.32,116.43,150.43,191.25,12.51,39.51,119.17,127.88,7.74,156.91,162.12,122.06, , ,22.04,83.69,224.61,155.32,155.12,232.59, ,245.10,28.52,95.40,106.93,182.64,248.56,226.22,108.53,107.23,113.56,268.65,233.11,8.22,156.78,206.74,2.99,179.37,130.89,206.41,66.42,1.92,75.52,12.38,19.66,69.01, ,37.66,61.21,294.35,196.10,242.10,11.32,278.62,224.82,249.23,19.80,164.57,113.81,47.16
112.38,66.86,294.87,231.73,143.85,91.44,234.41,139.20,127.47,288.54,71.20,214.94, ,79.51,89.86, ,87.72,39.71,230.21, ,161.94,102.96,182.11,22.42, ,268.14,99.94,95.41,194.46,262.15,89.86,260.39,260.87,246.70,202.68,35.17,38.84, ,126.86,107.67,223.59,117.43,189.73,62.11,268.58,23.02,162.32,99.49,71.82,71.11,50.27,107.58, ,233.42,113.72,284.48,164.96,80.43,264.00,193.78,123.12,47.88,128.57,61.71,230.66,24.09,259.58,110.65,258.97,48.46,285.45,35.69,107.21,282.08,270.66,96.08,142.11,56.01,2.80,223.66,27.03,236.53,219.85,158.24, ,206.70,76.70,287.19,46.86,209.20,73.97
214.15, , ,223.76,60.92,121.51,68.51,230.90,289.11,213.35,69.34,119.43,59.70,73.16, , ,224.63,67.42,151.65, ,75.41,257.83,13.95,185.39,183.11,72.32,153.85,230.53,59.67,33.61,149.74, ,132.10,60.12, ,211.77,100.49,86.56,104.07,10.52,183.72,229.96,54.82,196.28,57.72,61.93,122.25, ,198.47,296.28,243.29,170.37,0.35,223.96,261.62,69.17,208.19,181.03,17.61,60.50,22.56,64.89,138.70, , ,20.32, ,263.61,166.14,241.86,24.97,285.30,69.69,257.63,117.41,50.10,182.35, , ,117.96,37.50,264.06,114.84,70.44,247.22,179.46,260.26,189.60,253.86,181.94,291.79
33.34,81.60,94.96,114.49,105.10,7.43, ,122.27,297.10,22.09,80.17,193.93,100.77,238.46,21.44,51.86,183.29, ,98.98,288.80,101.62,65.47,163.06,231.32,289.22,260.03,212.21,116.82,271.97,135.27,277.75,83.90,168.51, ,267.49,89.74,167.97,246.43,46.70,208.34,227.78,244.67,252.59,267.49,87.84,284.68,201.55,203.78,138.41,1.03,147.77,286.87,274.41,292.77,171.86, ,99.63,250.42,194.08,217.78,154.12,28.16,43.14,177.78,136.46,244.26,106.97,229.23,9.43,115.48,34.39,36.30,258.08, ,152.16,2.10,207.11,223.81,186.82,58.89,58.33,74.32,125.07,229.92,118.78,63.27,126.84,185.62,37.95,45.18,225.33
85.75,190.97, ,77.80,72.44,289.75,282.17,215.61,220.37,210.30,226.67,139.67,245.25,44.48,145.71, ,193.00,175.35,29.90,161.76, ,69.62,51.88,241.52, ,161.89,53.61,57.55,14.38, ,114.90,176.07, , , ,63.48,237.58,283.24,54.70,168.96,296.47,247.29,64.06,94.84,283.88,230.91, ,289.40,25.03,73.78,84.46,131.65,164.97,162.03,279.73,133.27,103.08,232.79,118.07,161.88,25.84,166.65, ,156.05,255.78,211.05,105.98,155.61,3.41,146.80,60.36,100.98, ,155.00,123.51,20.60,208.82,299.66,70.55,231.52,186.20,118.87,59.02,65.76,260.71,190.59,206.76,29.41,200.47,231.26,157.48
9.37,298.31,141.76,239.45, ,125.65,95.56, ,52.87,129.14,247.97,242.01, , ,107.35,155.83,88.17,290.48,79.60,106.58,57.66,294.65,171.69,129.91,106.32,9.07,196.36,255.19,111.78,109.79,183.09,257.74,278.92,68.80,237.01,279.89,221.41,29.01,295.52,0.59,41.70,37.30, ,292.49,78.49,186.21,294.49,255.36,130.74,34.54,140.58,169.16,131.33,164.26,139.21,225.01,64.87,278.36,201.38,79.34,82.25,277.49,117.37,42.48,136.42,137.38,286.94,112.25, , , ,289.45,267.70,64.55,208.85,103.76,146.82,261.95,61.12,229.75,81.17, ,158.20,107.40,21.78,263.41,196.15,161.46,273.81,260.39,0.82
