Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20
0.50,121.38,194.97,255.93,279.24, ,66.09,263.43,26.04,194.33,77.17,112.57,72.47,285.73,57.89,286.22,70.28,230.52,199.46,225.92
99.19,92.58,194.32,258.69,136.72, ,213.89,203.30,154.96, ,150.06,3.59,224.54,140.78,43.87,275.01,102.14,248.81,239.47, 
 ,63.48,51.17,1.35,57.52,288.62,183.23,230.43,274.97,260.69,10.04,155.99,274.35, ,223.16,298.71,103.58,129.76, ,283.98
81.70,141.81,156.53,209.00,211.85,241.93,299.72,177.10,237.03, ,296.27,266.70,140.90,191.86,261.32,254.64,221.59,295.51,152.66,200.91
 ,84.88,104.94,133.53,240.32,133.50,66.83,20.87,49.01, ,19.67,93.57,206.18,270.44, ,123.10,207.98, ,292.86, 
77.47,241.62,148.37,71.96,283.24,277.02, ,230.70,236.46,26.23,39.43, ,46.50,266.56,182.50, ,126.77,24.81,22.40,52.96
114.56,80.76,245.18,91.37,164.94,200.15,170.46,187.83,286.09,181.35,190.10,187.91,83.32,221.46,255.32,203.24,242.57,277.26,97.02,63.63
96.46,153.12,203.38,181.71,48.56,130.04,65.61,255.53,230.67,254.66,151.40,255.86,141.91,281.72, ,45.36,98.22,54.00,212.52,246.86
143.51,232.03,75.54,37.69,180.64,179.13, , ,22.49,178.93,141.78,257.38,18.74,196.28, ,108.81,67.61, ,77.53,93.37
92.80,77.54,45.75, , ,293.69,271.89,18.16,290.48,0.81,31.13,81.96,5.90,219.49,260.87,59.52, ,152.32,227.64, 
184.31,42.89,228.36,50.62,128.45,222.05,50.32,26.35,105.06,81.94,248.95,21.58,97.05,160.79,99.31,213.41,152.36,161.62,271.09,27.23
253.34,228.80,202.45,135.95,287.41,32.06,260.70,244.83,225.31,40.10,92.17,8.25, ,169.86,180.91,52.47,35.45,209.26, ,164.42
