Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68
58.24,115.26,240.83,244.59,284.07,187.59,240.85,103.11,33.61,135.69, ,32.28, , ,132.16,230.86, ,262.21,54.19,69.34, ,13.93,106.65,200.05,77.99,137.51,10.62, ,62.37,70.83,182.02,287.24, ,233.50,273.12,181.37,7.34,173.17,188.85,158.41,14.22, ,151.73,76.53, ,138.90,248.66,98.78,281.23,39.61,246.47,152.72,63.31,4.24,181.33, ,39.74,230.52,47.91, ,124.44, ,263.34,241.90,98.36,238.54,10.21,164.13
5.99,86.25,296.22,47.37,239.03,171.31,63.25,251.81,43.66,171.91,34.21, ,132.57,202.86, ,56.13,117.56,206.32, ,202.54,275.52,165.56,263.16, ,182.38,4.54,21.55,233.04,290.25,188.33,100.22,169.29,152.90,218.46,190.66,261.76,122.14,282.76,16.77,10.64,4.79,125.19, ,58.23,181.88,270.43,55.80,125.84,61.88,130.61,3.36,82.87,99.36,103.32,153.25,294.77, , ,177.60,201.58,234.41,191.42,40.01,113.82, ,175.70,289.97,281.90
79.67,66.55,205.77,69.40,45.46,152.94, ,5.25,235.24,40.46,144.50,73.88,246.31,134.01,223.22,206.75,210.48,256.97, ,7.65,241.94,17.84,108.52,100.12,252.49,105.98,184.29,153.02,132.76,276.62,9.48, ,199.90,273.58,144.55,164.52,130.50,58.43, ,75.68,91.67,65.28,107.31,84.10,92.17, ,68.79,56.07,238.84,194.13, ,38.68,277.36,231.47,137.69,221.13,182.34,241.53,210.45,197.18,9.16,211.40,58.15,111.83,124.71,128.50, ,167.18
157.99,69.56,84.13,274.11,108.74, ,56.35,287.85,191.92,242.90,52.77,289.19, , ,232.39,151.02,231.09,271.02,58.68,261.66, ,259.15,285.03,150.17,186.02,74.31,46.61,235.80,166.82,283.06,32.79,131.75,278.06,116.84,179.54,117.26,138.95,258.44,274.58,6.38,212.33, , ,258.32,6.59,79.84, ,112.63,237.61,14.68,75.29,238.02, ,102.64,63.95,179.06,169.70,199.13, ,242.77,224.45, ,49.60,37.20,114.69,93.08,88.50,148.43
89.58,246.31,119.64,253.30, ,123.00,247.93,150.28,246.00,112.92,124.33,30.75,229.67,72.87,193.06,151.24,14.00,98.15,35.44,159.52,157.21,218.30,187.56,295.83,143.31,127.10, ,157.85,153.40,20.31,155.47,7.46,258.74,105.46,258.70,24.48,71.08,211.15,194.57,172.05,123.05,155.22, ,13.07,57.93,58.43,130.96,221.60,261.90,243.73,103.56, ,96.41,158.36,104.90,287.29,81.04,257.75,201.03,249.33,220.20,297.59, ,0.75, ,262.65,137.77,4.36
240.86,224.06, ,28.96, ,5.91,205.97, ,107.00,118.76,46.13,43.74, ,44.49,293.38,137.23, ,141.59,37.52,50.57,50.69,288.87,85.44,52.27,91.48, ,210.25,221.16,249.17,53.16,38.07,0.81,177.68,16.90,134.98,54.76,9.94,260.59,219.74,208.52,274.12,143.87,273.22,138.18,166.68,216.06,237.88,80.06,14.33,119.74,56.21,121.04,8.80,222.40,264.27,197.37, ,41.24,171.95,260.94,272.95,10.40,90.16,257.77,241.60,25.46, ,199.97
177.09,293.59,137.30,230.42,196.24,75.92,1.09, ,95.43,132.22,32.86,33.10,128.09,45.35,65.63, ,277.59,262.29,132.87,229.03, ,125.27,210.19,193.51,124.20,247.54,94.78,178.79,271.02,102.59, ,168.21,213.97,206.03,116.97, ,46.00,110.12,294.60,15.53,112.71,177.06,96.15,40.64, ,11.66,202.30,142.27, ,56.24,106.72,33.28,208.34,247.79,250.54,38.78,130.51,105.81,211.73,279.39,176.89,264.04,281.40,0.99,192.76,268.22,289.73,145.09
80.78,216.53,35.27,297.40,106.80,173.34,5.16,270.90,231.83,40.77,227.01,265.14,99.00,119.24,234.87,286.80,57.21,46.97,158.65,258.27,147.58,283.98,284.33,34.79,189.82,129.40,117.33,236.60,27.91,5.06,20.18,278.43,195.20,169.88,69.78, ,217.36,3.28,244.09,104.89,147.98,289.65,297.79,201.42,112.11,219.19,277.44, ,54.83,78.72,160.09,52.86,65.85,182.66,256.70,240.84,288.81, ,253.62,190.81, ,2.92,252.40,89.74,131.13, ,209.85,129.79
122.15,124.20,191.85,91.46,200.99,21.48,15.02,141.38,130.14,208.75,127.00,32.19,117.69,260.15,246.05,85.88,99.13,202.97, ,294.43, ,202.85,93.52,20.22,123.70,109.50,92.81,19.02,226.95,1.76,164.24,277.05,16.01,160.20,67.15,213.40,101.66,135.91,34.12, ,157.82,239.57,99.32,209.29,103.01,226.07,210.24,267.15, ,43.33,108.86,51.01,201.27,138.51,47.83,193.32,30.45,117.47,299.15,130.01, , ,149.54,86.25,53.81,213.30,267.20,207.62
44.42,170.86,146.07,55.55,96.60,239.23,6.72,207.61,161.85,12.75,90.81,34.81,45.62,241.76,270.27, , ,258.26,197.61,120.58,143.73,39.16,131.25,21.34,182.62,43.02,194.57,294.37,278.45,177.48,52.81,69.58,162.44,285.71,132.17,13.22,23.47,58.86, ,80.19,280.89,236.60,157.95,170.62, ,210.61,269.08,112.56,47.25, ,32.96,198.66, ,174.56,100.66,17.45,13.61,179.82,147.63,134.93,226.70, ,137.31,236.01,299.61,147.98,41.16,9.67
20.19,114.38,158.61,200.36,61.40,237.37,259.03,173.31,220.15,144.03,282.61,158.18,54.71,256.84,187.10,35.69,24.46, ,183.08,290.57,259.25,177.99,61.00,170.94,91.59, ,149.05,162.17,231.33, ,188.16,200.49,48.43,179.13,197.99,96.35,2.83,290.54, ,51.53,224.18,143.86, ,292.91,233.91,71.10,13.53,163.54,113.94, ,293.07,219.81,206.83,58.11,98.91,15.67,291.21,140.07,130.53,127.98,145.73,41.41,141.66,160.06,114.61, ,107.69,297.30
89.32,221.08,204.58, , ,151.23,195.09,137.81,114.29,252.64,149.53,84.07,109.21,264.81,217.24,63.73,235.47,20.20,204.81,16.57,279.80,279.52,154.11,281.80,225.45,210.81,183.59,225.18,134.62,174.04,262.50,266.39,90.83,54.52,211.38,267.88,238.90, ,93.01,47.88,290.19,272.22,165.91,290.35,101.71,32.75,142.84,119.97,61.36,95.33,17.94,24.88,105.31,275.20,37.03,259.73,5.40,92.40,199.03,30.03,263.10,154.32,33.31,146.75,80.85,151.66,108.49,7.91
148.83,112.12,6.20,213.08,3.79,182.91,88.23,203.57,275.71,157.27,32.18,103.68,246.10,211.82,131.89,268.40,202.84, ,209.04,79.67,156.16,103.54,173.38,262.56,292.19,81.97,52.63,104.89,32.08,77.47,192.13,55.07,200.05,39.45,287.96,29.72,204.27,203.10,149.74,2.35,186.11,143.13,170.30,104.39,8.27, ,200.40,44.14,79.11,112.71,167.69,217.91,136.09,214.91, ,80.57,42.84,0.40,205.42,134.00,73.09,191.67, ,70.74,115.93,286.02,38.04,160.46
165.52, ,80.43, ,161.01,250.88,126.77,33.11, ,42.93,113.12,132.71,5.34,271.72,225.02,193.23,60.81,244.25,156.31,267.64,185.69, ,13.39,152.09,218.25,89.43,236.07,121.52, ,60.52,184.56,263.92,64.26,226.96,82.09,33.19,147.63,143.74,232.27,14.96,282.77,68.20,73.97,93.10,121.60,229.41, ,193.33,203.41,10.90,0.14,245.12, ,164.00,104.66,258.13,75.04,257.52,212.48,235.47, ,57.07, , ,298.34,147.16,238.12,113.68
252.22,288.14,222.80,298.68,139.88,94.12,75.81,293.27,172.83,4.63, ,131.36,156.39,140.28,89.54,171.83,250.55, ,144.57,197.69,172.51,261.55,118.37,204.00,144.66, ,149.29, , ,299.85,132.07,183.07,138.46,249.42, ,265.36,138.96,76.83,200.63,278.10,75.74,130.64,258.93,69.69,209.67,265.51,182.41,217.67,244.10,53.44,258.10,266.69,181.85,108.54,81.90,101.48,268.74,78.04,173.25,193.33,198.07,117.52,264.48,184.49,7.76,241.68,256.72,62.92
251.90,221.05,258.10,191.44,254.66, , , ,47.84,15.28, ,95.75,63.54,79.75,218.17,37.15,229.80,13.47, ,234.53,229.62,106.94,211.72,10.97,193.63,250.47,265.49,4.66, ,284.91,113.66,237.84,77.98, ,91.45, ,25.98,152.04,71.78,194.76,19.46,41.83,184.86,43.77,255.41,206.05,96.84,143.39,170.52,202.32,12.83,43.82,216.51,21.84,204.35,136.49,150.99,2.09,129.06,199.53,226.28,24.78,125.28,57.80,89.55,117.22,211.78,141.18
56.90,116.57,79.63, ,230.62,187.16,260.44,166.00,159.29,69.70,96.86,240.21,27.42, ,129.80,70.93,240.39,134.00,89.09,10.02,144.25,161.32,101.84,276.72,253.62,216.45,45.16,76.25,181.74,47.72,88.67,282.53,246.48,86.02,30.16,9.73,237.44,285.12,265.37,186.03,210.14,55.03,256.80,93.13,107.85,150.09,259.50,225.59,249.14,241.55,107.65,153.71,122.32,84.36,100.67,6.69,72.87,266.11,193.00,168.21,200.09,197.37,150.91,65.57,134.57, ,242.22,233.06
 ,71.89, ,172.56,175.12,114.92,149.48,129.85,12.80, ,31.09,268.41,151.03,282.05,41.10,227.82, , ,80.23,286.78,238.90, ,122.27,60.62,288.35, ,1.14,289.30,49.24,214.23,291.69,185.88,257.68,32.29,28.81,18.48,61.18,44.43,79.66,245.57,176.54,231.90,157.20,209.91,178.91,106.71,20.43,203.39,106.28,230.26,48.20,150.69,206.13,294.33,83.32,37.20,75.93,137.53,190.31,139.56,171.59,239.82,238.86,170.14, ,100.40,127.08,30.93
255.26,230.79,9.37,278.25,246.62,106.75,137.67, ,206.89,265.58,217.80, ,87.94,68.80,129.81,237.47,132.34, ,63.14,96.15,112.03,180.45,172.11,197.05,79.50,52.08,250.64,249.51,57.81,9.36, , ,183.61,37.58,276.41,210.12, ,22.15,215.00,10.04,278.57,54.69,88.42,33.15,49.28,116.11,283.07, ,188.31,166.88,22.21,26.62,215.84,254.48,276.16,63.80,14.58,6.04,188.56,130.24,155.09,62.95,87.02,80.71,71.07,201.22,90.87,25.60
289.00,60.48,16.08,216.51,224.42,127.75,28.36,59.82,61.94,286.90,247.98,124.29,15.19,112.32,253.35,112.78,118.01,207.52,297.54,164.76,46.58,34.94,250.49,258.40,217.53,161.39,12.90,184.56,11.18,134.16,134.81, ,252.82,114.40,117.74,251.67,285.01, ,59.96,169.39,207.09,263.65,252.44,54.15,4.66, ,138.82,268.70,236.75,205.96,8.44,289.57,63.41,204.28,34.54,7.44,6.04,16.55,46.81,128.67,297.77,17.71, , ,222.35,207.94,211.75,152.02
176.48,175.91,53.48,179.70,263.36,155.29,260.25,273.03,85.92,282.92,107.39,90.05,67.39,158.06, ,10.08,90.85,56.39,278.99,51.31, ,237.04,210.11,97.30,286.21, , ,286.86,175.91,291.06,74.91,222.46,159.20,80.13,159.32,63.71, ,103.63,240.08,266.47,96.13,123.59,3.54,266.22,268.63,255.92,118.05,134.39,264.24,187.47, ,139.21,222.80,216.30,82.33,245.63,11.26,43.30,98.78,256.84, ,299.98,16.58,124.59, ,88.83,112.84,184.94
250.46, ,166.76,176.63,32.54,93.14,139.63,226.55,40.60,80.29,9.75,158.62,247.84,223.17,196.83,221.08,11.43,243.16,115.73,260.06,216.13,276.04,136.96,31.41,192.78,218.13,208.56, ,156.40,260.04, ,21.01,206.43,142.46,210.62,269.39, ,185.52,82.50,60.83,272.69,177.88,156.51,292.94, ,149.35,77.32,151.55,155.52, ,297.98,41.37,176.97, ,62.48,145.12,196.77,276.45,8.09,291.67,53.77,205.77,18.92,245.01,81.42, ,212.18,136.04
