Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84
267.94,282.35,99.42,132.24, ,171.80,94.44,4.35,70.27,66.77, ,104.93,101.11,222.83,84.92, ,153.98,69.23,44.26,104.56,225.34,267.13, , ,297.24,255.44,78.60,162.18,127.14,44.29,110.13,80.10,121.34,247.73, ,291.99,43.78,209.01,158.10,197.92, ,208.83,70.89,197.32,230.60,120.38,19.64,294.94,116.34,33.83,6.85,56.06,16.83,199.53,105.13,106.12,209.06,199.90,2.37,213.02,121.68,207.87,263.91,241.06,19.08,144.33,247.95, , ,147.43,172.98,121.66, ,30.72,177.26,296.43,223.70,96.16,137.27,221.02,178.55,59.16,145.61,101.39
101.54,193.43,239.15,139.18,123.34,212.31,180.58,275.08,138.14,61.38,8.72,15.49,283.67,40.70,159.73,175.28, , ,278.79,214.70, ,38.05,277.95,168.46,13.72,24.82,34.12,93.67, ,280.93,90.36,129.46,163.72,211.36,73.44, ,288.15, ,26.19,262.97,164.46,78.56,174.48,171.31, ,187.82,238.12,280.80,17.46,123.48,142.25,95.64,114.82,40.53,109.98,62.80,201.00, ,38.19, ,209.50, ,97.32,12.21,132.90,2.79,95.44,206.04,120.62,105.71,278.98,14.38,268.34, , ,142.57, ,259.47,229.40,261.52,45.76, ,17.72, 
 ,274.62,104.05,122.67,299.65,115.30,117.16, , ,264.44,288.37,5.26,161.59,114.09,84.57,157.48,10.58,215.45,19.89,80.44,229.26,244.20,94.12,128.20,95.04,43.14,24.82,235.98,87.22,129.50,111.02,274.08,122.64,106.81,209.03,285.09,267.34,182.86,290.65,58.80,103.70,169.10,150.35,14.93,155.16,109.35,131.40,87.79,272.96,96.58,81.84,20.29,10.96,110.64,214.20,87.30,271.39,146.42,61.48,59.30, ,168.65,137.17,270.61,225.03,187.80,247.04,127.31,280.43,106.87,244.66,69.33,247.70,108.98,87.21,128.74,276.09,186.67,249.47,204.48,22.47,281.53,61.75,265.74
139.30,24.21, , ,46.52,119.27,66.05,125.81,210.32,192.18, , ,254.26, ,276.73,297.68, ,106.52, , ,284.60,29.78,133.61,30.13,231.80,159.36,290.98,159.51,166.66,24.81,194.30,97.66,38.65,79.90,255.90,91.00,135.82,274.01,197.09,222.31,100.33,186.49,151.35,274.46, ,299.27,14.98,236.60,78.89,201.10,236.40, ,176.90,135.85,102.11,155.05,161.82,106.09,46.68,94.32,275.44,20.41,229.97,50.98,139.53,252.27,267.88,78.67,81.80,295.69,247.45,208.32,106.12,157.58,271.84,173.93,166.89,61.67,254.98,148.03,144.12,158.11,49.42,256.79
151.29,15.12,103.22,208.01,237.85,62.13,17.50,156.98,130.39,281.26,31.28,179.87, ,37.98,279.01, ,110.23,196.68, ,299.90,132.80,286.64,271.36,215.89,53.30,37.80,81.55,3.23,3.03,140.43,166.04,15.76,229.66,6.92,66.59, ,199.39,90.43,187.41,13.67,40.07,132.63, ,255.79,106.35,193.87,299.83,66.21,170.16,157.39,50.88,183.89,123.37,245.12,287.35,234.82, ,48.78,283.95,170.59,50.64,193.07,129.24,63.61,123.14,2.22,110.37,184.11,49.57,210.16,271.41,205.54,113.98,268.39,198.61,97.13,268.39,246.66,243.17,242.46,69.76,66.53,170.88,145.17
234.68,191.17,197.37,259.68,51.03,109.29,67.05, ,35.44,145.55,139.78,75.53,225.58,272.62,191.09,250.87,157.93,2.71,203.57, ,214.92,251.77, ,18.82, ,54.26,144.55,267.01,262.87,225.95,145.71,174.16,282.52,226.89,288.41,192.29,14.62,238.29,131.42, ,62.04,39.47,181.92,156.28,189.68,108.24,175.09,46.92,122.41,170.95,21.04,3.42,176.48,47.16,242.05,128.08,122.92,193.37,94.36,187.14,79.03,156.80,135.27,198.17,236.34, ,257.38, ,66.25,182.85, ,124.91,78.42,21.87,22.37,40.33,213.85,151.05,181.17,44.49,3.35,21.24,70.98, 
143.20,110.92,158.28,150.96,139.68,79.09,2.33,125.98, ,150.36,228.88,30.58,116.42,275.54, ,46.52, ,189.71,220.77,19.42,66.73,121.72,155.74,49.02, ,123.38,183.71,210.08,79.38,31.66,158.99, ,205.50, ,95.22,250.33,166.16,77.71, ,124.40,261.45, ,294.80,41.30,45.59,93.74, ,125.39,293.81,157.98,280.30,294.53,293.20,83.23,124.30,34.57,81.05,80.55,135.97,123.45, ,248.42,178.18,215.99, ,115.31,232.21,280.23,115.36,140.30, ,264.60,244.01,187.28,130.89,174.65,88.58,142.72,184.18, ,100.17,268.37,46.98,25.32
 ,146.33,106.57,199.46, ,14.93, , ,47.07,212.27, ,18.99, , ,25.41,273.67,231.69,271.47,275.62, ,168.66,263.82,72.78,146.46, ,172.11,239.25,22.38,59.46,139.05,263.27,251.79, ,49.06,95.21,277.06,208.40,285.10, ,279.77,2.25,208.00,81.49, ,122.19,241.83,13.21,262.66,152.97,238.71,239.13,190.36,291.54,230.93,81.48, ,216.15,74.52,88.17,139.72,150.16,92.00,49.70,131.08,128.80,17.40,230.30,143.85,96.35, ,38.42,250.96,144.79, , ,272.49,129.18,260.08,156.75,56.21,74.66,267.87,88.55,297.62
126.50,66.86,87.79,163.54,90.69,269.69,98.39,203.48,295.79,154.83,115.65,48.08,91.80,25.46,274.24,134.37,133.88,229.63,231.85,211.26,219.23,70.10,53.43, ,289.96,84.97, ,96.15,193.27, ,43.70,102.41,119.53, ,12.47,267.11,295.98, ,217.65,248.70,40.88,182.90,174.78,143.18,226.83, ,42.39,258.75,232.98,270.24,201.90,22.66,32.41,296.43,36.96,60.51,158.72,64.50, ,46.80,192.80, ,140.02,19.67,278.51,111.55, ,65.43, ,191.19,43.11,248.14,179.41, ,171.51,137.91,160.94,23.37,21.60,114.45,297.81,242.06,116.98,293.07
221.96,218.22,183.22,295.28,293.08,245.70,90.98, ,215.23,145.65,128.65,265.48,54.45,137.63,295.86,105.10, ,13.05,132.72,278.36,174.87,66.09,255.83,18.29,75.33,225.41,159.82, ,69.96, ,270.47,0.59,252.54,270.80,46.14,54.98,72.12,103.82,73.64,111.03,279.01,125.39,32.76,203.65,142.89,183.07,143.31,173.51,42.06,94.19,281.76,153.56,39.89,199.64,26.20,240.40, ,52.59,226.10,74.72,168.91,77.22,153.34,9.77,253.31,279.51, ,188.78,112.74,167.47,9.39,111.10,188.70,160.47,44.49,286.00,160.43,245.25,42.64, ,40.98,152.08,255.03,83.78
