Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70
212.89,19.32,131.98,187.80, ,15.98,233.41,110.10,5.38,229.10, ,178.29,158.06,237.12, ,79.63,104.50,62.86,286.77,2.69,289.94,33.02,103.70,178.21,252.54, ,181.63,84.15,28.93,209.41,94.84, ,244.81,13.13,258.11,109.80,232.79,31.75,105.65,232.24,49.25,167.46, ,271.57,126.34,286.49,266.54,18.66,26.14,25.35,64.18,143.61,258.04,56.73, ,192.18,32.86,40.88,201.56,171.88,233.64,232.34,138.92,288.06,39.82,176.48,158.31,217.24, ,160.58
83.64,132.21, ,73.64,142.75,87.92,221.05,187.01,290.96,167.07,177.07,73.15,280.53,255.29,114.76,58.34,198.71,186.99,210.34,119.07,235.83, ,156.88,254.73,219.52,177.35,157.72,271.68,64.77,166.56, ,281.63,72.68,288.78,18.78, ,137.85,156.13,19.93,273.41,23.27,255.32,91.47,284.86,24.32,266.30,12.15,172.50,56.88,21.80,71.62,236.85,173.12,254.32, , ,167.71,120.66, ,212.13,14.73,260.39,241.58,76.51,23.77,282.65,131.33,148.23,236.06,225.37
 ,118.42, , , ,60.42, ,272.55,8.87,5.63,189.41,149.74,180.65, ,257.26,97.05,142.85,163.19,62.14,186.64,114.97,161.41,281.94,147.94,164.42,32.81,285.19,87.39,70.35,198.22,137.26, ,280.11,296.29,90.51,234.96,286.47,149.08,89.69,9.80,169.05,149.68,90.77,194.10,109.72,89.36,78.02,270.43,113.00,106.45,138.22,191.18,149.15,286.54, ,296.35,213.93,205.39,192.69,214.73,54.49,173.19,233.51,162.26,70.83,98.08,267.19,165.52,288.65,78.43
250.65,283.20,176.69,185.22,133.35,153.21,255.43,79.66,284.23,180.57, ,278.65,38.09,194.92, ,100.69,34.29,283.17,215.93,206.07,229.24,201.09,227.26,108.86,45.47,248.83,148.15,204.70,57.82,72.47,129.64,96.18,224.51,181.41,239.21,241.59, ,142.68,54.16,59.76,44.68,9.92,1.00,175.42,87.46,251.03,27.91,71.43,48.70,73.25,89.98, ,258.43,273.42,41.80,269.10,17.31,112.79, ,142.44, , ,61.71,205.15,76.72,281.46,127.36,14.57,215.44,175.77
118.73,244.87,54.20,108.66,160.54,299.11,260.14, ,21.86,138.03,29.87,92.94,241.97,169.87,63.08,35.08,133.91,211.02,174.38,33.93,119.31,49.64, ,50.25,112.62,193.21,33.27,17.04,249.78,58.45,227.76,144.16,207.54,104.93,138.72,166.73,183.01,238.89,88.11,60.48,292.53,124.83,261.51,214.38,6.55,20.37,46.46,128.22,128.88,86.80,296.84, ,179.86,95.73,38.98,245.65,77.40,64.55, ,206.42,72.13,290.42,147.28, ,275.50,85.91,77.67,205.49,210.36,282.07
270.51,90.96,260.76, ,25.31, ,231.73,48.48,279.59,291.99,98.02,7.34,176.13, ,81.62,147.80,98.27,137.48,244.85,80.09,169.14,84.80,37.13,193.97,53.55,173.82,132.96,77.35,17.44,254.32,278.56,266.02,256.01,196.16,157.14,14.08,81.64,171.77,172.85,0.61,100.68,296.42,15.75,250.52,236.13,132.24,6.97,291.52,201.76,163.84,163.92,85.17,276.81,64.34,22.67,76.07,239.39, ,255.13,7.51,82.39,120.55,219.33,288.60, ,176.28,179.46,224.08,285.77,221.56
50.56,115.06,67.58,199.12,9.58,132.06,127.77,118.45,263.75,113.45,157.83,192.21,29.93,1.92,17.19,65.80,167.71, ,235.29,93.50,244.88, ,242.77,236.33,91.49,98.48,46.13,194.67,293.60,54.63,240.30, ,6.09,86.70,33.94,122.25,81.83,266.31,9.89,210.06,24.45,169.59,156.27, ,94.61,48.65,115.01,221.06,295.04, ,181.99,142.70,222.01,71.36,198.26,121.28,152.37,218.46,75.11,147.86,169.34,247.82,82.37,239.64,231.81, ,113.80,79.78,16.84,189.41
202.57,26.44,123.04,229.36,247.28,292.86,173.43,94.26,42.58,131.65,262.83,96.03,226.75,194.68,180.11,148.76,54.76, , ,47.37,22.79,27.01,141.09,275.86, ,18.44,224.10,229.20,273.43,282.76,200.52,29.36,75.12,39.38,205.60,297.70,239.96,255.54,133.43,231.47,248.42,35.14,127.31,228.53,270.18, ,170.71,279.34, ,91.37, ,296.97,160.80,51.83,181.03,286.58,238.90,285.43,90.49,16.11,86.47,25.01,66.84, ,46.18, ,137.56,211.30,57.61,60.03
225.25,116.87,278.07, ,263.50,57.66,260.68,207.92,137.50,144.38,41.10,84.26,28.12,0.59,87.61,222.68,297.94,13.91,141.82,176.93,14.24, ,274.92,134.68,184.58, ,217.81, ,2.07,115.53,171.34,119.68, ,16.72,64.60,151.73,100.30,11.74,263.25,89.46,73.19,194.92, ,112.72,126.17,65.77,146.86,219.87,181.15,283.26,185.33, ,91.74,3.50,228.72,41.98,277.09, ,172.01, ,284.73,25.04, ,266.73,126.62,212.92,7.33,130.89,210.06,284.40
109.23,252.96, ,271.14,245.03,225.08,30.11,297.49,9.33,21.88,13.62,168.63,215.81,152.29,274.87,92.87,67.25,252.08,10.62,196.31,54.46,129.41,31.19,139.71,13.90,296.23,70.07,48.92,229.67, ,204.54,187.22, ,67.98,69.71,78.95,34.26,87.40, ,118.59,57.69,4.46,155.34,289.35,80.91,249.86,69.59,141.33,58.06,24.79,137.51,292.74,137.65,190.92,44.14,291.88,168.61, ,23.95, ,44.14,285.70, ,55.28,232.68,206.47, ,120.27,140.28,241.52
