Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75
160.33,224.19,235.87,63.44,107.64,225.97,133.10,43.58,257.34, ,111.93,100.43,74.36,38.65,246.77,14.26,230.62,215.51,252.73,156.19,249.81, ,12.50,235.61, ,265.22, ,68.45,227.41,282.77,211.34,219.32,32.33,124.44,186.90, ,134.07,225.37, ,64.92,270.02,17.84,255.73,243.37,166.08,5.25,197.30,179.27,120.91,187.75,26.44,161.05,108.28,92.48,131.65,181.48,2.39,199.01, ,256.85,252.08,57.56,181.53,70.36,158.73,190.62,156.85,96.87, ,118.21,171.16,123.96,282.18,143.30,58.51
173.99,239.77,202.83,37.28,220.18,131.44,215.23,72.53,242.22,113.89,271.33, ,103.59,179.66,159.15,183.11,262.39,166.84, , ,20.97,249.38, , ,11.56,285.67,58.97,59.01,153.73,165.63,117.00,120.15,101.88,57.93, ,159.21,116.22,286.99,110.28,83.47,255.97,194.41,83.72,183.92,201.46,283.18,219.69,142.20,73.12,277.98,172.02,99.07,11.37,271.05,187.44,159.58,188.71,149.03,63.48,15.41,118.41,206.14,271.24,233.70,111.32,123.81,0.43,270.55,202.93,198.77,57.71,192.64, ,9.13,29.00
192.06,291.64,64.42,202.85, ,55.48,85.74,82.78,298.91,75.82,182.61,137.39,118.60, ,101.74,50.29,133.07,73.27,146.85,184.85,35.13,54.42, ,211.82,280.45,23.68,74.42,102.57,254.50,247.44,22.84,204.87, ,127.78,118.50,32.13,87.39,88.87, ,122.83,54.08,181.86,21.38,13.62,275.49,262.00,179.00,48.22,178.06,64.35,102.32,95.44,0.07,4.67,15.67,264.51,185.23, ,16.68,31.86, ,29.68,291.72,245.30,163.19,106.71,95.04,133.51,36.61,271.75,160.31,194.29,140.86,221.85,107.47
99.19,128.20,88.03,223.33,53.29,234.30,255.04,225.49,156.45, ,213.27,162.09,261.01,264.49,145.05,270.43,24.55,188.78,273.28,112.67,73.02,10.95,101.23,113.46,76.83,91.29,88.15,280.04,23.70,95.35,115.85,195.35,114.17,69.94,166.76,33.42, , , ,44.81,129.25,268.43,245.26,10.02,50.58,260.45, ,188.90,233.81,98.92,44.18,68.40,123.64,113.18,268.09,254.07,53.09,20.51,133.55,265.57,283.05, ,189.64,196.90,17.05,39.84,178.64,240.04,201.46,247.38,198.75,56.48,181.83,39.63,44.84
 ,5.19,206.64,189.45,74.54,54.63,146.99,23.25, ,108.82,28.10, ,88.77,110.23,75.39,214.54,295.32,218.40, ,13.97,149.26,287.32,189.37,21.89, , ,20.66,186.07, ,242.89,89.29,34.83,25.11,230.56,67.08,12.21,54.48,156.02, ,278.57,177.59,90.09,242.34,183.25,112.65,59.64,90.28,98.41,93.58,90.48,201.05,97.63,16.43,39.97,274.33,148.02,137.94,64.40,199.33,296.96,228.08,163.53,200.58,258.21,193.35, ,15.68,103.65,273.27,123.18, ,15.93,67.37,285.99,88.80
253.31, ,224.24,28.17,114.71,70.52,212.84,167.83,139.96,126.50, ,119.81,293.97,198.41,261.17,25.77,220.90,287.66, , ,216.24, ,288.77,143.51,193.26,262.46, ,186.99,120.46,50.77,260.28,177.31,293.46,151.18, ,66.35, ,103.45,84.70,204.17, ,110.92,104.38,91.97,201.41,199.15, ,185.00, ,117.59,291.34,166.88, , , ,151.62,82.58,118.15,71.85, ,231.02,206.78, , ,291.52,20.43,36.10,179.85,49.67, ,68.36,87.83,212.29,57.33,122.93
125.02,173.52,222.48,38.30,131.72,11.90,102.95,114.46,288.47,50.67,260.32,95.31,16.99,254.13, ,77.06,242.48,77.02,291.00,112.30,2.85,23.27,297.78,195.66,120.36,49.45,251.98,66.27,185.47,254.25,191.33,163.29,99.83,207.81,111.44,102.20,214.94, ,212.72,91.15,77.72,260.94,34.78,114.95,14.89,289.16,80.16,137.97,120.31,121.79,189.72,13.34,56.84,199.50,96.17,181.06,73.46,222.58,271.43,143.15,226.36,261.00,152.78,220.49,177.26,184.22,184.18,70.99,36.37,210.59,261.15,6.44, ,229.02,205.09
286.00,192.92,152.41,119.93,128.40,287.42,198.01,201.31,128.41, ,289.80,123.62,171.38,249.65,51.60,92.86,238.51,20.16,51.28,146.57,260.39,19.90,126.47,114.01,217.50,139.19,260.46,35.69,108.99,209.81,96.47,45.72,149.64,195.66,227.85,49.65,11.13,52.83,139.49,72.05,148.44, , ,15.91,279.45,185.39,244.26,280.72,63.49,153.86,203.19,123.02,48.56,233.94,161.83,142.55,7.58,225.17,169.28,213.98, , ,236.26,299.02,2.70,90.34,15.51, ,17.30,40.91,75.31,114.81,77.23,2.59,254.27
257.94,278.49,14.96,177.02, ,245.20,286.63,274.68,71.81,72.13,197.56,298.76,185.44,169.47,156.10,265.14,202.85,72.10,73.82,26.03,58.95, ,258.62,235.89,258.47,258.95,167.26,233.69,271.74,161.80, ,136.97,121.44,185.93,70.39,253.79,102.86,112.14,257.12,68.69,115.18,127.42, ,218.56,264.94,250.38,262.96,112.60,157.70,96.48,117.68,105.94,188.92,139.36,181.88,230.83,198.39,220.26, ,6.00,256.08,238.03,112.62,185.09,197.24,296.29,226.94, ,137.53,107.90,284.64,65.20,195.73,198.36,248.54
152.19,90.62,176.44,207.39,157.54,299.86,86.91, , ,80.16,216.16,285.26,8.62,107.54,140.19,122.33,25.95,286.81,147.02,217.87,118.54, ,116.16,94.49,40.67,156.41,2.61,242.21,39.89,217.80, ,284.45,25.12,39.62,47.94,68.66,10.87,44.58,102.94,105.70, ,51.54,79.03,223.60,121.75,264.70,36.65,178.40,129.21,18.05,65.19,259.45,113.31,93.32,95.34,12.77,219.60,10.68,92.68,166.76, ,86.93,68.78,14.47,98.64,61.36,222.52,297.23,47.85,240.71,299.36,2.46,43.22,271.44,187.49
