Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103
89.18,239.31,23.28,215.44,168.57,180.40,29.23,97.91, ,13.22,224.41,131.22, ,232.25,191.45,101.12,217.81,127.73,65.66, ,281.10, ,159.78,68.56,155.18,217.39,179.70,130.95,264.87,137.72,160.56,253.34,298.01,151.98,28.27, ,128.26,70.64,58.52,165.38,200.11,164.92,211.56,237.60,263.43,4.80,291.51, ,253.19,285.04,157.71,22.81,141.57,205.11,280.07,103.77,150.15,92.51,47.18, ,214.26,25.35,215.04,253.03,270.06,13.96,142.72,98.05,168.85,182.29,299.66,211.01,282.48,19.76,93.82,133.67, ,159.03,80.37,180.17,145.95,123.25,7.89,19.23,19.38,167.37,38.49,37.63,282.18,285.51,178.09,55.13,261.66,113.30, ,293.47,235.99,274.57,166.54,176.40,144.49,18.99,253.71
8.74,0.87,204.96,271.10, ,157.26,191.61,4.99,264.04,217.64,130.88,289.23,251.22,100.47,159.85,120.15,80.32,179.42,244.56,144.43,79.20,208.82,272.25,252.45,70.11,58.98,244.91,156.97, , , ,48.92,182.72, ,222.33,282.66, ,127.08,287.83,21.56,101.02,211.09,5.48,96.30,26.10,63.43, ,20.87,82.51,167.52,159.20,116.87,256.74,268.94,13.34,91.05,198.73,183.06,31.89,32.35,290.34,1.79,210.45, ,292.96,64.88,231.73,119.81,111.46,42.53,158.65,271.99,38.96,13.68, ,277.92,268.66, ,270.45,94.66,78.18,65.64,90.56,297.78,70.96,55.69,290.18,253.72, ,292.69,58.63,290.88,275.05,4.80,229.99, ,223.11,41.56,106.85,286.13,42.49,213.86,170.58
12.51,166.21,116.98, ,84.68,152.64,77.20,219.01,43.06,230.30,214.50,113.71,205.18,89.11,132.20,132.85,199.79, ,257.25,29.22,158.81,225.97,224.08,137.56,126.47,161.58,225.00,247.03,285.80,60.72,297.56,80.92,147.79,236.24,112.20,178.37,112.35,189.56,187.76, ,14.22,129.28,262.61,94.57,195.72,294.94,257.50,224.71,90.73,227.54,74.97,74.13,5.36, ,41.80,262.65,80.46,138.79,262.87,22.58,244.42,192.03, ,134.97,231.31,275.69,121.46,51.87,96.64,74.07,99.03,294.83,220.76,247.33,257.95,171.34,240.45,47.07,93.87,41.58,107.74,184.04,67.94,124.79,293.15,196.76,39.16, , ,186.67,108.70,144.09, ,84.55,46.73,227.76,154.79,36.50,136.99,240.00,90.48,66.06,1.34
28.50,58.97,79.59,97.13,51.12, , ,211.06,248.88,199.36,91.78,275.73,201.55,1.67,20.31,281.38,225.97,214.57,298.31, ,95.44,243.08,142.25,83.67,27.62,12.22,14.27,107.02, ,22.75,141.67,12.44,64.72,132.93,223.33,273.46,226.68,58.37,34.09,182.96,164.73,159.16,119.73,103.03,256.88,7.48,168.85,221.60,258.32,212.86,185.76,296.95,78.15,211.73,192.43,259.19,200.14,53.17,225.60,82.65,281.99,281.03,110.04,84.42,257.14,250.02,183.59,255.34,2.28,73.98,261.75,251.86,151.53,181.77,161.24,259.60,54.55,294.08,143.25,232.95,75.78,243.30,129.93, ,132.21,295.09,27.46,278.78,179.79,71.13,145.05,216.52,90.09,282.36,0.39,187.63,136.64,44.08,200.53,17.11,8.42,59.66,40.48
225.24,22.24,177.18,31.91,155.57,250.84,76.68,198.80,52.01,34.92,131.44,38.80,268.20,160.76,83.11,66.29,121.51,4.71,255.83,92.39,158.63,249.34,294.46,199.63,183.58,142.56,170.01, ,138.21,24.33,11.70,232.36,47.08,24.76,276.73,138.16,220.02,37.48,175.85,54.96, ,289.52,84.22, ,247.79, ,272.12,186.55,96.16,244.77,231.35,93.79,128.69,212.76,219.40,185.93,123.05,174.22,173.15,272.09,206.22,294.25, ,180.80,229.78,20.80,18.75,140.64,140.03,224.24,241.97,36.04,115.38,221.21,17.45,200.03,85.87,131.11,3.47,40.25,99.30,280.10,72.39, , ,143.30,62.52,46.10,132.26,242.86,89.41,233.13,97.16,159.29,283.22,240.17,96.02,84.52,157.52,196.86,69.32, ,131.84
86.92,257.71,173.26,37.81,244.31,230.73,186.55,246.54,99.18,145.34, ,221.46,211.44,283.22,158.49,112.60,110.96,241.64,216.26,97.17,197.13,280.56,10.97,106.98,238.74,205.62,131.52,73.56,245.40,23.73,80.81,87.83,179.32,251.13,282.29,145.40,172.71,39.87,265.52,243.96,223.84,281.65,276.66,98.33,111.98,25.96, ,113.78,137.71,35.69,125.53,78.69,256.70,44.82,170.18,84.35,115.51,56.08,210.59,269.21,223.27,158.61,49.64,200.62, ,236.31,241.18,199.33,276.99,290.95,274.16,201.72,298.13, ,169.01,215.97,178.90,229.47,255.29,9.90,166.46,92.22, ,112.52,12.85,290.40,206.89,186.42,13.15,244.26,53.56, ,191.77,173.03,206.91,100.36,284.23,42.37,253.92,188.97,121.95,130.75,185.37
12.17,108.46,238.24,250.29,260.09,98.15,263.31, ,63.66,245.68, ,22.13,73.34,124.74,189.58,21.03,50.80,68.92,229.93,85.55,235.91,22.28,178.77,39.12,49.25,85.89, ,108.02,298.59,188.88,208.71,214.90,195.17,52.58,178.05,139.98,295.65,80.55,64.40,68.83,115.39,290.51,255.08,259.27,117.65,147.53,292.52,10.01,10.55,242.12,122.34,246.87, ,27.42,32.14,216.53,208.94,227.26,201.44,63.34,143.44,2.63,204.01,179.81,75.62,33.82,64.75,211.08,83.66,30.44,32.05,52.55,193.32,45.07,5.59, , ,19.89,18.83,17.57,15.59,141.05,57.41,165.33,88.53,206.99,64.79,65.93,180.04, , ,54.02,33.51,251.76,256.38, ,273.95,292.88,10.28,124.55,207.62,4.61,0.03
221.40,189.50,119.12, ,44.22,238.61,206.66,131.13, ,108.42,30.19,204.14,143.59,256.54,121.74,207.82,84.72,60.85,167.96,122.99,224.19,242.44,232.43,133.05,293.76,232.47,42.76,64.41,165.31,237.56,282.10,108.81, ,169.66, ,49.63,146.40,189.80,275.74,221.64,217.70,50.25,239.35,286.78,279.35, ,216.91,6.81,247.95,36.90,114.67,167.24,25.86,168.50,116.80,36.34,208.42,275.83,191.09,45.38,48.19,219.56,36.60,27.40,300.00,102.16,243.76,93.37,110.47,84.31,252.59,152.85,72.39,219.61, ,264.99,245.71,77.89,199.06,238.21,4.25,285.77,246.26,212.29,65.64,0.19,126.75,145.76,193.23,207.38,171.95,15.04,34.83,28.47,97.18,117.50,269.18,220.34,58.45,131.32, ,131.51,133.55
262.75,145.58,28.70,109.14,17.33,235.91,255.26,207.43,287.31,191.12,229.19,149.03, ,273.12,69.38,202.16,52.86,167.30,52.19,99.19,186.92,189.18,281.24,204.59,46.29,94.30,142.64,285.91,138.73,273.08,49.15,229.84,198.73,92.06,266.74,204.18,217.23,150.82,152.34,101.65,268.86,35.50,96.80,15.96, ,289.04,29.59, ,131.60,170.64,13.92,114.91,291.03,11.45,230.60,197.27, ,166.13,97.92,25.00,293.58,99.77,104.18,146.90,260.96,48.31,223.82,299.53,176.71,153.36,262.26,215.84,79.56,222.70,59.59, ,53.17,96.58,12.41,182.68, ,92.59,71.53,124.07,158.32,102.73,19.35,28.82,59.49,17.16,285.86,229.89,129.91,79.24,150.53,48.38,192.10,278.99,157.38,34.70,103.84, , 
202.41,58.39,164.58,244.10,152.28,133.10, ,212.34,162.64, ,203.24,37.25,73.25,285.29,210.32, ,237.70,147.78,270.71,158.48,53.79, ,227.78,180.73,54.35,102.52,224.91,81.50,187.99,156.79,262.69, ,208.06,174.73,298.71,165.52,191.69,166.10,147.09,270.96,62.46,189.49,224.50, ,186.66,270.57,256.52,110.57,141.33,93.65,114.09,62.69, ,282.00,221.01,145.47,216.05,191.56,242.26,0.80,2.73,28.67,40.55,156.75,103.26,53.13,86.21, ,57.48, ,194.85,174.19,236.00,248.26,195.79,243.63,248.61,280.62,292.54,239.21,280.65,121.42,42.89,26.00,265.12,151.11, , , ,129.05,148.55,11.33,200.24,287.68,188.53,139.14,204.16,190.36,109.86,289.52, ,95.52,99.16
