Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86
85.99,297.38,98.55,111.24,287.22,263.50,125.37, ,15.43,70.65,290.70,200.91,219.05,90.87,63.49,262.03,127.65,177.45, ,149.55,158.68,171.26,283.40,7.66,12.06,218.48,207.37,234.69,188.32,62.98,151.21,247.49,232.28,208.73,151.24,218.25,195.05, ,178.45,139.76,98.21,244.77,263.80,66.66,102.36,298.90,5.60,35.31,35.81,245.61,36.63,123.71,198.95,178.66,299.36,103.69, ,48.46,38.65,296.21,64.86,273.46,156.20, ,193.08,73.38,18.26, ,141.96,41.53,35.23, ,53.64,152.11,271.07,167.14,77.87, ,228.47,151.11,192.15,277.75,112.48,23.20,259.03,79.07
220.34,119.50,167.94,127.00,13.19,163.57,286.53,245.19,120.44,299.67,135.40,17.53,93.87,170.38,205.90,53.48,63.75,101.14,215.09,228.13, ,91.70,123.32,120.24,217.41,37.99,51.94,247.53,109.29,170.20,194.18,215.68, ,88.65,115.10,49.69,232.02,134.93,9.81,227.30,149.33,86.12,195.78,26.86,210.83,65.80,209.31,288.70,68.85,51.29,81.10,227.19, ,62.12,297.28,47.48,143.36,131.53,87.10,249.54, ,264.67,216.92,233.94,103.72,282.98,186.75,256.00,77.20,176.05,240.75,244.86,13.44,117.69,223.28,185.67,194.65,254.47, ,188.41,128.04,0.18, ,64.26,191.88,182.52
 , ,238.02, ,251.46,227.12,43.17,73.25, ,223.59,284.09,92.02,75.94,1.47, ,65.74,253.05,180.56,246.03, ,229.74,210.46,40.38,92.79,171.29,190.77,245.55,42.78,176.15,20.79, ,81.96,175.75,150.55,55.99,60.13,26.32, ,75.94,23.50, ,194.79,122.81,156.20,32.45,173.82,214.56,28.89,294.80,31.53,260.94,241.94,102.52,194.48,44.20,51.47,40.30,123.58,235.92,160.79,173.56, ,88.12,148.43,80.86, ,226.21,203.69, ,6.21,229.57,180.60,85.65,78.13, ,241.24,196.90,236.19,136.65,158.58,204.17,3.56,59.40,271.25,97.92,269.30
235.91,114.92,89.13,51.87,125.56,88.85,95.14,92.92,80.78,154.50,194.73,242.19,87.83,217.21,219.78,120.08,189.99, ,279.12,181.29,269.01,189.00,269.55,84.40,294.82,55.84,230.63,221.95,1.74,101.97,55.17,7.56, , ,40.29,86.01,257.74,95.99,46.50,60.77,266.87,166.80,35.35,236.61,282.18,92.70,125.84,72.63,58.74,75.96,108.70, ,66.44,116.60,263.50,273.94,149.01,261.19,64.88,108.34,40.80,114.89,172.52,197.59,21.50,81.89,257.40,141.14,160.87, ,124.37,210.94,288.88,179.96,5.35,268.94, ,15.62, ,188.14, ,194.06, ,275.95, ,219.82
131.84,46.07,205.05, ,123.82, ,3.77,225.59, , ,221.72,95.54,208.13,27.98,27.40,78.14, ,297.96,118.45, ,187.30,294.95,107.51,87.33,205.20,53.63,266.04, ,61.59,137.67,29.39,289.71,18.00,194.59,27.23,94.60,200.34, ,67.42,0.95,297.08,167.66,115.71,26.07,195.29,182.93, , , ,264.85,111.61,156.75,172.48,275.07,29.65,140.24,107.20,212.53,162.64,129.06,289.31,191.64,57.25,73.65,196.55,20.83,197.94,147.00,128.94,143.24,228.32,74.03,278.46,48.87,249.81,137.44,52.24, ,109.49,29.57,274.87,10.36,266.01,130.04,16.88,179.68
180.43, ,215.95,236.06,282.71,142.74,124.99,149.22,4.47,110.47,202.40, ,185.43,192.30,180.98,267.57,84.64,223.81,63.95,270.20,48.13,171.51,281.06,17.49,70.96,172.44,147.42,69.30,195.54,48.31, ,15.88, , ,60.99,227.84,259.76,174.55,128.11,96.89, ,158.86,5.33,30.50,82.29,185.59,61.41,54.34,249.78,187.60,252.51,41.51, ,298.11,252.74,296.30,20.82,208.49, ,239.80,214.69, , ,299.91,34.18,110.27, , , ,198.29,139.14,11.94,230.70, ,227.00,284.30, ,270.67,162.60,260.25,104.22, ,282.31,238.84,78.69,90.44
82.90,15.47,277.41,290.82, ,217.82,100.50,179.20,247.00,58.70,226.48,267.79,145.23,49.91,141.20,28.25,17.42,33.00,271.13,68.35,1.92,169.61,187.61,173.58, ,232.29, , ,9.65,240.43,178.05,213.36,206.48,129.98,263.88,171.33,275.86,151.52,254.15,149.63,127.52,93.56,26.10,155.02,238.77,107.90,273.69,229.38,252.15,80.37,266.87,65.62,36.25, ,290.40,54.40,298.61,86.92,64.73,213.44,136.32,208.38,282.58,182.52, , ,243.13,208.76,163.44,231.07,56.25,251.67,214.83,149.28,8.70,199.30,14.50,231.04,288.76,152.52,76.38,113.16,132.12,214.33,173.41,76.14
66.88,40.31,278.10,283.45,103.61,208.95,218.36,40.99,53.61,78.40, ,191.56,59.94,63.81,86.88,131.65,276.09, , ,137.56, ,124.36,124.00,168.16,173.29,249.48,102.65,56.88,219.44,90.42,270.17,219.79,277.57,155.48,293.18,274.60,54.53,289.67,132.27,220.90,66.98, ,169.63, ,200.10,195.70,250.60,136.45,45.27,106.73,251.06,14.04, ,68.57,29.20,156.90, ,162.47,38.38,123.63,84.27,54.33,14.26, ,150.71,191.12,282.05,215.79,105.91,121.48,166.08,121.59,37.70,185.45,27.96, ,264.60,139.08,44.62,23.85,4.05,81.59,181.23,184.58,279.38,84.67
192.12,275.45,273.05,100.55,292.99,80.10,145.58,276.51,72.53,80.68,199.54,45.37,35.74,43.96,255.98,168.99,63.97,63.19,109.47,1.78,244.68,60.05,1.07,280.46,36.93,150.19,223.42,17.24,125.51,274.28,189.83,229.58,287.70,290.83,156.52,199.63,74.50,191.46,296.25,149.18,233.06,269.65,194.94,115.64,48.10,101.94,233.18,191.73, ,182.56,180.81,217.69,249.68,173.47,173.62,174.44,278.45,176.45,68.75,250.57,211.45,191.13,273.67,41.11,246.94,212.60, , ,109.77,7.66,73.78,28.63,88.08,122.03,142.01,127.88,279.98,133.06,188.71,93.77,1.28,153.49,168.47,44.17,0.86,261.48
233.11,22.86,297.19,285.73,35.67,231.79,152.94,186.77,171.58,271.47,21.26, ,189.73,130.90,78.14,129.45,115.84,175.64,116.75,122.76,56.20,187.75,89.31,258.63, ,239.17,297.02,227.38,150.16,214.66,82.81,147.58,213.22,111.22,83.89,173.00,187.95,227.60,198.69,218.44,4.37,132.08,118.04,85.15, ,299.81,146.94,133.91,10.41,193.75,184.94,233.66,213.45,152.39,241.72,91.70,36.96,103.46,67.35,123.51,227.06,21.89, , ,156.54,256.84,291.57,75.79,66.57,268.27,162.51,251.56, ,288.52,284.84,270.87,150.39,74.83,28.32,194.21,5.38,140.96,116.71,131.46,49.31,10.21
283.21,219.83,101.59,140.93,235.24,234.19,118.23,59.33, ,253.55,163.24, ,218.90,154.35,237.32,171.07, , ,167.75,91.70,0.13,55.76,44.43,20.99,298.97,9.20,33.86,20.07,211.47,7.92,289.34,269.48,192.78,14.68,233.18,29.86,39.01,168.67,75.58,246.10,269.97,231.39,295.16, ,206.63, ,272.45,69.54,40.18, ,54.87,16.53,52.71,200.25,118.51,213.91,229.78,278.15,219.85,180.24,98.36,61.75,59.32,292.19, ,254.51,36.58,101.14,30.07, ,168.41,81.76,177.67,70.78,196.63,137.79,161.95, ,223.70,223.07,150.99,146.95,8.93,82.86,81.35, 
179.43,30.54,63.66,272.74,64.02,125.08,246.24,137.97,210.73,33.05,147.76,222.91,266.31,36.12,187.79,237.43,130.38, ,194.04,1.15,240.20,153.56, ,140.58,226.75,276.76,127.28,217.18,77.78,156.63,259.86, ,197.29,93.32,140.06,41.44,15.84,11.74,123.66,9.98,55.25,80.41,188.56,232.23, ,115.72,96.59,139.80, ,251.45,138.12,140.22,232.71,161.21,25.45,72.95,88.52,96.71,143.25,73.85,224.02,191.20,153.15,159.21,239.65,65.54,202.16,257.34,61.81,79.31,103.42,122.68,280.46,60.87,204.66,199.20,191.28,148.09,57.19,257.11,117.95, ,20.11,31.94,290.21, 
77.47,86.55,145.85, , ,190.73,41.45,152.88,180.34,277.16, ,234.27,126.22,8.97,185.33,1.30,191.40,253.01,22.14,291.16, ,197.88,296.88,69.82,172.07,150.73,187.69, ,122.06, ,131.02,225.75,132.83,63.33,54.30,90.56,199.80,180.14,159.61,37.01,26.78,179.60,58.31,36.49,189.35,182.25,153.23,192.31,209.29,54.49,164.28,171.04,24.77,161.76,228.20,113.82,107.85,132.48,60.71,7.98,190.67, ,43.91,162.75,207.52,84.46,282.68,42.15,254.29,208.51, ,107.28,276.52,245.91,81.28,277.97,256.69,279.48,212.56,89.88,185.22,26.99,190.95,98.48,210.80, 
