Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104
69.89,8.67,57.88,54.47,291.02, ,69.57,58.64,213.34,232.33,296.93,87.44,293.65,37.23,202.58,225.82,188.48,0.45,213.15,24.53,86.61,165.98,41.78,34.92,171.11,88.89,63.66,288.91,189.34, ,91.92,218.76,33.20,84.14,287.18,27.79,266.34,76.10,178.29,157.43,171.82,222.31,188.34,28.77,287.99,238.58,199.62,163.61,231.36,236.07,127.48,128.66,100.38,216.35,205.47,112.09, ,34.40,86.80,145.92,121.02,271.03,100.44,64.54,59.73, ,278.27,233.20,233.60,11.69,12.25,223.73,294.46,158.74,209.00, ,241.45,158.35,13.74,40.84,292.05,90.57,78.84,194.58, ,228.16,13.90,114.62,64.76,59.82,220.69,215.27,210.27, ,122.74, ,163.58,287.42, ,248.81,141.00, ,4.94,126.21
11.97,256.46,49.91, ,270.60,215.49,195.37,185.39,285.38,181.69,168.18,16.13,188.82, ,117.57,31.94,180.91,184.62,120.63,153.66,205.13,36.35,34.13,239.33,265.30,233.93,288.26,86.90,268.59,65.63,106.09,29.95,141.47,124.37,149.10,82.96,116.79,108.17,99.23,203.15,167.58,135.30,216.84,261.09,166.22,271.59,124.27,259.32,216.10,227.85,61.72,119.42, ,227.58,229.34,232.58,142.66,129.17,286.50,259.59,217.59,143.52,110.58,149.22,61.15,4.16,294.64,245.77,145.08,202.57,148.43,68.29,204.81,289.59,248.83,63.24,235.48,56.32,51.80,122.38,138.46,239.31,141.51,6.24,58.43,61.00,43.97,197.96, ,187.55,275.58,203.33,72.21,198.32, ,103.86,274.84,67.18,75.42,99.22, ,157.66,256.28,34.45
262.48,112.32,123.32,286.76,229.89,136.72,177.24,232.07,273.45,185.07,249.82,286.82,289.03,21.97,208.99,30.88,39.65,21.50,231.09, ,160.98,26.34,244.46, ,62.35,95.64,185.98, ,172.80,30.20,98.91,226.27,6.38,194.97,119.23,80.67,247.55,194.71,230.82,298.84,201.52,247.71,183.22,190.10,70.11,73.29,195.80,24.34,97.29,51.76,277.25,44.01,74.07,198.69,77.90,156.96,194.77,128.35,97.84, ,167.94,207.29,134.56,61.29,4.14,88.50,257.85,264.67,294.99,81.34, ,278.87,260.71,261.50,251.62,107.52,227.28,292.91,180.83,25.53,203.89, ,124.56,226.98,146.63,292.63,221.85,206.84,234.63,40.19,32.10,131.22,26.81,110.63,58.33,16.59,214.27,281.96, , ,128.06,130.92,61.29,94.60
131.45,48.61,52.93,271.16,198.43,61.65,289.02,19.44,95.87,28.32,272.54,286.78,148.34,221.28,170.46,177.76,45.12, ,98.05,144.69,205.52,43.85,131.68,234.02, ,167.73,37.54,180.62,240.87,142.02,238.59, ,116.36,223.16,187.93,49.82,3.41,175.28,169.92,211.08,144.23,271.66,208.32,190.45,52.80,74.66,158.00,92.98,101.54,17.09,37.35,22.08,22.25,88.01,204.32,296.10,169.88,58.39,79.69,10.85,168.25,47.43,172.66,0.61,156.56,263.66,84.62,234.66,183.11,299.03,21.77, ,191.65,194.38,42.58,280.71,11.47,222.50,238.88,38.34,219.48,176.74,140.66,48.04,45.60,246.55,92.48,269.02,204.57,253.99,6.62,122.21, , ,55.82,107.62,152.88, ,29.62,290.86,188.52,237.70,184.94,51.72
39.75,31.19,289.84,209.78,100.54,225.46,283.69, ,77.84, ,228.05,120.43,239.86,157.29,268.18,248.29,168.86,55.76,191.20,178.39,270.14,28.84,124.18,60.85,90.37,57.00,126.74,237.33, ,94.62,154.56,192.45,5.72,230.21,71.69, ,172.66,63.09,141.54,214.03,264.31,281.38,22.83,198.73,174.72,54.78,239.66,11.33,197.36,44.33,263.52,187.29,266.09,37.68,137.64,10.03,256.12,123.25,99.53,239.11,107.08,93.13,185.52, ,82.88,205.18,259.80,73.29,191.42, , ,161.30,9.09,41.50,86.50,100.02,259.56,215.56,167.39,138.96,123.15,268.14,107.85,253.66,23.92,204.80,144.13,242.96,29.36,153.71,4.92,224.34,28.00, ,195.39,56.89,225.33,135.38,86.57,207.32, ,52.39,244.83,238.61
49.75,172.26,83.82,157.19,141.66,148.05,80.58,116.47,175.57,83.21,181.78,36.54,233.78,21.99,285.46, ,35.21,238.66,12.38, ,20.54,281.05,17.09,118.82,9.47,228.77,123.62,239.21, ,172.99,282.02,234.56,117.99,171.18,208.44, ,4.30, ,285.35,147.08,191.52,56.45,209.41,9.53,88.34, ,261.33,261.99, ,204.61,23.12,187.57,259.35,235.86,190.05,236.15,268.20,17.77,13.58,173.78,247.12,192.79,223.46, ,236.39,93.70,88.05,254.88,128.84,255.47,204.99,228.44,144.88,259.89,69.69,43.31,134.18, ,61.28,297.17,165.28,44.07,150.16,187.47,42.39,125.24,107.40, ,49.52,19.24,16.33,196.47,181.74,65.07,91.94,164.51,159.24,86.37,76.77,279.31,42.31,71.78,289.12,40.13
220.50,48.05, ,244.52,30.05,61.55, ,55.51,109.42,288.50,6.59,195.72,11.80,167.62,15.03,157.28,195.38,114.53,14.62,187.96,292.88,72.65,230.25,252.15,42.92,235.47,5.91,35.41,69.22,101.29, ,258.57,255.15,253.94,50.98,86.54,209.66,134.72, ,262.88,219.60,292.72, , , ,90.72,55.47,117.65, ,76.22,8.67,233.07,163.56,293.79,59.51,60.35,123.39,211.51,29.03,198.04,202.87,175.06,239.76,36.87,222.33,58.61,225.67, ,89.22,132.04,201.05,75.20,198.89,272.00,127.45,139.91,79.10,86.85,263.96, , ,177.98,102.05, ,93.74, ,235.27,178.01,154.76,196.81,51.64, ,179.09,135.43,124.13,177.73,123.59,157.63, ,5.90,120.35,62.82,243.00,146.83
134.42,74.22,55.24,200.03, ,245.06,95.83,45.81, ,169.40,49.26,118.32,5.52,135.00,6.24,66.44, ,200.86,273.23, ,99.09,260.65,77.16,199.88, , ,37.98,280.39,98.47,142.39,37.38,172.33, ,238.77,254.39, ,227.61, ,26.71,221.92,280.97,30.63,261.38,165.29,184.46,121.88, ,225.87,72.30,64.18,36.98,82.07,12.26,248.32,36.39,195.45,133.10,197.76,225.57,125.71,286.29,70.87,173.16,290.02,94.94,73.14,15.10,8.53,164.89,0.88,108.97,68.41,160.52,202.49,68.00,35.09,106.45,23.76,102.69,225.06,67.99, ,83.09,38.08,18.29,111.32,103.89,287.97,168.18,248.45,22.14,289.36,83.11,100.18,198.01,287.77,181.95,125.19,139.38,75.48,158.19,77.24,194.45,8.04
19.35,16.90, ,6.27,16.25,218.09,299.59,66.73,214.01,220.43,192.09,254.53,241.88,127.00,35.78,211.99,211.55,115.31,101.63,70.95,223.16,196.85,21.09,17.99,16.29,114.15,22.11,258.13,210.01,167.94,277.34,44.19, ,159.51,50.05,212.87,204.24,64.78,223.00,144.99,44.65, ,253.03,40.93,69.49,296.29,196.72,17.36,162.52,100.42,15.83, ,183.76,119.22,112.75,276.90,200.33,41.13, ,146.63,185.74,164.44,153.55,155.66,2.08, ,102.50,152.52,239.94,169.75,284.83,101.39, ,1.72,281.36,257.86,87.81,44.12,25.64,13.42,68.59,199.48,117.99,57.81,162.05,171.75,78.92,22.60, , ,23.93,198.62,203.83,125.40,238.68, ,252.10,214.21,231.81,85.59, ,87.58,271.40, 
50.32,259.79,208.05,114.90,182.73,187.72,222.09,107.84,281.30,105.45,27.53,15.01,191.19, ,207.16,160.02,214.04,104.14,181.64,119.91,270.99,53.25,138.68,247.99,170.21,17.25,35.45,80.74,245.70,49.26,136.78,297.22,182.88,55.84,189.61,230.05,92.34,0.76,172.21,142.83,256.67,108.15,214.60,140.69,161.95,13.17,99.22,49.56, ,105.39,1.36,276.67,73.48,162.72,132.18,147.34,68.13, ,60.25,171.65,82.31,90.88,32.34,105.86,172.20,187.29,218.96, ,80.92,155.45,246.41,55.10,162.23,101.17,183.48,16.65,105.49,175.30,82.58,6.84,237.61,51.76,143.40,51.92,162.09,167.95,195.00,202.25,46.27,202.22, ,218.87,132.09,189.48,51.70,39.90,192.49,267.94,107.74,100.84,50.21,200.00,203.21,60.97
