Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87
266.62,271.15,66.51,287.18,256.12,104.35,271.50,181.93,210.29,142.04,281.74,201.06,53.36,175.01,153.88,209.36,218.47,56.57,174.79,203.31,78.82,268.22,66.07,182.39,76.49,126.27,29.12,244.80,251.47,153.27,180.88,225.85,243.14, ,117.93,287.64,105.00,217.06,61.36,37.71, ,62.14,201.93,191.31,173.75,266.53,248.14,89.64,246.76,156.41,150.71, ,99.55,14.03,142.90,83.83,113.11,242.76,129.45,168.42,207.76,242.71,259.34,24.42,36.88,289.73,207.90,86.71,159.89,24.07,176.13,183.41,35.42,266.35,160.18, ,67.94,83.76,105.31,27.13,210.77,228.37,292.23,65.46,260.58,23.76,42.33
146.78,167.08,297.91,133.12,173.01,278.65,203.78, ,230.92,41.42,250.97, ,51.65,7.15,251.83,275.60,162.56,25.72,95.32,61.59,156.31,129.51,191.38,218.92,264.21,63.46,192.48,286.92,169.26,256.37,24.98,115.24,54.34,217.19,164.60,78.11, ,207.62,104.76,74.79,205.13,190.25,208.79,171.50,143.14,109.30,190.56,79.47,95.60,295.29,85.03,23.37, ,230.99,292.21,36.62, , ,9.26,261.72,133.11,126.27,223.95,189.25, ,267.36,90.41,6.08,236.73,281.39,260.45,116.40,279.83,209.39, ,171.00,227.79,109.13,2.80,144.57,298.29,159.41,104.94,65.17,58.79,261.78,55.07
299.37,184.82,96.81,179.43,212.07,271.92,161.29,54.28,166.78, , ,111.66,148.26,105.73,271.46,90.02,272.49,213.95,24.16,74.90,278.58, ,250.50,172.11,62.44,92.01,198.37,226.67,266.46,129.44,74.96,263.52,169.44,15.45,77.07,101.65,4.79,291.48,96.78,180.52, ,272.53,239.93,200.89,57.18,93.09,79.36,194.21,159.47,196.30,24.18,287.88,227.30,296.33,173.27,63.11,201.48,6.72,126.36,105.06,212.01,114.23, , , ,47.65,68.52,279.74, ,284.59,298.23,100.93,140.84,204.00,199.67,183.73,118.32,209.58,186.93,21.70,32.26,122.75,262.44,267.56,278.37,171.81, 
 ,148.11,136.78,116.22,262.81,62.48,288.74,111.47,295.89, ,28.15,73.53,289.52,283.52,108.52,114.80,168.74,233.22,224.31,58.86,248.14,23.25,47.55,140.74,291.20,173.99,0.99,35.31,77.67,233.50,254.51,271.31,135.83,65.89,189.86,20.90,183.56,167.27,39.46,154.32,281.93,50.00,275.83,273.42,104.14,239.69,255.21, ,91.04,247.79,5.39,172.09,256.10,10.66,255.70,41.52,0.60,36.36,45.65,256.94,225.82,38.85,119.06,166.37,65.38,61.29,186.70,214.16,149.61,29.99,243.49, ,244.10,128.04,186.99,184.55,175.53, ,160.00,274.84,77.57,140.53,110.99,72.24,170.02, ,200.01
193.45,118.84,112.84,65.16,196.59,285.97,298.11,232.12,285.80,243.15,99.02,137.00,154.25,296.26, ,196.27,5.55,222.11,280.63,208.26,65.58,266.43,156.08,69.82,263.18,264.81,127.34,126.20,201.08,249.85,100.44,80.46,13.90,249.10,171.56,274.98,15.32,74.84,218.80,193.06,172.99,171.18,204.70,253.92,285.71, ,86.15,163.41,63.79,141.24,37.55,33.30,13.92, ,185.32,194.20,75.49,236.26,67.52, ,21.44,229.74,29.68,275.09,208.04,59.08,97.20,47.88,71.32,105.22,247.12,15.06,74.21,261.75,149.77,264.91,49.43,96.41,210.55,272.22,110.39,167.87,127.93,38.10,277.54,20.11,142.04
250.16,117.43,237.13,14.62,138.41,96.70,143.17,6.32,125.85,146.69,24.31,209.47,173.87,205.72,111.67,229.17,264.02, ,201.15,288.37,152.21,199.90,195.59,93.35,33.00,157.67,234.38,236.19,6.16, ,200.15,250.27,296.71,175.91,115.44,258.83,41.92,118.53,206.84,222.31,58.68,75.50,66.75,21.59,213.95,266.04,79.67,243.41,130.60,46.84,9.04, ,50.96,283.20,223.77,102.22,67.57, ,152.97,124.88,64.88,19.36,152.92,247.23,175.42,215.66,23.86,227.94, ,244.86,155.58,180.62,10.22,192.39,101.17,52.19,258.62,295.10, ,94.14, ,269.56, ,191.83,180.64,226.98,64.63
11.88,279.33,243.48,162.06,28.69,222.99,14.42,299.53, ,93.66,298.21,255.30,255.05,134.78,220.72,139.44,2.96, ,272.63,226.29,186.97,190.49, ,204.91,258.94,81.90,149.57, ,104.87,70.88,169.05, ,160.13,38.77,57.84,135.72,263.82,260.99,160.90,178.22,194.91,274.67,189.77,56.93,229.12,76.47,260.24,47.08,207.30,283.46,123.38,39.15,89.59,6.01,71.09,16.30,21.39,242.81,115.22,216.75,90.94,72.08,215.37, ,122.67,155.01,28.38, ,115.58,127.09,14.27,5.82,164.18,21.55,238.36,106.74,181.11,148.32,248.86, ,120.41,277.35,274.17,249.62,121.30,228.21,27.66
248.71,290.56,79.78, ,216.55,69.38,101.97,50.86,281.40,171.25,100.55,141.94,96.29,227.57,171.26,137.36, ,195.59,95.08,85.77,191.92,78.74,92.03,40.44,277.84,14.11,264.19,287.55,257.07,298.03,101.87,204.12,287.66,87.73,75.08,92.10,163.56,256.60,167.27, ,145.12,112.55,124.88,278.28,230.41,193.37,10.76, ,110.28,1.01,132.28, ,224.38,235.07,299.70,262.48,289.10,157.42,98.33,74.98,177.64,285.51,2.56, ,203.86,182.41,4.57,280.95,239.07,11.15,23.75, ,20.49,104.36,292.55,160.20,279.31,72.93,108.85,261.08,279.35,124.14,72.21, ,148.29,189.22, 
 ,61.24,233.45,213.30,244.70,271.56,95.30,85.16,118.25,21.20, , ,184.12,161.04,189.37,100.85,168.77,291.55,21.97, ,235.27,126.85, ,139.08,17.32,206.69,84.90,195.53,16.72,249.11,102.60,187.09,217.07,116.48, ,138.45,168.01,169.99, ,177.91, ,195.22, ,30.78,106.12,67.99,5.97,0.60, , ,12.01,243.55,281.28,266.94,97.42,284.90,165.64,226.22,58.03,15.42,127.49,15.13,244.39,212.58,129.66,132.68, ,76.23,122.09,237.11, ,277.76,195.34, , ,280.59,105.97,231.53,117.55,128.95,267.75,6.93,109.69,239.09,215.84,72.59,146.36
24.54, , ,267.52,41.45,158.89,244.11,80.89,37.07, ,4.82,130.53,61.06, ,11.56, ,84.15, ,93.74,221.04,51.88,41.38,136.66,240.76,290.68,142.44,231.50,32.58,96.58,243.93,176.13,252.70, ,60.15,133.39,144.67,244.03, ,37.37,100.25,250.66,299.79,118.68, ,151.26,155.72,58.09, ,13.59,288.90,235.28,186.62,57.19,71.47,245.20,260.31,86.97, ,86.76,255.05,63.20,132.22,92.38,141.35, ,16.48,257.14,155.99,79.20,188.98, , ,259.51,179.62,174.87,133.24,271.04,242.14,283.52,169.73,2.41,77.73,67.78,270.66,178.62,136.96,200.53
