Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55
102.31,124.70, ,176.98,68.74, ,144.25,244.56,197.54,193.38,217.30,82.33,77.63, ,267.38,208.69,85.66,9.25,85.24,153.63,128.65,251.38,66.62,41.28,60.69,121.61,12.24,185.75,68.71,176.40,150.04,243.03,45.63, ,130.86,156.73,187.71,44.46, ,207.60,73.95,120.64,71.72,186.64,259.24,26.29,291.44,220.73,112.03,186.74,97.22, ,190.30,50.95,117.94
142.36,270.62,264.29,182.37,52.80, ,8.16, ,299.60,112.78,154.49, ,269.62,66.61,66.65,292.42,18.06, ,161.71,254.42,25.88,223.16,276.63,86.84,171.61,185.21,20.50, ,141.31,239.88,250.79,108.04,7.94,132.31,287.81,106.13,17.89,36.97,219.54,183.41,188.15,247.50, ,287.20,131.65,175.94,247.31,147.61,190.41,22.83,261.53,148.25,32.74,112.30,10.71
12.72,16.98,20.51,272.89,125.57,1.51,251.54,291.72, ,265.44,116.51,179.75,2.29,55.92,41.79, ,54.51, ,37.06,149.91,167.85,114.50,277.00,123.62,250.33,235.37,130.59,142.73,16.63, ,72.55,264.62,203.03,278.80,56.19, ,66.15,288.83,178.87,139.26,126.81,268.19,5.35,114.05, ,130.68,31.94,252.71,42.40,15.69,19.17,160.15,138.03,21.35,45.81
157.93,114.00,16.49,252.86,290.22, ,120.90,256.33,46.73,66.53,268.58,221.64,247.88,178.49,275.52,160.62,55.10,76.70,225.41,255.48,243.09,265.05,150.45,88.12,174.27,99.65,242.38,183.30,275.46,5.07,258.95,213.68,74.61,16.66,243.24,40.69,28.56,250.33,227.12,76.18,193.11,244.23,197.14, ,172.60,30.83,148.26,37.25,271.13,178.97,270.87,11.83, ,17.57,58.68
145.98,46.07,10.70,174.58,117.83,80.43,231.16,155.40,241.25,98.81,196.68,239.74,81.79,227.47,204.47,44.04,121.01,89.54,80.42,39.54,164.45,205.38,23.98,223.30,78.50,234.10,92.06,22.98,270.79, ,175.25,17.24,57.61,15.24,187.77,228.86,143.82,72.81,162.73,130.69,272.14,276.89,128.85,116.77,123.94,15.90, ,73.50,232.97,136.31,191.68,56.15,213.72,13.32, 
51.35, ,23.49,20.03,31.32,20.98,107.56,80.95,220.79,110.92,125.32, ,119.79,84.50,206.47,19.56, ,199.52,291.43,175.80,15.62,234.68,101.49,200.63,144.81,56.43,64.89,126.34,1.54,212.14,286.60,155.39,50.93,194.58,270.27,224.00,188.37,22.50,200.91,172.30,44.55,1.45,110.47, ,112.01, ,247.85,198.91,26.52,158.15,292.20,291.49, ,179.86,136.82
275.79,42.01,104.50,22.97, , ,151.01,58.68,141.06,199.13,279.74, ,200.84,230.88,57.38,72.19,182.02,108.05,283.91,46.47,152.53,35.84,111.41,61.97,70.12,10.76,294.93, ,195.77, ,88.10, ,160.29,274.97,163.39,274.73,62.07,92.23,24.84,35.05,265.66,55.57,41.74,28.33,25.97,107.79,90.39,255.64, ,254.48,30.59,194.59,204.56,141.91,138.58
100.31,31.83, ,265.22,246.85,255.57,47.03,167.75, ,123.39,152.01, ,182.60,118.23,124.91,74.19,70.55,290.49,172.20,271.88,179.83,130.98,191.54,198.76,15.44,182.67,35.58,242.84, ,61.07,5.80,224.66,63.59,186.46,237.23,178.90,280.56,205.63,289.16,14.73,99.08,231.12,233.88,61.13,72.54,2.53,115.25, , ,292.21,85.86,261.50,4.09,62.38,58.02
293.37, ,92.45,31.10,204.93,271.87,295.29,59.53,82.68,197.96,185.30,263.48,49.85,97.98,274.51,200.79,285.42,193.79,94.81,262.84,226.49,293.01,183.95,67.97,79.82,279.77,195.53,214.55,218.44,275.34,77.35,208.37,36.94,243.30,268.46,96.22,244.90,235.17,248.50,95.49, ,75.25,164.59,208.00,236.94,85.32,297.88,38.26,298.38,3.95,108.87,226.35,155.00,238.98,264.08
79.34, ,154.59, ,173.09,185.74,114.37,239.92,232.50,172.91,118.59,61.02, ,287.38,241.95,170.26,267.03, ,259.44,159.73,99.32,139.13,142.86,256.13,65.76,60.97,119.52,115.54,107.02,167.92,144.45,208.57,137.91,75.40,44.50,42.63, ,181.76, ,135.26, ,201.02,254.57, ,134.13,273.69,157.73,279.45,12.49,72.44,208.97,247.74,82.96,97.28,172.13
161.73,11.17,208.41, ,48.10,144.03,51.65,161.06,64.64,205.75,235.68,161.62,3.88,166.47,166.38,79.12,149.70,82.17,144.37,212.46,133.60,294.66,63.12,252.51, ,117.40,260.96,118.49,157.55,174.54,102.69,69.99, ,203.59,219.12,149.74,30.10,10.06, ,199.41,53.11,230.18,249.19,215.58,246.95,95.14,109.56,172.97,178.55,153.77,128.60,267.63,59.39,246.62,102.01
116.56, , ,62.41, ,155.91,278.05, ,35.02,257.66, ,245.65,263.78,8.42,133.75,199.40,27.14,154.85,7.49,117.67,173.18, ,185.82,38.55,139.92,123.10,225.80,43.23,217.20,182.27,98.41, ,218.48,4.38,163.74,1.44,98.81,162.48,60.44,85.83,162.92,77.72,85.20, ,259.05,268.38,287.46,124.07,285.27,230.35,297.70, ,279.11, ,141.59
 , ,27.50,288.00,291.72,6.95,219.08,220.38,70.76,153.93,295.52,160.11,10.33,175.61,26.41,97.75,166.48,237.24,68.06,190.04,194.14,237.76,192.98, , ,164.89,153.54,19.30,88.55, ,144.43,16.72,8.67,226.42,297.03,111.15,125.43,269.87,258.42,124.45,220.50,237.71,29.35,147.19,236.87,125.50,294.63,220.11,165.36, ,144.39,220.05,148.18, ,175.27
19.60,190.84, ,128.55, ,128.69,242.82,205.24,113.53,16.13,160.43,162.56,25.88,110.21,166.36,255.34,129.84,41.35,215.04,149.23,204.34,105.16,43.48, ,157.01,231.61,70.70,53.21,138.97,71.07,237.75,268.13,191.72,20.74,158.11,61.62,183.25,199.77, ,210.16,240.03,177.52,191.13,183.88,129.58,223.06, ,284.94,172.41, ,193.15, , ,150.66,55.30
206.06,273.21,31.62,236.66,43.91,199.75,279.78,183.06,171.70,187.78,261.55, ,212.41,222.91,291.40,199.23,225.16,289.72,194.90,220.75,52.41,62.92,165.52, ,170.19,92.51,299.47,207.74,266.47,60.82,187.30,123.72,60.02,137.85, ,9.39,141.31,147.62,128.53,148.38,183.33,269.74,8.69,265.40,290.28,207.42, ,42.28,196.74,224.61,35.81, ,190.08,105.78,51.17
50.83,111.54,208.78,291.82,64.07,118.53,10.13,116.07,151.88,41.96,79.66,76.52,75.35,202.76,275.81, ,252.09,7.79,220.04,112.45, ,289.42,128.93,293.27,84.72,60.54,46.48,201.79,88.83,67.60,187.92,154.81,283.73,188.01,272.73,51.50,190.06,251.77,224.70,100.99, ,104.01,251.11,158.55, ,196.56,235.57,183.98,69.38,202.56,277.17,269.69,115.15,92.51,79.24
267.18,111.06,284.25,67.66,8.14,249.94,129.17,197.62, ,267.00,298.42,252.05,253.88,258.25,182.79,68.84,292.35,11.07,233.32,176.57,168.80,110.76,10.95,271.12,92.12,298.98,222.30,233.64,41.32,165.78,217.06,124.12, ,135.18,117.01, ,277.83,76.68,238.14,84.86,111.72,147.38,267.53,61.73,245.87,93.07,27.16,46.26,219.55,286.45, ,282.29,24.79,209.45, 
297.08,294.34,75.24,219.50,211.41,243.94,84.28,268.93, ,8.57,261.86,147.48,21.02,111.90, ,46.26,145.17, ,251.89,71.82,178.86,284.81, , ,214.31,55.95,196.16,212.53,79.12,16.52,237.62,85.95,174.68,259.55,215.66,75.05,95.08,85.48,261.19,26.70,260.96,109.70,147.18, ,226.29,31.67,19.87,112.38,34.78,93.79,76.61,230.20,100.31,149.56, 
39.94, ,0.91,130.50,136.75,173.17,234.98,89.47,64.93,89.09,62.80,254.87,188.12,203.49,69.19,168.64,92.99,235.29,65.13,251.93,218.53,264.92,29.94,108.36,256.23,194.58,80.33,158.43,34.52,256.88,114.97,18.19,201.07,1.85,19.28,168.08,78.88, ,111.16,32.90,188.46,111.44,50.10, ,204.05,167.33,137.42,168.55,73.88,199.91,41.78,214.21,166.96,107.71, 
95.81,197.54,207.95,37.44,76.64,162.10,136.85,97.27,169.57,209.92, ,14.96,291.55,11.49,209.22,83.80,215.01,197.97,249.96,236.72,283.59,70.11,43.09,40.70,240.70, ,199.21,104.01,203.50,210.99, ,30.20,242.83,187.81,144.50,47.74, ,31.32,115.89,30.55,15.45,127.72,298.73,103.78,226.44, , ,69.29,167.63,21.14,102.91,257.35,209.67,286.45,26.03
215.75,289.36,266.27, , ,144.02,67.73,234.09, ,3.38,75.52,3.10,21.38,280.73,137.39,45.71,263.87,145.35,201.70,44.37, ,62.51, ,163.43,142.62,150.78, ,278.97,252.90,276.24, ,234.00,155.96,91.50,45.76,155.35,261.32,85.32,262.23,7.17,39.94,2.83,206.65,169.69, ,265.86, ,42.76,160.22,263.84,257.06,197.44,161.52,166.80,34.94
96.78,243.84,42.61,247.17,245.79,254.28,64.68,99.62,184.68,253.85,25.73,247.57, ,214.78,49.38,67.63,254.93,142.25,70.46,20.96,255.01,187.13, ,126.41,64.93,224.80,159.99,132.97,255.99,234.26,123.75,250.16,200.70,234.31,74.27,256.77,115.71, ,243.77,269.25,83.73,132.96,176.26,157.71,236.38,26.69,262.30,1.31,206.71,224.24,161.37,90.36,159.46,121.46,244.44
234.33,36.43,243.90,35.23,236.55, ,263.24,228.41,62.16,167.84,143.16,20.97,297.25,241.92,41.69,232.03,122.21,280.65,121.64,224.73,129.89,189.36,257.18,54.27,36.70,178.94,129.00,262.32,120.14,113.84,92.13,106.05,223.60,103.84,280.04,268.49,224.90,203.06,275.63,201.43,179.43,192.19, ,154.51,100.42,248.51,150.89,68.29,217.98,169.08,135.03, ,244.96,89.56,4.64
105.35, ,284.78,269.71,266.72,127.88,182.98,29.38,70.78,99.11,264.61,155.02, ,154.48,294.96,18.53,49.02,65.55, ,199.48,86.70, ,130.19,64.45,289.36,282.09,48.01,269.61,35.61,116.03,128.82, ,147.36,98.51,277.77, ,177.24,66.17,289.66,193.02,108.78,161.97,187.38,271.45,23.82,65.51,197.15,250.85, ,163.06,162.00,23.10,18.07,207.64,122.18
44.91, ,227.28,3.64,248.23,271.65,282.14,111.91,231.50,125.93,225.82,135.18, ,276.64,26.69,236.62,288.28,25.15,208.81,204.69,11.63,295.13,161.91,95.59,263.79,167.13,84.16,72.15,232.38,235.53,233.08,107.93,153.67,122.40,196.47,85.95,206.86,220.15,37.43,177.31,221.00,197.02, , ,42.50,39.97,276.45,286.55,263.43,87.23,240.25,183.53, ,8.86,130.28
9.00,172.45,219.83,258.98,250.48,287.52,180.86,197.26,110.26,225.26,146.35,193.93,17.48,54.88,214.29, ,223.29,28.96, ,144.86, ,95.34,132.22,178.11,133.34,112.50,200.12, ,296.38,143.55,134.27,40.21,83.59,271.84,225.68,52.58,68.51,165.87,29.50,243.87,235.29,144.24, ,235.75,115.24,117.50,55.46,169.32,99.51,75.86,291.71, , ,35.05,228.12
187.05,44.68,265.36,63.03,82.27,270.76,219.96,26.62,104.18,79.44,261.97,111.38,121.84,15.92,229.20,257.71,274.12,35.04,265.80,236.29,96.85,245.59,295.31, ,99.49, ,3.19,226.98,83.78,186.22,205.71,43.76,231.67,165.81,257.36,64.79,179.68,100.69,178.45,97.47, ,265.61,198.68,169.34,179.50,199.46,123.88,22.97,246.55,153.10,298.20,278.05,164.39, ,289.66
88.54, ,284.03,131.19,148.46, ,27.97,95.41,42.57,30.14, ,70.98,270.10,167.67,261.02,87.83,21.72,42.10,294.79,161.60,208.83, ,104.78,45.22,45.21,10.48,117.66,146.34,37.42,168.29,176.55,73.40,222.08,172.21,174.16,192.54,107.16,126.66,240.65,148.32,255.82,196.09,223.53,218.90,120.47,30.52,132.78, , ,139.34,189.79,91.59,87.59,71.26,195.79
163.13,104.94,109.54,55.63,227.27,112.03,4.28,235.57,63.93,4.63,129.92,27.57, ,115.16, ,258.61,272.53,28.63,240.71,78.51, ,5.78, ,53.53,125.82,112.20,176.47,93.02, ,120.59,143.48,16.63,194.36,19.51,29.78,256.82,175.49,39.18,224.00,234.80,148.26,11.34, ,128.17, ,139.41,34.65,187.37,29.87,52.43,97.85,146.37, ,21.86,289.34
231.82,137.94,160.05,142.30, ,270.46,268.96,280.71,92.76,54.88,249.81,172.01,189.53,102.32,241.93,291.44,153.03,149.78,2.07,226.02,131.26,160.21,173.60,236.12,170.77,75.54, ,210.74,249.64,265.70,39.67,114.06, ,299.54,39.04,122.67,106.53,222.89,32.48,98.78,224.50,223.47,293.50, ,112.72,8.53,60.61, ,174.67, ,174.21,61.37,74.66,282.35,249.33
61.07, ,29.67,17.42,270.36, , ,123.64, ,202.06,237.87,114.76,198.24,115.07,164.79,286.04,218.32,96.23,281.19,9.06,161.52,221.87,203.69,296.08,292.68,23.24,74.06,93.62,126.97,231.91,98.42,138.90,153.32,296.13,79.22,86.03,267.40,113.18,110.92,254.24, , ,34.15,240.13,252.73,22.87,20.09,291.97,143.82,127.40,27.39,160.20,12.96,150.99,127.60
196.25,203.10, ,113.98, ,237.81,179.95,95.54,252.77,209.10,185.49,228.34,101.81,135.95, , ,209.34,202.71,271.16,108.00,219.79,157.72,122.05,118.29,237.70,5.10,167.64,183.29,103.46,184.52,99.86,226.35, ,129.06, ,234.87,287.81,61.43,12.28,183.19,101.07,201.62,267.68,296.76,165.24,136.07,39.63,114.36,245.13,95.04,230.07,282.69,184.58,63.41,227.61
 ,28.68,229.04,35.19,131.61,163.54,22.23,271.47,27.66,203.30,32.49, ,62.40,62.25,290.03,143.84,72.27,246.32,100.29,174.96,212.79, ,144.62,175.43,41.51, ,244.81,86.02,261.74,153.92,95.41,149.66,61.59,110.49,61.70,89.09,9.38,297.78, ,81.13,262.59,50.03, ,167.41,275.46,250.57,153.15,273.33,285.22,224.73,42.83,6.50, ,15.88,220.88
280.30,134.34,124.64,259.01,51.78,167.55,11.73,34.09,270.26,42.92,261.62,48.01,145.14,171.16,13.74,148.42,94.04,236.92,167.13,110.77,257.08,99.85,275.24,26.51,170.83,250.68,208.07,80.51,178.63,214.23,43.71,186.40,45.40,56.44,19.24,131.44,145.53,245.12,65.22,66.28,41.06,68.50,15.65,2.33,100.68,86.65,279.20,282.14,96.38,237.14,205.79,91.94,299.87,172.09,8.69
1.14, , ,298.87,218.66,165.26,217.75, ,196.96,145.86,21.35,158.70,90.22,228.92,227.14,13.62,274.67,293.38,207.32,23.27, , ,43.56,242.22,164.73,220.45,60.74,195.02,78.78,146.72,126.77,273.67,66.09,92.39,272.75,122.49,178.01,20.49,105.18,217.05,101.89,280.50,79.30,82.07,160.76,165.78, ,139.46,68.74,220.30,60.54,250.71, ,54.87,19.59
 ,236.63,141.65,110.47,153.43,86.34,146.74,177.30,17.77,262.18,104.55,214.73,102.50,221.65, ,298.70,80.36, ,210.32, ,20.79,84.30,270.73,153.52,273.12,3.63,249.97,94.43,4.87,234.96,181.17,90.61, ,170.97, ,81.29,143.18,282.83,108.86,23.30,239.42, , ,286.29,33.19,32.59,40.24,208.37,103.02, ,158.60,19.61,251.23,214.09,100.89
162.17,164.87,293.87,74.71,147.58,270.11,7.43,268.53,216.54,78.00,291.22,85.45,7.52,128.89,90.00,63.18, ,228.05,278.11,151.43,236.92,185.14,133.71,133.76,109.85,186.69,14.91,110.82,130.81,154.63,237.49,115.61,68.65,266.38,133.00,261.79,244.08,235.14,40.24,186.47,92.59,175.46,196.45, , ,133.78, , ,72.29,260.93,238.95,187.70,45.12,141.87, 
77.01,36.66,253.44, ,26.60, ,223.05,179.23,182.27, ,253.54, ,214.47,164.24,268.03,186.90,78.05,113.93,243.06,0.96,37.34,223.11,285.44,148.04,96.48,31.77,283.84,51.78,51.49,40.09, ,226.99,230.26,250.96,46.14,86.28,138.89,165.76,11.17,86.48,108.41,207.61,100.62,286.68,230.26,39.03,54.91,86.81,69.10,70.49,139.33,57.90,182.50,216.66,235.59
69.51,119.92, ,220.55,265.58,86.15,258.51,223.19,122.74,293.63,278.84,299.84,166.77,18.11,194.72,26.02, ,70.03,258.40,238.33, ,157.81,182.79,236.38, ,59.12,34.48,293.17,219.47,10.13,146.89,92.25,126.58,39.95,7.89,245.53,112.65, ,13.10,220.36,248.81,8.59,295.69,256.32,147.69,149.18,231.99,137.47,76.31,30.62,135.47,218.44,141.62,185.73,21.32
104.20,67.30,233.27,41.00,202.05,274.69, ,206.68,71.38,77.27,227.96,34.43, ,116.13,147.11, ,168.42,57.47,175.26,71.83,211.26,140.31,236.11,33.86,192.49,40.14,4.19,19.94, ,288.56,23.59,156.62,4.09,34.34,139.84,214.48,115.86, ,215.81,109.94,254.79,54.90,272.19,263.03,97.72,280.69,211.65, ,188.52,73.68, ,213.52,177.58,243.32,210.03
165.48,108.80, ,163.70, ,222.79,286.73,266.30,272.99,83.79, ,204.25,289.33,69.30,44.93,60.11,270.95,263.88,28.04,13.33,199.36,114.53,294.67,243.89,108.04,45.89,188.31,45.91,117.49,294.43,176.13,260.83,273.79,138.02,8.86,193.56,159.29,185.81,143.14,116.05,251.54, ,139.85,187.23,229.56,11.93, ,66.48,25.67,277.52,42.09, ,235.65,174.33,80.40
86.89,144.33,161.64,179.40,118.34,18.99,69.07,139.88,97.39, ,137.66,137.01, ,152.04,51.17,59.15,54.65,41.68,184.11,205.25,204.81, ,223.80,199.21,211.38,52.12,120.18,274.27,69.52,109.23,182.03, ,13.60,90.11,89.23,258.60,37.73,18.07,87.22,67.07,0.94,94.06,34.11,79.28,53.36,100.52,92.16,182.35,126.37,161.05,246.69,210.08,283.06, ,70.28
219.35,18.66,206.28,167.40,202.96,243.48,259.22,205.26,64.11,21.71,172.07,283.26,147.39,274.78,119.96,93.26,157.28,172.60,235.60,253.68,198.69,251.65,78.91,53.25,167.93,179.60, ,162.86,159.66,6.50,250.50,28.47,208.84,162.40,76.00,226.08,101.09,166.21,202.14,12.24, ,87.20,231.06,87.63,259.13,269.27,168.67,222.81,229.67,20.88,139.21,128.14,24.36,219.98, 
243.10,198.69,82.79,65.21,211.10,141.40,297.26,297.94,258.55,247.75,177.29,160.96,277.96,124.92,134.71,82.86,103.86,211.97,105.02,68.91,5.17,145.38,246.05,20.51,299.74,226.35,118.08,277.59,2.04,25.38, ,108.24,14.64,126.52,194.81,270.20,108.87,56.31,126.56,131.80,199.37,257.50,218.15,53.98,46.86,39.57,67.27,98.16,237.61,283.19,28.39,43.35,133.91,248.55,299.30
291.63,180.42,275.07,293.95,112.76, ,152.33,252.81,22.57,237.75,17.91,275.65,113.53,105.21,61.46,212.50,57.31,22.24,86.25,0.39,233.57,0.85,265.60,86.04,288.38,235.42,93.98,277.58,23.98,120.71,148.48,227.26,144.40,212.23,70.31,45.96, ,46.81,219.40,175.83,288.86,142.99,293.61,272.73,78.04, ,163.47,55.04,109.78,40.23, ,110.54,176.05,188.43,204.21
