Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61
259.46,32.30,49.24,144.62,289.82,96.46,158.64,174.74,19.57,234.38, ,251.34, ,160.53,118.68,108.37,60.53,184.12,143.52,89.62,212.34,213.90,119.92,0.05,89.67, ,24.05, ,275.39,299.71,210.52,191.11,249.28,86.72,44.48,66.77, ,279.11,132.27,33.45,287.96,294.48,165.32,297.34,293.92,292.28,65.07,20.95,59.96,170.68,17.07,260.13,19.28,64.69,227.15,56.36,126.24,222.68,69.37,284.13,74.58
193.13,87.09,223.61,186.67,40.40,195.20,54.90,239.77,66.03,217.72,82.03,173.22,35.52, ,19.65,299.31,199.01,83.16,62.57,299.75,270.60,52.06,258.39, ,77.97,77.81,154.97,39.65,164.55,270.78,94.82,88.59,175.67,174.05, , ,288.51,74.85,199.05, ,165.59,228.36,34.69,53.14,263.70,59.08,52.12,133.69,236.95, ,164.51,193.22,202.87,1.62,73.73,23.70,66.26,152.48,15.26,17.58,40.23
268.87,151.02,212.79,54.19,84.26,236.00,73.33,159.21,116.59, ,140.29,41.88, ,6.32, ,23.90,126.31,14.79,273.83,118.20,186.22,237.89,191.57,178.24,74.58,147.04,228.80,164.59,108.20,277.00,260.23,290.25,123.70,291.95, ,110.14, ,65.72,128.21,104.43,287.74,259.63,186.53,122.12,159.12,225.27, ,185.50,164.90,260.72,263.98,7.02,9.41,139.85,158.52,2.89,84.87,124.60,68.43,41.77,172.15
44.82,146.74,145.29,202.36,181.58,164.26,240.47,218.92,72.14,177.45, ,262.33,67.00,25.36,223.75,252.17,189.74, ,120.06,54.21, ,235.79,76.00,129.24,43.31,21.82,87.01,63.15,53.78,231.32,210.18, ,162.36,113.80,93.48, ,147.68, ,83.47, ,207.86,165.94,183.85,71.92,284.60,20.20, ,251.51,175.41, ,37.77,155.38, ,89.24, , ,229.35,190.57,89.97,11.55,48.71
 ,19.57, ,39.76, ,291.27,88.79,81.40,255.33,287.12,26.01,4.93,5.56,262.10,277.01,162.71, ,62.01,195.23,79.37,168.20,226.26,81.54,289.41,279.44,195.22,252.19,190.65,276.98,285.82,54.71,290.86, ,52.87,183.66, ,118.65,276.22,75.01,69.02,265.85,290.61,234.19, ,124.85,109.48,252.35,257.24, ,30.11,281.36,237.22,217.67, ,193.88, ,251.64, ,217.49,277.19,152.46
211.05,186.52,179.84,258.16,203.99,167.19,168.02,194.76,19.06, ,212.95,217.48,221.23,82.07,181.25,291.95, ,269.26,92.22,126.64,286.18, , ,288.18,254.77,253.23,133.58,186.78, ,51.36,70.10,245.72,294.06,52.61,206.93,157.96,167.02,42.22,145.38,185.83,150.36,203.67, , ,10.97,18.27, ,88.37,139.29, , ,92.32,283.89,113.53, ,21.87,197.38,277.73,117.69,151.98,252.28
173.59,141.67, ,221.34,19.95,251.48,66.73,244.97, ,244.70,57.43,69.38,225.29,163.25,208.43,131.59, ,273.26,104.36,254.11,183.01,136.87,86.33,69.85,83.86,276.00,102.56,55.36,43.38,0.97,150.85,252.24,195.28,206.76,233.99,25.35,134.92,251.48,65.82,252.55,66.47,135.66,46.64,6.76,133.45,210.66,124.22,217.18,88.40, ,22.39,44.50,119.72,90.87, ,112.20,122.23,222.06,47.71,148.92,58.71
62.20,266.67,132.27,205.92,7.78, ,292.58,82.44,176.30, ,148.85,146.77,164.19,228.97,37.53,266.37,60.26,65.61,214.99,210.78, , , ,61.60,15.56,23.44,17.34,100.99,56.41,292.03,225.24,153.94,209.79,288.00,276.36,107.46,253.54,57.82,90.93,188.04,273.99, ,43.89,56.95,163.99, ,239.04,116.23,161.25,52.74,125.37, ,232.83,200.57,298.45, ,226.00,222.95,205.39,243.89,235.87
176.96,48.10,34.88,208.97,190.34,45.39,290.81,248.54,192.99,229.88,259.48,131.90,55.88,61.35,50.25,149.74,169.98,43.20,62.16,100.99,213.89,268.20,138.79,136.13,275.28,250.21,221.89,117.19,119.40, ,169.65,127.28,45.74,140.06, , ,51.59,6.12,7.98,36.76,46.95,200.00,18.76,34.85,251.95,220.27,290.16,24.89,94.76,1.39,131.85,38.55,40.39,226.73,71.90,105.42,281.85,211.51, , ,65.71
 ,214.66,80.11,91.21, ,249.20,175.19,80.36,238.45,180.83,164.84,61.28, ,43.13, ,134.34,230.97,99.13,114.71,57.79,256.66,241.97,197.25,286.90,30.90,98.35,90.54,164.45,233.44,194.94, , , ,12.82,270.41,44.04,48.28,92.52,266.98,222.35, ,199.96,210.63,26.76,261.50,152.98, ,47.92,290.44,37.85,6.54,293.75,144.11,75.59,67.14,235.00,126.71,189.46,130.90,268.50,149.27
285.05,68.29,210.79,110.17,61.99,256.89,167.29,97.78,37.64,285.45,154.42,192.92, ,23.82,22.39,80.92,140.94,250.38, ,9.11,284.56,100.79,126.84,42.46, ,80.10,196.42,243.97,245.66,62.47,219.50,125.37,266.94,125.55,140.21,226.43,146.03,225.08, ,193.17,48.99,210.05,0.56, ,9.14,70.36,177.93,156.46,290.27,269.60,40.73,277.29,234.10, ,159.18,89.06, ,138.06,250.81,157.06,59.11
122.06,237.80,119.32,3.29,217.67,225.40,82.70, ,16.80,190.25,236.81,228.34,117.38,228.38,241.89,153.08,264.05,45.89,101.86,267.33,57.82,16.22,241.78,65.53,215.70,111.35,279.91,228.87,50.28, , ,158.33,164.89,222.70,264.46,26.65,94.04, ,174.57, , ,206.36,191.58,30.17, ,165.12,21.75,15.30,189.95,296.93,141.91,165.08,130.50,23.05,8.20,99.11,53.83,19.09,183.63,149.74,255.84
238.95,286.19,2.79,203.14,90.22,294.02,151.42,147.03,49.06,103.51,267.96,140.22,276.92,199.15,143.57,141.53, ,127.72,135.37,239.90,94.08,129.10,136.36,196.41,2.69,114.34,19.61, ,6.67,14.93,75.28,60.80,241.02,44.52, ,48.37,163.84,202.62, ,38.98,88.24,249.26,164.15,159.49,91.20,84.45,71.97,264.64,76.52,26.16,183.43,169.42,218.76,3.72,203.69,158.27,92.52,14.26,99.15,160.17,15.97
56.04,120.79,166.24,165.52,243.61,147.74,28.58,203.61,43.05,291.85,211.49,87.21,263.43,195.67,87.23,87.81,47.16,264.46,157.28,273.67,116.37,53.03,64.32,40.39,6.32,191.20,190.69,143.56,164.77,277.73,250.87,95.26,274.14,211.42, ,185.09,6.07,285.32,70.82,191.42,248.28,69.40,114.35,9.66,212.58, , ,299.75,259.84,285.87,209.20, , ,49.58,100.80,66.37,276.87,49.81,181.44,91.25,167.02
264.25,149.79,244.19, ,204.03,208.06,56.53,132.87, ,48.21,109.83,123.23,72.37,11.86,292.26,249.59,204.01,238.89, ,183.08,46.49,50.68,10.71,279.89,258.02,191.79, , ,32.87,78.74,263.20,198.17,282.15,270.32,296.34,20.30,227.48,266.53,21.33,85.36,120.82,56.04,253.01,18.99,172.03,191.79,130.28,201.54,147.42,8.42,195.99, ,123.47,289.72,116.83,186.98,87.78,174.09,183.36,119.38,266.80
61.03,47.38,3.58,298.41,168.23,71.44,165.35,292.44,296.53,122.03,227.32,113.86, ,297.22, ,166.46,46.68,265.01,78.48,253.88,144.03,219.05,19.05, ,11.49,106.90,61.49,48.08,104.26,281.50,45.67,267.94,157.75,173.65,273.91,205.70,286.26,269.84,191.95,229.31,182.88,224.25,94.94,120.53,111.19, ,291.53,250.32,114.08,74.14,131.85,94.95,4.11,163.09,167.23,233.09,79.84,41.68,280.72,187.11,246.93
 ,238.46,293.28,95.78,186.24,251.78,157.59,264.14,48.65,203.64,247.43,246.08,62.75,113.94,199.76,145.41,222.78,30.17, ,125.95,82.22, ,42.25,173.35,82.59,20.72, ,268.16,34.32,70.05, ,268.54,95.13,295.21,197.81,233.99,151.33,176.00,257.78,86.10,224.63,53.13, ,141.37,162.22,14.88,222.67,200.81,25.34, ,43.26,189.99,6.35,247.23,81.25,100.61,36.14,36.03,270.59,230.64, 
106.34,285.44,129.19,198.41,201.00,197.78,253.02,119.92, ,2.28,27.27,242.94,128.13,152.68,169.92,282.82,189.66,208.53,11.00,117.08, ,180.11,109.35,238.34,127.48,231.56,87.86,146.02, ,124.99,261.29,87.28,218.00,125.92,195.61,221.31,2.45, ,65.76,25.93,255.73,64.69, ,152.55,202.50,84.30,7.77,22.40,289.72,71.98,66.94,252.56,280.28,205.35,20.77,199.00, ,52.42,74.81,242.09,11.41
80.85,253.67,61.30,116.16,120.70,68.65,184.36,68.57, ,241.64,194.06,185.01,193.06,156.40,216.65,13.37,233.79,116.23,113.58,176.40,285.65,148.69,6.91,222.21,234.46,99.16,238.45,31.16,252.34,276.81,141.71,267.62, ,261.22,58.62,242.43,268.90,237.64,42.77,154.54,45.64,166.19,216.11,229.10,202.05,72.71,206.27,91.16,95.63,111.06,204.59,243.21,89.36,105.82,292.03,199.16,238.02,235.60,15.06,250.03, 
22.74,135.55,131.82,3.44,259.51,88.80,100.90,102.37,68.11,273.78,133.65,266.48,247.04,214.05,70.64,41.02,171.83,1.19,25.01,187.86, ,276.66,263.23,99.90,7.06,218.76,168.03,2.00,177.24,281.08,193.25,30.00,284.07,287.82,231.58,175.58,154.78,213.63, ,13.53,182.39, ,103.19,139.19,233.41,277.43,180.72,130.42, ,149.68,200.86,179.92,249.99,203.53,136.40,82.15,291.91, ,283.03,54.63,6.23
22.30,59.69,75.72,29.42,39.78,140.19,276.40,268.08,57.25,78.10,200.57,268.46,28.46,232.83, ,239.06,96.02,130.83,298.44,28.47,60.72, ,78.80,231.68,43.06,165.30,265.48, ,233.95,284.45,163.82,259.16,138.69,25.60,54.24,290.45, , ,207.66,129.97,271.43,52.08,42.16,225.85,129.22, ,113.67,202.84,4.41,19.91, ,289.43,55.35, ,17.15,104.20,161.00,28.34,165.30,80.01,214.55
167.75,227.06, ,129.89,171.95,238.34,240.89,292.13, ,124.62,73.80, ,262.20,134.22,55.43,165.96,226.92,186.28,220.82, ,46.71,88.59,287.69,258.88,185.77,85.51,69.22,171.66,121.51,237.18,279.95,160.82,263.60,224.53,85.59,224.53,295.40,150.29,206.76,96.97,224.07,102.91,41.78,96.25,199.09,158.16,70.12,217.30,183.75,41.61,87.88,101.65,279.26,66.37,61.12,278.54,278.48,56.01,108.17, ,51.45
253.61,82.79,34.73,95.85,63.56,59.51,78.45,290.27, , , ,286.30,280.63,111.45,2.86,62.37,51.55,146.05,292.37,290.39,19.59,207.63, ,133.54,194.69,49.90,71.41,2.93,54.09, ,166.42, ,56.93,258.87,27.08,1.37,217.88,37.33,97.49,233.61,213.92,7.51, ,78.92,229.38,32.87,114.92, ,173.79,247.57,168.67,198.58,28.72,219.30,299.51,199.36,138.53,74.90,77.10,224.97,230.74
88.75,31.63,215.95,244.25,38.09,138.17,282.95,53.13,232.95,219.04,285.77,245.59,203.62,62.02,78.57, ,167.32,76.94,5.02,99.60, , ,6.71,195.47,10.25,106.55,16.76,48.66, ,109.33,207.16,106.54,164.11,153.05,228.79,258.20,108.01,231.60,133.45,216.00,198.97,113.61,30.47,10.52,236.94, ,144.10,189.30,155.30,35.81,172.76,267.56,110.88, ,167.95,49.04,4.14,268.46,225.75,54.28,134.04
244.92,38.68,83.46,18.59,141.61,118.45,197.48,265.91,89.06,223.73,233.01,285.14,114.04,51.41,290.42,59.79,155.58,267.30,215.46,123.28,141.06,68.41,83.15,14.12,267.69,3.33,226.35,44.49,7.49,163.88,201.00,278.80,56.85,270.89,297.23,184.46,25.79,213.24,223.84,15.63,135.02,266.08,258.06,112.56,162.57,21.90,182.04, ,276.70,179.64,239.66,182.36,13.79,150.62,53.49,188.66,205.86,213.39,290.17,232.78,165.55
143.09,97.79,260.29,122.44,203.18,12.00,113.88,114.16,196.44,136.61,130.43,234.81,3.04,37.51,257.26,72.84, ,72.96,247.22,297.16,167.94,116.35,195.12,175.66,57.95,146.26,201.73,198.89, ,112.22, ,228.57,127.86,84.99, ,133.82,75.47,191.44,183.54, ,29.80,70.67, ,46.77,284.82,258.66,196.69,288.49,299.45, ,22.55,249.03, ,55.36,158.85,289.35,179.53,72.20, , ,149.65
294.25,258.87,170.95,23.79,46.05,37.79,45.79,13.44,98.30,282.18,15.61,299.54,225.20, ,249.54, ,20.65, ,279.51, ,135.07,273.38,261.41,245.54,12.30,133.45,27.78,67.75,87.16,238.53,139.03, , ,267.31,36.14, ,102.77,265.45,242.28,260.80,280.87,283.14,182.67,32.55,67.15,52.30,248.88,205.43,1.26,197.44,286.55,135.47,173.21,277.27,70.46, ,51.33,199.20,47.71,69.11,289.33
107.09,99.26,70.80,147.37,226.83,7.76,76.57,221.47,74.35, ,12.42,299.28,152.21, ,74.40,279.95,255.33,229.09, ,299.89,80.53,10.81,28.86,98.19,280.55,200.30,223.63,270.53,90.17, ,15.33,63.70,260.87,82.33,73.63, ,157.61,210.95,117.64,227.50,65.76,191.51, ,115.15,196.10,268.95,296.82,215.99,279.57,79.56,66.82,77.38,10.80,167.62,291.03,106.72,173.20, ,139.26,213.52,136.45
