Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97
 ,177.10,298.72, , ,189.36,58.98,42.34,43.06,217.30, ,34.60,43.90,200.36,112.05,290.02,291.36,47.63,210.35, ,9.14,296.93,94.77,121.64,143.36,82.18,211.56,95.27,86.43,132.06,241.05, ,86.48,290.32,235.90,141.80,209.82,90.98,24.64,229.95,290.25, ,50.92,286.47,237.90,275.18,39.96, ,297.03,231.55, ,167.45,278.61,97.84,52.48,233.12,136.11,189.62,38.81,236.96,86.72,98.18,244.82,278.14,135.17, ,122.52,198.89,96.27,108.39,212.86,237.88,150.66, ,81.41,242.38,96.85,193.23,91.00,33.18,237.94,49.99,290.87, ,1.41,28.65,268.68,124.35,53.74,239.31, ,10.89,74.78,27.06,2.78,106.06,187.20
204.30,13.38,104.84,196.58,210.29,37.44,130.73,205.54, ,261.12,194.20,236.93,286.14,4.72, ,40.67,55.00, ,68.37,33.41,36.72,160.30,139.61,173.83,217.63,266.92,141.71,137.83,163.06, ,167.78, , ,219.56,153.43,117.95,181.55,30.29, ,73.40,240.36,206.95,226.79,36.75,34.99,147.15,298.55,65.82,125.31,146.26,127.70,292.84,175.95,151.56,289.06,283.02,172.19,87.42,63.84,167.48,298.75,296.87,145.36,224.00,36.97,145.55,64.67,285.94,199.19,100.30,62.46, ,234.65,205.09,37.11,201.11,28.01,132.81,61.10,249.30,232.47,177.32,84.23,83.08,214.90,125.15,283.04,220.83,181.74,251.32,155.18,54.79,68.18,208.49,83.11,161.05,177.36
112.72,54.09,286.45,116.38,72.15,20.07,17.11, ,268.44,274.07,175.45,189.05,65.76,146.17,179.39,100.92,274.47,271.86,48.97,286.65,13.00,180.64,103.18,124.87, ,98.94,78.56,81.55,21.97,287.79,279.27,46.45,124.00,168.90,157.94, ,18.52,66.98,128.74,281.60,241.79,52.55, ,8.76,104.90,15.71,276.26, ,22.71,66.22,60.93,289.62,41.40,293.46,207.29,278.55,75.80,73.61,54.62,137.11, ,167.84,234.47,281.14,166.80,242.91,234.09,288.10,44.80,98.24,203.52,131.74,296.23,166.02,106.70,261.70,44.70,63.30,273.64,155.86,217.60,138.92,102.17,256.48,123.25,0.15,275.15,119.19,183.97,95.97,188.12,67.82,187.21,211.99,175.56,1.30,166.61
244.86,267.24,115.74,256.06,117.26,247.78,202.60,221.66,122.41,56.24, ,243.46,254.59, , ,105.60,189.04,234.95,213.07,273.57,92.35,120.82,37.23,226.17,278.93,291.38,280.98,131.32,202.96,28.75,108.33,89.95,80.18,155.20,161.19,296.80,218.23,277.11,174.89,124.43,128.02,242.54,297.43,33.44,159.76,0.26,196.55,265.47,115.11,269.97, ,266.77,167.66,206.95,259.28,247.55,238.25,55.64, ,129.50,261.18,142.89,257.34,51.65, ,166.76,286.12,292.91, ,160.57,279.85,296.56,231.24,28.33,165.30, ,294.80,16.58, ,278.02,38.61,164.20,196.42,40.90,200.58,112.38,31.06,44.85,182.30,137.28,270.70,286.22,297.38, ,281.43,20.71,180.29
87.01,246.80,275.96,195.27,98.65,0.81,1.27,73.18,165.71,248.06,270.04,165.67,16.84, ,37.55,134.50,156.92,34.72,45.52,46.88, ,3.30,10.53,44.50,281.94,67.52,78.50,204.15,150.10, , , ,161.18, , ,8.38,169.71,102.19,69.17,219.89,232.37,129.74,206.41,83.60,118.45,40.55,271.26,153.88,220.10,14.39, ,22.78,202.87, ,119.46,71.79, ,4.16,60.83,170.23, ,6.63,225.00,281.84,8.73,271.84,150.78,195.40,9.01,86.81,93.11,231.55,245.63,169.06,223.47,79.69,293.14,243.46,133.50, ,142.23,86.25,211.79,266.46,81.49,182.55,2.73,98.74,34.46,36.69, ,225.99, ,219.14,152.54,243.42,251.69
138.85,156.71,110.42,146.38,32.78, ,35.51,157.84,152.22,239.83,4.06,119.73,84.96,65.69,173.07,173.93, ,211.86,33.03,238.60,214.19,208.35,6.90,131.14, ,250.36,274.45,15.68,167.57,23.84, ,196.91,196.80,59.17,271.07,130.95,271.62, ,179.96,187.95,149.58,84.39,247.84,54.35,153.03,64.17,155.18,73.79,283.84,291.14,200.49,223.46,54.96,291.21,287.04,140.99,277.14,236.55, , ,188.51,212.83,14.13,39.72,299.97,17.34,116.07,74.46, ,129.41,19.19,295.17,205.32,175.49,68.33,114.91,288.98,272.06,266.29,281.38,40.04,71.55,121.02,105.61,17.36,168.68,299.35,234.91,295.63,35.37,210.87,123.19,102.45,141.51,135.32,122.95,127.83
206.51,183.88, ,201.24,278.08,246.50,172.70, ,283.10,201.51,36.81,93.81,119.96,208.00,58.22,130.64,225.45, ,109.33,244.31,296.41,248.37,64.32,94.08,104.17, ,298.13, ,91.95,248.05,64.69,85.49,33.96,21.09,106.45, ,50.75,116.80, ,59.70,210.45,239.33,134.39,12.75,170.80,8.50,131.98,22.17, ,56.14,189.92,295.45,247.64,161.35,19.35,124.14,161.17,296.13,112.31,188.55,209.65,272.62,125.23,50.67,214.63,231.70, ,227.16,181.69,286.25,292.71,70.26,98.14,45.65,160.48,162.48,294.15,97.23,280.96,73.31,57.66,255.36,114.16,287.11,155.89,241.97,210.32,198.12,60.41, , , ,144.88, ,0.62,45.05,285.76
5.24,298.47,205.63, ,192.73,299.00,50.45,76.40,45.72,123.09,67.27,17.76, ,40.17, ,85.22,217.95,199.59,202.05,167.00,3.30,123.16,225.81,149.91,236.29, ,59.38,154.36, ,66.51,243.04,125.03, ,42.99,73.22,133.89,171.36,236.71,271.73,156.90,88.92, ,284.55,141.01,100.56, ,167.07,15.57,262.24,19.99,275.68,9.58, ,180.94,263.32,229.87,268.92,291.26,156.85,74.25,145.47,242.24,41.89,233.57,41.68, , ,253.07,56.49,28.06,20.78,49.44,193.71,25.87,146.41,160.77,180.59,95.47, ,137.36,157.80,243.95,233.83, ,235.28,150.92,284.76,254.71,122.36,52.57,33.39,30.96,119.63,200.40,34.38,52.46,282.45
180.61,11.90,205.93,218.81,210.51,228.55,237.78,13.64,199.16,189.33,241.20,141.67,224.07,266.24,112.71,54.59,66.33,164.78,13.67,29.11,287.17,89.39,8.59,215.30,150.07,137.86, ,279.53,37.66, , ,268.29,68.78,214.13,126.38,148.94,215.50,197.14, ,122.09,265.54,89.49,142.02,206.88,206.88,293.28,38.85,30.76,76.25,100.76,118.74,60.46,202.65,225.86,296.08,257.57,85.35,77.24,274.41,182.99, ,176.27,162.70,274.52,259.99, ,171.51, ,231.97,39.90, ,115.72,88.15,23.25, ,100.48, ,84.60,276.06,160.14,71.15,194.34,3.86,270.59,246.84,107.34,147.74,101.37,234.51,36.74,63.02,58.24,251.85, ,227.91, ,147.74
51.77,242.92,203.30,231.00,21.35,211.31,211.22,132.55,202.20,103.48,26.38,129.12,4.55,206.15,284.79,178.26, , ,92.19,34.70, ,56.05,60.71,272.76,57.68,275.59,221.97,253.35, ,231.59,46.82,144.07,191.63,68.16,143.52,286.87,183.55,234.26,196.99,217.85, ,36.34,144.06,186.78,42.01, ,130.25,166.74, ,58.38,103.29,140.18,32.86,147.20,252.66,66.12,10.15,29.14,282.47, ,169.25,46.82,299.61,129.48, ,164.61,148.04,270.72,231.55, ,78.75,259.28,238.83,181.20,100.48,257.80,232.50,244.29,253.00,156.38,110.26,247.09,155.81,5.71,146.55, ,225.30,109.93,120.81,277.55, ,205.24,255.44,180.98,117.06,143.64, 
