Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126
191.31,293.05,137.32,119.46,72.95,164.28, ,200.77,168.17,298.78,207.52,52.02,172.24,29.69,243.61,3.32,205.78,19.00,38.08, , , ,100.98,233.75,138.89,233.90,156.68, ,46.31,141.31,182.87,18.53,185.47,152.43,222.61,27.87,178.85,34.53,184.93,192.98,111.55,184.56,207.56,284.09,4.89,172.41,296.40,14.22,212.81, ,135.42, ,96.10,84.93,176.17,103.29,220.52,120.02,8.90,173.79,281.46,118.40,66.42,44.82, ,257.63, ,93.04,270.78,202.33,19.78,25.57, ,246.09,267.66,46.80,224.96, , ,158.19,170.06,175.41,269.68,198.01,226.08, ,115.23,265.97,164.22,258.07,237.63,279.52,42.77,213.76,251.49,240.75,187.45,257.48,183.43,36.16,16.60,33.16,5.27,266.83, ,224.89,228.31,160.87,263.62,130.87,87.13,286.94,35.71,126.69,84.11,210.01,233.80,240.17,134.84,32.45,229.97,185.68,178.21,75.39,182.21,188.01
54.52,138.55,75.64,264.08,182.43,66.76,3.66,181.86,246.24, ,176.21,28.52,49.87,109.89,257.28,79.71,70.67,65.16,30.29,124.98,212.83,256.80,2.74,210.93,209.98,284.07,296.90, ,46.77,230.58, ,246.73,271.56,272.83,178.29,67.12,193.16, ,149.97,5.08,219.94,23.69,130.40,42.08,230.57,230.65,27.32,107.88,247.15,18.33,3.56,50.99,214.62, ,64.59,14.26,259.89,201.99,290.98,47.16,242.44,64.61,163.33,211.47,287.35,227.16,40.31,22.22,163.24,56.32,93.12,106.12,231.17,58.08,19.97,56.12,241.25,66.01,160.94,13.41,14.22,119.52, ,141.74,52.43,157.98,288.02,86.37,159.74, ,81.89,204.35,76.86,258.75,250.17,120.34, , ,204.16,189.08,229.24,145.78,148.73,112.17,212.39,237.04,252.31,121.30,156.95,2.25,41.03,235.38,216.01, ,120.17,185.01,220.11,59.30,24.50,156.43, ,9.63,104.57,57.78,118.60, 
120.85,165.05,265.80,289.29,22.35,160.02,22.98,83.13,124.38, ,280.81, ,290.43,169.87, ,95.73, ,219.76,251.19,265.09,111.23,86.15, ,246.18,86.81,124.07,150.69,136.68,141.12,121.93,71.84,95.42,145.27,87.33,267.38,2.18,283.37,270.53,20.39,157.89,243.01,276.28,213.66,225.20,14.93,144.15,121.43, ,266.71,41.68, ,213.82,107.53,262.53,14.15,294.75,90.11,154.00,31.45,179.34, , ,3.78,281.04,206.17,91.92,277.06,85.09,101.69,88.08,270.67,47.12,274.26,203.18,203.62,195.93,191.28,277.23,284.95,20.27,193.65,53.06,207.91,61.60,30.76,73.81,251.90,266.85,258.17,54.43,104.66,244.75,268.73,191.00,180.24,144.80,23.47,244.62,36.00,240.98,155.90,68.19,135.73,33.96,205.06,255.69,38.76,5.65, ,196.65,2.65,105.98,131.40,21.17,39.83, ,106.60,18.55,291.08,209.82,248.19, , ,124.60,104.32,159.70
26.91,229.38,226.85,266.23,27.11,270.52,32.77,237.78,251.90,205.61,253.90,276.60, ,101.20,162.00,79.26,258.37,18.11,126.99,59.43,51.15,28.19,121.20,43.42,57.20,78.13,226.18,195.53,289.61,213.09,228.19,240.34,192.49,279.76, ,39.19,33.65,105.35,248.83,182.72,267.85,199.48,81.18,82.30,121.02,287.80,7.23,212.98,172.65,173.54, ,212.73,187.59, ,26.89,285.28,110.54,64.61,139.91,141.43,220.50,1.24,235.09, ,148.07,61.10,75.80, ,288.53,61.03,297.14,18.09,297.52,235.55, ,75.46,280.07,128.42,298.91,177.61,225.18,209.64,45.18,239.51,273.97,279.64,159.16, ,141.58,149.57,127.22,152.59,268.29,163.55,149.17,88.42, ,114.10, ,159.28,51.25,25.60,57.54,72.44,49.41,190.18,291.15,187.20,52.53,294.00, ,143.17,154.72,241.81,65.92,128.10, ,205.99, ,263.53,90.51,221.01,278.81,295.69,7.20,48.74
133.43,229.00, , ,276.34,52.54,76.54,159.80,86.62,199.41,174.54,138.78,294.45, ,290.14,222.76,162.54,263.01,14.46,208.54,215.95, ,258.21,31.34,189.41, ,88.82,295.49, ,91.05,124.48,63.33,229.37,100.81,155.91,29.28,136.71,11.48,278.17,76.32,87.69,127.47,54.55, ,133.28,295.17,126.96,269.80,231.15, ,245.97,94.20,114.14,102.71,299.16,95.30,90.39,41.20,91.62,213.44,229.03, ,135.50,292.69,108.10,268.01,169.81,68.34,100.78,247.78,298.41,21.70, ,204.68,36.90,210.84, ,139.87, ,275.37,275.65,17.25,48.70,69.29,59.73,136.10,162.14,57.39,84.19,9.84,246.36,285.18,297.09,297.07,260.18, ,235.83,89.76,101.82,204.60,140.88,273.25, ,35.75,171.89,88.52,108.81,228.47,192.08,71.22,88.92,161.58,267.23,251.18,16.52, ,153.67,126.10,73.07,162.66,279.09,118.83,91.42,89.28,45.78,256.63
 , ,96.51,255.26,216.37,27.74,64.95,121.91,8.33,298.26,225.29, ,44.12,245.01,227.44,243.60,87.05,46.04,275.03,30.34,227.60,13.99,153.10,298.21, , ,42.41,118.48,228.31,157.91,60.42,3.74,27.63,182.54,165.87,84.89,143.82,284.36,188.79,53.20,181.61,80.20,31.64,243.78,61.28,133.26,187.03, ,214.66,8.26,93.67,73.23,9.65,274.24,274.51,220.65,293.31,241.72,209.21,161.11,201.68,2.42,149.83,149.10,67.22,52.83,23.18,150.76,211.77,200.29,236.70,47.80,298.52,147.34,129.92,76.89,271.25, ,121.09,204.08,285.94,238.41,84.61,297.58, ,122.58,162.52, ,210.32,137.20,136.62,29.76,121.81,116.33,116.33,119.84,123.00,81.84,252.60,125.87,283.90,72.77,264.63,140.31,121.33,74.79,22.43,103.03,165.90,45.36,156.78,2.64,270.99,41.18,250.93,173.78,269.16,236.47,78.60,108.74,54.28,157.88,288.08,220.96, , 
136.22,131.53,16.83,223.34,26.11,225.07,109.10,146.43,128.02,122.35,124.95,120.29, , ,243.75,262.36,140.64,161.09,237.44,74.68,235.94,35.05,0.67,55.23,189.72,72.13,120.01,188.70,179.92,48.68, ,11.04,157.00,108.80,47.05, ,207.83,4.65,83.68,87.03,152.42,22.16,288.83,121.64,82.48,19.58,125.24,142.20,192.95,181.75, ,168.48,206.70,230.63,174.83,236.61,88.37,35.90,202.19,134.56,260.56, ,91.72,135.24,34.31,185.74,50.31,84.55,91.31,206.92,50.53,177.50,231.23,100.17,293.06,78.71,238.80,172.08,176.20,264.44,35.51,126.58,34.80,62.11,86.82,67.00,111.88,201.61,35.38, , ,280.02,101.21,280.82,249.34,280.61,67.53,63.97,101.93,105.22,224.87,133.06,29.39,236.38,288.06,232.77,0.19,41.30,131.61, ,80.95,55.31,246.66,58.70,173.34,245.98,82.34, ,74.21, ,10.60,103.44,31.17,282.55, ,83.96
142.18,156.52,213.96,267.97,209.94,158.72,54.71, ,192.74,223.96,181.93,158.55,216.91, ,199.46, ,283.42,26.37,65.78,56.04,15.65,126.97,200.15,179.10,44.12,162.79,131.98, ,290.54,119.55,94.21,13.96,2.44,4.78, ,52.46,206.02,241.98,192.49,227.37,238.37,143.42,239.57,145.89,265.94,261.76,270.19,160.17,283.21, ,127.72,5.83,278.40,270.26,266.42,238.75,50.75,181.43,149.81,297.81,122.77,253.77,143.98,129.15, ,212.53,45.47,51.78,263.32,44.01,92.14,213.46, ,123.70,59.06,168.40,265.52,230.67,260.16,153.84,167.22,1.85,117.07,264.95,250.08,234.83,182.80,138.24,298.35,24.51, ,192.92,200.97, ,120.26,119.60,233.57,45.70, ,162.77,164.95,172.26,288.42,138.41,235.28,77.99,175.86,132.66,249.69,252.87,153.89,114.25,30.71,173.70,1.08,188.31,90.06, ,78.48,260.05,92.90,236.10,287.26,122.78,21.20,8.91
 ,106.04,138.30,231.18,102.87,48.47,98.29,51.76,217.01,179.97,2.27,11.22,278.63, ,34.66,271.58,119.78,149.61,120.18,181.06,89.23,180.65,211.60,132.17,236.19,11.50,43.81,22.54,281.50, ,16.16,122.94,28.97, , , , ,159.91,284.92,237.84,184.83,197.50,193.20,27.86,282.85,227.05,12.23,170.41,241.51,88.11,98.17,249.32,193.14, ,178.06,18.21,267.28,140.89,168.43,11.50,62.78,299.99,54.46,252.23,273.82,170.96,43.75,193.62,61.54,147.30,85.30,182.98,140.73,36.22,103.81,82.09, ,82.09,144.41,200.66,88.21,98.21,189.99,226.13,28.15,104.22,14.28,150.72, ,174.59,119.60,150.81,145.00,283.79,85.17,294.08,186.40,110.64,30.31, ,287.23,74.01,73.14,61.18, ,171.63,258.25,76.86,192.93,49.82,15.28, ,9.36,161.30,258.07,179.98,225.24,140.72,258.67, ,19.85, ,191.48,200.96, ,10.02
234.89, ,250.16,227.27,42.25,109.19,168.77,35.64,156.39,93.26, ,180.81,227.93,26.40,24.47,177.13,284.77,94.32,62.18,164.41,31.41,130.89,121.75,67.36,276.45,9.02,33.93,226.43,13.34,125.97,161.95,72.30,115.11,83.86,155.78,198.98,201.25,218.91,149.92,238.75,230.00,217.88,137.60, ,150.94,51.76,259.10,261.05,169.96,189.68,283.44,246.23,39.20,89.54,126.01,0.95,5.81, ,269.74,14.58,237.25, ,126.00, ,87.04,172.12,66.31,198.16,165.59,243.47,158.32,267.69,6.61,239.94,90.33,41.65,105.22,216.63,104.90, ,191.94,226.80,230.39,4.81,11.76,78.12,231.91,121.13,90.39,105.98, ,15.67, ,120.89,153.07,171.16,228.10,4.58,169.76,1.06,69.61,248.15,166.26,231.51,46.10,28.59,67.63, ,155.01,288.65,249.63,92.44,90.16,94.71,25.30,246.12,99.29,148.01,125.21,178.54,74.18,141.20,268.08,94.03,97.89,44.36
