Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92
120.52,110.46, ,26.56,229.53,212.30,7.90,111.15,121.26,205.52,130.18,237.04,210.10,247.62, ,116.23,212.30,113.45,293.52,49.32,30.71,123.25,228.27, ,203.88,148.40,52.12,152.55,187.22,176.28,5.02,251.07,40.41,276.01,181.34,112.49,107.90,215.54,261.14,168.79,90.00,274.42,295.77,131.27,189.62,17.84,135.66,57.21,156.74,239.24,110.41,130.37,84.60,151.09,288.04,210.76, ,185.18,32.85,51.42,201.77,233.70,194.64,153.63,59.35,9.95,297.27, ,215.58,273.70,192.03,86.56,39.78,287.97, ,0.12,72.35,70.33,298.31,208.66,35.67,38.79,65.44, ,293.24,253.59, ,145.62,104.88,268.47,236.37,85.02
239.76,138.38,163.41,275.05,288.63,40.07,56.34,63.47,98.75,117.24,33.42,294.38,211.26,66.82,191.25,84.12,9.20,141.10,59.20,244.67,126.87,75.25,90.25,46.85,153.83, ,187.26,249.06,38.20,92.38, ,244.22,234.18,192.45,126.03,191.43,299.48,55.45,201.50,213.45,34.70, ,289.39,239.37,280.10,150.36,163.39, ,133.34,270.13,262.99,277.45,166.87,172.72,51.66,68.02,22.57,32.39,92.10,74.36,267.02,180.91,215.32,56.20,22.15,74.46,122.49,139.57,28.83,211.68,86.51,45.59,82.41,244.07,64.91,205.06,70.37,71.44,220.41,34.36,153.97, ,276.46,67.28, ,79.56,270.05,157.20,275.14,93.63,114.11,237.65
190.47,105.14,293.70,89.55,268.12,136.88,219.98,263.10,187.17, ,157.23,220.50,183.87,266.50,274.22,40.73,15.51,98.52,42.45,66.97,92.19, ,288.01,205.01,116.27,293.77,249.41,100.09,86.38,88.78,234.41,230.19, ,278.94,206.76,150.39,91.91,284.21,230.59,204.31,30.95,175.48,245.91,10.62,164.36,156.97,205.23, ,133.03,262.95,206.89,9.74,76.25,164.82,182.92,279.87,110.44, ,20.98,18.09,290.46,2.41,236.27,218.23,40.67,183.24,125.24,209.75,243.84, ,19.40,250.17,109.62,275.64,81.59,67.81,188.38, ,35.81,23.23,106.81,172.39,263.91,157.63,3.49,35.75,120.87,124.34,190.36,95.78,266.54,7.89
182.07, ,217.88,218.56,251.48,44.31,246.37, , ,45.43,155.79,21.50,43.94,126.89,237.43,195.44,74.86,113.20,170.49,177.68,203.00,71.51,70.70,289.24,137.93,70.50,254.27,230.24,233.65,227.10,124.09,102.20,97.71,231.96,246.48,57.26,238.81,96.78,146.66, ,284.58,249.88, ,41.88,73.18,265.66,146.60,122.83,288.70, ,220.66,110.67,246.00,269.11,56.92,221.43,158.00,263.64,184.31,149.76,111.78,58.50,271.89,234.90,136.94,84.88,44.17,87.90,155.70,64.94,35.64,55.56,192.38,1.52,57.81,169.54,276.57,281.66,76.28,169.15,71.99,270.83,149.58,106.34,115.73,217.90, ,273.46,50.03, ,126.73,197.82
220.06,224.30,122.85,118.28,213.81,246.03,6.43,243.36,100.89, ,18.79, ,292.26,191.72,2.02,35.39,14.71,74.23,157.17,239.60,189.09,165.71,38.05,230.74, ,31.63,268.95,250.98,42.68,2.36,208.48,63.00,35.53,182.55,175.62, ,151.07,67.55,103.84, ,34.58,173.83,127.53,116.64,253.42,284.97,186.93,276.59,1.77,268.38,286.66, ,200.81,232.67,11.85,73.96,71.09,74.61,288.51,253.94, ,113.27,126.59, ,103.18,247.21,218.50,101.97,95.48,57.56,271.13,64.67,270.19,206.07,273.06,262.18,261.59,40.28,259.58,259.02,290.61,178.06,37.77,271.61,282.80,161.41,98.59,299.03,61.83,113.57,99.67,261.90
208.74,74.84,42.65,231.08,240.09,242.37,89.18,111.11,243.15,25.92,198.59, ,260.42,224.08,29.72,257.21,208.58,165.81,2.04,7.98,139.76,277.67,206.30,228.74,134.81,4.21,99.85, , ,259.20,55.59,210.98,79.89, ,245.71,274.24,204.43,285.14,287.22,227.86, ,206.15,232.77,190.23,239.51,92.90, ,148.49,299.41,267.52,133.49,15.41,58.61, ,43.75,104.49,169.24,178.02,297.03, ,187.26,225.25,236.31,152.97,11.60,246.10,271.34,192.35,187.32,206.58,294.71, ,141.23, ,19.25,89.47,78.34,273.46,41.27,127.55,294.58,46.62, ,17.96, ,4.71,261.58,212.18,59.25,97.51,113.69,169.05
246.81,179.88,250.97,130.03,115.39,217.68,65.29,179.98, ,184.69,8.15,205.32, ,226.58,231.68,178.71,243.42, ,123.30,299.08,175.82,159.84,295.28,65.71,201.84,77.80,144.41, ,49.73,37.72, ,269.39, ,70.12,116.57,83.30,117.31, ,194.92,38.60,9.46,221.43,255.58,297.82,85.17,149.72,218.03,247.88,142.61,257.54,55.49,185.91,193.08,256.01,1.27,278.19, ,199.62,54.51,219.84,284.01,4.22, ,130.25,205.61,6.36,75.47,238.92,279.69,275.05,219.99,230.32,287.05,97.80,83.75, ,238.25,229.07,100.22,72.73,152.86,174.01,121.05,254.92, , , ,151.26, ,81.58,20.84, 
 ,194.57, ,132.83,287.89,80.41,148.03,88.00,122.07,14.66, ,97.09, ,154.57,152.77,206.34,209.20,60.75,211.74, ,44.57,185.83,120.88,267.89, ,161.50,12.99,248.95,273.26,217.78,47.21,16.19,128.40,270.72,64.51,249.43,227.03,148.27,110.78,14.79, ,176.29,191.20,19.67, ,242.11,153.55, ,169.74,79.84, ,268.99,96.04, ,23.07,270.35, ,239.58,198.80,261.04,8.99,289.19,39.21,153.01,220.62,62.50,184.29,77.07,17.28, ,139.36,280.00,266.14,49.29,197.90,11.93, ,25.42,148.19,87.91, ,8.53,19.90,289.93,249.08,194.82,214.89,18.38,143.89,193.98, ,91.88
47.34,236.36,115.90,137.39,85.75,212.34,114.67,181.32,33.43,187.03,174.00,65.10, ,258.29,120.15,241.27,254.92,195.35, ,99.16,246.20,16.61,95.85,53.08,222.45,284.90,161.32,296.15,17.43,184.72,144.59,152.64,158.21,119.39,18.09, ,264.28, , ,25.89,78.23,159.88,140.07,179.66,17.89,16.41,290.79,186.90,80.42,52.29,230.32,265.17,272.86,78.92,254.60,249.80, , ,51.17,131.41,99.04,36.91,191.61,43.23,221.78,189.45,70.73,224.03,268.65,265.36, , ,152.39,252.79,268.74,212.44, ,11.49,271.69,141.05,170.17, ,293.82,195.24,228.78,100.46,16.16,245.00,285.77,84.49, ,53.22
122.21,177.31,102.81,43.64,41.22,110.15,50.80,222.30,16.74,6.72,248.61,63.41,98.17,166.57,199.25,111.98,215.45,199.09,157.06,41.35, ,151.50,134.56,100.35,31.62,14.30,148.57,214.57,79.83,112.14,40.64,114.60,158.97,40.18,73.28, ,271.55,67.50,201.23,249.96,113.99,223.11,298.50,179.73,284.59,56.22,61.76,101.82,158.70,243.03,91.31,249.36, ,16.86,193.85,162.44,213.22,25.77,10.86,58.10,215.12,11.15,140.98, ,43.82,22.19,202.95,212.80,176.38,169.16,99.26,251.29,181.62,227.69, ,158.22,229.46, ,240.62,38.29,279.84,121.10,68.97,115.54,176.35, ,257.38,296.65,231.46,287.76,263.27,215.78
56.03,106.30,284.13,249.51,282.69,39.19,77.28,64.03,240.38,196.82,125.17,21.86,299.13,24.25,187.63,107.99,257.88,149.94,282.33,140.52,79.11,238.45,271.03,24.68, ,221.50,22.17,131.03, ,140.65,76.49, ,184.47,0.97,121.88,81.10,83.50,0.45,284.56,234.24,181.51,184.04,254.82,217.97,285.00,226.49,108.55,131.14,226.71,91.79, ,172.88,158.59,270.37, ,127.21,190.60,201.70,111.72,280.85,242.36,61.76,53.91,123.62,163.34,17.16, ,92.25,68.84,47.02,72.64,166.42,141.18,30.39,286.86, ,186.35,255.95,173.29,1.53,219.32,48.43,145.06,189.13,251.59,235.58,62.33,152.61,60.93, ,36.78,276.18
299.68,101.35,175.45,197.87,263.05,125.39,148.91,35.92,101.26,63.55,5.46,98.06,226.80,152.84,296.17,108.97, ,210.32,6.62,90.06,217.10,208.98,242.82,99.80,159.91,134.34,48.40,203.41,227.01,1.19,82.42,299.56,261.38,270.45, ,60.51,81.03,260.58,97.23,244.72,179.14,2.36, ,2.57,184.41,274.17,120.17,15.80,134.85, ,105.30,193.54,296.79,20.22,119.50,276.60,285.47,51.88,140.24,290.40,272.34,2.32,40.14,173.74,193.75,160.87,150.25,165.08,192.18,125.81,62.48,274.11,149.85,273.51,295.57,136.30,163.39,238.80,19.85,235.88,127.27,276.31,157.86,143.63,120.76,89.03,201.44,279.20, ,252.71,2.75,6.14
29.28,3.52,222.49,73.07,73.38,278.27,27.67,194.53,240.43, ,123.67,229.87,116.71,55.58,239.81, ,4.53, ,8.05,117.82,161.00,27.54,98.06,58.48,272.97,158.16,2.93,202.37,84.70,169.86,5.64,61.74,114.20,193.65,100.43,76.41,131.26,292.25,182.39,147.06,186.92,292.32,287.05,122.66,213.78,212.02,102.19,217.74,286.25,38.64,122.86,48.11,219.00,192.34,107.13,250.78,80.32,107.73,63.37, ,278.61,274.52,17.13,167.01,276.76,63.27,75.24,245.20,70.40,192.44, ,195.31,78.40,297.99,207.00,254.60,39.96,103.99,186.18,120.36,249.74,254.11,68.95,36.26,203.49,261.49,257.33,153.23,132.42,221.86,212.57,168.89
