Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130
115.87,142.89,87.62,107.01,223.56,163.72, , ,169.77,163.82,36.59,177.18,150.81,109.15,91.21,241.93,77.31, ,220.20, ,100.98,183.46,230.09,132.68,219.60,137.08,42.82,241.86,167.96,10.54,210.20,191.04,262.25,209.94,188.55,106.32,111.74,14.06,36.96,4.28,149.19,39.98,15.03,112.00,74.51,160.09,224.30, ,186.55,46.79,208.04,133.35,115.87,211.63,160.09,161.99,207.56,156.63,18.38, ,201.37,34.11,197.70,112.59,144.97, ,172.00,85.46,237.69,128.48,59.03, ,221.02,115.25,261.86,242.76,126.38,13.31,205.58,118.90,245.56, , ,135.86,112.35,128.08,269.68,72.71,185.10,63.48,218.10,215.16,125.67, ,138.98,210.57,20.92,295.54,79.01,120.64,134.78,97.47,231.53,221.16,259.97,253.26,133.00,175.48,104.26,298.84,119.04,293.22,138.15, ,217.16, ,186.55,207.22,294.44,58.89,28.53,130.49,279.18,260.37,257.35,71.67,7.87,165.59, ,3.74
155.40,1.04,107.44,8.00,141.46,150.35, ,169.21,157.05,151.04,3.04,182.06,64.57,265.42,191.01,233.90,151.47,181.89,262.24,260.25, ,106.99,227.43,73.26,139.32,266.02,224.69,138.80,138.98, ,69.14,260.89,100.59,157.83,64.62,11.40, ,181.77,77.82,114.12,224.17,72.72,210.18,264.59,296.80,77.71, ,297.44,175.75,34.87,80.51,153.65, ,27.42,256.21,82.87,256.31,23.77,197.22,26.42,282.93,265.38,284.83,58.09,13.84,242.21,236.63,201.08,166.05,2.21,33.73,192.59,92.12,19.06,150.31,151.15,68.71,193.88,254.63,260.88,108.08,15.90,244.79,73.25,145.48,233.10,160.55,169.25,42.05,242.00,233.80,25.59,209.68,56.05,171.43,132.79,220.02, ,164.81,97.48,211.14,208.74,33.49,259.61,76.47,228.15, ,21.30,84.24,213.88,95.30,157.22,64.83,76.77,242.05,186.53,53.57,126.43,92.97, ,79.12,251.46,206.15,28.57, ,259.56,257.72,199.75,282.94,192.18
 ,134.23,240.17,255.71,178.34,92.61,203.18,276.52,179.00,187.83,83.23,167.13,262.97,97.42,204.93, ,264.64,104.32,55.81,122.49, , ,148.06,125.31,50.29,198.79,167.78,16.19,273.50,136.00,11.28,100.42,184.00,188.93,231.83,144.55,0.19,276.46,252.90,168.05,81.73,236.15,173.21,122.54,166.20,42.20,172.45,250.76,207.68,44.78,84.43,193.84,68.45,232.88,272.07,24.54, ,260.69,40.98,125.84, ,84.38,256.71,72.51, ,280.19,58.07,131.60,13.55,15.84,149.09,155.92, ,209.71,22.42,158.77,38.85,14.69,276.35,80.07, ,93.36,226.04,148.77,98.82,273.85,46.16,151.86,72.97, ,190.76,24.80,171.47,95.99,186.89,157.55,121.21, ,150.27,211.74,20.10,161.35,125.22,116.90,109.58,190.66,80.63,246.17,298.14,226.15,196.71,41.84,119.71,223.98,40.73,269.03,146.27,54.80,37.89,248.56,61.57,68.84,265.89,272.36,24.83,148.32,197.01, ,16.73,9.17
9.16,255.74,291.16,124.79,124.01,211.21,58.06,40.31,16.32,172.62, ,71.14,1.68,18.83, ,287.25, ,296.41, ,66.41,13.46,194.74,187.70,108.94,156.38,146.02,204.57,153.05,89.78,286.40,0.54,42.82, ,14.41,110.26,50.61, ,241.81,92.67,43.05, ,199.42,221.28,255.44,225.17,29.71,226.56,207.42,130.46,169.15,179.41,86.62,21.76,171.83,134.49,1.91,76.60, ,297.88,42.42,198.62,267.52,209.13,12.91,185.62,78.11, ,57.52,17.55,158.94, ,293.43,40.05,267.30,116.51,214.82,202.99,141.51,218.93,225.67,259.60, , ,141.79, ,258.91,174.51,134.43,111.28,252.69,292.44,257.33,108.89, , ,257.77,141.27, ,73.11,68.08,5.72,140.59,168.77,275.46,220.07,97.91,140.80,237.64,196.06,143.76,55.87,270.09, ,278.49,280.47,111.84,252.23, ,53.18, ,28.64, ,216.75,285.06,213.74,92.41, ,236.17,173.82,92.20
209.62,4.57,17.20,83.65, ,117.80,28.60,51.25,277.45,180.72,25.54,185.21,204.25,54.13,176.99,118.56,266.02,142.37, ,258.77,175.88,57.56,125.49,249.74,272.60, , ,243.27,120.33,210.62,115.36, ,171.76,138.29,244.80,293.88,239.43,27.13,291.20,161.82,175.36,258.96,104.93,36.37,14.40,21.93,212.96,138.40,14.45,222.49,257.35,110.49,150.01,233.11,63.25,127.57,287.95,31.71, ,68.08, ,165.68,132.90,185.02,163.36,247.99,158.71,2.22,102.12,106.83,293.45,130.16,108.70, ,140.41,188.14,115.18,74.18,16.04,226.31, ,125.78, ,284.49,104.24,242.79,60.53,249.91,108.19,39.31,278.47,137.30,88.22,49.76,293.77,15.21,53.14,45.86,133.41,129.13,284.05, ,44.59,144.02,158.15,14.52,193.42, ,60.04,174.23,144.85,175.59,88.08,191.45,217.19,164.30,262.50,118.25,192.94,0.62,26.35,182.65,109.00,32.55, ,206.77,204.21,154.42,162.85,255.72
0.35,161.09,243.08,164.92,202.38,100.30,59.47,253.17,124.87,202.82,89.42,272.74,184.36,57.90,210.31, ,210.66,205.09,237.27,122.25,116.90,137.26,214.85,140.58,278.01,287.94,260.07, ,253.69,71.81,29.09,25.21,192.79,278.18,256.68,272.37,9.60,130.89,42.59,37.60,262.03,115.65,168.31,178.59,195.06,133.59,232.53,297.24, ,275.41,134.88,247.81,177.72,259.40,118.14,112.33,205.45,61.49,188.89,17.98,169.72,144.49,200.92,91.11,181.48, ,16.36,249.48,112.36,104.27,143.17,299.43,253.13,150.52,208.90,110.50,294.91,64.29,279.80,179.89, ,246.42, ,181.06,110.29,282.24,180.51, ,179.94,215.37,64.95,108.85,118.38, ,197.26,273.81,160.51,183.11,100.12,74.99,148.03,274.59,99.83,255.68,35.04,277.43, ,285.31,125.19,72.49,0.95,284.04,25.95,61.12,237.86,210.50,99.98,193.63,195.60, ,257.66, ,235.09,291.10, ,116.29,135.11,25.04,110.55, 
248.29,162.00,216.13,105.20,168.28,246.36,47.57,21.54,188.34,150.12,177.02,295.72,47.84,226.14,232.78,74.87,93.37,67.23,9.37,25.61,171.27,241.53,104.27,50.19,219.69,172.04,113.05,297.82, ,223.96,222.78,284.15,146.52,171.09,230.39,181.63,214.79,49.57,257.87,183.82, ,84.14,29.03,290.28,58.08,250.81,203.06, ,6.92,172.52,6.50,221.53,210.95,41.73,269.95,273.15,250.08, , ,234.50,62.88,193.17,212.16,246.22,112.03,66.61, ,73.11,52.67, ,188.99,258.93,2.58,12.71,137.55, ,72.06,88.13,278.88,245.57,77.51,251.43,228.31,161.79,23.43, ,21.84,265.64,262.40,212.85,220.87,225.73,122.47,34.25,290.32,101.45,243.06,81.17,191.46,135.51,40.58,155.54,153.43,43.19,89.40,90.94,6.45, ,128.92,290.64,18.44,86.25,99.25,229.34,240.87,208.48,287.07,289.29,111.88,92.69,199.87,18.65,55.19,166.52,63.43,168.91, ,255.16,112.61,159.38
245.43,94.05,92.94,68.47,164.38, ,92.08,283.85,288.96,146.04,223.14,12.65,291.34,47.20,138.61,80.76,297.20,118.24,279.56,144.85,35.11,57.10,102.62, ,91.58,83.96,3.11, ,95.16,285.71,206.15,194.12,148.51,173.53,267.69,137.48,275.07,136.34,299.79,73.11,30.53,21.67,156.20,237.30,299.87,93.71,47.32,192.92,179.15,162.57,219.52,259.38,172.65,226.76,34.67,110.14,152.96,42.79,146.91,260.53,203.09,52.78,42.07,146.24,12.14,68.07,8.87,126.26,123.16,53.95,52.89,223.03,295.91,215.02,245.91,289.58, ,42.37,271.86,245.65,0.21,261.16,263.34,58.13,111.76,198.81, ,62.90,69.90,158.44,201.62,160.47,253.35, ,52.76,221.64,255.22,252.88,153.71,204.97,61.07,22.99,286.33,22.78,256.93,37.39,283.21,102.33,95.09,107.98,254.72,146.26,251.46, ,105.17,31.27,76.43,40.01,34.34, ,213.29, , ,125.82,92.42,298.28,120.74,35.36,135.88,285.39
 ,111.69,296.13,209.53, ,249.54,225.31,167.94,60.55,89.27,132.48,114.52,69.21,237.03,10.72,286.19,160.25,107.80,263.09,262.30,141.73, ,67.04,12.45,148.96,294.90,153.53,149.86,245.80,221.32,95.85,36.55,154.47,199.76,266.60,169.54,292.25,146.76,169.79,264.92,180.26,54.10,136.41,18.07,289.09,132.57,233.61,176.90,172.64,295.32,227.19,141.49,246.24,278.73, , ,134.79,203.47,61.49,92.84,122.08,18.96,166.87,123.77,40.65,120.44, ,47.63,277.14,147.08,245.81,112.84,97.91,92.92,202.04,79.64, ,161.57,209.53,253.14,72.21,29.71,29.77,240.27,142.51,77.69,153.15, , ,138.71, , ,263.34,205.14,223.20, ,132.73,198.65,167.35,195.74,222.21,0.27,203.61,230.51, ,271.32, ,110.03, ,235.54,207.23,201.84,207.39, ,2.54,129.19,238.45,229.89,86.04,13.48,137.78,1.15,215.32,1.92, ,240.82,183.83,101.57,278.48,233.03
11.50,70.84, ,95.77,78.15,41.44, ,179.22,172.60,250.95,79.69,32.95,237.19,168.56,2.46, ,235.48,59.23,159.52,132.01, ,210.16,93.35,8.55,37.42,50.34,287.16,264.66,150.53,236.89,240.60,166.13,174.83,47.55,114.33,221.36, ,131.52,133.42,215.27,170.72, ,159.09,286.34, ,136.87,40.58,266.19,22.09,154.76,2.07,91.23,165.47,30.31, ,163.73,282.84,1.01,126.04,162.84,283.84,249.25,7.10,275.63,127.30,141.78,232.21,195.42,251.36,252.77,123.83,78.64,86.21,185.93,239.75,24.63, ,15.29,273.88,233.03,22.39,79.09,208.66,9.41,206.39,138.80,151.19,10.59,71.01,237.08,206.01,293.47,188.44,262.27,246.23,136.78,86.11,62.73,215.42,192.78,148.95,295.07,78.71,61.19,234.82,127.48,85.82,158.42,142.77,59.70,91.45,165.15,138.79,0.10,174.56,45.19,138.90,25.75,55.77,209.91,262.83,261.78,203.38,151.26,224.05,149.61,288.05,10.16,212.35,203.47
