Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41
170.28, ,29.72,100.56, ,167.02,72.97,45.38,19.67,30.17,8.73,75.45,30.79,100.24,132.06,195.63,58.15,247.88,95.62,150.18,119.90,125.16,278.65,270.37,47.21,51.42, , ,93.24,126.43,114.04,144.68,284.47,75.56,252.45,232.10,273.85,119.84,244.86,269.54,96.81
215.77,72.69,275.10,11.27,59.41,60.01,134.97,106.92,276.83,81.71,162.00,260.94,154.57,80.33,121.04,140.84,25.37, ,0.47,296.20,138.87,162.00,256.47, ,167.00,209.25,92.26,4.27,53.09, ,133.42,80.04, ,116.85,37.31,36.40,97.98,255.65,0.39,175.94,148.49
90.19,291.65,128.98,235.65,154.76,15.49,274.69,261.48,61.99,193.31,115.57,236.77,210.77,69.82,144.03,129.65,276.04,116.68, ,52.32,271.97,2.58,221.66,71.15,90.62,206.51,185.51,125.78,108.56,26.54,206.97,24.92,220.89,257.88,263.43,13.00,257.17,45.07, , , 
134.83,98.54,71.68,149.62, ,212.55,0.17,299.79, ,220.68,218.60,134.72, ,70.12,275.16,64.80,231.41,154.21, ,178.04, ,27.66, ,240.21,156.76,272.39,20.47,53.14,139.66,167.87,257.99,74.41,118.64,4.59,247.98,130.84,11.41,153.69,39.14,201.66,153.65
77.75, ,130.89, ,18.76, ,276.74,80.42,153.54,54.50,122.18,59.85,188.08,101.90,281.54,18.80,49.45,255.19,259.96,36.75,104.84,172.74,52.69,131.49,127.36,135.24,62.67,197.75,137.49,67.90,195.45,296.47,279.54,168.47, ,205.22, ,223.02,224.15,232.12,181.94
241.65,9.01,212.28, ,49.78,22.96,101.86,165.28,89.20,215.24,154.67,134.92,43.48,221.40,46.00,201.14,218.70,114.49,130.60,178.08,227.66,49.19,10.70,76.29,31.39,128.59,111.99,183.32,77.39,174.66, ,75.79,0.47,43.36,124.72,101.56,292.27,54.28,13.30,98.08,0.14
241.79,201.60,69.52, ,174.24,106.09,7.52,256.47,78.32,126.35,281.51,135.21,185.73,297.41,255.08,154.62,52.38,246.29,110.34,240.37,235.08,240.59, ,197.06,159.74,70.58,58.52,137.89,87.76,40.03,249.97,96.86,203.02, ,160.70,244.31,232.60,147.54,121.99,70.25,88.70
 ,91.38,38.82,248.41,224.15,68.83,139.08,168.78,3.36, ,251.38,3.87,233.43,57.18,80.36,121.63,274.69,260.45,297.25,128.88,113.87,192.66,256.40,156.77,61.70,201.28, ,205.15,253.96,254.24,136.91, ,5.98,89.43,236.82,156.14,210.51,183.02,257.99,161.50,137.90
81.26,236.28,244.33,55.75,87.59,137.80,196.13,225.61,110.20,72.23,228.14,236.35,85.90,250.57,9.11,170.61,127.65,192.15,240.24,72.87,13.04,197.09,54.44,194.72,285.14,130.99,249.69,24.43,261.68,282.99,63.47,61.15,260.49, ,200.73, ,228.57, ,125.66,1.07,18.14
233.51,296.70,234.78,171.22,25.72,253.36, ,106.97,100.82,10.96,268.19,99.90,126.42,22.42,47.61,267.97,204.29,210.03,187.85, , ,299.79,111.58,278.21,53.94,286.01,142.95,277.07,150.96,289.39,53.32,144.17,250.32,274.36,99.54,134.42,20.42,90.35,130.49,50.55,147.57
249.34,290.76,233.37,29.90,15.11, ,159.28,210.08,78.88,7.28,204.85,261.51,119.46,169.55,144.07,35.58,3.33,171.39, ,13.12,182.24,42.88, ,147.40,95.25,122.51,167.37,131.65,66.42,222.40,139.12,289.96,247.11, ,118.50,160.29,182.69, ,225.57,47.36,236.61
299.24,245.15,86.49,295.50,27.90,88.88,284.38,41.72,72.13,49.98,102.82,177.86,41.45,29.89,176.39,231.43,25.62,42.25,253.38,265.02,255.65,148.30,132.73,171.52,132.55,200.02,103.11,80.73,181.30,233.37,77.11,233.32,41.38,214.85,13.31,276.04,233.75,209.00,14.37, ,146.92
171.36,105.13,163.02,130.54,183.06,50.75, ,153.49,97.11,84.00,248.20,79.39, ,288.39, ,68.91,45.68, ,127.98,40.37,125.74,264.63,59.14,56.66,168.87,277.79,229.89,185.40,167.61,174.33,15.79,224.91,118.77,26.68,171.89, ,297.64,202.37,297.09,63.09,86.62
155.56,138.88,209.23,111.39,3.14,292.38,192.29,195.00,254.61,60.02,79.48,259.61,64.09,199.61,134.47,36.17,10.06,233.82,3.87,195.88,12.59,83.24,116.19,93.01, ,153.03,199.45,52.08,274.79,80.92, ,67.15,133.29,13.20,296.50,112.32,24.07,80.65,29.80,85.54, 
205.52,60.11,186.54,286.28,120.96,263.30,134.34,97.50,114.64, ,131.70,100.44,101.84,263.08,77.93,254.44,254.14, ,59.11,217.86,278.15, ,241.45,246.93,100.54,157.54, ,289.24,166.98, ,48.07,175.55,156.73,171.58,60.28, ,177.11,215.37,233.95,96.72,274.89
37.52,297.16,199.91,244.74,131.42,114.97,164.19,96.24,112.55,54.46,77.09,284.94,86.83,20.43,155.87,23.16,128.69,196.05,6.72, ,138.13,210.47,293.63,173.90,263.99,42.28, ,273.85,150.56,257.63, ,113.50, ,6.89,287.70,23.61,43.74,132.56,29.58,166.81,84.11
145.02,196.91, ,170.76,173.78,195.21, ,8.71, ,15.60, ,218.54,125.18,48.81,135.45,167.94,259.42,156.89,117.17,3.27,224.55,14.16,136.05,31.66,270.01,160.36,5.47,105.79,41.18,88.38,233.00,178.89,208.37,296.87,89.58, ,14.13,180.08,77.02,201.77,209.01
82.13,81.95,190.89,202.21,0.97,278.50,257.73,165.67, ,191.21,167.93,97.22, ,267.34,176.20,107.70,245.59,170.31,50.87,240.13,106.70,31.92,198.39,256.13,283.17,255.26,291.86,163.48,249.59,286.69,299.93,211.01,284.23, ,35.10,213.18,249.22,20.10,52.67,290.56,292.93
71.98, ,84.37,207.11,53.51, , ,288.18, ,272.41, , , ,185.20,243.82,15.80,92.14,268.81,18.49,280.85,189.65,0.37, ,53.88,258.94,278.73,106.27, ,78.29, ,263.48,120.21,270.14, ,295.70,3.97,150.57,91.88,50.05,136.97,146.13
108.17, ,137.88,57.38,138.00,196.05,270.38,104.44,114.71,236.21,203.52,32.55,42.28,238.39, ,87.62,37.25,234.10,33.68,200.87,131.81, ,233.29,265.64,127.80,237.28,262.32,14.41,29.14, , , ,277.37,171.87,250.95,158.10,99.78,37.97,275.88,164.87,252.99
 ,33.34,54.98,280.67,290.53,126.08,277.35,35.53,189.18,283.45,208.25,94.93,6.05,243.11,191.38,246.39,97.23,233.86,275.39,221.60, ,47.68,201.69,59.62,254.16,217.65,18.03,44.23,191.78,228.36,262.12,131.57,131.87,289.96, ,204.49,52.61,253.35,30.53,136.32,272.49
182.37,264.12, ,249.38,36.78,145.06,212.37,55.01,87.93,28.31,249.46,227.23,187.34,108.83,140.25,178.17,255.93,50.47, ,299.85,102.79, ,101.69,105.62,134.20,201.67,68.17,96.50,229.43,299.33,189.51,111.82,225.93,167.65,91.78,276.25,36.44,204.68,243.80,294.84, 
196.51,272.01,37.03,277.08,266.74,210.39,127.16,32.24,145.72,286.68,284.89,115.82,267.05,82.53,248.79,181.19, ,153.20,138.10,170.02,87.35,69.36,12.51,225.91,193.15,194.09,219.45,88.35,223.52,140.71,291.10,82.05,102.32,29.35,55.87,99.39,84.73,36.89,216.18,4.65,197.35
81.87,155.21,174.97,212.53,279.60,16.93,40.04,296.90,59.67,268.76,195.99,27.81,150.72,195.67, ,93.02,135.19,209.33,84.79,217.94,267.66, ,29.31, ,26.21,296.32, ,155.38,253.23,207.83,127.18,259.32,196.52,15.71,222.76,191.12,239.06,178.48,108.98,222.23, 
 ,41.95,52.98,287.93,80.52,110.16, ,69.48,195.78,103.93,5.67,193.23,64.10,94.97,293.80,46.97,236.75,81.38,253.17,237.64,59.24,69.54,132.66,55.16,221.92,30.55,284.14,144.09,108.59,172.97,241.81,141.81,120.14,128.27,201.91,32.69,199.30,228.08,241.25,60.40,142.34
90.76,14.72,174.72,173.90, ,115.71,67.50,87.77,122.54, ,188.44,153.74,296.01,119.71,65.07,100.42, ,191.19,285.77,208.61, ,256.30,115.66,102.27, ,92.96,172.79,120.91,139.31,62.58,28.37,286.20,100.25,179.52,227.50,117.48,274.36,92.41,233.07,111.39,28.06
275.46,189.91, ,29.21,29.99,33.40,236.55,130.07,121.39,57.67,239.00,261.03,286.19,289.49,81.54, ,285.89,231.44,104.33,205.01,228.85,142.75,91.91,88.74,206.01, ,192.69, ,153.72,159.69,195.16,205.42,192.82,235.60,67.10,23.12,149.29,127.46,210.63,76.66,141.44
209.62,175.37,294.68,264.54,152.97,16.60,87.35,249.69,33.68,62.87,288.90, , ,204.20,35.73, ,177.17,128.38,138.91,293.02,151.80,20.98,164.00,98.85,29.06,107.11,184.67,34.75,172.67,1.03,186.84,10.82,245.44,62.36,26.46,252.36,202.78,189.76,52.71,140.20,110.41
