Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44
93.36,30.84,192.94,209.72,94.22,75.51, , ,277.52,123.95,129.45,9.01, ,265.97,219.40,15.35,60.08,192.35,203.91,68.27,156.70,268.72,239.69, ,189.74,88.90,256.93,59.14,108.91,231.92,196.23,176.63,240.03,187.58,253.61,183.64, ,47.82, , ,193.82,177.25,289.64,225.27
 ,191.22, ,123.13,123.14,54.81,243.12,5.94, ,140.49,186.23,289.95,295.39,176.89,154.71,185.76,70.50, ,261.72,222.61,288.82,87.94,164.12,148.13,89.55,10.56,92.47, ,75.54,299.10,33.81,97.65,199.44,13.32,129.86,117.76,112.78,2.65,27.63,4.54,123.26,208.25,3.26,176.57
188.24,31.22, ,128.87,228.91,154.94,126.88,241.82, ,105.34,248.10,77.95,30.67,163.43, ,166.69,232.72,177.71,276.71, , ,241.38,102.59,190.83,75.24,271.07,237.98,115.03,93.27,101.62,231.09,50.63,30.02,43.27,91.73,7.49,125.55,296.35,45.20, ,120.44,128.68,257.80,102.40
 ,170.07,231.74,170.92,198.94,265.71,108.66,262.19,287.03,65.03, ,110.23,173.49,190.38,218.05,146.17,176.94, ,7.32,291.67,297.54,79.17,132.83,20.70,3.99,182.75,291.11,179.25,72.11,52.04,27.97,220.45,77.17, ,84.49,230.60,16.60,41.89,254.04,0.56,233.71,231.80,299.39,181.97
202.53,213.10,19.86,197.27,190.49,7.20,220.20,237.70, ,279.59,13.05,217.20,143.02, ,145.75,124.33,85.93,19.62,3.68,112.36,107.76,102.09,277.83,52.76, ,111.77, ,124.83,92.94,247.44,180.84,243.30,120.91,32.03,28.27,180.01,236.66,143.48,102.73,61.04,36.83,267.26,195.85,36.37
279.02,7.21,77.00,165.03,279.75,38.44,232.77,148.65,206.21,208.18,113.44,164.43,289.34, ,185.19,118.58,202.80,181.19, ,131.71,77.30,124.75, ,57.52,268.14,240.40,135.13,73.71,113.77,93.68,6.18,169.24,152.85,227.15,134.70,165.74,183.84,187.13,96.69, , ,171.60,25.11,223.51
111.07,22.79,282.74,183.63,153.74,224.01,70.51,187.42,121.09,213.46,70.84, , ,74.98,78.78,131.20,198.91,39.57,147.03,250.68,174.28, ,98.29,137.64,72.72,278.08,287.35,214.83,239.17,72.49,98.22,194.84,71.49,140.08,284.15,243.86,36.67,81.93,233.58,291.95,293.47,150.29,256.33,278.33
 ,50.82, ,223.40,283.30,291.11,288.08,285.77,290.06,280.22,157.39,291.56, ,285.03,70.39,75.70, ,271.21,294.99,102.86, ,86.16,75.46,201.36,195.30,40.78,113.52,75.13, ,224.47, ,43.84,55.21,153.34,90.76,294.38,176.27,105.47,126.05,171.96,231.65,160.71,285.00,85.20
1.56,284.61,278.89,266.81,148.00,33.49,193.56,259.88,240.63,32.26,246.28, ,177.93,254.81,256.49,235.57,230.60,1.23,104.00,146.39,177.68,171.59,160.09,76.31,140.08,262.17,87.93,0.86,137.88,116.23,184.71,110.98,176.91,294.89,141.89,119.01,107.81,136.00,190.05,197.81,53.96,236.91,26.37,107.75
193.43,258.61, ,69.59,152.69,188.34,23.69,252.62,137.42,179.25,133.27,3.12,145.51, ,287.40,38.08, ,231.52,12.31,294.93,203.11, ,91.45,287.39,233.84,258.48,209.89,10.33,66.90,146.96, ,134.36,12.14,173.15,248.66,253.31,267.36,91.21,247.87,218.45,6.27,27.41,158.99,193.66
158.10,7.39,41.45,207.55,71.27,297.25,266.17,263.51,106.98,164.58,127.15,123.79,32.13,16.75,242.39,51.55,277.81,188.59,200.69,72.85,176.84,291.88,20.66,76.53,10.11,182.50,24.15, ,56.28,287.44,99.87,298.94,175.66,88.94,258.57,267.78,61.92,222.40,58.54,281.45,187.91,68.69,246.71, 
2.99,283.31,32.32,249.32,56.82,21.63,265.76,219.53,268.62,118.68,15.96,155.00,184.38,270.83,24.27,205.42,278.26,277.63,69.89,243.26, ,264.89,199.90,297.99,140.22,214.86,271.36, ,173.50,246.32,5.27,190.14,297.84,99.42,178.98, ,122.24,136.56,74.47,258.74, ,98.96,47.50,299.23
281.49,54.55,17.07,198.40,270.52,75.61,171.72,239.25,76.83,210.71,9.74,122.70,79.81,110.07,34.39,86.15,282.05, ,299.12,142.10,171.05,281.94,210.07,180.24,13.36,194.92,125.24,0.03, ,221.70,49.22, ,135.37, ,276.08,107.99,57.76,47.67,296.25,6.18,168.90,246.14, ,123.46
27.40,17.07,45.19,298.52,161.41,273.25,109.98,78.26,246.68,34.26,88.83,48.96,191.82,267.74,224.66,285.86,214.70,201.35,37.52,261.17, ,234.41,143.74,247.47,70.00,164.59,128.87,161.75,79.32,118.21,125.76,241.40,124.12,279.17,281.85,45.17,212.81,49.98, ,297.45,172.90,51.48,166.36, 
16.83, ,135.04,174.30,215.25,168.58,231.29,141.43,297.76,23.14,72.18,80.25,266.59, ,18.07,273.47,86.28,275.37,125.35,9.12,164.47,38.39,192.52,165.48,288.73, ,266.07,105.69, ,72.28, ,90.35,110.07,24.60,22.77, ,271.99,95.53,129.78,160.52,124.89,25.15,213.68,79.69
156.84,203.03, ,39.63,63.79,66.88,250.07,247.80,61.65,271.32,246.12,58.63,230.12, ,43.73, ,123.42,201.56,74.87,74.90,150.16,264.21,227.08,6.70,90.07, ,61.39,237.35,25.09,96.74,199.33,108.02,263.89,145.61,54.74,288.22,126.46,133.45,53.99,50.21,137.80,220.10,85.03,65.82
63.21,219.84,3.04,206.59,7.74,180.24,28.50,231.73,295.37,198.47,112.91,278.24,67.25,149.91,55.79,262.41,78.29,81.55,210.12,48.26,40.34,280.33,96.96, ,92.33,122.27,90.15,119.93,138.21,190.77,74.06,252.90,184.79,274.62,45.26,14.38, ,242.89, ,39.85,295.75,132.75,273.88,188.98
263.76,112.08,17.68,261.03,79.21,105.72,111.95,16.59, ,19.69,57.56,109.07,87.38,45.82,215.13,94.39,232.48,121.01,139.25, ,109.82,193.88,140.19,66.52,132.16,176.47,238.18,10.45,55.49,197.07,166.82,55.29,98.27,296.77,16.11,233.34,90.29,41.47,133.05,87.26,288.61,166.59,231.84,78.04
128.73,248.23, ,3.51, ,180.37,124.46,172.00,22.41,185.02,192.77,171.87,283.28,243.76,87.27,26.90,162.93,140.41,151.19,114.66,220.49,190.58,191.52,102.75,24.87,277.80,5.84,197.68,10.15,138.98,17.04,262.72, ,103.13,172.70,105.78, , ,85.78, ,148.37,206.26,140.41,90.89
33.74, ,43.88,274.35, ,140.24,27.01,207.15,34.45,123.91, ,224.73,46.39,163.80,123.33,39.42, ,185.67,116.49,85.01,295.39,93.54,30.33,297.38,138.67,229.06,261.47,187.32,271.96,140.70,227.71,210.39,5.67,276.23,117.10,68.66,287.56,248.12,282.75,255.36,277.32, ,238.79,271.33
81.95,56.39,3.42,163.31,239.81,214.76,76.48,130.65,263.57,137.09,275.60,236.81,59.91,181.03,231.23,214.40,228.06,266.11,204.93,170.02,88.79,206.72, ,37.37,24.35,191.33,5.82,242.62,33.84, , ,295.08,246.94, ,217.73,295.76, ,165.78, ,250.56,57.85,211.50,35.70,3.42
247.54,284.12,11.18,34.23,43.05, ,51.31,208.39,230.48,129.46,298.46,46.82,79.89,84.09,93.86,195.40,273.35,119.48,183.91, , , ,228.40,261.80,126.68,93.59,116.93,156.19,236.67,218.86,112.87,88.70,6.24,112.03,43.54,62.89,193.71,121.47,208.80,285.22,70.74,193.21, ,49.40
205.34,245.51,191.04,288.87,62.59, ,241.56,277.51, ,171.22,288.92,203.77,278.55,142.92,132.46,26.03,57.24,260.03,131.54,59.10,180.80,33.35, ,289.82,67.70,171.29,146.19,266.43, ,205.69,200.53,91.89,220.01,157.92,151.87,31.11,109.88,32.65,234.46, ,234.53,290.32, , 
270.44,54.88,98.38,14.13,208.06,56.53,98.60,209.06,267.68,197.95,152.68,114.04,174.23,112.18,154.39,1.06,231.13,238.42,172.11,166.04,193.23,137.36,159.15,79.90, ,277.84,19.12, ,267.70,169.02, ,23.41,58.86,49.46,86.66,286.92,245.02,232.44,204.45,26.74,4.17,117.31,159.98,1.04
104.13,149.45,252.10,2.33,21.10,125.76,130.76,146.96,179.77,243.37,3.68,35.08,123.68,289.86,288.81,264.09,185.19,276.95,286.40,148.25,31.07, ,161.83,262.22,266.46,180.98, ,151.09,53.15,238.14,258.42,33.92,19.90,36.05,56.40,276.14,29.95,178.66,169.04,107.43,231.82,287.63,194.36, 
 ,113.48, ,71.90, ,294.41,243.55,250.10,52.90,204.61,233.45, ,102.49,35.49,280.45,196.77,78.90,31.20,148.96,16.94,270.95,215.27,284.93,174.31,298.63,189.49,34.00,9.54,21.39,45.64,229.58,264.78,277.89,34.89,33.58,47.71,93.20,228.74,208.70,63.03, ,252.52,237.60,298.35
246.68,119.73,272.96,213.30,40.02,16.33,242.86,214.58,161.36,176.14,86.25,2.52,182.78, ,120.38,280.74,127.01, ,75.52,76.34,278.52,198.10,283.22,63.01,88.36,75.35,163.86,243.68, ,126.46,137.57,1.76,141.32,142.43,204.29,231.86,118.04,91.21,31.44,175.90,20.54,4.59,264.13,228.72
21.37,251.95, ,253.71,143.34,119.67,286.77, ,179.88,278.93,190.10,203.28,239.60,166.26,208.86,110.37,260.91,192.76,290.68,166.57,38.12,87.59,235.82,267.69, ,246.62,14.08,290.08,196.58,246.34,122.75,251.13,37.64,153.08,73.56,117.06,85.98,129.07,1.93,90.65,299.81,204.43, ,194.51
190.82,40.30,231.16,282.72,154.67,44.57,139.16,222.22,178.41,9.71,290.25,92.03,185.36,12.31,123.54,293.21,15.22,45.95,150.55,137.85,94.26,110.38,274.85,114.06,20.91,154.64,9.32,119.04,75.96,93.92,38.15,213.87,120.65,299.74,288.49,276.42,20.02,16.18,119.39,148.13,254.01,151.47,249.44,158.00
101.84,224.91,39.06,193.37,98.61,130.92,30.71,169.85,194.14,45.59,16.27,153.83,196.50,233.61,275.80,171.35,43.54,217.64,235.04,242.31,4.12,120.75,180.57,85.56,176.62,88.23,24.88,163.16,247.36,67.32,188.38,0.81,34.93,14.52,29.47,3.63,30.07,68.42,114.97,285.34,285.13,184.48,15.63,231.39
 ,298.71,32.80,186.98,272.32, , ,134.90,245.93,266.14, ,176.78,90.88,176.87,235.68,86.02,108.99,214.31,16.11,286.20,287.46,225.82,230.16,227.79,114.05,132.38,33.19,69.63,171.28,200.08,7.85,58.28,3.50,70.25,73.07,273.11,7.37,153.42,67.05,103.77,177.49,65.45,245.31, 
116.59,234.82,89.44,281.83,224.42,276.53,27.50,217.14, ,116.08, ,183.13,81.67, ,17.82,110.82,264.76,79.73,80.39,135.79, , ,225.72,18.61,267.05,86.90,91.96, ,69.85,19.18,150.32,169.34,30.14, ,175.70,291.12,215.48,257.39,168.98,140.14,52.87,239.18, ,31.14
158.78, , ,252.52,97.28, , ,254.33,3.12,195.05,82.02,216.59,190.93,122.76,152.57,17.70,92.21,35.07,149.84,128.96,143.07,224.21,53.66,6.17, , ,15.98,223.17, ,114.10,232.47,184.83,210.31, ,259.16,205.64,76.15,211.35,260.84,21.46, ,27.63,59.18,87.25
152.01,295.98,52.08,158.72, , ,114.08,28.19,251.15,102.47,48.53,246.58,43.15,198.19,32.36, ,119.61, ,139.43,117.75,68.07,128.42,45.51,204.45,268.82,210.89, ,259.42, ,143.51,49.00,206.91,299.07,200.97,58.19,282.33,231.90,152.41,209.35,2.82,271.62,269.40,42.93, 
135.90,285.44,247.66,178.95,26.21,229.99,143.68,151.26,202.29,172.03,111.00,265.43,41.56,194.20,280.00,65.99,203.60,87.94,78.56,180.29,52.37,273.70, ,124.95,282.95,87.69,137.61,211.00,199.20,256.62,128.07,189.25,165.16, ,16.42,298.80,124.00,6.99,247.22,222.65,70.61,250.58,86.88,227.18
7.41,105.91,203.32, ,147.30,260.59,249.04,178.01,103.82,152.75,176.40,124.18,11.02,289.87,160.32,254.37,105.50,115.52,232.94, ,80.24,216.67,64.65,137.46,0.31,63.16,243.03,26.01,14.59,272.19,259.77,296.16, ,25.78,111.94,267.90,38.96,284.69,148.16, ,58.57,202.50,83.31,125.29
127.85,208.77,181.66,170.31,137.93,203.60, ,162.32,226.03,274.24,199.69,91.90,180.96,238.06,56.69,127.98,211.45, ,11.49,243.33,27.33, ,230.93, ,93.25, ,294.53,222.65,291.47,229.78,287.93, ,44.63,3.09,162.90,285.43,120.46,56.19,10.03,78.71,69.96,208.96,166.48,4.54
69.50,290.49,7.02,117.04,109.78,262.29,91.08,147.06, ,203.25,186.51, ,200.64,9.99,39.16,187.63,237.17,62.79,199.05,86.00,121.47,136.23, ,227.31,15.51,207.97,198.16,106.07,295.12,46.18,102.50,292.35,159.82,209.00,148.53,173.48,100.28,0.85,237.71,215.53, ,123.50,265.16,278.05
213.10,47.53,143.90,10.18,130.01,199.10,108.19, ,272.82,160.22,162.25,201.83,51.15,201.27,233.99,201.17,32.36,282.88,86.46,60.37,83.07,275.67,128.22,91.53,131.79,74.71,49.68, ,100.83,273.09,179.36,225.12,124.70,97.59,254.15,235.25,133.72,6.38,83.50,225.81,291.76,259.25,227.24, 
28.06,30.70,60.52,277.14,247.74,272.81,98.98,57.88, , ,136.07,96.66,217.26,287.80,240.46,22.06,31.21,57.41,102.14,184.96,293.15,224.10,255.33,289.43,152.77,26.36,138.07,284.88,104.23,150.15,246.27,220.93,222.33,39.39,96.27,103.74,57.04,55.38,50.93, ,203.70,51.94, ,174.96
84.82,150.10,23.87,107.18,73.85,223.14,53.97, ,157.71,94.64,164.21,236.48,132.58,100.44,32.73,59.48, ,38.67,149.72,156.64,7.34,286.41,43.73,249.89,198.09,175.96,222.92,20.14,115.55,232.38,193.05,59.54,277.05,163.46,160.75,83.66,250.59,98.57,110.45,75.65,107.17,92.20,234.57,162.02
272.65,50.18,156.71,268.91,207.93,260.53,152.47,236.77,114.27,97.38,83.80,233.26,124.64,221.06,137.79,109.33,177.49, ,34.20,245.05,177.17,128.49, ,172.69,32.94,217.97,211.67,3.35,192.75,170.39,187.19,196.89,118.62,156.03,108.57,39.81,2.43,105.02,47.12,130.91, ,48.88,176.32,213.73
243.40,191.64,228.91,254.10,18.44,81.47,137.05,153.01,209.17,218.60,17.36,288.36,160.97, ,37.29,221.54,31.30,250.19,192.17,42.61,168.44,199.08,208.14,134.65,14.97,240.33,122.25,160.78,297.61, ,34.90,149.01,17.21, ,105.72,193.64,122.05, ,21.12,127.57,178.37, ,283.26,14.33
226.26,25.19,73.13,258.77,101.67,76.25,95.86,218.38,30.31,51.58,61.54,77.31, ,226.60,256.93,44.71,242.48,87.63,292.94,125.12,141.97,128.24,273.20,274.28,40.53,14.29,76.25,67.58,83.26,295.10,10.40, ,252.87,190.28, , ,244.34,72.54,132.80,94.88,102.73, ,117.44,173.83
181.47, ,264.73, ,4.93,193.33,198.85,297.86,105.53,262.41,0.97,242.89,178.98,232.14,269.46,8.45,243.27,84.69,154.65,255.20,266.26,267.16,1.48,183.19,193.45,217.09,229.69,23.83,245.89,45.23,5.55,58.63,243.59,50.50,163.60,257.83,154.22,294.98,190.01,262.70,23.76,277.87,39.77,62.12
257.67,201.00,161.03, ,104.63,262.54,266.56,160.70,122.44,91.40,275.70,240.84,293.33,37.01,160.40,8.90,296.38,47.06,277.29, ,81.91,134.18,76.21,145.49,224.85,264.02,206.87,143.83,226.91,3.04,124.86,182.60,38.13,17.98,276.14,169.37,134.32, ,210.52,188.33,30.80, , ,26.38
 ,292.40,42.07,81.35,37.18,137.84,262.80,73.03,180.49,297.00,245.94,225.33,228.17,82.69,55.65,74.05,94.10,244.06,61.88,3.10,289.37,174.37,296.76,191.12,189.79,192.06,227.97,187.62,125.87,203.81,286.79,217.93, ,161.99,106.19,220.16,176.78,79.62,57.86,20.07,216.81,127.17,136.16,240.16
