Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112
55.18, ,155.59,68.57,293.57,299.76,200.19,67.92,43.91,67.43,240.99,236.16,36.32,43.58, ,77.82,245.85,32.72,288.59,163.28,215.87,249.28,21.44,80.11,177.35,173.22,232.98, ,115.31,274.86,111.75,236.71,209.13,292.88,58.31,167.12,131.04,257.12,9.81,223.34,267.90,288.83,148.31,177.48,97.43,122.50, ,59.21,24.74,162.21,187.23,195.71,208.42,152.18,193.89,274.99,210.63,298.32,38.62,42.72,120.71,124.74,10.68,199.22,12.88,64.01,138.81,95.18,143.79,98.88, ,73.87,100.72,45.48, ,68.77,5.03,203.74, ,214.42,118.59,26.60,13.86, ,273.57,66.05,269.25, ,159.34,202.20,202.97,226.02, ,234.70,205.94,40.58,52.87, ,2.71,123.90,7.61, ,29.50, , ,73.69,158.09,164.73,215.45,44.17,128.86,32.03
117.31,160.10,126.91,172.89,227.90,215.43,179.60,279.39,243.69,249.63,65.56,219.93,226.77,102.24,242.98,90.44,206.88,230.47,54.54,241.61,292.82,53.05,101.97,159.53,85.52, ,151.08,67.37,150.29,234.33, ,68.60,34.74,246.91,9.27,68.57, ,61.39,36.93,209.89,93.35,154.89, , ,126.03, ,276.32,72.38,176.29,178.62,116.45,176.24,126.97,76.60,6.21,147.77,94.40,33.38,72.03, ,77.99,23.28, ,225.11,220.49,129.39,12.43,224.64,71.57,133.49,162.45, ,10.22,127.09,113.11,299.38,29.96, ,53.24, ,278.36, ,79.75,168.75,57.07,280.86,144.99,276.80,254.04,17.65,136.58,146.87,244.39,43.58,6.77, , ,75.18,225.56,108.23,247.11,187.70,293.93, ,270.73,296.35,57.77,116.80,176.98,247.17,173.98,79.61
284.10,45.98,161.09,89.32,148.02,143.10,248.54,118.30,215.91, ,273.69,16.29, ,146.70,94.59,192.56,291.48,109.73,157.75,238.37,226.23,201.70,162.39,245.12,69.51,95.35,134.72,285.30,261.85,34.82, ,227.38,144.15,40.37,261.79,119.99,237.43,110.57,68.78,251.89,30.32,144.82,247.64,284.62,46.78,93.65,269.29, ,113.44,74.23,86.86,115.04, ,21.43,29.62,67.10,139.68,94.43,96.75,69.42,100.90,197.99,219.42,215.59,280.72,27.51,127.52,90.81,135.79, ,165.41,296.65,42.13, ,26.62,283.43,272.21,212.25,278.89,37.49,84.95,235.14,293.97, ,84.79, ,197.03,226.59,112.11,141.61,14.87,97.03, ,69.24,176.52,61.52,276.93,93.13, ,205.58,253.79,73.90,192.14,255.16,70.41,192.24,273.46,80.25,205.40,139.73,221.03,49.55
56.11,22.35,196.68,40.36,58.89,290.17,85.19,69.76,12.60,67.62,169.11,56.55,192.38,62.54,275.46,42.63, ,64.97,14.30,123.17,51.79,154.93,22.61,72.57, ,34.57,98.92,93.68,278.19,51.75, ,27.20,142.10, ,207.08,284.73,264.74,251.76,4.43,224.77,27.15,217.54,48.80,265.40,171.92, ,223.67,228.02,137.12,9.64,277.20,92.28,115.96,128.94,246.21,242.89,110.67,268.44,94.67,137.80,156.82,65.70, ,293.72,202.82,41.01,41.05,102.64,8.18,47.16,290.62,269.18,241.35,9.96,109.71,251.54,151.68,112.57,98.63,263.54,170.14,11.81,196.76,129.41,158.86,231.23, ,200.41,248.59,200.97,25.18,13.87, ,46.80,279.68,290.90,146.87,247.76,72.22,273.12,49.47,78.20, , ,181.12,34.04,73.46,121.76,110.25,16.79,78.41,2.48
239.69,230.35,8.02, ,281.14,81.45,282.40, ,67.84, ,101.88,40.55,161.60,8.50,26.62, ,23.09, ,262.78,133.48,25.39,182.22,40.25,119.66,25.83,90.50, ,192.38,221.91,170.55,99.13,258.36,59.77,132.71,244.24,96.38, ,232.43, ,272.68, ,295.33, ,85.83,97.29,244.26,68.84,250.94,40.76,132.66,190.76,63.43,115.45,229.48,92.24,172.92,146.56,60.26,90.52,48.09,124.30,207.01,107.15,61.13, ,193.79,258.02,11.88,274.61, ,265.53, ,138.45,75.25,89.13,103.56,236.11,59.52,198.39,35.61,13.80,123.60,131.97,66.75,174.64,15.55,6.90,125.82, ,201.07,97.48,261.95, ,253.33,253.66,44.90,208.05,172.79,266.29,113.27,148.62, ,164.17, ,143.66,226.66,211.93,249.50,47.00,26.23,74.43,152.04
269.15, ,141.94,144.33,205.02,295.33,251.79,77.98, ,88.85,155.19,44.81,1.81, ,28.04, ,7.92,280.66,4.28,119.02, ,265.73, ,261.06,132.19,271.98,123.74,125.05,61.62,83.62,261.67,91.47,31.85,298.01,76.46,171.21,98.33, ,99.39,122.27,186.83,265.36,66.58,177.17,87.81,129.12,8.70,242.71,31.49,60.53,118.56,215.21, ,89.45,260.54,297.52,30.93,219.27,6.93,260.22,33.27,181.56,15.96,127.22,212.69,139.01, ,201.84,1.92,261.36,23.53,174.69,136.38, ,219.43,142.18,174.42,186.90,59.96,237.19,281.34,56.51,106.57,22.19,46.32,239.83,108.71,98.17,181.66,282.87,35.20, ,209.62,167.65,60.47,202.79,51.85,4.16,159.24,194.38, ,279.56,18.35,122.83,174.42,29.75, ,64.95, ,274.57,253.97, 
24.48,290.95,195.63,248.52,43.67,192.59,122.46,156.89,92.97,85.15,3.17,203.05,224.76, , ,243.34, ,267.82,241.85,21.44,292.65,280.63,268.89,258.02,276.06,32.01,253.89,252.65,32.52, ,21.89, ,265.23,279.57,172.12,277.18,158.38,269.87, ,238.76,63.40,234.24,209.80,186.04,136.38,71.78,203.44,220.61,58.90,211.69,139.05, ,32.61,238.95,130.51, ,88.69,119.03,39.88, ,225.92,43.05,139.88,211.71,120.82,292.45, ,284.39,188.63,259.40,192.45,10.63,203.11,44.52, ,84.39,28.93,119.06,18.58,272.18,192.49,74.13,180.74,169.32,18.28,66.93,15.28,209.04,231.92,296.58,130.63,5.02,91.29,231.53,83.02,40.17,296.70,160.44,243.95,284.97,152.58,160.65,80.71,119.93,78.06,266.69,197.49,68.25, ,299.78,178.81,138.82
200.19,14.75,197.07,62.60,197.09,19.95,195.20,184.89,167.70, ,76.39,146.24,187.67,144.42,120.85, ,275.16,78.26,25.74, ,88.33,231.51, ,296.47,244.22,5.87,182.76,188.32, ,32.96,268.66,255.63,225.30,64.67,159.02,199.14,89.01, ,20.52,123.57,288.34,198.35,179.71,174.60, ,201.22,132.07, ,87.70,203.66,24.07,27.49,276.21,167.67,130.82,153.99,205.18,22.18,136.53, ,11.13,47.40,70.91,82.24,267.17,252.93,65.71,163.13, ,24.97,269.88,200.23,110.18, ,132.36,102.73,93.59,4.18,26.21,20.45, ,287.62,77.29,215.80,286.39,113.49, , ,167.15,207.24,77.84,109.70,276.17,80.38,148.13,116.25,241.82,47.57,74.79,52.70,232.15,50.75,50.44,129.02,95.38,194.93,209.71,160.02,148.58,275.91,161.77,219.92
16.86,33.04,92.36,82.22,124.83,70.16,255.93,92.87,235.44,224.54,292.43,31.03,24.96, ,186.73,57.64,115.95,23.37,117.50,289.82,233.95,212.18,78.72,202.10,46.80,54.57,182.32,222.98,164.08, ,50.81,218.68,144.97,64.51,61.32,42.39,107.58,115.52, ,226.88,73.93, , ,165.63,267.62,214.44, , ,182.50,294.16,192.51,288.15,299.29,287.46,269.36,18.14,96.54, ,170.48,13.85, ,204.97,172.94,98.29, ,280.79,189.04,131.51,192.59,126.30,64.04,23.72,47.06,13.23,214.94,210.78, ,295.11,149.27,253.16,59.50,228.36,37.09,130.01,25.38,290.40,270.64,103.47,66.39,200.55,228.30,269.24,266.94,290.85,132.39,63.78,92.05,190.40,124.93, ,150.32,283.65,197.64,33.54, ,46.90,127.83,69.77,132.28,61.42,152.91,67.14
85.71,208.82,288.33,296.53,184.07,265.22,121.18,147.68,37.56, ,165.38, ,262.45,298.12,125.18,217.69,67.72,51.50,279.52,10.29,21.41,199.59,8.50,254.83,226.92,50.75,157.77,80.00,222.56,144.10,229.16,240.05,65.19,273.42, ,283.71,52.80,220.35,186.57,294.27,168.04,93.49,144.43,66.61,236.57,108.75,73.89,224.36,235.73,44.19,247.31,1.19,205.98,39.54,162.66,135.29,20.47,17.32,242.79, ,179.35,238.31,2.55, ,73.32,3.93,25.01, ,26.20,51.38, ,143.93,24.70,141.11,208.01,210.07,242.36, ,171.02,193.80,86.77,246.90, ,64.40,237.00, ,188.34, ,179.23,240.71,84.35,249.10,240.25, ,182.61,173.29,176.71,227.21,48.92,94.84,238.51,271.68,133.75,109.51,39.25,204.76,298.98,192.27,226.83,134.49,250.22,163.06
