Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52
282.34,113.24,69.93, ,127.77,11.86, ,2.69,90.31,69.04,216.91,130.78,110.55,83.32,34.77,222.99,192.64,84.96, ,154.89, ,282.66, ,121.25,49.06,59.92,90.93,90.53,254.16,261.77,287.71,107.44, ,100.76,84.60,275.64,40.61,53.68,185.68,144.52,149.10,215.22,257.34,113.25,292.76,70.32, , ,172.86,205.85,52.22,159.34
9.62,279.95,223.23,163.34, , ,234.16,35.16,274.75,0.05,166.06,32.93, ,205.80,2.81,6.10,38.77,2.87,13.91,161.95,229.51,200.47,163.85,277.11,111.36,55.39,291.58,111.80,222.72,116.87,197.02,218.78,156.93,174.50,287.83,50.38,266.14,159.29,87.45,185.34,261.93,277.67,66.50,116.50,107.07,214.75, ,133.54,213.27,114.38,43.02,134.48
116.97,119.65,172.77,132.30,217.98,49.25,139.53,287.99,245.79,43.51,277.70,189.75,232.24, ,275.27,109.56,271.93,55.28,67.65,51.20,229.31,188.48,263.77,88.78,273.00,136.04,287.84,112.64,245.33,153.88,271.72,156.22,158.31, ,225.96,213.75,152.14,253.67,1.75,41.71,253.88,230.31,39.68,289.40,188.73,72.37,77.89,265.56,194.12,184.09,99.89,185.27
135.82,204.96,119.82,231.85,298.51,250.46,105.56,256.68,46.02,103.63,64.85,145.44,246.24,79.06,127.36,298.15,103.27,100.75,149.77,296.79,194.75, ,0.31,143.15, ,172.20,57.02,167.42,196.03,232.00,159.78,239.41,22.54,61.04,265.78,155.88,59.10,209.81,50.95,88.72,30.03,143.79,197.97,289.51,124.86,69.08,280.87,142.57,51.18,126.70,114.44,279.53
33.21,119.11,286.26,129.72,168.75,103.34,284.71,160.72,14.36,94.21,238.30,298.65,140.40, ,254.84,285.98,141.14,247.48, ,155.31,177.87,28.53,90.77,74.06,122.82,181.29, ,119.58,82.30,294.22,115.51,15.58,77.43,276.80,82.03,180.23,16.25, ,297.46,178.83,246.54,159.95,218.68,247.41,25.91,66.71,171.98, ,273.46,105.86,118.12,88.65
24.94,202.63,102.36,69.35,144.22,33.83,289.68,219.46,3.34,128.88,147.92,186.03, ,291.88,55.97,160.29,204.70,256.94,67.55,164.58,298.84,275.26,225.26, ,287.43,166.29,192.92, ,78.95,198.82,207.22,250.59,9.11,32.70,250.52,120.67, ,119.52,16.95,275.93,280.77,225.68, ,118.60,40.63,296.85,268.38,194.25,271.59,74.27,169.41,104.54
139.88,109.60,163.19, ,132.83,129.84,27.83,177.12,250.14, ,189.60,90.02, ,61.61,36.30,156.61,170.44,200.97,256.29,179.86,258.01, ,87.84,64.90,248.33,247.50,139.93,66.05,220.94,291.56,64.37,64.75,227.89,26.43,167.73,124.43,75.95,61.09,208.33,161.15,79.98,179.65,245.74, ,166.68,141.42,38.14,139.58,126.77, ,71.34,7.97
242.78,32.88,247.73,129.87,97.86,217.53,129.76,223.21,29.95,121.05,235.13, , ,146.70,288.75,214.13,113.80,80.65,160.79,87.89,137.26,200.50,163.26,218.06,9.88,283.46,52.79,150.85,17.31,292.51,215.58,2.79, ,83.44,224.35,263.94,249.09,115.52,12.95,221.94,155.66,82.87,222.74,137.44,18.77,212.39,50.57,27.62,182.59,256.00,222.89, 
171.97,137.47,82.58,97.79,138.91,264.87,190.49,262.94,285.10,22.76, , ,37.55,24.39,184.45,71.50,153.29, ,290.77,256.60, ,138.60,184.85,238.42,69.80,185.70,299.29,64.83,50.26,76.25,250.99, ,22.49,59.28,239.13,85.28,24.06,34.33,187.25,75.41,207.59,148.29,276.07,27.31,107.01,200.11,80.68,87.64,225.91,69.13,196.96,60.76
156.81,58.01,232.88,6.65,110.19,102.96,211.70,210.11, ,110.22,40.64,288.01,196.95,212.94,31.89,122.75,224.17,10.92, ,144.33,291.20,129.82,40.77,224.43,60.23,61.11,225.02, ,68.83,83.54,291.08, ,113.83,273.30,79.27,182.40,216.42,178.12,267.75,87.77,169.78,76.56, ,1.58, ,70.40,140.75,183.21,101.30,24.53, ,103.79
211.11,232.57,205.51,52.45,66.58,294.18,21.19,23.18,188.10,93.17, ,145.34, , ,260.48,21.24, ,37.38,33.02,285.01,248.76,62.94,282.09,229.92,282.20,26.04,33.48,250.53,264.55,131.93,174.46,232.43, , ,63.96,239.76,10.95,86.43, ,68.52, , , ,86.89,283.51,217.05,74.99,148.02,92.78,240.68,186.13,295.02
52.49,299.05,123.31,137.32, ,268.34, ,81.55,23.64,68.24, ,143.24,147.12,215.07,290.84,55.72,235.31,23.40,4.85,293.40,224.16,244.33,181.54,274.05,193.76,197.64, ,40.88,185.35,171.82,81.87,110.66,47.41,76.19, ,163.02,211.66, ,155.99,113.00,253.73,219.88,140.05,31.07,11.07,271.96,271.37,294.99,106.62, ,182.81, 
45.83,231.48, ,87.47,215.25,66.42,33.46,297.70,90.34,98.86,150.58, ,204.42,60.16,19.13,193.85,278.48,149.80,72.69,297.43,167.31,251.79,144.47,22.67,101.40,31.11,51.88,86.29,289.59,267.33,105.10,287.73,100.86,293.55,89.59,58.92,101.99,281.86,21.78,178.72, ,209.83,257.70,17.63,212.27,181.32,269.18,208.72,143.36,46.32,135.84,75.82
139.29,74.60,108.31,264.47,284.94,162.83,96.98,156.63,44.53,230.24,80.46,66.48,185.20,240.72,150.10,113.78,103.08,75.14,267.50,142.89,213.91,195.09,186.17,20.14,89.68,244.42,89.33,93.96,123.70,295.57,51.23,263.19,297.73,65.71,77.94,217.69,214.31,2.74,164.50,31.19,273.26, ,62.59,218.29,110.22,32.69,4.20,47.21,139.78,224.23, ,132.83
155.32, ,158.06,299.99,178.81,154.20,78.49,140.94,253.91,249.75,35.18, ,82.39,268.43,36.70,31.41,96.16,216.66,44.79,231.63,243.09,79.94,264.29,238.46,250.64,210.82,224.81, ,7.20,34.32,13.94,206.54,203.93,100.12, ,164.40,63.80,253.01, , ,140.47,178.37,33.10, ,257.91, ,265.11,128.56,245.14,46.79,140.27,228.71
278.13,43.06,200.60,185.67,213.36,249.08,117.24,180.92,240.08,239.82,66.09,45.44,4.72,139.83,232.29,120.84,161.65,252.35,159.96,167.85,164.15,165.05,99.10,126.97,180.85,244.37,135.17,258.17,82.04,284.88,166.54,224.75,269.60,90.43,15.11,202.88,75.22,160.65,113.89,213.50,54.42,241.69,147.68,29.48,297.85,244.04,120.07,192.58,45.89,219.23,241.30,240.26
