Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102
274.24,127.66,18.16,136.45,24.46,87.20,159.08,175.24,288.05,193.85,33.83,75.52,251.49,37.19,219.82,266.97,204.43,59.65,83.88,7.93,10.60,105.26,59.07,88.61, ,282.46,134.05, , ,100.14, ,203.22,137.75,127.40,264.82,264.77,83.15,157.03,67.82,263.43,242.80,174.02,34.49, ,183.13,293.89,277.14,186.49,285.67,37.88,21.50,292.62,8.09, ,101.84,189.53,160.03, ,34.05,151.78,52.40,28.72,18.19,194.21,216.34,261.37,207.73,179.15,53.07,165.66,289.07,169.82,58.83,171.63,177.48,157.97,58.34,276.16,192.55,281.20,50.24,63.10,225.44,158.32,129.48,258.80,222.78,172.89,130.77,74.49,67.94,238.12,119.15,202.80,84.65, ,134.90,183.68,52.02, ,30.52,275.18
 ,197.97,246.85, ,291.38,256.97,186.53,185.60,109.38,17.39,272.41,28.94,21.64,151.00,73.00,102.97, ,176.93,288.80,125.73,115.16,194.49,266.33,60.08,198.97,289.40,120.88,121.94, ,243.75,296.58, ,99.55, ,276.49,112.03,136.81,215.43, ,89.91,33.63,154.96, ,144.36,119.35,147.54,120.74, ,117.33,62.46,172.97,193.37,297.72,20.87,209.07,291.31,120.42,148.97,257.53,119.74,266.78,130.67,212.22, ,29.54, ,246.42,64.23,87.02,133.43,109.22,45.37,41.48,125.47,141.18,37.89,66.13,52.39,10.67,118.76,294.15,5.28,51.73,80.37,131.46, , ,256.30,41.22,157.81,188.24,249.69,259.90,230.81,212.63,276.90,68.23,180.15,211.64,143.02,70.63,205.81
215.17,9.29,159.90,123.08,166.08,274.28,88.59,138.28,146.57,32.62,86.24,288.32,144.65,289.89,105.83,232.55,57.82, ,217.72, ,265.86,173.23,101.00,145.22,263.05,54.46,206.60,208.45, ,53.10,128.47,132.08,200.93, ,142.77, ,251.70,265.57,104.15, ,65.97, ,29.02,21.45,249.32,233.14,0.73,170.49,254.62,153.38,155.65,298.33,235.07,217.03,176.75,106.35,87.15,171.45, ,192.89,149.32,74.01,55.77, ,184.97,166.63, ,22.28,168.75,208.79,225.42,295.53,215.77,33.75,71.44,273.05,290.80,19.38,115.94,125.05,260.12,146.63,10.34,272.18,177.30,297.88,290.39,49.33,193.41,279.21,233.01,229.19,74.64,288.61,23.72,170.57,253.58, ,263.92,254.47,63.41,140.90
125.82,215.46, ,298.54,292.59, ,221.78,38.11,143.97,194.07,99.26,211.21,160.20,2.57,18.15,250.11,232.11,293.38,107.92,146.12,13.70,82.60,233.04,105.83,49.39,34.63,177.80,265.11,120.97,152.68,33.66,298.18,178.73,113.35,12.66, ,26.36,188.38, ,9.09,47.19,67.58,207.13, ,172.24,148.62,136.07,173.58,285.92,117.58,252.70,290.14,210.01,249.31,278.35,107.48,266.68,113.60,73.09,76.15,42.37,85.25,212.52,117.30, ,234.88, ,39.11,263.04,182.55,47.52,131.85,206.93,20.95,147.03,79.52,39.37,147.96,0.33,83.46,258.93,52.51,232.51,0.90,40.75,107.91,44.35,243.26,38.30,271.81,58.25,108.51,173.21,222.24,16.96,291.17,187.33,110.73,135.30,15.40,295.08, 
39.43,207.58,101.37,262.51,230.03, ,27.65,51.68,60.58,255.58,44.52, ,155.26,230.73,278.15,261.97,71.10,164.53, ,265.90,254.62,80.50,47.80,155.49,58.04,168.11,267.82,156.53,67.90,293.98,97.43,296.75,171.87, ,150.55,29.33,244.86,81.52,29.72,68.81,247.71,297.32,252.70,117.85, ,237.14,12.63,110.71,233.46,7.53,133.12,26.21,242.64,215.66,37.85,224.76,53.04, ,14.37,74.33,178.30,69.36,64.81,298.95,37.38,81.72,114.64,60.47,22.14,164.44,106.45,102.85, ,12.50,37.18,212.19,53.14,238.76,29.18,240.34,80.06,185.09,36.50,174.79,286.73,149.72,49.83,267.67,142.31,161.20,155.01,48.90, ,287.66,66.94,89.87,110.40, , ,48.23,99.51,6.72
183.24,92.72,139.21,145.05,277.24, ,50.63,182.54,61.10,155.34,121.95,201.84,81.06,181.91,226.07,107.76,98.66,61.69,118.51, ,237.88,270.98,205.60, ,294.00,126.88,196.96,174.98,82.51,225.36,57.09,179.85,120.40,144.15,79.90,59.82,200.54,297.32,120.40,207.62,147.27,263.73,283.33,143.02,94.75,30.27,219.82,16.69,188.63, ,268.53,282.13, ,196.92,136.86,33.94,131.71,78.97, ,62.30,68.46,28.90,158.42,56.67, ,96.89,58.26,225.69,1.32,205.81,212.75,215.55,87.15,127.90, ,53.34, ,121.81,105.73,214.99,15.32,183.89,240.69,131.40,123.92,86.93,30.95,72.40,246.38,293.75,25.67,127.63,213.28,10.67,208.09,5.47,209.18,35.61,131.50,16.24,299.72,285.15
102.86,277.17, ,270.93,242.77, ,196.86,200.58,39.65,133.18,32.07,234.47,192.23,234.69,21.39,11.65,265.08, ,242.25, ,213.18,223.96,238.43,41.20,28.35,247.68,125.96,203.89,47.44,126.41,4.59,216.53,154.34,130.76,123.86,199.62,281.80,57.59,244.40,59.25,179.63, ,5.59,38.17,34.13,192.43,138.88,232.78,194.57,285.89,238.25,12.63,262.21,32.89,80.61,241.70,11.31,187.64,235.33,82.93,60.09,285.72,15.59,54.10,32.89,23.18,20.40,246.44,172.02,165.06,111.01,6.00,55.41,139.21,119.44,260.21, ,245.92,213.09,132.60,197.32,146.43,192.99,114.91,54.26,40.66,205.24,12.90,202.84, ,193.58,88.90,205.51, ,284.01,264.13,22.74,289.21, ,182.20,144.82,105.67
98.46,144.30,125.47,148.72,38.62,57.99,196.08,113.92,247.51, ,64.13,121.38,205.32,235.53,296.12,62.39,91.79,79.48,0.43,186.39,289.95,90.42,124.78,231.40,1.43,80.50,280.96, ,186.28,54.42,49.29,205.39,139.54,63.95,80.78, ,113.22,292.30,122.71,257.56,237.65,298.92,24.54,220.02,166.16,197.85,22.49,214.55,85.14,70.91,75.69,25.97,91.43,92.55,135.35,268.25,9.09,91.14,247.06,177.05,284.36,122.38,20.50,13.81,31.83, ,107.52, ,296.43,112.24,176.47,139.09,20.58,111.90,181.81,122.87, ,107.23, ,114.08,31.48,259.90,212.60,170.84,121.87,45.84,256.24,181.70,67.04,243.51,13.99,237.90,184.17, ,17.93,58.18,136.13,132.07,98.67, ,182.17,237.55
215.95,150.32,289.12,299.93,96.30,57.95,150.79,144.29,260.04,153.07, ,39.13,284.50,124.26,19.97,292.33,22.05,98.31,175.25,119.63,111.97,165.82,284.34,290.46,67.98,232.30,24.46,164.50,109.23,63.74,94.87,77.19,242.20,236.62,191.17,225.32,189.81,149.31,199.09,253.38,79.17,167.27,157.11,112.59,20.53,95.54,232.40,232.32, ,168.94,239.41,217.36, ,8.51,289.16,231.63,174.66, ,41.93,285.32,227.01,94.23,47.20,35.74,141.95,268.18,202.39,236.09,150.12,128.26,40.26,173.61, ,184.40,252.44,96.32,225.84,120.38,95.18,64.93,171.96,283.29,177.66,118.95,41.00,125.67,210.31,156.59,72.03, ,24.47,100.42,265.66,171.00,243.58,59.78,72.98, ,255.84,132.87,210.12,244.85
156.85,197.31,48.25, ,52.35, ,152.77, ,1.17,54.76,116.44,203.45,149.59,145.26, ,220.06,152.18,8.21,20.06,22.46,174.85,120.66,171.13, , ,274.61,285.80,244.96,122.80,249.92,279.65,246.55,284.64,64.61, ,84.66,130.21,73.22,273.63,78.23,154.97,221.68,295.06,228.45,263.84,45.31, ,57.53,242.19,277.36,35.03,91.46,215.32,6.62, ,248.51,165.13,209.91,86.96,227.85,0.37,78.24,123.77,103.21,62.91,279.76,180.41,161.16,280.19, ,102.61, ,3.26,172.42,275.60,118.14,274.79,95.14,164.18,173.76,221.32,112.78,6.37,265.96,107.00,273.12, , ,296.38,185.55,265.18,128.19,64.60,201.82,156.01,78.64,33.39,266.44,201.05,139.36,140.35,113.15
