Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144
25.28,66.46,162.62,246.61,103.70, ,230.73, ,231.96,23.62,218.34,196.60,149.52,5.14, ,276.35,4.12,166.22, ,3.76,144.34,170.29,4.24,178.77,42.91,225.86, ,144.20,117.64,179.52,182.54,160.72,32.83,288.77,85.87,202.81,29.44, ,277.48,283.37,174.30,266.98, ,188.02,122.81,121.75,275.37,194.22,163.19,0.93,126.11,37.05,256.33,182.09,43.97,279.51,213.82, ,13.97,55.22,221.41,80.08,36.26,117.97,247.57,173.29,171.13,136.58,216.42,82.14,247.04,192.07,35.47,14.46,296.45,7.77,130.57,141.59,172.22,39.18,4.58,219.31,172.56,75.76,258.96,1.54,279.55,53.27,91.47,64.47,137.40,5.77,160.09,134.79,106.92,152.11,86.44,287.22,127.31,47.98,220.87,292.28,243.13,215.45,113.27,122.51,52.16,218.65,275.64,244.58,227.41,194.06, ,181.28,295.42,20.82,165.12, ,65.54,119.53,48.07,260.91,183.47,298.85,225.33,155.56,57.05,266.59, ,134.69,69.67,76.64,211.81,160.83,7.31,105.31,222.37,249.21,221.58,91.80,187.60,179.26,123.34,24.09
59.06,206.84,288.89,219.21,225.25,186.49,254.33,220.86,29.90,269.65,132.34,275.19,127.73,77.45,116.69,25.51,260.32,4.47, ,223.68,141.08,36.40,258.05,294.50,58.10,104.40,296.91,284.77,293.57,94.31,255.92, , , ,202.50,105.39,59.82,259.41,291.70, ,19.89,156.34, ,260.74,189.03,72.35,120.16,0.19,167.49,34.95,52.22,135.29,55.79,112.90, ,104.60, ,124.50,136.57,267.92,290.06,223.89, ,44.04,63.02,141.47,143.79,11.28,275.91,137.04,281.79,129.66,200.50,210.89,246.45,244.23,103.43,267.64,164.01,139.83,120.52,186.10,121.93,45.56, ,182.60,48.06,98.52,235.35,45.34,154.84,155.90,262.14,166.23,121.09,267.82,298.42,234.23,71.05,8.30,197.89,137.75,225.75,80.40,144.67, ,299.51,228.66,246.58,64.33,6.83,42.39,240.66,289.18,62.56, ,231.45,102.59,264.63,5.48,189.44, ,262.21,155.20,47.75,76.62,176.35,54.31,138.40,210.25,198.35,248.38,204.26,212.63,231.69,278.94,130.41,147.47,278.74,283.49,104.45,138.57, ,192.88
281.95,109.79, ,82.60,196.24, ,108.86,256.69,239.27,180.24,80.88,47.09,256.35,188.00,212.16,160.00,68.35,292.87,251.50, ,9.42,247.59,84.17,291.10,147.17,14.24,5.38,262.62,243.44,276.93,248.36,119.89,214.09, ,92.23,125.33,222.77, ,257.18,208.45,18.79,172.79,271.15,20.13,267.10,269.98,223.46,89.77,271.73,5.20,96.09,143.33,141.31,149.59,128.76,46.78, ,219.56,84.81,200.71,64.83,288.56,87.74,98.63, ,102.50,196.63,54.83,47.63,283.91,294.63,255.26,260.22,260.96,153.74,41.51,123.52,160.89,293.53,231.02,246.41,260.89,232.10,182.99,211.85,176.95,279.58,247.89, ,208.85, ,267.54,227.21,27.91,223.44,155.88,146.04,187.97, ,120.07,128.33,34.51,276.75, ,108.97,214.62,97.73,65.00,117.33, ,145.24,79.77,236.20,12.72,122.20,283.83,242.31, ,276.82,18.82,82.21,106.69,137.91,292.05,269.68,195.12,254.62,205.79,211.63,134.02,262.22, ,204.49,46.11,172.80,265.38,235.72,197.30,231.08,224.60,71.39,29.11,288.61,103.19
216.18,243.93,205.42,100.26,93.58,56.47,299.88,56.99,115.03,168.16,56.00,180.10,126.75,24.79,213.76,225.27,71.18,296.25,66.79, ,160.38,142.99,242.77, , ,279.86,46.54,194.03,206.06,266.06,46.21,29.03,6.69,245.36, ,221.97,251.73,103.05,151.47,137.38,113.56, ,251.59,22.14,201.61,167.04,43.47,249.08,87.43,231.47,131.65,254.76,38.42,177.39,114.72,70.41,220.75, ,172.35,149.33, ,77.53, ,121.00,166.82, ,122.59,218.47,211.67,28.57,136.47,183.11,13.16,82.21,39.70,106.26,58.74,238.25,9.24,257.27, ,150.78,145.39, ,99.64,84.87,137.50,34.17,172.53,274.14,281.25, ,87.51,222.89,140.25, ,296.24, ,19.04,21.63,142.95,264.07,18.13,167.87, ,188.49,173.79,66.75, ,230.90,78.47,154.28,212.94,214.96,103.72,96.56,98.44,58.62,269.89,154.80,16.23,26.25,155.04,194.98, ,125.88,143.81,106.91, ,182.16,121.96,211.49,111.23,158.04, ,127.93, ,265.69,208.49,91.07,180.81,73.61,111.93,89.96
133.14,284.19,129.98,1.18,24.67,51.40,282.27, ,228.87, ,191.71,268.26,23.10,268.82,95.22,122.95,172.34,37.67, ,167.65,272.58,287.35,260.53, ,84.37,296.13,157.02,95.03,170.61,274.35,214.84,220.18,254.74,293.89,249.05,160.06,237.86, ,22.85,69.14,114.09, ,249.55,274.08,232.14,162.70,284.13,276.06,115.34,296.83,223.22,74.51,157.60,152.47,35.21,125.81,296.28,211.55,182.51,290.40,30.32, ,14.45,297.20,45.99,215.60,151.22,229.72,19.08,86.97,277.29,201.57,265.44,14.16,159.73,201.67,230.11,295.53, ,292.73,31.42,78.92,71.96,116.35,259.48,93.43, ,62.58,138.33,214.03,239.30,52.28,48.15,195.75, ,181.17,90.29,257.15,99.22,109.62, ,69.09,128.99,9.73,41.14,219.60,0.56,28.93, ,77.08, ,120.76, ,157.17, ,114.32,88.58,31.32,178.99,278.16,204.75,199.55, ,119.15,136.52,229.99,277.90,224.59,127.83,250.29,239.28,99.32,28.24,192.31,121.74,10.56,197.47,29.27,134.41,44.41,126.46,160.28,281.47,277.87
271.66,94.31,167.82,71.93,136.38,228.46,256.96,87.84,237.46,297.79,265.52,42.80,16.61,196.34,287.96,107.39,102.38,170.56,95.33,166.26,206.74,189.83, ,277.67,271.20,15.93,60.29,85.87,74.75,48.61,276.91,180.23,25.20, ,295.40,49.59,108.96,256.38,120.02,276.46, ,71.23,4.37,212.23,283.80,79.19,59.82,255.23,292.63,21.97, ,199.22,137.49,105.63,6.98,83.97,63.82,54.67,49.65,130.14, ,117.12, ,176.94,157.63,267.81,138.96,113.90,216.84,46.36,45.25,248.12,36.78,174.50,229.85,277.64,64.03,177.11,50.04,258.30,171.04,45.74,293.65,48.18,111.02,232.96,147.88,285.49,193.03,276.11,84.14,182.86,101.39,131.29,114.03,59.09,15.71,295.07,264.46,219.85,137.79,231.75,33.90,170.33,77.23,49.80, , ,9.54,292.64,52.99,230.42,91.74,216.91,255.49,130.06,256.85,28.16,253.52, ,123.85, ,270.28,44.45,271.45,272.04, ,25.03,125.23,162.51,54.03,26.86,79.38,192.25, ,80.85,292.41,124.60,69.77,20.17,165.35,168.20,255.71,162.42
188.25,188.97,53.56,286.47,217.68,181.21,119.02,265.66,148.76, ,218.53,113.00,50.50, ,187.88,263.96,86.79, ,275.76,103.39,98.28,31.73,273.56,105.97,262.30,84.37,10.22,237.71,35.64,227.84, , ,200.55,74.94,276.22,164.56,164.75,171.96,249.79, , ,81.13,273.15,207.98,168.40,106.60,133.89,140.64,22.59,236.37,93.93,148.23,292.20,221.34,209.46,9.67,226.88,257.99,256.30,183.41,11.66,28.75,24.43,155.53,210.57,144.55,4.50,263.00,5.76,160.87,55.46,17.80,261.34,182.37,141.77,42.34, ,71.09, ,240.47,127.23,246.42,155.54,264.56,247.62,2.87,185.55,279.02,40.67,179.15,158.00,288.82,174.35, , ,124.80,27.84,62.95,223.81,225.17,37.02,158.69,281.27, ,260.29,138.89,126.74,58.66,50.75,22.00,230.44,220.15,223.16,205.30,96.00, ,284.37,295.37,200.70,187.29,236.94,137.82,261.62,196.25,250.51,131.28,85.70,266.01,249.77,133.35,234.19,269.77, ,265.14,18.65, ,17.58, ,155.39,45.41,212.56,5.66, ,51.52
 ,17.53,262.34,214.91,89.91,79.30,290.00, ,8.66,18.99,164.94,181.63,148.19,93.80,242.44,288.84,15.12,11.48,263.76,11.59, ,183.64,265.59,197.02,182.30, ,208.54,157.44,229.42,26.94,8.52,184.83,263.33, ,274.81,262.53,8.23,99.12,188.40,65.51,100.38,268.67,156.35,12.48,246.27,273.45,26.64,154.33,206.15, ,180.96,285.30,59.14,122.09, ,186.80,294.95, ,263.61,120.69, ,67.21,172.83,196.22,283.49,223.46,104.83,70.60,231.53,214.89,215.67,162.17, ,157.12,146.76,231.87,101.19, ,27.92, ,224.14, ,274.69,248.44,28.55,235.26,112.61, ,28.28,74.91,198.46,220.39,52.76,12.67,238.83,181.87,122.64,57.08,80.69,129.88,167.95,95.46,261.54,40.76, ,115.67,160.10,40.96,100.45, ,254.39,265.31,30.28,242.27,269.40,226.76,183.16,248.21,222.73,224.23,199.58,79.15,45.97,61.11,227.29,169.27,86.38,17.94,222.54,204.02, ,130.78,166.33,239.44, ,149.19,111.69,255.06,68.91,17.69,252.31,84.35,126.66,256.17
287.40,104.81,70.66,22.19,254.31,1.32,95.88, ,207.57,123.51, ,124.54,98.20,61.08,198.44,53.28,32.34,33.33,232.10,225.12,165.87,201.96,278.70,17.69, ,216.96,3.83,95.21,283.34,181.01,70.50,219.17,101.08,258.44,191.95,163.35,228.30, ,95.48,46.05,168.65,30.13, ,215.27,75.22,106.59,64.50, ,283.67,126.06,60.65,135.48,227.64,51.38,29.93,291.91,260.04,27.43,299.87,205.45,57.93,40.98,168.56,39.13,20.27,95.75,229.48,204.00,212.95,127.54,102.24,18.85,280.00, , ,29.00,214.27,61.95,101.09,173.32,82.73,5.41,274.51,109.71,92.00,133.89,265.53,38.99,298.40,30.66,298.87,8.74, ,70.69,247.67,41.71,83.93,93.30,209.82,72.12,120.19,222.21,60.31,78.71,156.74,75.36,96.57,216.32,281.60, ,229.28,219.81,72.13,110.47,64.93,106.67,258.85, ,298.57,233.81,6.46,174.99,298.13,216.83, ,198.43,159.37,189.68,144.88,234.30,296.36,94.01,152.48,4.48,51.42,161.76,272.69,3.70,250.45,271.33,256.53, , ,297.47
195.09,217.87,97.70,128.61, ,281.10,21.73,295.98,70.82, ,23.13,15.17,103.64,138.49, ,204.87,153.75,71.16,78.79,93.79,29.16,10.28,230.05,219.31,19.99,50.71,13.25,295.83,282.72,125.32,138.61,218.97,191.11,288.45, ,82.24,219.84,273.21,297.77,149.40,25.21,274.50,152.78,1.69,136.31, ,179.21,295.11,114.98,88.31,156.11,185.66, , ,92.24,251.16,278.32,122.68,149.46,270.62,130.23,139.35,75.16,236.88,116.73,256.47,155.30, ,40.96, ,294.35,211.79,121.33,120.48, , ,72.54,272.98,88.82,17.03,130.89,234.23,5.78,152.66,3.29,202.04,119.56,258.77,141.91, ,262.38,229.42,96.65,205.30,296.82,16.45,148.51,95.03,276.13,248.79,289.03,39.25,105.05,182.71, ,262.81,39.93,287.29,83.56,177.55, , ,99.43, ,69.78,139.81,133.68,183.13,74.09,46.64,158.01,15.54,192.16, ,179.08,247.74,255.99,45.62,20.46,201.02, ,48.97,260.74,292.54,5.36,66.24, ,224.26,261.30,173.52,135.31,95.39, ,51.38
