Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96
63.94,205.21,197.44,185.14,260.28,192.22,38.12,194.83,46.52,250.15,290.75,115.68,210.71,26.09,246.39,215.57,122.66,154.40,199.11,66.91,69.73,183.31,63.74,37.40,35.77,215.51,162.46,103.57,96.95,111.86,162.49,53.66,148.20,5.25,247.60, ,17.33,90.01,95.02,162.58,203.93, ,230.45,151.97,85.77,163.67, ,26.16,45.91,73.25,16.56,201.57,27.26, ,117.27,215.01,206.65,189.36,241.07,69.38,153.82,41.96,52.77,43.66,80.13,51.07,71.53,235.67,198.89,280.23,198.65,1.60,15.52,162.09,10.76,49.63, ,91.60,139.37,225.74,205.94,168.26,52.23,175.72,238.78,192.70,228.95,256.55,103.47,196.35,158.26,109.69,214.42, ,53.79,130.67
233.05, ,173.09,79.13,76.08,79.11,272.86,56.73,42.32,76.91,220.26,66.48,258.02,231.24,34.68,293.61,191.39,244.91,268.60,113.29,41.94,13.46,200.47,244.21, ,21.12,150.64,247.93,214.31,111.83,263.50,70.87,261.55,114.08,144.46,139.32,180.05,202.59, ,272.78,174.98,160.18,53.81,4.36,30.78,46.22,196.69,178.91,77.94,179.94,199.22,243.29,198.10,290.95,207.21,232.01,166.90,138.63,208.65,155.11,76.17,47.46,17.71,38.72,281.13,199.62,236.70, ,134.80,259.66,25.15,159.75,90.29,245.97, ,88.96,100.00,67.43,137.99,73.82,180.80,95.36,235.31, ,204.02,41.26,94.60,87.07,173.75,206.28,188.37,208.68,166.85,121.91,211.80,88.13
87.85,183.87,78.39,91.61,82.79,146.10,199.28,131.74,110.54,192.75,104.87,53.38,175.24,286.02,82.34,175.56,217.24,38.47,275.36,278.04,262.94,235.54,57.31, ,167.85,128.00,210.15,220.14,104.66, ,191.71,242.05,47.96,126.69,154.91,216.50, ,179.44, ,41.67,163.02,182.26,104.91,178.46,269.15, ,64.57,30.71,170.28,290.29,224.67,184.48,293.22,186.94,274.54,214.33, ,191.25,114.02, ,292.48,189.37, , ,281.05,196.28,298.20,180.89, ,65.37,256.52,136.54,57.35,43.51,264.93,217.50,230.92,71.42,27.09,130.92,105.29, ,256.61,63.90,252.21,202.88,283.72,38.34,43.03,156.41,122.49,6.82, ,144.54,283.49,97.10
 ,202.38,30.00,174.89,296.50,121.10,28.91,185.06,217.72,224.82,17.41,165.29,248.74,168.78,170.86,18.70,193.09,130.83,80.08,16.99,132.83,275.95,242.92,228.98,89.10,234.76,201.11,130.75,287.42,71.45,39.93, ,233.02,274.39,91.31,173.10,112.95,143.83,254.11,203.67,93.94,49.51,258.58,31.20,136.99,179.88,70.66,138.83,281.26,159.79,93.34,240.45,44.08,180.97, , ,112.94,142.11, ,100.69,114.72,149.01,89.00,216.10,283.11, ,96.33,112.86,112.45,95.96,137.59,154.73,61.58,109.77,130.13,4.38,8.00,291.17,2.50,69.54,118.55,101.82,68.89,104.55,268.00,37.88, ,192.60, ,160.28,142.71,35.36,132.56,60.58,196.81,259.18
124.61,255.68,292.61,141.11,205.91,297.67,214.70,136.39,114.14,89.07,287.07,103.94,167.81, , ,227.61,30.98,280.26,278.64,11.22,70.03,228.87,160.91,242.82,90.57,293.96,13.81,4.08,100.66, , ,236.51,246.56,262.10,254.15,199.70,60.50,182.50,37.42,132.94,40.71,37.20,103.15,15.71, ,116.37,151.05,215.64,106.96,23.04,137.27,233.48, ,203.21,13.67,28.56,220.87,70.12,103.95,9.08,280.51,236.03,28.89,175.27,203.38,112.87,195.67, ,298.31,73.86,114.62,12.02,235.36,31.34,185.24, ,4.89,80.36,144.76,37.34,199.09,78.43, ,274.10,48.53,189.57, ,4.19,267.89,72.24,296.75,234.42,168.19,86.50,180.23,57.81
251.29,158.29,268.86,3.82,84.72,247.05,232.11,43.99,216.65,249.17,81.91,114.77,122.90,198.66, ,256.47,83.82, ,113.53,115.18,239.71,93.59,107.00,138.00,225.69, ,174.86,49.13, ,299.23,284.09,184.49,154.35,200.43,184.20,249.94,131.32,199.27,76.41,250.60,157.27,269.05,51.15,173.61, , ,290.96, ,175.45,225.07,21.05,164.85,242.72, ,132.37,91.24,69.77,123.18,218.12,51.52,29.32, ,49.23,69.82,168.68, ,93.75,194.90,90.76,29.25,96.25,18.48,70.40,229.32,15.30,285.81,116.70,291.95,64.36,265.38,258.60, ,52.34,186.36,227.32, ,182.31,29.74,100.01,289.05,293.73,176.76,71.16, ,63.11,59.02
154.40,111.63,168.07,201.61,2.84,170.70,11.24,200.70,183.22,201.07,294.57,89.31, ,82.77,39.70,27.79, ,204.40, ,72.47,92.84,171.16,297.59,233.01,242.82,264.03,46.11,238.24,265.89,228.11,181.12,20.45,160.54, , ,37.87,33.21,12.67,52.48,246.48,91.07,130.53,132.97,231.68, ,197.58,56.27,164.68,266.68,184.62,186.89,151.19,82.71,85.34,34.38,233.57, ,122.87,241.78,27.04,27.06,71.04,211.47,175.31,283.96,120.17, ,169.67,208.45, ,293.80,264.76,173.04,276.08, ,217.87,162.07,278.81,162.38,228.74,164.74,163.62,284.47,249.41,209.38,106.52,151.66,104.52,219.03,217.15,224.19,166.69,226.35,103.54,134.93,268.39
196.58,113.29,92.92,35.18,220.57,142.05,187.70,13.30,35.72,21.66,65.46, ,291.82,149.71, ,181.99, ,78.57,281.72,273.87,294.80,264.99,118.21,24.20,50.52,100.50,152.59,46.43,106.58,74.77,118.79, ,167.74, , ,93.68, ,138.10, ,103.09, ,140.31, ,190.83,282.22,15.48,218.22,149.21,131.18,75.26,243.79,186.68,291.69,37.12, ,208.39,221.56,129.91,248.12,252.71,293.84,126.49,42.72,185.68,14.09,74.45,234.98,275.49,9.14,132.75,74.33, ,295.89,166.26,205.43,10.47,171.73,142.94,177.70,93.88,39.93, ,128.73,268.79,115.67,60.08,1.32,289.57,130.30,203.93,152.29,198.54,253.55,11.67,211.21,255.62
 ,40.68, ,60.73,10.39,286.16,124.82,204.87,25.15,61.26,223.24,10.90,82.29, ,93.96,66.49,81.81,208.91,194.01,183.22,125.47,188.40,184.44,100.81,201.02,60.09,59.21,141.00,55.93,36.27,231.64,281.36,257.34,135.94,5.35,53.59,78.78,26.75, ,127.56,18.89, , ,22.75,289.99,51.70,240.00,27.09,182.96,0.10,176.48,78.58,205.04,274.41,236.14,264.89,199.67,27.24,132.77,217.57,253.72,218.21,170.86,236.49,285.83,127.05,88.03,57.95,115.02,140.11,269.99,114.86,88.78,91.46,192.09,44.32, , ,39.53, ,276.02,193.65,30.01,0.64,113.91,50.66,133.82,116.26,216.68,27.60,77.37,250.87,293.46,64.68,136.21,163.81
116.79,24.83,113.42,82.44,19.17,73.59,234.92,91.81,175.76,210.39,68.55, ,62.01,104.20,94.14,181.80,134.82,231.20,52.68,64.07,275.84,53.59,132.08,220.63,119.20,194.06,108.58,111.85,13.25, ,107.40,70.38,68.90,244.97,62.32,114.60,177.46,95.91,143.83, ,127.51,266.96,230.87,76.89,246.12, ,134.70,192.86,211.31,214.73,12.29,57.91,19.36, ,115.27,282.47, ,109.98, ,131.55,211.08,286.74,298.57,291.90,138.38,107.43,111.71, ,88.76,239.31,256.99,223.38,60.43,67.24,91.15,1.95,113.86,21.91,208.96,262.96,105.81,212.50,271.67,18.37,197.83,168.54,35.64,53.48,169.92,266.48,23.51,296.23,178.82,108.44,285.58,192.86
