Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34
44.31,282.52,240.83,76.12,69.12,153.01,165.96, ,228.54,201.98,201.84,74.85,70.52,201.50, ,135.03,41.89,98.67,103.13,70.96,55.13,3.49,100.86,214.70,97.99,275.30,89.58,197.53,239.80,199.45,279.57,206.17,213.83,45.87
44.34,196.21,256.92, ,57.78,222.32,167.14,106.40,199.65,187.34,215.47,97.06,5.08,222.65,45.37,72.42,271.83,258.54,146.18,78.93,227.39,35.05,111.32,84.34, ,271.69,32.61,5.64,2.28, ,28.83,199.23, ,171.06
 ,242.37,61.66,40.64,22.56,83.58,217.15,144.86,139.61, ,136.81,115.97, ,87.71,78.82,269.17,158.00,227.14,96.36,121.67,277.85,212.69,278.12,229.34,164.12,176.42,205.76,46.98, ,134.68,210.58,181.94, ,141.61
79.98,150.22,74.97,45.89,189.49,117.50,146.98,187.79, ,93.55,259.59,90.65,51.17,215.90,235.51,74.72,275.49,247.15,87.65,223.03, , ,192.81,94.02,271.34,87.04,76.31,203.30,140.91,168.18, ,103.69,262.29,227.81
147.77,62.63,27.98,187.70,30.74, ,205.17,186.45,7.49,38.84,129.71,165.25,236.55,101.58,15.12,116.67,149.97, ,72.96,190.67,224.63,231.92, ,174.51,118.78,142.87,92.79,37.37,270.46,10.87,162.79,74.24,16.09,201.09
297.17, ,257.84,180.89,68.99,64.27,126.25,91.97,39.06,21.23,35.01,7.97,157.94, , ,50.05,38.48,102.67,78.34,264.50,250.26,266.70,282.58,260.81,76.82,139.10,296.97,93.21,281.16,38.90,88.54,267.95,207.81,16.20
131.13,245.39,14.19,95.93,5.05,71.32,56.61,179.93,84.53,58.53,224.29,228.14,186.39,139.86,266.70,80.36,136.76,179.22,237.85,147.72,31.89,24.78,129.46,142.09,177.85,279.68,298.06,114.97,103.90,278.65,110.88,168.43,84.76,98.59
22.81,265.52,165.35,143.20, ,285.28,72.87,188.48,183.96,289.98,200.20, ,270.80,106.07,3.33,186.89,213.45, , ,264.39,169.27, ,64.29,117.17,278.77,12.16,101.95,231.15,246.94,272.95,84.28,5.96,299.07,188.57
 ,67.54,69.66,280.74,1.10,95.20,52.38,150.42,202.81,146.27,99.51,177.91,208.76, ,183.88, ,72.44, ,139.98,141.71,51.82,77.89, ,216.15,15.80,92.93,219.13,123.57,63.68,120.78,291.57,156.32,144.83,178.66
 ,249.75,145.53,178.34,127.00,139.56,109.08,97.75,125.26, ,143.90,152.73,73.08,193.55, ,38.39,3.69,226.90,13.87,255.01,295.84,285.49,86.82,41.54,122.26,221.53,10.71,126.25,95.25,168.94,95.57, ,99.27, 
52.70,182.13,68.68,89.72,13.38,148.74,61.12,221.72,244.52,4.81,207.81,41.31,124.71,284.07,236.15,117.22,23.14,296.57,177.33,146.00,262.84,245.64, ,167.36,210.27,11.42,7.59,22.34,236.19,68.42,95.37, ,84.22,60.28
30.07,167.08,128.33,170.82,153.87,241.32, ,41.11,27.87,283.37,133.04,209.43,163.26,116.56,89.02,284.47,84.86,36.88,50.42,131.75,20.66,65.71,15.15,53.02,155.51,93.22,255.95,190.02,7.44,43.39,61.38,266.27,249.95,107.17
169.94,124.75,207.23,71.73,297.28,265.39,161.15,141.35,61.25,236.31,37.95,165.16,7.57,245.57,134.58,257.88,291.65,195.13,273.10,121.25, ,86.63,252.77,264.52,206.49, ,275.19,285.88,133.18,271.78,250.96,131.48,110.89,291.48
22.00,272.88,234.96,229.88,17.27,22.65,281.61,93.32,52.39,97.15,72.65,264.31,175.29, ,286.18,223.95,240.91,265.06,123.49,14.03,46.83,204.28,70.76,227.28,275.21,124.70,79.13,125.09,68.92,35.21,139.78,47.28,147.69,164.84
41.91,152.81,268.02,222.70,279.91,66.33,156.47,115.90,84.67,38.35,161.86,208.68,32.73, ,180.42,247.17,10.23, ,98.96,61.50,132.85, ,199.18,28.11,112.43,174.88,2.06,215.28,237.16,108.35,299.25,161.45,140.37, 
144.79,166.53,292.30,247.71,198.55,192.05, ,155.76,110.10,192.13, ,129.29,41.80,241.54,183.86,170.94,260.42,26.17,222.03,126.33,182.40,113.97,13.65,230.21,280.75,69.44,21.48,248.41,221.14,93.85,77.91,160.54,280.52,165.29
205.16,72.28,16.50,162.01,56.90,207.46,180.25,43.77,175.63,265.00,182.14,201.78,23.63,298.39,249.02,206.70,155.30,241.74,165.24,201.96,195.98,259.79,86.32,277.94,295.75,58.73,1.79,137.95,22.82,29.57,0.02,126.01,215.26,27.13
171.51,2.64,38.50,143.71,266.00,86.78,64.60,139.64,106.01,91.80,113.93, ,113.96,226.67,272.91,296.41,165.94,56.05,263.99,77.14,284.49,175.59,263.40,85.89,127.10,121.58,177.41,56.58,0.60,260.66,277.68,26.92,182.56,77.06
101.46,235.37,53.00,32.20,132.06,46.18,181.56,215.09,110.71,50.35,254.92,84.83,268.08,76.23,194.72,297.20,7.49,82.14,43.54,76.89,232.42,134.77,290.82,172.96,21.53,212.85,234.32,209.05,109.43,53.05,138.57,0.35,282.83,206.55
 ,283.43,129.25,36.75,97.32, ,198.86,39.50, ,273.82,293.64,218.83,229.28,117.50,223.33,262.36,170.11,202.65,190.71,260.04,275.12,14.08,256.22,130.81,206.80,177.33,280.86,179.36,19.15,189.66,260.42,248.30,140.75,284.06
182.84,258.93,1.47,249.27,95.22,25.63,184.71,202.46,299.12,75.70,78.68,260.76,117.39,169.62,60.01,289.61,97.79,100.81,221.55,56.95,130.16,18.79,285.54,180.44,3.06,2.93,221.51, ,38.90,290.46,232.77, ,175.62, 
276.43,156.74,98.15,156.68,192.30, ,113.54,150.92,8.14,198.34,117.55, ,290.30,265.59,153.79,98.69,187.43,136.92,101.64,217.68,115.79,129.87,223.52,132.97,190.00,238.47,104.38, ,94.68,53.80,121.08,116.44,193.47, 
237.65,288.79,251.53,265.31,86.63,263.25,228.96,206.43,272.90,125.07,105.49,114.90,213.44,239.69,14.41,183.98,124.46, ,75.98,72.71,63.98,120.63,190.50,190.02,246.79,182.99,6.33,122.79,188.80, ,19.05,200.51, ,24.97
 ,100.96,90.30,117.13,78.97,242.34,290.74,299.64,183.25,197.91,130.31,47.41,96.74,32.18,269.48,22.23,259.97, ,50.28,215.56,160.48,44.46,7.02,212.98,227.97,96.50,50.82,133.99, ,200.45,217.97,99.42,215.21,63.38
109.66,229.19,5.38,256.24,252.49, ,151.09,52.20,15.52,71.57, ,292.29,84.91,219.88,150.46,243.71,148.73,58.74,265.16,23.39,282.84,222.37,126.97,166.73,166.83,146.13, , ,66.28, ,286.16,199.15,110.57,269.98
171.73,129.12,71.29,218.70,272.90,174.14,199.97,291.03,94.82,67.34, , ,281.92,216.73,181.06, ,151.04,165.79,20.37,270.23,20.35,43.79,191.54,253.55,159.03,235.06,190.60,240.04,150.21,157.20,180.91,25.33,75.75,230.89
292.77,167.01,218.52,66.69,78.79,250.30,143.50,104.21,53.66,274.57,44.10,235.15,16.26,256.96,151.60,188.13,88.97,157.47,265.95,117.56,244.40,282.56,253.23,122.01,131.02,210.76,228.34,100.12,106.39,36.62,244.93, ,33.91,259.82
245.85,158.96,128.39,273.14,180.06,38.30,190.93,97.71,63.22,166.16,50.01,44.45,168.17,110.34, ,70.16,194.96,102.45,82.53,158.69,209.34,37.12,109.52,194.00,235.22,41.72, ,264.96,195.62,256.72,35.22,76.11,100.79,81.14
112.78,145.03,19.76, ,116.05,20.72,48.71, , ,199.00,55.39,230.92,143.22,223.75,12.99,149.84,283.59,156.02,281.21,113.77,116.35,217.97,239.87,93.02,57.11,122.85,178.52,1.03,290.65,70.80,127.23,46.88,56.83,204.82
170.52,82.86,248.42,123.93,267.52,275.84,208.97,137.13,152.46,109.24,62.95,146.75,100.69,0.99,96.52,195.55,224.41, ,172.83,77.84, ,294.79,271.40,135.65,291.26,246.70,131.22,280.54, ,81.23,200.81,268.12,134.30,31.03
 ,203.86,266.91,38.73,1.93,165.46,118.65, ,65.35, ,74.99,234.88,19.00,175.63,74.59,92.05,13.29,198.81,296.73,182.12,127.42,45.58,21.64,149.61,229.57,104.23,44.59,279.38,145.58,21.34,137.26,229.91, ,128.73
