Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79
78.01,279.54,5.59,107.01,122.32,84.87,255.39,76.30,154.34,3.37,220.05,121.31,218.93,185.64, ,272.01,44.45, ,104.41,44.89,64.95,154.68,203.78,162.45,255.51,153.72, ,73.77,46.62,18.68,261.92,46.52,121.80,196.26,195.38,186.17,229.13,261.48,257.16,241.42,27.05,90.96,183.52,85.67,241.00,10.23,186.20,136.85,147.71, ,43.09,35.45,126.42,111.36, ,182.90,283.23,105.01, ,288.54,281.55,179.92,228.91,272.10,219.69, ,252.80, ,150.08,26.33,253.67,181.89, ,28.69,230.55,57.07,122.24,107.98,175.90
269.83,165.97,178.43, ,131.23,265.30,140.27,257.81,129.33,93.60,168.39,80.47,133.56,124.33,14.88,5.45, ,264.19, , ,220.79,273.85,144.71,36.50, ,130.44,52.68, , , ,196.06,134.09,47.49,117.84,269.09,47.81,101.31,75.91,17.79,218.33,4.92,298.84,85.28,270.58,80.10,9.85,114.81,79.12,107.58,75.03,223.56,9.95,261.22,46.97,135.61,141.52, ,140.36,5.41,29.01,184.96,24.58,35.47,240.24,276.09,272.79, ,95.63,85.63,148.56, ,284.17,177.39,18.04,183.14,122.62,38.17,132.81, 
168.28,108.95,207.36,38.82, ,134.46,92.56,171.37, ,155.54,104.58,41.11,163.39,244.95,102.73,208.35,121.25,96.75,142.66, ,181.49, ,15.94,275.83, ,201.00,13.95,239.02,265.18,157.58,6.30, ,258.84, ,80.09,94.70,60.76,186.64,63.03,258.19,45.76,208.47,299.88,170.82,216.61,0.26,165.73, ,298.20,148.78,45.49,90.85,127.64,242.41,252.69,28.07,58.09,211.22,193.39,175.66,50.24,132.55,177.39, ,175.59,280.52,150.00,262.59,175.04,148.19,104.94, , ,218.61,18.92,59.89,99.11,202.80, 
27.23, ,158.97, , ,35.50,186.90, ,61.94,172.34,255.29,279.85,251.47,81.90,206.23,274.04,137.25, ,164.49,287.02,236.73,162.96,73.77,270.33,111.80,270.26,75.97,98.51,254.59,220.86,151.08,103.55,292.57,72.66,261.33,180.52,15.08, ,88.85,140.63,205.13, ,23.79, ,122.30,114.72,97.10,218.23,47.78,244.99, ,102.05,0.08,95.54,26.05,104.00,106.46,24.51, ,48.31,7.92,281.29,237.75,66.88,30.80,23.71,50.80,77.84,264.18,43.81,86.45,83.34,116.11,230.35,221.90,288.93,149.26,52.47,48.60
242.99,234.02, , ,230.80,233.09,193.44,174.33,286.55,185.73,31.78, ,253.68,275.47,243.99,235.97,294.30,273.99,289.34,128.89,171.49,207.25,155.37,240.81,170.70, ,273.35,137.06,183.95,235.36,175.78,3.42,175.35,180.76,48.09,77.94,292.94, ,59.42,113.65,30.50,198.71,257.70, ,217.59, ,152.96, , ,83.79,209.36,83.65,190.64,236.35, ,276.22,257.46,256.05,201.97,156.39, ,285.36,115.69,262.35,78.65,2.66,161.36,4.98,70.43, ,6.78,48.15,250.90,154.47,263.29,147.34,9.90,105.04,161.13
114.26,181.96,132.44,234.09, ,179.10,245.00,121.66,77.37,4.40,259.13, ,15.57,165.95,104.13,177.38,74.31,95.04,64.37,0.67,271.94,177.56,295.06,208.49,284.15,52.97,272.29, ,287.86,279.37,127.13,190.70,24.67,187.44,246.71,281.61,86.87,122.73,26.72,82.19,13.66,128.25,67.64,194.21,115.57,68.83,123.94,35.09,141.87,129.54,37.45,33.74,142.82,298.00,185.98,244.83,175.54,280.44,165.64,298.67,48.23,223.91, ,258.99,168.90,150.32,218.96,291.22,104.29,41.28,33.66,218.66, ,291.74,240.18,88.39, ,136.62,62.50
33.38,29.56,203.01,159.76,141.35,165.25,298.68,219.47,28.00,265.64,129.87,265.19,267.77,125.84,210.39,113.18,209.83,146.05,22.62,234.81,156.80,109.61,6.58,187.82,167.21,59.59,32.84,284.33,228.82,105.01,298.51,82.97, ,229.03,83.55,255.98,91.64, ,247.12,86.20,97.20,288.40,250.49,181.57,21.85,45.00,249.59, ,32.57, , ,273.01,196.44, ,288.08, ,235.19,280.35, ,233.76,1.63,79.77,119.07,293.59,228.48,207.58,275.76,79.51,132.42,133.79,106.07,46.43,57.06, ,127.19,214.34,240.53, ,123.73
67.10,81.74,60.51,269.11,148.73,273.62,17.66,42.56,229.27,123.96,183.05, ,121.95,299.22,117.47,186.21,31.80,116.87,64.05,296.50,254.91,73.95,62.79,278.63,110.62,10.49,250.66,210.46,133.91,135.08,174.38,286.52,24.83,233.57,209.58,189.21,275.18,100.56,144.51,224.50,146.79, ,97.45, ,170.06,172.21,135.32,26.43,252.78,225.23,140.15,116.41,299.31,292.52,129.56,179.05,92.16,289.05,123.29,106.76,223.00,298.49,25.57, ,278.35, ,164.69,240.20,245.70,72.69,39.38, ,218.42,167.40,245.36,67.56,118.39,207.43,59.40
 ,84.32, ,160.50,265.97,191.50, ,131.01,260.76,222.01,88.81,203.41,123.68,100.63,33.44,15.53,220.94,253.73,127.18,165.76,20.98, , ,265.13,287.80,271.37,261.90,88.13,93.25,80.36, ,113.79,35.46,276.36,198.33,143.92,147.37,274.32,192.37,55.10, ,281.00,139.98,24.89,108.21,139.93,12.01,2.36,195.30,43.78,145.28,55.96,172.77, ,262.74,15.31,164.06, ,128.77,241.73,13.58,271.79, , ,13.36, ,208.66,95.01, ,120.41, ,293.18,204.65,25.72,273.76,165.44,18.55,214.33,264.49
144.00,202.77,131.36,179.03,31.44, ,64.53,37.38,87.62,100.89,218.11,17.30, , ,126.45,204.23,101.68,142.66,71.27, ,214.89,91.06,123.53,10.86,289.17,5.59,7.98,99.67,66.44,215.12,34.01,260.57,154.00,175.33,200.33,124.73,295.28,61.56,167.57,36.78,279.51,38.30,91.51,16.33, ,231.45,79.54,174.86, ,3.93,211.46,133.34,19.49,251.97, ,119.54,284.21, ,26.59, ,118.10,136.81,198.09,190.34,52.02,89.85,69.14,101.25,210.73,292.89,89.40, ,208.95,271.00,60.39,199.81,115.68, ,91.73
