Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28
 ,62.05,69.82,94.45, ,193.04,213.17,28.71,90.02,289.61,104.19,176.87,289.00,229.80, ,271.69,227.99,248.24,278.36,49.70,215.62,265.86,156.57,150.51,215.72,281.60,44.93, 
 ,278.59, ,280.44,74.39, ,134.18, ,112.54,58.00,173.98,151.21,157.96,146.29,192.62,131.55,131.96,139.63,99.73, ,80.18,181.96,53.87,12.52,128.68,120.17,144.86,165.23
279.53,286.93,34.76,261.03, ,82.17, ,181.90,18.34,233.01,34.30,216.44,49.05,17.69,59.14,290.79,3.19,66.50,99.79,64.07,213.71,142.99,180.76,63.20,286.97,99.40,283.09,68.09
60.96, ,120.10,192.15,251.52,110.97,262.25,5.70,125.94,166.07,156.44,54.93,177.93,154.94,34.23,267.30, ,53.09,51.84,159.88,252.94,207.28,284.59,200.28,245.44,173.73,32.40,292.11
 ,43.26,141.83,113.68, ,45.42,111.59,163.65,193.57,293.81,11.17,220.36,286.07, ,159.80,119.82,95.09,167.12,150.66,215.84,118.09,9.76,171.29,143.97,0.59,136.57,271.74,21.80
101.04,270.61,290.58,185.33,298.19,224.02,61.39,113.18, ,122.94, ,229.96,213.61,264.32,32.00,165.14, ,266.18,89.86,231.99,112.34,178.48,241.69,226.18,140.51,281.11,265.45,193.41
265.56,233.54,155.96, ,209.77,147.05,78.71,83.16,186.41,137.47,42.51,277.37,5.31,105.16,48.48,162.16,122.68,251.22,142.09,19.29,109.67,203.02,240.42,147.38,87.01,178.01,149.65,253.58
238.41,123.71,215.85,4.57,271.99,176.95,76.61,165.93,62.60,74.66,55.14,129.83,206.89,271.67, ,225.25,101.64,35.20,199.84, ,238.38,48.88, ,125.49,273.08,74.17,86.44,97.18
207.02,215.37,211.00,78.09,183.40,120.24, ,20.09, ,258.46,110.21,39.89,85.37,247.47,55.00,236.72,42.39,91.50,58.60,229.66,138.76,16.42,31.67,279.09,46.00, ,156.21,243.98
96.71,39.37,11.95,192.97,115.67,255.63,95.30,3.08,96.90,248.42,147.82,34.99,279.08,23.26,283.88,227.19,224.20,36.84,39.85,100.27,266.51,228.93,14.04,293.82,48.16, , , 
201.82,154.40,38.41,158.24,216.88,229.85,275.68,223.29, ,78.80, ,7.73,36.20,227.63,287.91,13.97,45.19,199.04,90.15,189.27,243.10,187.23,289.60,38.95,68.39, ,240.39,299.43
63.58,101.85,227.09,224.69,16.90,10.01, ,247.45,179.02,211.92,63.51,229.15,114.40, ,106.10,135.06,112.16,44.70,109.36, ,34.05,202.62,92.77,105.15,224.87,230.78,50.42,38.30
96.75,277.12,258.80,39.48,27.22, ,241.22,80.81,81.54,29.56,256.33,61.22,73.53, ,210.32,221.61,75.37,101.32,222.78,267.55,124.44,200.40,235.99,14.26,29.43,92.49,134.15,46.72
 ,92.10,225.01,279.65, , ,274.94,220.79,283.32,159.49,83.45,214.08,107.21,60.78,69.50,119.19,92.99,25.35,7.92,73.01,123.98,285.58,52.06, ,35.38,293.46,172.88,227.55
193.61, ,178.64,11.27,284.72,247.72,289.37,260.42,243.22, ,228.79,150.71, ,186.09,10.74,97.47,127.11,290.75,266.69,5.73,167.22,82.23, ,71.60,260.93,13.81,232.63,228.65
77.76,269.43,256.66,99.82,296.10,44.55,68.21,33.49,81.16,128.41,24.44,266.69, , ,30.71,223.10,49.95,205.28,3.22,188.37,215.74,204.55,212.22, ,245.71,255.39, ,151.50
47.34,279.46, , , ,21.79,97.87, , ,25.87,5.62,252.49,33.47,102.31,87.01,25.16,17.66,193.90,219.85,291.22,110.78,49.09,270.92,155.23,264.22,182.47,10.01,159.92
47.75,49.71,10.24,177.17,247.37, ,167.22,30.87,193.95,217.48, ,64.44,148.90,62.85,298.49,166.34,116.35,120.63,48.85,240.93,158.78, ,198.43,80.26,223.91,261.56,0.73,205.83
113.63,245.33,232.99, ,91.39,225.43, ,274.27,241.52,201.67,197.38,185.35, ,109.26,290.96,252.56,156.48,69.33,80.36,23.95,225.67,233.09,27.37,125.37,175.20,271.93,223.03,190.37
101.43,152.50,250.27,48.09,240.10,197.72,31.75,119.02,37.02,108.52,285.79,134.66,259.55,166.03,178.63,83.25,56.03,72.45,40.82, ,280.92,10.78,269.71,120.41,269.48,35.65,158.31,168.53
229.09,185.34, ,241.74,133.81,130.68,4.08,26.80,152.42,127.92,234.47,274.21,29.86,197.25,5.04,232.25,95.88,209.69, ,151.43,194.93,233.16,153.28,128.00,257.07,98.35,27.23,85.08
188.58,86.07,236.84, ,261.18,91.93,256.29,22.30,47.99,291.92,24.78,277.18, ,69.95,164.52,252.27,286.00, ,72.08,118.23,277.72,73.67,250.29,222.71,88.73, ,80.65,168.85
97.07,230.87,257.60,264.19,44.98, ,226.38,143.89,47.21,124.03,191.26,150.84,46.89,84.67, ,204.55,197.44,223.88, ,181.49,132.83,268.68,142.09,105.30,239.67,107.58,273.39, 
124.22,184.91,197.48,83.99,135.70,103.65,109.74,241.07,105.13,2.13,174.52,293.46,136.86,268.09,119.36, ,243.58,223.49,277.21,91.35,135.07,182.90,182.52,135.72, ,168.16,148.48,115.28
 ,252.15,171.27,107.27,191.29,217.94,58.20,114.14,274.40,222.33,143.86,12.49,20.82,147.74,121.28,54.19,93.61,251.13,159.05,103.08,109.24,165.12,216.17,16.99,228.47,47.87,44.18,51.92
33.16,3.91,90.09,117.66,64.44,148.57,127.19,273.84, ,138.97,188.84,120.86, ,46.70,60.19,127.29,119.04,104.37,187.64,170.96,169.36,220.80,70.63,173.27,75.24,160.72,231.38,192.90
44.41,295.82,261.69,192.98,219.32,88.88,144.63,193.16,25.31,117.30,32.13,129.18,6.14,150.36,250.04,85.56,197.06,10.23,212.84,16.10,114.60,100.49,187.06,283.96,21.29,257.69,157.23,96.53
