Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132
183.61,96.78,90.05, , ,142.14,65.51,134.00,125.99,105.79,223.40,235.73, ,159.95,17.13,58.31,33.85,164.43,132.36,76.05,123.92,99.21,125.60,257.83,134.54,210.30,247.32,200.99,290.35,15.90,42.92,288.31,109.80,62.78,275.68,199.23,198.92,223.42,6.98,129.03,205.17,106.79,189.19,184.34,68.72,187.02,274.45,188.42,28.08,26.41,90.02,103.35, ,26.77,231.07,142.50,113.19,179.37,71.03,150.01,255.87,137.60,24.71, ,108.96,207.13,44.76,61.01,286.10,174.88,216.16,142.07,196.09,168.11,94.94,11.78,11.13,183.12,86.74,34.59,237.06,31.06,238.88,129.94,77.17,224.55,87.73,282.07, ,150.18,185.47,157.37,216.58,114.11, ,10.17,201.83, ,232.90,210.42, ,135.40,63.83,95.46,126.57,135.38,227.71,102.57,138.34,49.72,147.68,63.88,74.77,105.08,198.61,256.73,93.14,25.72,152.08,8.52,198.71,195.75,124.87,259.56,31.88,20.95,54.23,37.41,50.53,175.31,176.62,172.73
224.18,126.72,19.63,54.91,279.14,44.74,248.98,67.21,13.58,160.42,172.98,196.81,40.31,172.66,204.16,186.70,243.83,204.60,148.66,181.79,210.16,231.81,230.84,140.00,87.18,12.23,198.25,183.68,281.17,155.50, ,42.20,45.55,218.27,204.28,190.80,87.94,263.89, ,262.91,292.59,87.50,10.25,213.87,224.31,250.27,80.37,122.01,97.55,12.32,81.90,297.36,278.03,77.87,162.87,12.18,90.87,160.28,85.43,295.06,269.19,89.55,297.32,143.61,89.18,201.43, ,198.79,24.04,62.93,176.35,261.33,194.57,192.09,146.44,290.75,235.44,245.73,233.40,128.61,246.47,229.70,30.55,102.61,141.97,3.75,269.24,50.14,26.09,159.51, ,150.26,143.92,274.45,19.73,257.54,78.20,277.70, ,106.19, ,248.16,30.97,133.12,16.62,22.15,156.44,167.33,223.40,93.03,140.18,29.58,160.77,39.79,3.53,244.65,39.64,165.77,159.29,66.66,295.82,134.77,283.49,158.95,13.35, ,153.53,134.32,225.51,291.04,245.63, 
247.52,201.44,113.71,112.17,236.65,269.18,260.24,73.52,159.57, ,264.30,135.92,191.64,40.73,125.41,186.13,233.88,35.49,42.94,159.33, ,267.32,104.30,145.17,46.75,264.68,269.04,253.84,96.73,108.40,140.68,165.54,28.64,10.21,137.71,235.14,139.31,253.52,130.02,121.42,103.43,294.70,291.19,140.14,263.81,67.32, ,232.86,71.95,89.43, ,195.86,226.36,285.35,278.78,278.57,292.14,186.31,154.47,235.38,265.42,243.16,3.68, ,82.90,293.24, ,158.57,289.05,103.37,264.81,89.76,182.35,25.37, ,179.84,4.12,211.58,117.60,206.99,209.92,162.48,162.23,61.73,57.69,33.79,111.47,121.85,298.29,80.21,272.49,13.12,134.49,179.91,169.01,56.16, ,218.64,239.03,43.83, ,190.49,77.04,19.18, ,17.47,137.00,75.13,97.54,231.53, ,183.63, ,239.79,95.35,252.28,145.70,203.83,186.59,267.70, ,166.59,143.71,82.34,44.36,25.67,110.92,27.74,239.15,234.34, ,92.77
176.03,157.71,129.12,186.92,232.84,263.42,156.87,260.53,277.02,110.67,250.84,100.85,97.73,179.73,288.79, ,164.82,26.37,40.09, ,136.92, ,100.34,1.62,142.22,10.01,197.29,232.97,183.98,153.59,58.09,19.92,29.31,241.56,129.41,126.33,118.57,105.75,11.53,251.91,193.99,135.88,45.04,147.15,247.21,260.14,161.39,35.90,164.79,246.37,259.11,255.21,202.54,296.60,168.33,67.81,210.42, ,255.46,0.74,219.75,144.61,162.87,260.95,289.46,299.93,197.52,238.87,275.18,271.80,168.16,257.05,130.72,84.07,133.28,270.66,86.29,278.08, ,239.03,229.40,2.66,74.96,151.93,50.47,21.96,19.92,196.77,72.99, ,159.17, , ,243.81,245.10,154.72,160.91,114.44,160.10,113.31,179.44,285.87,185.44, ,127.70,1.52,179.87,59.86,155.25,14.47,134.80,215.52,97.27,134.28,233.06, ,168.46,112.40,72.43,79.92,125.54,125.08,82.15,86.09,16.31,167.27,110.59,292.63,200.89,264.71,298.65,285.44
167.73,21.44, , ,63.72,3.64,247.44,49.86,238.59,9.32,143.28,209.48,250.34, ,215.05,200.15, ,67.26,230.16,149.43,190.06,247.05,101.95,279.49,228.02,217.98,23.93,57.26,197.16,43.79, ,190.67,264.18,66.06,253.16,22.88,44.83,226.05,37.98,218.02, ,136.10,285.91, ,43.16,66.19,137.24,273.39,163.66,50.91,111.02,84.48,283.08,69.93, ,107.92, ,297.71,121.97,64.13,274.51,75.46,158.05,205.56, ,69.21,291.53,180.03,83.41,278.68,83.86,280.56,217.48,189.49,88.39,59.83,269.49,145.85,25.17,215.76,299.15,225.62,283.90,286.29,119.57,280.03,152.78, ,70.26,284.71,15.39,125.79,249.19,231.63,18.09,175.14,289.33,100.31,144.01,266.29,25.53,191.35,84.04,24.19,78.94,220.26,288.60,180.12,38.97,197.17,101.92,231.75,232.43,71.26, ,37.55,263.56,179.11,52.85,216.72,109.98,127.41,214.23,84.44,212.43,49.19,298.11, ,89.36,233.29,130.37,198.17
134.88,297.24,219.83,244.13,138.26,254.39,83.99,127.02, ,23.21,9.75,106.70,110.69,144.28,291.01,169.47,150.47,106.37,256.28,122.00,272.91,37.65,75.75,142.50,205.78,296.95,187.03,126.52,264.29,269.02,286.39,64.43, ,170.81,131.22,136.74,278.37,252.14,204.25,136.35,23.42, ,238.95, ,65.47, ,36.26,236.18,294.33,159.51,171.43,0.50,10.99,155.25,167.12,43.74, ,259.74,287.52,247.13,189.29,63.42,48.86,106.36, , ,231.03,278.41,83.36, ,298.35,255.76,159.64,150.23,259.24,132.61,105.53,21.22,72.64,166.98, ,238.49,104.74,288.35,274.79,238.44,70.07,46.82,108.62,85.76,5.55,86.33,49.69, ,167.81,50.09,160.10, ,65.59,142.79,235.73, ,174.17,195.73,255.45,231.77,217.03,7.32,271.83,210.88,3.49,235.59,113.47,101.43,161.29,229.53,189.75,40.90,255.74, , ,67.90, ,284.93,220.27,276.15,57.00,68.55, ,122.14,74.82,35.90
177.58, ,67.33,192.25,268.28,18.30,196.79,92.43,141.45,27.85,77.76, ,146.31,140.27,169.70,192.02, ,69.60,2.55,183.58,268.17,23.69,31.33, ,123.76, ,136.45,82.65,214.91,60.52,84.06,5.15,220.99,150.35,81.79,127.51, ,95.68,71.38,148.57,205.73,94.07,108.78,253.42,139.04,83.51,281.26,279.63,33.47, ,24.05, ,151.56,31.35,54.79,29.38,94.60,175.69,105.88,112.80, ,251.83,90.98,237.76,205.95,236.93,48.93,68.51,112.55,63.94,60.86,89.16,261.26,139.92,130.14,262.73,131.86,145.94,140.87,126.31,1.88,143.15,24.23,83.40,217.73,196.56,14.00,242.82,9.98,125.19,207.14,29.56,2.48,261.85,259.21,190.17,151.40,11.89,244.98,12.40,242.62,141.30,194.68, ,204.66,57.07,74.01, ,113.02,249.85,290.81, ,180.98,14.42,182.04,159.27,202.45,219.95,163.28,6.08,108.44,114.27,255.53,10.50,1.30,279.73,148.77,239.19,58.94,244.04,143.66,218.30
125.28, ,288.56,163.60,123.25,50.23,29.87,299.25,239.81,39.49, ,228.28,35.73,208.77,228.20,83.07,98.54,284.75,196.90,119.66,122.81,183.09,223.88,110.82,61.40,23.12,274.02, , ,238.62,289.51,293.73,13.31,280.93,48.34,297.62,10.69,62.01,231.99,15.38,269.53,10.84,154.15,244.05,294.61,127.98,49.48,56.70,213.99,60.85,215.46,130.33,178.89,119.94,178.24,153.69, , ,140.41,149.39,252.92,267.12,128.11,202.61,79.40,222.44,78.92,198.72,64.07,101.61,188.50,19.32,127.61,206.72,297.66,52.49,200.11,31.47,36.22,213.03,50.67,255.87, ,154.59,37.46,140.46,120.71,240.79,247.92,69.62,169.87,268.44,25.84,151.91, , ,267.09,136.66,95.75,75.96,5.11,182.56,34.88,265.88,166.17,147.88,129.75, ,98.19,87.37,290.10,110.50,108.52,212.74,46.14,287.05, ,100.46,29.68,182.32,111.01, ,258.89,39.10,45.82,114.82,223.52,274.61,181.00,284.42,294.22,272.74
27.05,81.73,186.53,88.42,28.08,91.43,121.20,263.60,267.82,0.20,183.33,225.38,57.94,158.06,240.36,33.42,287.65,173.51,32.22,56.25,98.84,47.27,278.22, ,246.04,87.25,272.61, , ,119.99,194.99,212.92, ,180.33,20.71,187.61,15.77,113.23,91.55,34.65,171.36, ,260.64,153.21,271.01,270.18,188.54,263.15, ,168.71, ,189.43,92.02, ,35.88,166.01,216.08,197.20,22.36,48.08,66.23,202.31,251.51,170.75, ,272.21,125.17,212.06, ,4.08, ,39.96,207.06,228.62,64.60,130.08,64.14,43.85, ,26.05,257.02, ,213.47,121.31, ,33.38, ,37.46,153.70,22.74,244.82,168.47,267.42, ,31.56,30.89,23.65,74.00, ,187.66, , ,232.78, ,286.02,79.81,212.12, ,272.88,270.31,111.47,139.91,269.29,129.40,223.50,120.31,140.09,98.29,16.94,208.62,17.09,139.10,179.16, ,152.04, , ,209.85,133.30,209.59,137.75,256.64
76.21,164.19,259.09,101.12,35.66,7.25, ,20.56,295.85,33.90,55.39, , ,160.58,205.28,150.19, ,174.29,11.17,21.58,165.52,260.42,283.12,203.88,288.23,278.50,119.64,96.44,76.81,7.51, ,201.23,158.59,113.73,62.77,117.57, ,240.27,218.92,261.14,206.04, ,184.54,28.18,86.86,34.09,182.61,176.39,62.77,135.45,130.97,28.71,231.25,188.81,265.36,185.85,18.24,296.69,125.64,160.05,199.97, ,82.58,267.86,80.24,1.87,133.82,285.44,131.33,271.17,297.24,241.89,101.61,82.09,202.74,164.43,6.93,206.71,76.04,255.92,177.42,113.01,157.87,93.60,130.33, ,127.57,287.14,249.73,295.05,266.99,118.55,108.94,288.93,253.16,154.37,40.93,222.45,270.03, ,259.24,210.53,278.81,291.63,8.39,186.83, ,288.84,105.09,258.18,296.22,257.54,20.77,262.75,50.63,264.12,192.02,106.92,94.16,188.14,173.96, ,136.47,161.61,71.99,175.70,255.62,123.55, ,122.02,51.02,1.74
