Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30
294.39,103.28,143.90,74.53,159.28,255.10,120.34,280.35,95.11,128.95,113.01,201.27,31.72,274.29,84.95,187.58,217.31,9.10, ,83.63,130.73,37.98, ,103.88,146.96,215.39,178.07,67.46,279.87,119.02
 , ,62.24,283.31, ,292.41,27.44,123.63,196.58,138.12, ,98.43,164.48,260.34,42.23, ,22.10,240.91,4.52,38.49, ,18.04,120.60,153.10,182.42,93.22,149.40,9.52,215.10,261.64
216.54,203.22,25.97,279.34, ,124.22,104.37,58.76,73.01,83.13,299.97,62.88,243.80,53.51, ,227.51, ,144.05,287.31,183.10,161.82,52.21,226.04,238.45,86.60,102.35,281.13,264.13,146.32,37.57
99.55, ,252.81,271.39,17.62,293.05,15.70,87.33,104.42,240.19,30.50,191.57, ,293.89,276.79,72.30,40.04,260.58,124.66,138.76,8.51, , ,8.33,130.96,210.46, ,299.68,201.91,5.60
185.15,111.47,242.26,65.40,86.41, ,77.30,173.39,64.17,129.44,207.09,82.57,35.25,117.23,234.74,146.21,193.64,180.90,258.44,284.39,93.13, ,170.42,184.71,52.87,85.67,192.85,207.95,81.32,127.63
 ,136.12, ,29.76,125.83, ,132.56, ,225.68,126.64,139.02,52.34,297.11,17.27,184.07,200.35,165.99,187.32,164.10,286.44,39.79,142.62,244.83,197.87,226.09,266.62,35.86,257.01,156.97,222.92
199.49,6.44,151.25,106.99,149.23,209.21,205.71,271.58,127.61,21.05,193.96, ,229.82,75.82,163.61,185.71,249.59,211.10,160.24,122.07,254.09,84.81,121.21, ,271.75,284.14,17.96,280.48,107.93,212.60
150.74,256.43,212.29,266.50,125.67, ,1.26,264.94, ,86.16,283.24,186.98,50.72,145.49,41.72,18.33,24.14,217.01,224.47,245.99,56.67,262.32,72.92,71.06,156.31,81.73,215.13,106.93,173.65,297.05
205.84,169.68, ,86.69,108.91, ,299.87,228.19,78.78,249.95,160.12,7.05,245.80,210.56, ,84.21,185.06,210.99,169.25, ,255.95,193.79,208.03,144.61,155.85,137.35,73.23,212.06,239.32,2.45
210.59,234.08,75.53,126.73,102.91,60.85,19.18,230.80,148.30,63.45,298.81,109.95,198.27,152.31,179.87,287.46,45.23,6.20,155.19,96.73,100.61,16.95,112.22,47.02,23.17,264.68, ,74.63,209.53,246.33
276.51,34.57,146.32,73.17,111.30,63.81,6.72, ,126.51,34.09, ,57.26,258.81,295.26,173.26, ,119.59,106.59,286.48,67.00,246.74,53.88, ,123.27,19.28,286.07,243.70,47.03,143.60,80.21
39.28,43.66,73.05,275.96, ,149.53,224.62,94.79,249.11,101.78,211.96,94.74,255.10,11.88,97.95,36.27,57.01,280.47,62.78,202.33,258.07,117.22,148.12,161.20,104.70,205.90,274.38,281.52,254.98,185.53
11.13,289.75,211.53,294.50,246.25,30.81,248.68,87.02, ,248.23,164.75,99.93,185.59, ,115.06,156.33,108.48,222.40,235.59,68.45,108.24,126.92,219.03,287.09,172.41,254.29,211.90,166.37,51.09,256.25
22.48,166.74,280.04,229.20,223.07,145.72,12.36, ,231.39,157.46,220.65,191.74,116.51,153.46,108.33, ,274.48,278.66,273.85,230.35,174.33,200.70,184.73,292.69,144.45, ,81.91,117.16,248.67,30.89
 ,139.22,9.58,65.40,254.91, ,185.27,121.28,143.00,223.42,134.02,200.51,191.07,136.53,256.07,241.90,187.33,126.18, ,239.87, , ,214.51,80.06, ,118.75,292.78,55.85,20.68,1.74
238.78, , ,223.46,181.80,247.27,220.64,247.85,125.48,10.40,222.70,7.10,167.00,83.61,126.66,179.21,16.03,266.67,12.84,97.87,0.92,202.61,87.40,17.45,293.10,68.53,195.05,257.24,75.50,284.90
145.13,30.57,282.11,97.16,187.36,189.58, , , ,27.59,127.28,235.75, ,151.55,84.63,112.22,149.64,62.30,261.24,155.93, ,253.09,277.46,127.86,88.31,275.58,162.71,56.37,257.99,250.01
150.00,120.39,208.44, ,203.21,165.30,122.08,12.23,232.86,188.23,248.67,74.19,270.99, ,69.45,186.30,143.21,78.27,46.44, ,118.88, ,284.18,181.92,261.30,172.44,130.53,70.32,45.23,209.81
255.81, ,142.12,200.53,77.00,224.86,45.22,253.65,27.91,286.98,164.02,139.93,59.80,56.00,156.20,208.42,146.70,135.81,186.41,167.24,200.46,27.13, ,135.84,280.78,50.74,163.75,183.50,37.72,131.24
47.52,267.00,271.17,33.20,26.80,82.14,89.20,25.42,238.35,280.08,233.84,16.83,126.79,121.51,152.64,115.60,7.92,188.99,282.84,271.33,89.45,74.94,298.46,35.13,210.78,279.23,85.87,74.53,162.73,123.60
