Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32
172.31,225.10,13.35,145.89,236.57,49.76,81.93,122.06,204.60,54.47, ,194.62, ,256.85,84.92,222.52,97.06,196.10,225.31,95.44,228.54,5.79,99.88,47.96,72.70,84.03,137.97,21.79,229.64,170.40,139.13,251.86
187.75,258.34,57.42,184.26,85.79,264.26,277.76,107.61,264.78, ,102.75,199.42,270.52,166.50,17.18,236.94,147.17,211.71,142.34,144.49,51.27, ,236.94,104.79,62.75,236.19,172.31,139.80,247.60,34.91,35.04,169.63
141.51,200.12,96.88,246.22,216.88,17.74,293.05, ,55.80,134.56, ,111.64,232.80,153.83,291.92,262.05,177.29,116.09,205.30,243.01,138.14,132.28,13.70,278.40,181.12,46.63,234.88,13.27,217.51,135.40,55.98,70.97
201.01,10.67,100.02,257.83,113.56,94.03,215.44,39.33,242.92,273.86,244.23,45.48,154.23,71.17,278.34,143.48,29.20, ,129.21,243.49,221.38,161.40,249.04,87.97,176.75,19.46,118.16,100.03,160.82,51.07,259.25,214.51
222.40,124.26,176.48,118.99,101.35,146.49,214.22,96.00,108.39,145.52,122.04,206.46,226.47,53.89,150.73,24.31,37.06,124.74,216.32,11.40,224.12,68.06,92.35,229.31,279.51,127.29,20.39,84.42,291.27,132.57,106.72,215.13
5.45,57.32,283.59,239.44,226.61,46.05,171.56,219.70, ,47.00,70.59, , ,72.02,150.02,282.08,129.14,12.35,183.18,152.60,173.56, ,181.06, ,52.63,117.18,131.92,156.33,244.92,219.95,68.75,230.95
76.87,176.69,229.10,23.34,11.78,142.01,77.97,87.77,30.10,34.30,69.12,64.52,84.02,30.98,54.44,203.60,22.01, , ,140.16,32.81,140.77,42.22, ,129.99,153.30,83.64,104.06,79.85,58.29,149.08,118.76
114.66,133.02,170.58,35.09,116.94,255.22,229.25,114.98,223.30,94.18,283.60,281.22,16.35,127.77,250.57, ,65.22,109.45,67.17,295.26,10.52,136.84,111.53,117.27,234.11,264.96,69.16, ,132.61,261.78,44.98,206.90
277.57,130.87,170.66,232.99, ,115.27,37.26,199.92,97.58,240.09,75.08, ,297.35,105.30,102.23,171.47,171.70,112.62,86.77,27.01,35.57,135.04,99.25,124.61,159.43,193.87,33.72,147.71,44.96, ,147.19, 
156.32,10.71,277.57,252.23,117.24,66.57, ,165.81, ,119.59,295.74,95.52,216.57,60.53,196.25,108.72, ,265.04,223.09,252.12,186.21,137.82,23.27,86.49,104.23,8.68, , ,73.31,238.71,209.31,212.79
 ,212.34, ,186.89,208.00,116.08,95.72,268.22,43.99, ,148.22, ,126.00, ,199.31,277.60, , ,128.64,186.81,188.14,227.88,68.82,99.73,162.62,131.25,97.62,289.68,64.26,71.84,45.32,208.26
187.01,200.75,279.68,56.64,248.38,151.47,51.41,180.24,4.83,195.64,197.45,48.29,191.75,23.58, , ,259.97,195.81,293.94, ,50.58, , ,194.79,86.51, ,0.54,105.60,253.28,81.49,264.76, 
288.35,212.99,170.28,116.00,185.23,279.29,34.81,270.90,89.82, ,183.93,226.42,254.12,292.57,181.27, ,2.97,219.15,165.87,107.24,120.43,273.36,228.27,275.67,237.78,256.58,249.42,239.80,268.65,231.51,0.76,13.12
134.53, ,0.40,26.93,142.13,255.63,247.67,217.51, ,283.00, , ,117.96,171.36,274.25,90.88,291.72,278.75,36.28,126.64,225.36, ,244.75,141.95,28.35,39.26,42.46,144.89,260.65,146.24,273.89,138.15
240.83,227.65,278.43,193.71,51.45,236.51,67.16,188.62,137.93,25.44,70.58,155.27,169.97,78.49,250.62,92.78,158.78,258.51,146.51,173.61,154.84,194.16,188.59,17.52, ,42.97,81.24,62.20,83.27,190.96,14.32,19.91
266.37,164.27,186.86,277.19,171.34, ,93.35,61.76,2.44, ,209.36,67.14,266.14,35.26,77.55,264.69,255.34,137.80,34.65,136.10,109.48,99.16,100.79,150.22,77.51,65.50,76.31,258.43,283.05,199.56,43.26,158.06
95.32,118.21,20.52,141.82,261.76,218.46,16.05,274.22,291.32,80.43,172.35,110.09,32.54,215.99,173.90,74.41,69.91,99.20,146.94,220.43, ,138.89,198.04, ,291.60,185.19,266.51, , , ,143.43,128.94
260.15,293.65,272.90,28.57,33.22,283.76,151.59,13.19,30.22,41.23,43.85, ,101.39, ,14.34,58.45, ,18.60,280.48,19.16,276.54,199.99,66.26,97.72,55.10,219.13,188.58,257.61,43.84,225.99,73.34,74.49
280.41,262.87,41.06,127.66,64.53,263.73,69.56,19.70,208.80,38.42,87.06,99.22,55.03,146.94,18.79,44.98, ,7.85,55.57,87.74,54.42,36.91,184.94, ,9.60, , ,104.54,44.06,61.69,228.96,227.46
130.06,246.94,280.30,200.16,294.76,24.60,10.24,295.09,114.70,115.76,52.72,189.21,124.05,195.87,159.53,0.77,95.78, ,76.08,34.33,149.50,70.86,17.90,254.73,95.36,242.26,12.15,243.00,286.61,4.80,53.44,40.39
223.92,177.21,142.84,46.26,219.21,251.98,97.78,63.60,166.13,246.94,168.41,287.21,83.85,194.65,120.15,180.32,223.14,44.06,269.07,58.31,207.44,125.38,217.00,198.37,194.85,261.41,35.25,218.28,240.64,256.38,47.97,104.86
194.22,37.09,239.24,51.57,105.69,151.90,65.94,105.82,195.58,24.05,15.85, ,256.49,6.30, ,142.99,74.33,271.05, , ,206.83,56.96,129.03,35.21,259.13,155.76,208.25,85.53,122.14,180.59,141.74,280.61
20.00, ,291.05, ,201.33,174.53,85.72,167.16,198.53, ,54.29,170.20,66.52,56.24,274.89,43.70,214.24,192.75,50.38,135.56,85.13,147.36,294.47,210.58,49.45,77.34,17.85,37.85,41.83, ,16.72,30.03
241.97,82.21,108.85,46.72, ,255.47,94.55,79.98,65.34, ,142.67,59.85,271.03,132.04,130.54,92.85,38.22,219.04,245.97,86.44, ,137.57,38.64,198.10,237.26,248.04,106.11,39.11,152.25,28.35,13.86,10.21
215.33,93.48,291.00, ,283.69, ,231.85,191.92,88.21,93.40,108.44,217.46,95.83,30.87,287.08,1.29,219.17,42.32,252.39,134.02,17.01,34.39,34.57,78.82,55.48,159.02,71.72,11.47,146.19,291.73,87.06,130.57
209.64, ,162.03,152.89,223.23,271.02,252.43,250.91,252.81,234.22,194.85,128.19,156.90,54.13,257.59,120.74,256.79,282.69,199.84,55.46,53.44,295.17,223.80,81.08,69.21,293.33, ,121.52,182.90,80.59,249.63,293.81
84.54,196.13,187.28,258.82,85.15,5.52,209.10,172.10,20.81,79.04,213.40,11.33,192.61,269.36,219.67,55.69,250.61,207.58,283.53,148.25, ,153.77,60.80,31.80,126.18,225.54,132.59,122.37,18.72, ,160.96, 
216.65,112.03,45.75,151.99,98.17,63.84,80.38,57.31,271.14,31.37,294.53, ,116.90, ,31.19,202.46,152.51,3.32,287.57,214.46,261.21,60.24,264.57,149.69,252.79, ,284.16,199.88,40.30,240.96,47.97,284.27
84.55,216.45,90.96,263.54,226.73,290.77,240.73, ,262.61,222.31,68.34,67.85,280.13,157.42,132.60,46.21,174.01,262.17,240.55,186.64,154.42,161.84,103.54,207.69,77.40,234.11,69.82,62.20,86.59,111.89, ,158.10
183.08,227.09, ,154.78, ,9.20,281.15,259.16,23.10,51.77,259.41,222.92,259.72,47.96,84.76,188.40,232.06,250.54,177.67,13.93,18.09,26.10,138.55,273.60,10.56, ,269.97,237.66,182.61,279.30, ,246.44
238.14,21.83,37.66,87.46,69.99,74.74,104.78,81.34,74.94,103.76,61.87,27.34,209.27, ,271.21, ,221.55,97.46,59.98,142.89, ,212.87,261.46,57.77,90.30,249.68,239.91,244.07,66.70,175.84,209.78,237.74
68.60,226.18,169.03,154.87,248.02,269.46,76.71,84.22,163.39,49.22,73.25,69.87,230.57,144.54,92.75,269.07,191.32, , ,256.55,76.82,95.95, , ,73.52,39.67,232.15,40.20, ,110.07,12.74,289.91
 , ,122.16,263.51,183.20,273.96,100.67,7.36,292.57,220.47,219.69,122.98,197.57,90.75,273.76,63.42,256.58,35.85,221.82,96.14, ,70.10,123.88,23.78,241.19,191.31,123.49,255.01,246.25,222.81, , 
17.32,282.88,56.67,151.08,157.76,79.23,272.53,176.48,173.95,200.11, ,23.60, ,155.66,288.10,14.08,104.78,66.08,260.66,149.28,178.78, ,258.01,40.37,111.38,35.07,236.80,178.75, ,83.45,274.44,194.54
 , ,19.92,86.99, ,236.28,184.42,160.18,178.22, ,289.59,38.63,174.04,97.39,53.21,250.50,252.39, ,69.19,36.10,231.36,257.72, ,142.13,269.20,289.17,288.12,106.99,197.41,165.70,115.47,175.63
246.57,211.02,197.21, ,149.29,15.55, ,124.57,265.36,233.70,263.52,233.30,248.56,51.54, ,167.00,1.13,279.75,143.99,26.36, ,175.64,256.89, ,81.46,5.89,165.48,138.75,193.71, ,24.42,150.12
127.80,151.05,163.04,204.77,6.55, ,182.20,3.77,30.82,96.62,260.46, ,99.22,190.83,85.24,269.28,65.17,118.65,157.86,196.42,87.23,166.78,85.17,137.88,187.88,46.62,183.58, ,282.79,112.53,143.34,260.55
92.95,197.35,215.49,205.58,266.27, ,100.38,1.95,143.72,161.38,114.41,199.06,27.76,148.63,100.50,279.58,269.35,76.55, ,255.59,230.82,292.65,22.25,77.66,30.08,121.90, ,166.86,118.00,76.64,213.64, 
193.22,112.38,132.87,183.13,275.00,10.33,189.66,154.01,293.10,234.81,104.52,281.86,134.70,0.65,90.12,244.35,234.11,213.78,147.64,155.45,210.86,90.29,198.36, ,191.46,2.64,232.92,288.32,154.04,157.58,254.91,199.71
269.47,152.03,104.09,191.91,159.80, , ,256.06,28.14,89.71,153.98,50.12,179.57,7.10,159.52,72.51,200.27,15.68,78.45,1.24,46.49,28.05, ,284.11,149.50,114.53,285.61,230.40,16.74,135.01,294.07,126.40
297.29,68.98,246.83,50.84,235.23,245.25,33.23,23.55,60.99,63.01,275.24,174.52,127.96,45.86,106.55,175.33,40.65,153.44,133.05,204.67,116.15,67.02,79.28, ,140.28,95.12,203.88,61.41,216.48,241.71,177.49,213.85
154.62,134.77,291.21,46.77,155.19,126.51,275.98,36.69,145.71,3.14,220.33,245.43,135.49, ,12.98, ,294.32,247.32,297.84,168.13,298.03,241.31,27.90,41.61,33.55,196.39,236.90,101.24,253.53,69.47,249.71, 
244.02,165.34,224.16,241.24,101.90,210.08,292.46,268.04,160.92,253.44,92.25,298.85,23.69,44.05,185.28,70.55,40.97,202.42, ,143.65,141.66,143.99,100.67,36.13,132.27,111.16,283.73,28.73,205.02,2.36,149.59,128.11
157.97,181.31,103.76,57.01,133.18,13.50,172.36,91.58,241.11,34.51,84.06,183.15,27.55,46.63,2.52,156.03,238.74,283.59,62.31,287.91,241.60, ,113.95,220.92,292.16, ,217.00,216.34,196.80,285.67,121.02,118.17
148.67,14.40,99.41,172.86, ,114.46,101.54,139.77,47.00,146.12,48.93,116.43,250.64,134.75,181.34, ,158.39,69.15,103.88,249.49,255.87,91.20,23.23,184.37,66.62,191.81,65.23,83.15,196.30,49.07,24.80,102.61
143.63,55.98, ,5.47,296.20,15.44,250.39,225.17,101.68,187.90,6.71,151.55,29.85, ,120.22,142.11,203.00,94.60,233.24,264.45,131.12,172.92, ,207.99,138.08, ,25.98,45.28,229.62, ,224.63,9.60
