Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64
80.97, ,54.71, , ,204.21,278.28,143.19,258.22,187.54,58.22, , ,141.09,59.41,174.09,20.14,201.44,106.52,15.39,112.08,64.58,55.75,174.12,228.20,191.40,46.20,60.64,11.20,127.80,287.03,8.45,27.45,216.60,182.37,295.21,36.36,10.74,102.64,291.05,17.20,146.58,132.06,146.04,108.95,213.87,275.74,103.14,132.22,137.16,251.74,9.05,192.15,80.21,204.65,25.64,253.71,285.25,79.45,229.04,105.14,284.38,65.24,84.06
107.26, ,59.00,221.11,245.74,127.30,145.56,266.18,152.27,52.66,217.86,167.08,289.10, ,69.98,178.16,272.70,75.26, ,128.85, ,74.60,218.81,192.34,281.32,269.64, ,207.69, ,74.77,185.47,234.49,159.99,109.49,98.07,17.44,13.61,233.99,170.09,103.34,270.18,22.18,204.40,147.51,230.96,85.85,7.03,71.88,132.98,299.71,66.13,73.53,140.47,167.95,160.33,72.99,55.96,70.32,129.76, ,60.72,288.20,147.14,249.03
141.52, ,72.57,31.03,276.27,153.62,182.05,115.50,144.45,50.21, ,179.96,34.17, , ,117.82, ,66.85,172.42,147.89,93.78,91.09,50.41,214.26,258.67,187.50,201.23,17.90,117.67,67.21,123.22,176.17, ,243.03,292.89,224.97,234.06,28.97,154.29,218.38,232.36,274.25,149.38,53.38,29.64,249.63,27.10,264.16,159.68,47.25,47.47,90.46,76.10, ,230.39,204.02,25.49,291.40, ,203.36,183.96,18.23,20.98,172.81
15.50,192.32,185.07, ,275.53, ,94.97,41.46,110.98,213.58,50.00, ,253.36,148.66,107.11,207.33,155.07,167.94,84.80,72.63,265.65,245.91,143.13,118.19,263.86, ,227.01,219.35,180.16,40.37,115.35, ,267.79,166.33,65.25,66.41,275.71, , ,108.79,74.49, ,38.35,5.18,30.58,157.06, ,197.43,48.12,251.11,97.75, ,163.00,218.05,44.27,186.90,58.90, ,285.88,78.73,281.61,120.23,201.15,138.91
8.22,18.64,202.93,76.76,279.38,272.61, ,222.72,155.46,83.21,267.50,274.57,41.25,177.39,219.81,86.30,216.58,37.03,176.25,252.66,132.80,203.43,287.55,280.20,107.77,38.86,123.05,132.43,32.09,111.70, ,198.00,134.75,7.32, ,160.73,278.38,61.30,106.58,7.96,191.87,150.19,191.01,244.16,137.55,33.26,228.15,147.24,86.20,205.75,66.12,60.18,60.01,226.31,170.32,253.37,50.00,292.92,76.80,264.44,213.33,163.59,249.15,39.91
29.38,132.20,12.15,140.00,13.85, ,184.18, ,246.37,295.69,291.57,176.36,286.84,253.72,231.17,161.26,238.22,216.75,286.14, ,126.14,276.66,239.81,193.01,107.20,127.62,235.14,222.84,186.96,144.87,243.70,198.66,285.96, ,56.38,60.42, ,61.48,94.03,156.67,133.22, ,260.84,165.76,233.19,47.92, ,85.31,249.53,104.20,73.26,291.86, ,11.03, ,6.87,58.91,131.37,127.40,152.97,227.75,70.94,61.85,186.45
206.08,131.12,71.46,246.01,53.09, ,103.38,81.22, ,244.76,250.82, ,103.79,68.81,280.84,179.57,239.93,203.58,157.85,147.37,159.87,115.33,285.04,101.82, ,160.51,245.49,83.18,215.13,155.35,273.91,212.42,148.75, ,224.66,88.84,159.24,282.72,50.75,193.28, ,59.70,45.05,124.41,91.73,121.30,72.39,155.90,66.62,223.96,229.32,30.44,180.20,284.07,29.91,48.05,285.87,195.55,112.93,159.16,59.50,151.73,75.68,116.69
12.29,83.90,61.62,242.96, ,227.03,123.41,144.64,164.75,201.44,65.32,54.83, ,35.29,112.79, ,229.49,141.62, ,83.23,151.50,273.59,253.22,68.41, ,74.30,167.22, ,232.53,247.34,178.05, ,290.85,153.53,46.85,190.48,78.38,235.51,195.83,57.79,248.92,180.84,186.71,298.96,280.59,26.56,74.16,207.29,102.78,285.34,55.98,233.64,98.05,238.94, ,296.72,298.57,140.73,73.31,20.75,169.39,179.10,291.02,259.77
291.07,41.36,76.59,74.34,15.23,149.89,293.14,269.01,33.22,13.50,298.54,259.07,251.11,220.40,26.45,298.15,200.78,158.22, ,232.56, ,176.04,281.03,184.83,160.89,59.78,24.58,208.64,226.24, ,146.64,148.26,100.03,227.59,24.00,96.23,93.28,132.60,49.18,16.33,162.66,59.00,258.96, ,242.61,105.45,190.20,212.68,7.36,144.61,102.47,243.13,142.85,191.62, ,193.40,59.68,225.05,93.11,236.01, ,279.57,191.03,51.58
86.79,182.18,205.84,280.96,43.67,160.26,98.15,128.69, ,184.75,99.09,197.88,16.66, ,160.91,184.44,19.24,271.44,202.62,186.07,26.26,7.39, ,105.54,293.72,87.64,208.22,156.33,221.82,130.59,33.90,120.93,65.36,217.84,294.77,152.84,121.39,185.74,247.61,115.15,185.63,119.80,89.51,199.95,149.11,247.82,76.66,129.41,160.90,108.79,142.39,34.02,44.21,271.69,211.04,233.15,289.61,190.53,29.08,90.45,121.02,61.20,107.01,39.69
237.88, ,80.26,157.61,154.32, ,146.14,102.55,85.09, ,275.62,161.31,261.74,187.12,100.70,107.02,124.49,229.20,198.51, ,56.12,237.40,69.22,121.92,162.82,263.94,182.63, ,248.73,195.86,96.96, ,203.98, ,278.91,18.12,226.53, ,280.03,67.04,122.13,221.01,95.97,280.01,20.17, ,117.13,63.19,28.79,118.07,28.98,233.75, ,160.28,207.95,186.89,189.55,163.95,293.98,295.52,238.51,110.35,132.82,229.03
171.37,164.99, ,261.97,288.96,282.07,144.31,24.14,11.94,283.25,27.14,118.03,181.67,111.48,266.55,276.55,125.43,178.45,131.28,135.26,76.79,257.49, ,281.64,251.66,23.64,41.95,192.20,148.48,154.55,292.47,172.56,234.04,184.39,193.27,82.77,101.59, , , ,252.64,91.49,86.73, , ,57.86,202.02,207.03,76.26,270.58,249.68,266.59,225.83,279.95,92.99,210.34,19.88,178.77,130.43,277.03,19.05,192.30,118.68,19.09
114.97,277.13,22.23, ,248.06,241.78, ,121.84,143.78,260.71,253.09,288.05,230.97,265.00,228.17,222.60,278.61,236.92,102.22,199.46,207.21,5.84,162.67,192.34,269.40,29.00,244.20,152.60,24.15, , ,201.28,199.57,258.61,135.64,95.64,124.88,169.67,97.45,258.40,38.79,142.84, , ,84.83,262.20,120.49,61.29, ,260.86,140.30,37.31,192.99,26.01,242.08,293.29,115.13,13.22,125.93,193.22,165.84,175.17,16.59,36.11
