Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136
183.83, , ,107.07,3.44,6.48,118.29,263.71,197.80,14.27,264.14,17.49,141.66,143.01,233.25,182.72,99.87,160.84, , ,258.41,108.72,75.20,191.88,215.75,208.16,26.78,164.83,238.19,103.31, ,36.56,140.40, ,206.95,109.07,187.85,45.01,32.37, ,224.25,139.34, , ,40.71, ,84.97, ,188.28,198.36,100.80,283.94,245.71,151.57, ,219.05,88.31,235.19,175.67,151.24,161.58,230.30,154.78,278.93,203.55,293.83,38.71,112.33,278.30,232.79,107.95,163.24,103.25,208.16,192.74,168.52,280.00,155.48,114.09, ,17.64,224.08, ,256.67,192.23, ,125.02,82.52,146.47,80.11,186.95, ,246.35,191.95,26.37, ,140.46, ,158.09,215.45,65.17, ,257.39,237.04,90.31,59.26,298.34,181.67,198.40,131.64,211.26,152.31,119.11,140.53, ,94.68,154.98,198.05,117.24, , , ,74.05, ,72.39,213.90,296.68,89.33,144.47, ,103.16,267.70,76.91,38.36,273.53,0.89
15.44,145.47,101.48, , ,291.90,47.61,268.96,38.91,125.28, ,228.44,34.20, ,152.76,32.39,108.70,217.26,39.31, ,140.79, ,274.50,185.51,223.73,2.92,246.04,148.86, ,1.50,228.77,199.50,263.44,247.95,243.05,36.04,111.32,288.02,151.32,210.06,185.89,176.34,10.56, ,23.10,298.89,289.95,269.35,193.38,77.16,238.18,226.14,260.57,231.98,254.28,195.18,80.04,4.05,270.25,225.95, ,224.83,59.73,32.54, ,27.67,238.24,115.34,209.82,267.34,61.03,35.95,49.33,215.91, ,186.16,270.49,131.76,242.70,50.09,80.42,2.92,36.48,161.86,178.59,168.20,298.81,56.34,139.16,170.92,216.87,254.53,236.58,82.69,277.77,154.53,231.01,104.71,126.22,168.35, ,36.54,203.15, ,158.17,253.88,158.07,86.17,58.12,198.88,202.04,273.58,234.85,214.01,172.08,6.13, ,210.47,70.24,203.33,271.79,105.66,26.92, ,139.51,109.81,175.33,215.04, ,149.89,282.44,225.58,195.58,67.70,42.98, 
246.31,191.47,95.39,142.09,279.42,106.32,19.99,101.09,130.56,84.92,151.95,109.64,169.94,242.32, ,80.26,64.93,87.14,165.37, ,237.17,3.79, ,23.78,149.23,155.69,43.73,170.69,149.39,188.04,287.62,43.66,59.71,137.86, ,3.23,10.88,85.27,283.88, ,9.01,297.25,1.39,204.46,59.07,217.38,278.89,111.15,272.87,131.15,17.71,113.96,130.71,229.33,38.22,183.81,45.39,211.95,222.03,218.86,170.26,228.21,41.24,171.71,210.21,124.84,122.70,71.97,293.15,98.79,64.05,78.61, ,290.56,85.69,75.08,277.23,295.01,252.57,298.09,244.58,91.53, ,30.33,77.06,245.77,54.84,158.45,119.26,124.01,107.80,50.56,208.20,169.60,214.46,32.68,148.55, ,3.00,234.34,211.28,81.31,268.65,40.35,38.78,98.56,66.39,177.95,142.76,242.74,245.21,195.28,96.55,136.11,181.83,126.01,180.65,14.20, , ,140.05, ,238.61,136.78,8.58,54.53,107.79,166.32,296.54,28.21,281.28,94.68,253.77,232.38,201.99,283.19
221.72,26.93,274.69,72.10,28.76,204.39,227.89,68.22,215.87,137.28,224.19,248.88,119.74,39.06,262.94,278.27,166.32,45.00,168.90,124.29,243.74,34.21,99.39, ,15.26,233.34,123.06,161.29,285.05,40.08, ,62.33,190.16,290.24,69.67, ,193.96,296.00,91.01,22.02,263.70,92.32,249.69,62.34,216.39,153.55,54.16,18.79,49.20,29.44,17.11,36.62,245.38,133.70,200.26,229.85,193.00,61.00,237.53,253.68,170.73,110.39, ,129.18,15.47,293.54,93.74,36.46, ,69.08,163.90,294.24,133.30,115.90,29.94,17.63,207.36,90.85,113.25,146.93,72.59,70.88,17.30,108.88,80.49,160.63,147.31,38.13,42.11,174.90,207.47,55.67,80.89,132.58,203.63,271.48,203.07,48.64,295.36,242.48,35.49,20.24,257.97,163.39,212.41,72.12,230.82,234.72,274.31, , , ,177.34,249.88,202.80,215.06,112.72, , ,11.15,173.79,142.00,281.94,245.99,111.11,36.55,39.19,143.68,153.40,45.53,279.34,129.79,219.78,246.98,242.37,220.82
106.47,198.26,265.87,136.56,186.96, ,226.15,190.24,295.47,60.65,210.39,214.73,232.11,289.77,91.18,197.05,112.32,95.22,245.48,281.88,4.61,49.99,62.17,245.88,171.27,142.58,18.86,124.45,206.12,227.20,120.07,194.26,103.86,77.71,107.13, ,111.75,102.75,41.86,288.39, ,294.91,295.90,299.40,264.73,234.56,202.83,16.18,287.02,86.56,169.37,124.32,5.44,24.88,145.87,36.33,282.09,187.47,45.01,98.34,92.40,201.68,87.54, , ,37.89, ,207.26,263.62,78.02,154.27,213.50,162.30,204.21,46.34, ,233.21,248.30,13.46,20.83,67.83,175.57,292.03,12.98, , , ,46.11, ,259.61,130.87,122.96,164.83, ,98.04,211.27,299.19,144.48,129.08,275.76,249.66,247.77,269.11,156.87, ,125.45,5.52,93.32,280.74,133.65, ,119.38,179.83,216.23, ,45.31,194.51,231.60,227.88,154.25,102.73,104.79,144.31, ,237.62,165.24,72.44,251.95,263.93,10.39,156.10,225.46,123.66,69.65,133.45,163.05
118.24,256.25,176.83,230.92,5.34,10.22,205.11,269.61,93.95,49.20,209.14,88.10,180.24,41.59, ,204.64,291.49,121.40,114.00,80.42,257.45,12.27,196.25,260.68,135.60,240.78,149.65,98.94,129.76,239.22,247.19, ,162.32,22.74,23.89,272.83,166.19, ,111.73, ,72.41,118.76,203.84,148.91,6.84,9.51, ,54.50,143.45, ,8.76,197.13,100.75,75.44, , ,78.67, , ,50.80,150.34,140.31,134.39,128.61,42.35,198.40,40.65, ,49.41,86.61, ,256.57,27.35,288.00, ,101.65,125.82,107.43,174.38, ,21.52,58.73, ,257.14,173.13,138.12,284.47,4.61,181.29,72.23,150.10,243.60,135.34, ,242.77,160.20,64.70,284.73,245.60,80.57, ,105.38,212.90,257.08, , ,79.61,6.95,85.21,100.29,221.54,109.96,92.56,204.83,35.13,171.61,10.76,8.60,215.24,120.28,200.86,73.50,140.40,249.71,187.21,105.23,4.78,260.09,226.96,255.75,125.00,299.45,271.34, ,186.57,160.64
149.26,228.28,152.36,294.83,31.24, ,139.98,6.52,146.95,264.99,195.57,230.06,225.76,203.08,87.97,126.75,0.74,171.04,291.07,40.68,46.30,68.48,135.12,286.36,8.48, ,204.06,14.83,267.10, ,233.22,153.65,246.96, ,118.00,189.74,240.93,179.37,235.38,161.56,52.01,18.87,228.40,44.71,22.01,159.46,245.02,177.83,110.62,203.66,232.47,61.68,260.29,250.89,112.17,66.62,11.18,174.03, ,255.91, ,175.74,201.00,230.12,205.49,96.22,150.97,160.00,261.41,270.25,26.06,128.60,244.99,132.21,115.25,74.93,55.05,170.85,278.51,41.81, ,138.02,150.64,10.68,299.47,283.12,182.97,40.37,10.53,107.86,295.40,204.49, ,155.16,212.98,154.03,17.67,92.82,4.34,179.04,130.34,0.33,218.92, ,194.57,262.63,205.95,204.31,140.24,265.61,74.23,47.33,116.95,121.83,205.37,164.35,83.04,222.90,119.22,207.64,65.16,16.22,128.30, ,268.54,47.16, ,146.44,185.02,110.20,248.71,259.56,238.15,13.36,167.75,215.90
264.19,140.66,265.24,175.87,139.86,237.49,17.89,99.13,40.20,72.42, , , , ,125.20,45.03,154.00,210.11,228.63,283.43,164.33,29.10,49.34,44.91,256.18,265.79, ,38.21,45.96,171.39,259.54,281.01,190.34,41.77,170.57,291.96,256.87,93.54,200.61,5.97,16.32,233.63,93.09,64.67,106.17,75.04,272.39,197.37,297.99,171.26,31.68,233.00,14.49,249.60, ,255.57,102.99, ,115.68,88.39,37.72,116.40, ,88.79,157.64,166.79,122.78,128.46, ,117.01,294.88,215.58,22.19,184.56,215.07,26.43,180.59,198.03, ,158.30,45.70,37.31,112.73,206.93,295.59,263.74,154.63, ,184.04,51.47,212.56, ,48.32,299.90,72.77,217.11, ,257.42,158.38,5.59,74.36,268.20,123.16,150.72,19.67,114.35,53.32,291.96,196.96,76.35,266.04,98.42,32.45,187.84,74.11,258.36,139.83,211.54,268.56,172.34,31.77, ,195.52,52.28,17.85,223.69,283.07,196.38,46.96, ,104.09, ,75.68,243.89,135.50,275.37
248.76,212.13,20.65,143.92,182.46,51.03,222.34,184.94,26.65,33.82,45.83,113.76, ,134.41,151.31,114.99,81.23,257.91, ,116.56,287.39,158.01, ,19.91,142.08,280.55,64.29,21.61,182.75,294.36,126.94,51.66,260.65,144.90,36.39,169.62,258.88,233.41,267.96,22.86,190.66,78.23,145.70, , ,254.09,235.16, , ,117.87, ,262.77,97.60,208.19,241.42,73.82,237.93,290.85,66.28,128.47,252.93,249.25,179.68,3.03,68.53,78.57,51.06,24.99,23.89,289.07,203.14, ,141.07,224.14, , ,19.78,284.30,228.84,125.05,55.20,108.66,164.32,96.10,120.06,229.55,233.84,256.38,128.15,235.25,288.76,83.66,219.63,253.92,120.14,188.59,164.72,220.38,92.33, ,212.40,164.26,195.08,222.01,187.27,127.07,8.23,23.22,286.73,270.70,211.32,23.79,214.39,289.29,258.35,88.69,188.35,26.38, ,228.29,264.94,184.26,180.03,130.50,20.16,183.25,144.87,31.93,267.53,249.67,24.20,96.06,246.60,147.95,109.89,216.80
 ,101.06,148.64,158.76,92.13, ,39.41,229.49,179.95, ,129.62,161.39,0.45,134.47,130.92,137.87,99.54,175.77,240.95,272.57,150.50,174.41,104.10,89.32,273.94, ,103.56,174.02,191.18,125.90,287.91,57.03,108.18,70.84,210.69,281.34,245.74,184.81, ,278.80, ,252.74,38.22,71.96,47.72,69.23,182.30,182.26,252.21,209.06,299.21,118.29,130.14,26.58,169.60,293.75,202.30,245.72,99.39,277.24, ,173.35,61.63,52.62,80.65,89.30,181.17,108.85,122.49,216.63,141.24,167.75,11.24,85.29,23.09,237.98,21.59,28.95,21.82,34.61,100.13, ,265.36,27.99, ,185.62,176.51,89.61,43.81,112.66,239.06,235.66,184.06,201.76,248.41,124.79,249.01,248.52,116.41,231.11,228.71,5.47,91.09,103.93,170.82,15.67,35.62, ,272.85,68.20,145.47,120.88,191.63,225.18,151.95,131.09,224.03,222.24,188.48,13.58, ,177.03,278.63,175.67,185.50,152.91,107.38,96.67,10.53,169.66,284.15,41.60,89.00,123.17,27.47,12.23
