Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116
48.09,28.67, ,206.01,100.55,282.99,40.76,83.51,139.13,42.82,173.13,259.73, ,140.02,196.12,66.77,73.95,36.53,40.89,8.63,287.75,104.07,175.10,42.06,286.51,249.60,214.53,63.98,156.24,254.51, ,21.29,229.07,21.57,177.03,40.33,196.53,102.17,49.78,197.13,236.07,206.15,153.06,104.29, ,8.29, ,163.41,161.74,226.53,124.18,92.08,101.67, ,228.46,64.99,271.09,200.85,139.15,220.69, ,129.83, ,162.63,190.69,56.93,108.86,55.44,43.49,160.04, ,88.49, ,27.17,97.29,36.54,222.82,124.78,87.06,200.62, ,91.31, ,155.26,10.06,8.81,4.06,284.99,257.34,193.42,205.58,212.54,227.15,199.35,3.04, ,203.66,70.77,90.01,150.23,168.80,61.59, , ,207.34,187.77,24.66,222.66,84.82,242.51,64.14,223.21, , , ,104.94
76.67,272.07,132.48,191.05,97.99,262.17,9.25,253.88,201.91,266.36, ,186.53, ,109.75, ,236.62,45.30,244.71,30.53,141.47,265.21,161.52,158.47, ,137.71,277.48,13.86,106.31,130.38,131.82,118.51,176.74,117.50,231.25,265.73,267.95,270.62,190.79,22.72, , ,26.15,200.05,74.59,265.63,243.49, ,62.00,21.83,287.14,279.79,222.77,81.57,255.82,142.82,268.54,166.40,150.50, , ,71.74,156.14,278.87,121.80,123.24,89.41,100.67,224.00,54.39, ,10.22,118.31,219.94,189.76,93.16,77.94,258.66,139.82, ,93.41,133.06,200.81,27.04, ,251.04,46.05,0.41,208.02,79.62,61.38,176.87,156.30,138.21,68.13,50.34,71.44,293.37,8.32,15.13, ,266.18,253.54,35.14,130.81,89.43,215.23,135.64,215.12,207.98,158.58,181.47,19.96,163.32,27.49,234.52,197.49
154.83,138.53,5.06, ,217.96,38.51,168.49,215.07,183.84,160.66,26.24,154.34,244.53, ,157.29,130.25,16.65,69.49,34.14,99.09,292.50,154.08,1.33,43.03,214.80,237.45,214.05,203.53,263.19,28.62,186.39,175.26,143.95,58.22,19.30,293.66,290.15,139.76,178.70, ,93.50, ,142.68,24.38,92.25,273.91,108.05, , ,63.34,228.06,1.77,278.86, ,269.02,98.91,21.85,28.77,52.31,258.04, ,4.25,46.43,250.08,138.47,137.79,53.49,23.36,13.20, ,272.35,193.83,231.74,52.97,31.04,295.00,142.25,293.33,199.84,6.70,206.06, ,224.92,133.44,106.77,169.86,236.13,63.61,71.86,210.40,272.25,36.55,200.69,25.94,109.78,148.43,127.67,76.22, ,209.65,75.98,70.31,222.45,258.17,36.20,232.63,299.01,176.83,272.33,90.60, ,12.22,67.73,169.63,192.49, 
92.94,39.92,109.37,127.58,284.60,94.30,4.07,288.88,157.97,267.66,75.28,260.80,231.94,207.41,293.18,129.49,261.05,249.37,131.78,137.96,240.73,33.62,25.57,125.70,283.70,132.12, ,92.91, , ,4.16,186.79,94.89,11.45,222.28, ,299.23, ,239.96,246.09,177.66,10.46, ,103.82,11.26,286.23,149.82,146.38,245.67,186.10,83.13,42.50,14.82,20.90,113.51,124.66,212.77, ,172.33,177.42, ,38.47,32.37,158.07,103.27,41.35,177.70,257.02,289.38,124.54,133.10,216.20,161.75,31.13,1.29, ,216.22,16.92, ,205.21, ,8.48,69.82,138.41,254.86,183.67,183.15,59.81,110.15,282.95,48.70,240.41,62.43,83.61,155.52,284.57,261.80,273.20, ,111.62,245.75,109.58,53.38,232.26,113.69,157.53,298.53, ,264.79,149.84,83.29,281.73,17.85, ,291.06,51.79
201.05,272.91,170.00,14.17,200.87,52.09,180.66,299.91,15.41,23.71,87.14,45.53,46.92,247.84,146.09,58.20,211.07,62.15,147.00,177.18,75.74,1.20,58.01, ,55.00,135.54, ,151.48,200.43, ,148.27,184.27,263.60,275.51,93.00,235.42, ,210.18,22.75, , ,276.73,135.76,221.39, ,107.36, ,255.63,77.11,206.08,154.12,261.48, ,149.47, ,182.80,197.04,49.96,49.76,40.87,75.04,203.05,252.46,148.98,250.36,140.06,140.20,150.59,267.94,265.59,70.55,241.16,191.52,107.99,102.03,33.41,218.66,185.08,51.58,59.49,123.34,139.87,173.27,79.31,148.45,279.26,127.96,211.82,138.76,52.38,23.27,25.33, ,25.29,11.25,158.65,8.01,161.91,99.09,87.14,221.12,101.54,88.82,295.59,292.74,218.30, ,238.22,219.37,136.93,32.97,216.76, ,44.78,105.82,41.34
57.95,61.33,141.49,164.84,210.44,257.24,60.05,66.96,253.91,53.36, ,259.28,269.92,110.59,153.77,206.92,12.41,108.07,10.87,36.73,168.66,105.19,254.35,64.37,93.63,224.14,168.63,8.51,231.37,4.14,73.56,131.87,80.44,257.85,198.16,239.25,188.89,64.22,184.16,14.02, ,238.16,97.23,228.99,52.95,239.93,121.64,269.96,231.43,165.46,108.06,261.99,48.93,239.10,190.59, ,168.38,144.34,93.53,17.86,18.88,269.24,187.59,7.04,113.38,178.14,284.77,291.41,101.51,71.67,232.89,228.34,265.84,257.89,42.74,87.77,278.26,40.72,132.60,136.09,71.28,271.76,56.63,235.91,176.59,146.92,206.32,50.59,26.82,124.73,237.08,23.63,24.05,108.00,112.11,102.63,258.32,239.45,37.56,173.09,182.94,23.62,95.28,261.42,82.69,191.66,298.65, ,22.71,43.11,91.75,282.00,245.52,214.61,93.94, 
8.09,153.57,62.17,105.91,70.94,109.74,208.36,177.88,131.10,186.59,249.27,292.46,119.30,139.03,142.79,213.31,201.91, ,264.08,288.49,86.65, ,49.25,205.81,228.92,84.65,47.37, ,17.69,50.50,221.99,163.12,106.39,231.33,11.51,96.03,72.66,261.40,103.16,6.29,270.10,182.17,16.51,219.37,275.44,15.02,194.00,176.55,280.59,97.22, ,193.25,134.91,84.76,72.99,277.89,31.21,235.03,65.19,33.15,114.41,31.05,107.12,273.14,128.66,88.59,64.73,265.68,175.50,143.48,248.75,54.98,73.41,108.81,269.30,4.80,95.79,94.15,162.78,62.63,46.79,272.38,127.89,179.81,213.60,298.89,260.26,164.03,140.04,292.23,61.40,26.57,38.22,180.22,232.41,282.06,35.18,60.77,275.58,215.75,237.22,117.44,197.79,291.64,214.65,8.35,34.29,37.86,263.19, ,59.86,16.63,259.38, ,124.35,77.13
107.74,212.01,11.95,91.24,113.50,232.48,67.48,202.81,153.96,250.57,225.86,176.68,299.66,294.13, ,71.26,180.30,249.38,283.51,106.75,287.13,198.88,165.76,105.35,19.60,221.66,197.22,56.33,261.60,9.27,232.72, ,113.03,72.35,35.59,235.29,233.10,200.87,199.33,240.99,86.11,92.08,109.56,22.09,15.61,133.96,114.97,224.19,266.57,56.54,242.52,4.15,25.40,11.27,271.53, ,57.64,187.23,274.16,45.49,256.85,232.81,42.71,282.26, ,278.81,116.03, ,120.19,44.48,108.22,296.74,64.36,83.12,204.62,278.60,208.74,231.02, ,152.49,218.18,174.44,25.78,127.60,245.42,12.17,156.33,162.52, , ,40.58,113.44,61.44,259.53,4.23,220.16,205.96,21.50,219.55,130.11,213.10,56.48,222.16,203.08,170.26,293.50,87.81,261.63,180.15,260.67,173.04,41.09,19.17,159.40,109.86,285.87
65.04,248.22,255.15,71.88, ,65.38,244.08,297.89,52.47,54.00,92.09,277.93,254.00, , ,150.38,178.59,85.04,121.55,176.08,144.13,129.12,37.75,81.83,166.54,254.69,71.14,155.37,217.86,89.58,2.10,268.35,113.29,101.62,125.64,207.70,279.20,179.27,162.70,151.98,97.68,18.90,188.36,68.28,237.89,189.60,95.87,292.65,47.94,106.13,61.85,135.52,249.78,141.80,46.56,113.66, ,64.67,151.73,154.33,240.10,52.24,95.36,244.60,214.90,128.67,294.11,269.15,209.25,20.86,111.48,169.48,59.88,277.42,257.72,27.35, ,5.51,26.37,80.34,208.86,172.38,229.69,267.45,40.91,155.91,114.34,246.62,252.45,283.30, ,186.72,222.94,121.94,171.60,49.52,3.89,120.33,26.70,277.05,156.17, ,274.35,207.13,40.93,195.68,192.38,210.95,132.70,231.97,81.78,74.08,10.07,226.38,160.03,192.22
57.12,151.18,37.61, ,149.49,217.38,60.46,247.42,226.87,261.05,18.25,66.40,289.55,192.36,264.83,168.68,273.10,11.26,245.73,182.22,189.49,284.99,209.83,139.40,190.54,80.40,124.67,177.80,10.71,236.29,146.12,163.06,101.40, , , ,83.52,57.89,184.13,75.87,202.11,280.08,172.08,23.40,64.16,232.97,147.12,9.86, ,156.50,205.19,238.94,177.87, ,168.27, ,44.29,66.30,275.46,201.61,23.59,84.16,181.27,201.12,103.20,105.53,275.94,264.72,182.02,29.24,197.28,253.56,187.63,257.31, ,262.91,249.04,197.00,169.00,183.00,51.34, ,271.76,42.11,1.82,22.02,164.08,52.10, ,186.75,73.10,168.69,153.97, ,15.93,291.17,84.84,13.99,51.50,44.52,0.99,51.44,292.52,15.86,179.95,240.48,17.98,211.79,2.19,275.98,140.00,122.31,251.10,227.04,138.83,237.77
