Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89
127.66,294.92,64.36, ,125.02,64.20,279.69, ,223.95,105.59,283.39,264.43, , ,14.27,195.55,5.29,124.21,257.13,135.95,53.09, ,105.98,210.43, , ,9.62,266.10,7.71,60.47,72.13,237.17, ,244.42,79.26,181.25, ,17.20,240.84,204.39,37.83,132.49,275.33,200.88, ,208.59,298.62,108.87,68.66,1.30,200.17, ,81.42,269.45,174.83,244.03,257.12,194.04,158.42,231.72,110.81,267.88,168.48,256.43, ,108.31,181.10,2.54,89.90,232.25,294.33, ,73.56, ,267.60,272.84,120.99,247.79,0.01,159.33,51.78, ,160.09,148.51,4.51,258.48,43.55, ,186.10
191.90,93.98,175.02,296.47,98.94,286.86,39.60,198.34,226.19,251.47,14.27,232.67,78.52,169.13,175.02,205.08,40.98,226.40,65.87,212.01,167.13,263.77,45.05,298.11,27.86, ,42.13,132.06,148.16,36.83,63.75,278.77,133.03,57.07,43.70, ,208.51,159.90,53.80,34.39,176.19,1.50, ,71.13,272.09,96.39,292.97,100.97,290.80,249.56,283.03,27.81,201.77,103.97,228.68,108.44,185.11,282.09,275.09,168.34, ,264.73,265.48,57.07, ,291.07,163.54,180.04,218.17,66.24,155.86,31.06,275.52,135.01,176.87,10.84,57.27,9.94,248.83,70.43,250.48,72.83,35.60,5.38, ,71.62,190.54,6.97,42.07
289.85,100.01,10.52,157.22,155.16,242.70,241.01,240.45,201.59,38.10,59.86, ,131.48,79.69,274.75,240.09,224.39, ,24.34,143.11,244.16,52.13,288.24,15.62,295.65,283.17,71.67,25.63,174.50,40.49,268.15, ,166.04,252.38,223.75, ,105.30,5.31,33.69,150.58,222.23,266.51,179.98,248.42,298.98,199.01,195.45,14.50,33.19,160.45,137.67,204.16,209.95,100.40,203.01, , ,97.20,30.64,297.62,182.78,101.98,36.07,248.95,205.49,264.49,179.27,129.05,45.13,292.89,282.63,96.51,21.14,235.01,170.89, ,53.68,132.82,265.31,84.41,35.73, ,101.67,82.53,29.25,269.71,273.20,218.03,227.91
263.42,290.95,95.55,187.99,154.61,290.09,107.87,20.58,286.34,120.25,52.97,196.54, ,169.73,89.67,202.92,202.86,19.79,161.39,225.16,196.19,176.26,56.48,201.63,168.57,51.16,76.84,133.98,72.29,74.54,243.16,190.81,43.31,183.19,252.19,90.87,56.96,29.42,149.35,44.35,254.92,255.36,296.16,131.28,93.05, , ,183.29,182.23,31.83,131.29,173.77,132.40,189.28, ,38.63,88.51,47.77,11.90,180.17,210.81,194.29,179.05,299.92,112.73,32.11,57.80,51.92,148.53,169.24,26.81,103.19,264.42,299.33,230.50,77.56,128.13,257.94, ,257.87,15.09,39.57,242.18,245.16,204.22,91.38,254.61,17.75,263.67
69.25,99.21,17.54,76.89,198.47, ,156.33,206.84,131.09,282.89,45.24,91.01,296.42,227.65,23.32,259.34,66.82,291.26,216.88,92.46,130.24,98.02, ,4.86,99.15,10.18,150.18,76.94,211.63,50.87,105.84,166.64,115.26,289.14,282.85, ,189.12,99.83,37.74,292.01,167.03,75.20,247.13,229.91,202.04,121.22,118.26,275.99,284.92,105.28,24.82,39.05,77.36,201.08,206.77,180.12,290.04,226.77,245.74,7.52,169.11,257.13,298.40,103.52,275.08,99.07,235.01, ,12.37,114.92,183.78,7.59,298.05,184.35,208.66,242.74,210.15,13.57,69.89,1.05,221.76,152.29,144.86,135.49,267.42,284.70,258.43,108.77,255.22
191.70,34.16,220.32,205.93,141.84,180.57,29.03,52.74,23.99, ,159.48,139.14,39.55,68.33,99.10,287.06,216.50,126.39,71.25,256.87,212.54,185.70,261.72, ,143.03,5.77,171.50,153.90, ,144.23,132.00,74.53,35.56,270.00, ,41.25,298.84,145.19, ,200.62,220.12, ,232.14,51.03,75.17,85.04,49.17,7.34,209.29,28.06,96.40,242.29,122.67,184.04,172.65,168.48,36.25,102.16,191.83,72.03, ,157.07, , , ,99.79,276.07,101.44,17.87, ,140.53,94.16,157.49,276.88,246.55,25.53,45.98,286.97,236.84,155.33,135.88,143.91,281.08,138.44,289.63,263.68,167.02,238.56,268.13
247.89,69.60,129.62,152.14, ,88.99, ,133.11,288.90,133.52,248.79,23.53,154.14,68.59,45.05,45.67,222.60, ,292.19,57.47,119.12,236.34,134.69,41.22,209.14,64.73,267.05,202.65,190.84,274.06,234.91,257.66, ,251.22, ,218.20,3.78,107.47, , ,160.35,173.37,4.90,248.61,274.81,177.42,41.12,77.64,132.69,224.12,286.53,232.50,33.47,242.04,176.39,83.09,174.12,106.23,194.57,150.96, , ,35.02, ,112.66,12.54,147.38,134.50,281.55,280.91,281.26,94.22,204.93,42.84,237.20,55.96,72.82,198.15,260.35,281.05, ,293.59,216.03,55.48,24.18,144.37,75.95,36.24,171.14
287.51,104.41,88.49,282.18,294.60,274.17,64.42,208.63,268.16,100.65, ,124.83,132.49,194.28,103.08,269.85,126.47,74.69,90.88,18.02,165.75,78.87, ,126.05,223.83,39.01,117.85,149.30,159.63,130.47,19.22, ,289.51,230.57, ,21.45, ,126.15,251.15, , ,31.06,40.79,60.22,243.13,214.56,246.98,9.79,149.92, ,139.43,64.07,206.86,138.99,211.66,7.77,46.93,147.74,165.53,128.36,216.15,145.35,162.69,105.26, ,84.48,265.41,265.56,66.46, ,123.07,248.12,79.40,255.58,63.19,200.15,51.89,107.26,211.77,173.30,37.94,101.50,264.68,204.99,27.56,141.76, ,89.88,298.20
237.05,148.13,125.49,110.05, , ,153.56,180.59,154.83,272.09,144.54,299.26,260.75,120.03,174.12,92.85,294.85,97.65,88.06,182.67,164.93,205.41,146.49,189.08,265.85,95.58,94.36,88.66,50.15,166.49,118.60, , ,289.25,256.43,117.38, , , ,180.83,15.19,189.88,232.68,112.08,145.41,131.74,257.07,67.01,159.02,277.93,15.61,228.90,289.54,68.35, ,249.18,251.89,162.53,148.68,80.48, ,287.40,259.51,63.91,125.81,52.87,195.41, ,124.31,265.44,229.74,129.01,209.93, ,72.46,243.60,129.79,45.03,158.84, ,222.75,187.46, ,291.20,152.41,165.40,232.53,243.55,186.72
79.75,217.39,16.92,138.25,296.34, ,155.18, ,77.92,213.01, ,204.21,155.20,130.09,103.83,112.56,74.52,53.39,152.43,59.06,43.85,9.76,169.67, ,195.22, ,108.24,36.61,131.16,183.75,60.82,149.06,261.22,108.41,265.71,220.22,274.25,230.53,191.21,148.94,295.42,39.97,258.26,116.11,268.39,50.68,287.43, ,248.66,10.99,89.01, , ,246.07,44.31,38.78,79.02,139.93,84.90,129.08,59.70,129.87,269.18, ,168.91,295.64,72.64,81.22,142.41,290.54,239.30,28.76, ,73.69,170.46,167.33,20.08,218.05,286.59,9.01,56.13,29.22,143.30,129.57,130.55,178.30,263.86,149.29,98.56
