Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78
187.10,199.72,136.04,203.28,160.73,171.23, ,86.58,140.53,146.58,91.12, ,265.58,229.51,11.43,233.85,225.36,199.24, ,35.28,107.21,43.83,16.98,85.48, ,226.01,34.46, , ,79.07,199.45,231.20,209.20, ,134.56, ,259.64,279.50,297.14,186.57,142.23, ,245.79,1.67,32.98, ,92.09, ,291.54,222.27,35.62,247.39,73.31,129.82,171.10,260.38,159.12,138.58, ,84.37,27.91, ,66.68,93.37,255.59,10.94,287.32,265.17,216.74,126.31,1.73, ,262.11,178.23,132.33,238.92,116.30,212.68
33.50,210.94,132.79,228.96,283.16,275.82,192.26,44.17,16.03,257.92,35.33,190.82,284.15,84.37,96.56,218.02,174.25,48.09,124.81,17.69, ,293.51,144.83,70.01,23.85,41.57,146.92,192.81,161.87,98.95,119.10,180.35,270.24,297.26,134.12, ,242.10,288.48,71.71,37.95,20.15,196.92, ,74.64,11.04,237.48,198.84,205.99,5.76,88.50,153.52,277.32,164.72, ,132.66,133.27, ,153.42,28.18,16.60,90.49,39.33,137.64,84.57,17.35,219.86,93.34,28.47,221.87,274.86, , ,192.11, ,45.52,110.22,233.20,11.57
252.36,98.49, , ,207.88,61.99,7.77,42.19,57.23, ,116.07, ,8.18,86.11,74.28,274.78,109.36,268.34,25.90,252.25,208.95,64.45,173.86,106.30,150.66,151.43,279.61, ,287.78,294.14,44.62,16.26,299.82,20.44,28.51,13.79,296.23,242.98,47.78,73.47,165.86,115.26,216.61,277.85,198.26,245.88, ,262.15,162.26,15.42,293.27,237.59,98.92,114.77,159.30,139.56,295.83,238.38,293.17, ,197.57,15.48,7.43,105.59, ,70.35,263.98,120.54,235.42,13.09,285.55,180.17,295.51,201.66,241.65,100.20,92.40,0.62
172.19,41.44,218.72,192.45,175.42, ,110.84,97.37,217.99,41.21,265.27,244.76,158.86,299.37,231.99,144.63,36.31,209.28,241.89,103.36,196.49,208.88,48.78,168.37,276.01,9.87, ,254.62,285.65,139.82,26.20,274.29,40.25,103.32,239.36,54.52,20.87,272.84,219.64,196.57,255.10,196.28,232.93,36.83,245.12,48.24,180.59,165.36,20.00,172.00,93.06,23.33,97.37, ,17.01, ,203.43,144.84,126.72,250.61,296.35,40.21,167.05,67.13,141.64,1.08,46.50,240.15,208.09,65.99,54.53,88.93,271.57,57.67,11.54,261.85,204.01,52.49
222.86,103.46,206.75,78.14, ,18.29,106.78,89.06,110.35,245.94, ,179.71,200.16,134.25,199.15,164.07,109.31,71.26,151.43,17.33,231.26,247.87,22.81,43.40,114.03,125.76,275.56,8.31,196.72,37.73,180.81,47.51,288.73,202.91,96.78,69.74,136.25,282.38,21.30,38.88, ,164.64,175.03,25.98,66.82,88.48,49.35,210.20,279.01,242.39,125.75,188.92,298.87,136.17,227.83,196.81,61.42,80.83,231.55,287.20,275.35,161.07,65.96,64.18,100.25, ,226.00,53.06,168.06,215.96,187.42,222.81,139.33,31.42,215.81,62.98,113.59,75.25
204.61,202.48,246.77,113.73,78.23, ,246.29,168.53, ,246.44,264.39,179.35, ,95.16,224.52,247.64,84.59,267.79,288.41,177.88,31.10, , ,3.22,24.28,194.26,118.18,2.48,268.70,65.49,132.34,73.20,53.20,165.91,88.90,238.36,51.77,17.44,167.36,249.43,192.40,229.72, ,232.20,201.75,280.02,62.83,38.81,23.24, ,44.23, ,282.59,214.82,269.71,119.41,191.71,182.77,240.77,268.45,107.88,103.46,135.82,57.95,9.11,71.21,125.41,180.88,8.98,60.06,37.98,269.06,190.52,265.09,45.19,4.26,103.75,240.97
274.01,114.19,80.11,0.95,242.10, ,251.08,73.58,15.51,198.83,143.58,210.29,95.85, ,248.92,86.84,187.14,188.82,43.97,186.73,174.45,226.75,79.90,261.56,219.81,208.50,58.19,75.29,55.02,12.19,166.70,193.84,159.89,55.17,51.60, ,226.05,175.52,150.63,75.59,299.62,68.80,48.40,239.92,82.99,93.65,25.75,280.78,52.57,134.77,115.04,205.19, ,80.71,298.02,230.70,160.15,227.11,269.31, ,50.77,123.74,125.00,37.11,229.08,169.23,46.10,140.51, , ,32.00, ,192.53,144.23,32.08,77.45,26.42, 
64.48,196.57,15.38,295.27,23.36,8.31,148.77,20.75,136.73,54.60,245.29, ,297.96,38.22,199.24, ,251.39,283.45, , ,81.65,243.28,178.37,174.46,100.41, ,237.14,255.86,193.25,26.66,19.48,266.63, ,84.19, ,67.64,277.23,99.73,9.76,169.48,79.19,61.76,97.89,222.37,58.68,175.37,6.84,150.22,113.58,57.67,238.35,1.77,191.78,206.69,6.23,162.89,272.80,59.83,223.54,124.43,97.83,67.56,194.66,78.15,197.51,291.93,261.14,51.45,95.20,54.46,34.31,186.85,142.00,77.79,228.89,47.77,202.03,131.40
33.11,104.92,45.38,66.48,90.55,159.44,76.06,287.18, ,174.03,273.26,195.28, ,97.51,76.33,201.91,96.22,117.29, ,162.68,232.12,88.53, ,274.28,242.55,236.48,135.49,47.06,249.25,5.81,172.44,46.29,289.88,9.36,43.64,269.85,107.12, ,157.16,104.43,110.23,219.74,201.37,231.10,222.96,163.38,189.41,16.01,235.40,273.12,202.16,12.42,255.24,73.94,19.16, ,129.39,15.40,145.63,244.54,212.07,166.59,150.92,197.80,47.52,87.80,258.48, ,202.26,253.99,3.57,154.57,102.54,114.63,244.46,60.51,15.80,114.27
172.95,95.40,273.91,75.43,110.20,166.52,202.54,288.66, ,143.23, ,242.06,12.18,223.70,134.19,94.72,137.10,174.84, ,148.75,30.73,194.41, ,206.87,199.78,150.73,38.76,189.65,276.04, , ,274.52,139.25,249.99,36.90,208.85,273.58,22.93,187.48,265.59,9.64,289.88, ,28.64, ,9.45,250.29,192.23,178.32,294.05,7.82,253.13, ,226.71,46.08,97.20,78.63,120.74,181.43,102.82,297.55,219.53,101.58,182.26,274.64,20.45,221.55, ,138.22, ,47.95,95.82,231.74,36.70,118.45,33.59, ,31.14
47.74,174.15,203.44,118.69,220.99, ,272.40, , , ,224.90,56.31,99.35,106.75,49.20,185.41,153.09,43.03,237.73,44.88,117.72,258.35,85.20,11.11,174.03,23.40,225.69,168.97,10.46,176.86,0.60,30.12,278.83,54.51,290.34,57.73,262.96,146.77,13.16,111.07,215.97,286.12,214.18,166.69, ,43.55,131.39,14.42, , ,39.59,77.91,58.94,101.93,32.75,88.18,261.16,106.60,261.48,9.82,114.94,247.37,218.75,264.32,63.84,20.74,50.18,242.40, ,44.33,17.37,272.32,155.58,14.61, ,262.86,25.74,195.50
