Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131
36.38,49.62,132.61,287.77,86.80,284.60,4.57,151.23,253.70,278.92,73.14,268.57,149.64, ,185.64,89.68,49.17,120.36,176.47,174.73,101.43,261.00,269.50,185.39,123.33,31.26,1.92, ,10.51, ,144.74,281.21,102.10,278.28,217.35,237.08,131.14,57.00,72.68,261.77,78.84, ,110.11,188.78,39.61, ,8.03,283.26,278.44,19.63,7.81,111.47,29.05,283.40,34.76,112.55,14.16,81.63,1.49,89.79,49.31,59.57,33.10,46.59,128.18,268.27,3.21,80.88,22.36,118.31,120.37,53.65,122.25,35.54,144.98,231.42,114.40,251.64, ,298.23,162.00,127.32,67.66, ,99.92,143.15,286.55,149.09, ,271.34,133.57,20.46,26.49,73.29,166.38, ,164.61,213.30,207.16,296.73, ,96.65,133.29,30.19,163.97, ,135.31,28.42,266.32, ,181.07,274.36,281.40,212.07,238.96,268.40,137.87,140.38,126.26,249.41,70.48,226.84,248.69,293.75,139.03,135.95,41.67,67.55,135.98,84.32,120.76
225.18,135.33,193.15, ,142.56,109.72,44.89,204.62, ,83.70,49.86, , ,29.96,114.61,123.90,240.88,251.64,203.29, ,96.44,270.86,166.61,194.94,155.63,129.09,183.26,274.29,262.43,132.87,180.43,230.60,239.69,31.01,78.55,37.37,166.55, ,33.17, ,244.66,108.49,168.85,259.46, ,221.90, ,28.60,226.33,168.75,134.47,271.77,17.75, ,184.30,202.00,106.15,162.13,19.42,219.42,195.35,105.82,271.51,145.85,259.67,229.65,239.53,97.46, ,106.59,31.47,142.55,230.10,111.08, ,46.96,84.07,262.65,59.57,223.22,295.05,10.48,8.58,54.12,102.55, ,43.09, , ,181.70,239.12,247.36,39.74,96.09,110.11,41.63,209.20,39.32,257.52,100.66,18.15,10.07,119.33,152.20,238.81,122.59,26.68,189.96,217.40, ,27.51,90.10,181.23,111.09,294.67,73.98,93.26,212.27,100.00,164.89,204.25,78.50,225.47,272.14,65.85,40.36,230.21,165.13,167.61,84.76,51.34
64.48,139.41,157.29,242.19,195.33, ,273.83,146.44, ,138.33,158.95,281.49,9.16,200.60,122.85, ,174.18,103.53,283.51,176.08,22.47,118.25, ,92.08,265.69,298.29,102.48,282.71,246.40,230.58,168.63,132.37,227.61,11.21,259.98, ,182.91, ,1.17,139.97, ,105.66,78.71,110.08,192.39,182.36,124.62,52.89,161.74,105.66,271.79,98.19,174.53,177.25,282.27,35.23,240.55, ,19.26,193.19,242.96, ,127.21,166.93,89.90, ,195.56,112.45,265.06,122.14, ,17.40,213.11,3.94,193.53,172.92,280.24,187.05,265.69,279.32,194.35,161.29,264.78,147.47,293.23,34.54,76.18,167.82,104.58,142.95,258.82,242.21, ,129.26,109.68,285.86,37.88,103.60,19.85,220.36,124.99,266.78,19.74,232.20,123.30,151.98,62.79,63.61,11.84,8.39,36.40,63.83,49.32,147.17,299.18,1.42,11.10,188.55,286.92,39.87,224.71,231.63,59.70, ,71.54, ,193.06,292.00,298.80,124.32,110.49
 ,111.91,224.60,136.22,67.03,295.31,181.68, ,169.18,104.14, ,292.26,211.46,148.29,215.58,292.67,0.10,275.05,63.85,192.12,155.09,157.04,136.41,37.56,207.89,49.44,2.81,222.72,258.48,82.63,260.61, ,260.71,210.66,255.33,264.83,265.39,12.43,60.39,153.34,259.04,55.13,140.57,248.19,55.31, ,229.38,212.77,240.51,75.64,59.57,278.06,151.33,227.40,262.43,120.46,237.59,23.24,98.78,211.24,175.38,291.09,210.23, , ,8.10,163.97,231.33,282.64,44.08,49.79, ,170.25,126.18,297.87,227.24,0.48, , ,71.94,141.14,67.84,283.90,155.86, ,297.89, ,41.97,177.02,132.85, ,259.03,20.99,102.95,48.74,132.27, ,230.36,231.55,112.67,111.43,267.03,266.42, ,8.39,160.23,78.36,79.99,83.21,85.65, ,134.38,72.19,25.72,234.81,0.75,172.72,16.01,268.16,141.01,290.82,111.60,164.88,127.69,102.30,287.91,168.59,58.43,236.32,243.32,41.41
218.61,56.24,53.89,217.04,275.77,281.41,255.56,106.46,48.55,11.92,197.21, ,255.64,95.08, ,266.21, ,184.82,64.91,49.22,36.47, ,244.33,152.44,71.82,283.14,167.65,156.84,175.58, ,296.86,60.28,76.88,70.15,136.80,81.13,224.37,130.13,61.93,141.88,127.47,244.97,268.42,104.68, ,120.27,112.47,114.06,7.83,244.09, ,79.15,278.34, ,108.47,230.18,134.84,291.60,136.97,204.04,44.11,192.61,291.10,95.33,179.02,60.69,72.68,202.27, ,205.79,239.82,221.77,33.60,95.55, ,34.99,27.75,110.59,243.49, ,38.81,104.47,267.54,214.65,129.85,251.91,29.56,234.39,295.68,65.10,237.21,126.22, ,205.32,263.96,22.74,187.62,293.87,197.13,244.24,51.30,269.60,11.78, ,263.10,289.32,248.25,44.05,36.99,279.79,51.61,280.78,16.21,234.89,107.51,290.03, ,272.25,294.58,256.12,247.13,5.23,61.39,19.39,268.74,115.64,158.65, ,99.67,117.93,6.24
190.91,50.63,268.53,93.14,101.54,199.68,114.27,276.07,194.40,14.76, ,241.54,171.79,259.77,267.02,138.48, ,134.75,283.79,88.50,55.83, ,255.51,0.25,80.80,24.93,61.04,120.28,186.47,151.66,124.31,140.57,11.13,97.54, ,200.82,86.54,232.76,212.16,272.77,118.29, ,11.01,94.00,82.65,123.36,126.71,52.99,210.45,293.09,18.33,208.81,89.23,293.82,77.61, ,120.30,53.55,160.61,281.92,216.28,115.25,89.10,203.57,273.37,49.48,286.02,190.17,141.41,40.89,133.24,237.67,221.79,141.46,124.85,74.29, ,189.55,174.87,95.28,225.84,280.74,48.98, ,96.05,153.01, ,286.24,15.14,130.93,81.24,131.21,287.62,290.39,64.04,129.63,96.52,222.28,262.68,110.17, ,284.50,204.26,199.31,77.12,244.32,220.33,214.69,145.27,115.33,151.07,152.07,77.11,232.67,170.22,264.54,271.25,143.36,11.01,288.90,181.76, ,102.08,86.31,236.13,42.35,24.41,110.64,100.04, ,254.41
171.40,118.69,167.99,18.15,4.71,267.14,240.26,288.55,225.06,267.26,257.93,122.81,36.46,80.91,125.07,243.05,254.27,139.12, ,157.27,28.50,268.39,104.58,203.53,32.20,102.96,77.03,253.41,65.25,138.81, ,174.12,232.57,124.69,250.64,228.96,176.97,220.29,197.86,295.47, ,114.58,190.24,165.32,249.51,254.67,50.47,262.43,123.33,238.10,41.46,123.98,263.54,213.64,115.11,50.96, ,165.53,190.94,150.52,6.65,289.26,131.56,57.40,3.36, ,198.37,269.64,183.04,239.60,288.67,37.75,203.40,205.16,229.40,39.13,268.95,253.25,251.78,121.31, ,269.53,35.00,49.47,42.25,296.95,271.33,176.68,255.06, ,143.67,178.42,108.52,3.02,211.29,195.04,151.56,2.13,66.66,280.86,203.60,120.96,234.83,219.21,127.69,161.90, ,40.32,87.41,157.16,98.98,44.22,263.52,133.72,142.54,175.76,198.66,87.51,74.11,160.40,87.82,181.80,273.65,213.32,109.81, , ,182.45, ,145.97,174.10
172.90, ,139.45, ,226.96,130.02,169.40,274.91,31.71,137.81,247.41,63.65,109.11,200.35,12.82,93.93,87.19,56.07,106.27,59.73,132.89,220.32,39.66,166.45,229.33,25.20,203.13,194.64,61.29,75.82,141.30, ,228.49,17.10,242.85,292.05,273.88,196.41,221.46,142.63,20.97,18.03,50.02,92.35,168.17,138.07,28.63,203.30,144.40,189.44, , ,63.33,63.28, ,284.74,154.07,72.35,295.60,50.97,62.42,270.65, ,212.92,259.12,235.51,36.62,190.76,6.43,133.27,213.82,54.45,298.78,37.55,27.62,50.71,70.04,100.75, ,13.67,74.36,233.69,166.51,68.63,65.07,97.80, ,242.51,201.74,221.25, ,248.88,291.75,16.94,179.73,270.93,34.91,23.29,223.16, ,291.80,92.31,252.12,251.06,116.33,135.93,92.09,286.46,68.71,55.94,245.17,195.34,127.59,161.87,163.79,123.44,206.00,170.11,142.85,52.75,273.96,296.76,265.64,105.05,48.66, ,293.83,154.10,81.26,294.27,258.52
0.89,251.94,284.22,59.50,162.81,79.35,15.44,17.14,250.46,47.32,10.26,65.11,173.56,259.10, ,217.62,24.71,165.72,15.96, ,121.34,19.53,190.09,46.10,33.62,258.73,108.00,122.09,133.36,19.49,163.49,10.08,68.02,242.98,57.77,10.23,57.35,79.81,64.73,154.67,122.46,179.30, ,1.39,215.74,123.07, ,166.38,237.80,60.08, ,117.85,254.00,156.88,76.77,48.50, ,146.86,72.38,255.61,27.56,70.50,182.27, ,48.65,122.94,157.03,226.82,103.24,271.84,164.59,64.45, ,23.44, ,95.81,232.05,113.68,21.07,173.52, ,222.17,146.35,53.74,132.03,253.31,0.46,177.44,277.88,0.37,150.49,97.13,208.85,50.29,68.78,73.62, ,295.79,58.34, ,208.41,147.61,45.88,75.15,197.15,13.85,54.35,174.32, ,83.18, ,283.28,39.81,136.52,52.69,10.13,20.75,286.72, ,32.59,155.40,213.58,269.76,262.79, ,114.28,68.59,86.31,281.46,108.77,77.90
19.74,115.15,6.57,208.85,134.46,242.23,138.87,60.13,113.46,235.38,129.31,241.21,55.85,41.72,40.64,26.08,207.66,100.87,243.09, ,77.54,243.29,73.87,228.04,207.42, ,135.16, ,76.37,19.04,208.92,39.68,209.74,236.21,200.93,294.05, ,71.59,94.81, ,188.77,243.34,289.83,231.35,165.74,108.62,6.76,68.43,46.09,146.51,29.13,132.75,258.08,94.77,79.07,23.23,201.82,64.03, ,295.38,34.87,241.68,9.86, ,56.31,266.25,287.60,250.25,18.56,104.60,12.05,147.60,151.51,1.86,241.06,210.91,205.87,15.80,223.87,113.60,280.32,182.98,75.24,88.25,41.56,207.13,76.53,88.90,104.15,143.57,261.76,119.34,268.49,293.14,110.16, ,90.47,55.51,261.84,146.64,230.30,262.76,116.02,72.82,121.64,187.62,125.34,286.19,210.59,286.11,231.48,275.46,279.45,80.34,219.71,296.93,266.47,133.93,277.18,126.55,70.34,265.67,256.27,188.65,73.17,269.80,267.61, ,247.07,106.94,195.95
