Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134
281.45,228.72,156.03,166.19, ,260.37,186.12, , ,40.02,41.10,78.15,86.63,81.80,153.09,275.51,81.73,229.00,142.54, ,56.76,299.59,142.33,294.92,6.63,45.23,182.98,140.18,127.52,274.12,58.86,95.71,235.59,235.41,152.07,205.84,133.13,17.63,87.10,280.67,154.42,155.76,66.80,229.72,201.70,14.52,57.71,266.98,119.75,136.00, , ,180.66,247.27,262.15,210.83, ,65.25,283.86,35.51,32.37,181.50,244.35,293.92,109.05,174.33,123.22,165.00,26.81,112.33,113.85,135.93,274.80,25.38,3.84,238.47,290.73,272.43,262.04,289.66,253.57,82.52, ,247.52,36.96,54.17, ,200.87, ,175.67,295.11,3.01,72.80,46.74,11.65,154.81,271.48,231.57,8.43,145.63,250.20,55.17,144.65,205.24,237.96,241.81,215.25,289.08,284.04,180.83,17.64,273.68, , ,124.60,213.60,225.92,152.81,168.17,249.32, ,187.28,181.90,69.56,109.43,110.75,238.44,162.88,80.12,235.62,276.60,198.96,131.51, 
112.59,97.08,4.33,249.19,219.06,228.21,178.96,156.52,224.27,187.09,43.07,133.97, ,39.57,262.51,290.16,283.67,159.21,225.41,294.77,115.44,12.27,243.27,17.73,222.37,154.57,23.76,254.70,209.35,279.59,165.34,233.98,190.83, , ,289.56,200.30,253.65, ,196.91,283.94,133.04,18.96,288.39,208.45, ,202.71,293.81,289.93,217.05,20.98,297.01,0.98,115.55,109.88,151.55,65.70,153.59,34.89,18.72,15.80, ,218.51,63.28,69.43, ,250.19, ,247.20,16.24,138.16,254.38,122.42,285.61,128.52, ,235.86,120.76,93.97,170.17,253.52,242.88,60.36,256.66,140.27,91.85,117.43,239.15,185.14, ,23.50,38.88,278.46, ,230.12,207.75,40.97,257.03,105.86,176.92,93.00, ,184.85,159.21,241.12,132.72,219.50,197.79, ,176.25,70.49,199.43,206.65, ,163.68,245.36,101.18,274.06,49.67,120.34,106.48,105.43,216.65,95.41,283.31,290.69,218.87,214.67,3.70,36.60,79.33,48.44, ,22.50
39.50, ,248.38,180.67,227.08,78.74,211.75,170.87,77.29,299.49,286.84,147.04,170.57,5.41,106.88,241.50,34.75,224.97,110.78,36.94,202.95,60.35,177.74,17.14,20.96,247.00,19.82,31.25,20.42,109.39,31.90,233.05,173.79, ,284.57,86.72,166.61,82.78,80.15,298.46,34.95,282.19,34.90,74.01,96.65,34.67,142.56,157.00,259.34,258.99, ,45.71,145.30,49.12,28.28,125.07,98.07,45.66,175.05,214.83,218.54,135.00,168.06,299.49,179.89,36.25,293.20,90.14,30.09,265.12,202.37,121.83,230.34,141.27,289.38,205.73,81.60,50.41,261.27,26.92,64.42,264.96,145.14,196.13,194.36,233.59,251.44,97.18,222.91,287.18, ,192.91,76.16, ,25.81,220.53,36.07,115.91,42.58,56.14,136.28,99.97,47.24,125.30,233.19,82.87,260.50, ,80.71,46.91,179.39,171.86,277.89,48.04,199.40,35.06,145.38,238.09,32.80,40.55,222.70,260.08,49.27,256.35,191.08,81.31,245.08,2.60,109.99,201.89,59.74,147.51,222.51,120.36
75.10,132.52,249.68,140.87, ,97.22,21.19,210.23,45.57,94.27,273.40,170.43,204.65,130.31, ,215.91, ,291.02,117.72,40.72, ,39.67, ,168.60,27.39, ,72.95,247.54,215.64,211.92,297.10,28.74,49.20,36.98,235.68,152.12,168.75,54.18,102.87, ,164.48,155.85,81.44,265.30,13.73,34.85,54.85,240.91,103.37,198.69,121.24,289.89,195.46,99.92,155.21,180.91,89.50,37.45,134.85,293.86,60.50,60.74,82.88,277.06, , ,24.01,202.47, ,97.93, ,201.82,235.13,241.14,119.48,195.56,281.34,102.91,218.13,157.20, ,134.27, ,10.02,60.96,225.16, ,291.40,212.24,204.39,153.98, ,132.57,68.77,13.98,155.77, ,12.97, , ,120.36,157.26,14.07,256.77, ,248.17,292.40,2.86,14.99,101.80,56.44,261.49,42.25,2.53,130.22,278.19,56.00, ,87.62, ,44.39,284.63,173.07,153.57,264.39,107.80,16.13,236.76,234.65,94.87,56.58,172.82,202.55,266.07
16.44,241.73,286.04, ,159.10,206.96, ,75.52,233.97,7.07,69.26,149.75,178.90,89.23,241.10,280.54,29.05,118.61, ,104.65,111.20,100.54, ,268.32,141.61,185.32,73.02,90.40,118.72,129.09,21.01,199.73,277.36,298.54,199.56,200.63,167.55,197.25,163.16,279.37,67.85,153.46,119.28, ,238.00,192.73,234.17,45.67,240.28,234.26,174.01,236.89,158.16,167.97,264.43, ,269.20,187.93,242.25,66.51,245.21, ,91.15,161.53,149.55,111.27,138.08,74.42,256.00,176.23,276.45,157.51,109.86,187.62,201.15,299.03,140.04,105.65,192.53, ,42.08,179.28,207.07, ,282.03, ,158.26, ,298.92,109.04,60.94,41.29,191.48,169.12,19.02,262.70, ,30.71,10.94,79.53,74.55,200.05,112.76,139.65,57.22,31.15,2.63,207.29,219.28,133.84,266.63,213.50,50.56, ,61.50,211.35,228.75,179.56, ,237.86, ,295.08,257.23,207.83, ,172.56,15.98,155.11,115.01,160.80,12.83,227.06,203.97,95.79
86.13,99.14,183.16,19.07,282.44,296.20,248.52,171.78,175.15,247.11,95.50, ,108.32,82.78,4.49,71.14,75.47,198.79,173.95,118.54,206.45,258.51,247.21,45.69,2.41,158.82,168.07,148.29, ,231.07,71.72,22.89,295.89,70.17,187.62,213.89,200.63,108.45,159.79,120.24,238.12,230.31,60.89,78.98,264.26,289.03,230.46,207.37, ,277.54,213.22,235.59,172.35, , ,7.96,67.14,45.43,9.76,20.84,55.09,171.05,47.16,295.59, ,221.94,91.95,297.89,179.23,236.02,232.64,35.35, ,114.80,210.01,61.49,31.35,288.99,181.72,109.45,95.23,99.25,15.80,177.79,222.12,15.49,171.47,284.87,148.46,296.79,224.23,289.33,174.86,157.99,14.46,233.88,191.30,289.60,76.03,286.56,106.23,247.66,200.46, ,48.92,185.90,256.42,96.72,119.04,69.99,89.50,109.50,228.73,188.79,218.66,122.39,162.41,164.46,24.90,29.22,129.17, , ,159.30, ,278.34,67.59,142.47,263.45,33.76,230.45,24.74,291.97,149.04
106.00,141.31,18.37,32.16,96.34,92.79, ,71.13,182.94,269.70,188.54,21.72, ,191.30, ,183.28,77.49,66.91,141.01,85.00,2.05,152.48,111.28,235.15,53.99,107.50,106.05,35.06,290.67,19.07, ,202.35,282.81,37.85,43.05,134.43,9.79,251.67,264.20,64.74,232.41,254.11,288.88,291.17, ,268.05,250.86,38.06,156.17,259.65,283.16,40.04,277.19,34.01,157.16,171.52,144.85,257.88,43.23,92.13, ,60.18,99.70,33.65,89.72,281.15,256.92,35.38,225.73,73.27,85.50,204.04,130.56,47.14,1.62,23.65,104.01,157.08,17.38,225.22,164.49,102.43,154.92,160.67,66.14, ,151.64,17.21,50.20,288.05,277.22,5.37,47.23,295.79,106.58,176.16,51.01, , ,237.45,33.08,220.05,131.27,186.67,12.59,124.07,218.59, ,223.96,291.08,235.78,119.73,118.19,173.31, ,45.73,203.41,156.28, ,287.54,232.50,207.73, ,208.37,61.36,11.92,143.30,237.14,144.80,203.52,232.76,227.71,242.42,57.30
254.56,86.24,35.64,57.43,182.34, ,243.70,4.89,261.32,182.20,174.76,250.17,174.40,280.67,296.84,210.18,66.35, ,216.05,104.03,253.96,239.28,230.07,251.82,18.61, ,65.26,298.97,209.51, ,190.18,66.68,236.43, ,249.75, ,298.69,257.84,134.39, ,64.46,151.40,273.03,296.91,289.71,53.71,169.25,89.39,190.23,131.93,159.67, ,144.04,244.44, ,78.83, ,143.29, ,82.87,217.17,264.72,75.67,106.09,141.99,140.42,286.85,84.65,54.02,290.56,125.51,167.41,91.44,47.63, ,130.51,101.17, ,8.05,254.46,230.88,9.63,128.65,43.64,142.99,94.37,232.05,225.99,124.23,199.47,62.28,2.37,184.65,269.60,198.63,6.84,20.50,200.81, ,244.45,155.93, ,289.48,76.69,73.62,232.89,72.78,56.56,28.75,287.81,133.90,222.41,15.95,157.20,92.05, ,154.49,203.31,15.55,88.00, ,288.91,224.17,159.08,136.84,221.93,186.19,11.09,196.56,51.50,243.80, ,105.00,249.98
9.35,185.79,196.54,86.25,61.04, , ,284.78,263.70, ,19.53,102.15,147.55,269.86,297.20,196.35,143.74,4.59,90.45,5.80,188.19,288.37,285.78,20.91,293.84,86.69,250.85, ,98.40,199.32,39.69,86.09,236.82,39.53, ,141.46,8.53,118.13,65.78,27.04, ,20.88,283.74,167.88,263.71,215.07,156.02,256.10,289.70,232.87, ,14.07,290.88,200.33,19.50,212.92,52.81,67.42,93.71,137.72,65.38,181.37,260.02,184.50,125.83,135.00,16.41,25.74,171.67,116.30,192.19,237.72,139.20,214.84,106.81, ,172.19,80.57,116.57,285.08,42.53,153.69,78.90,223.32,174.43,202.50,41.58,3.33,70.92,201.41,115.28,203.03, , ,88.04,200.30,245.78,135.61,140.41,102.23,0.71,213.12,42.27,134.92,241.28,54.07,209.67,96.65,156.80,96.29,134.25,17.97,239.42,179.50, ,281.73,68.80,56.69,0.67,106.92,252.68,100.34,222.43,192.02,126.48,131.42,233.44,89.29,67.44,192.96,10.96, ,79.76,47.54
133.76,158.68,11.61, ,106.97,250.05,128.99,98.18,147.86,88.42,45.07, ,238.03,190.98,293.97,245.81,22.49,100.44,259.61,52.61,219.02,190.03,275.47,16.19,114.42, , ,92.87,231.58,183.29,143.63,93.30, ,115.79,19.21,128.63,49.57,50.28, ,268.29,225.19,107.39,32.28,91.18,11.84,156.07,145.32,72.39,89.15,54.40,10.36, , ,100.93,191.90,114.03,168.50,144.68,78.83, ,170.01,119.42,158.19,38.08,86.94,247.04, ,205.21,82.46,230.07,147.41,180.37,282.17,0.66,24.76,3.81, ,5.93,142.26,266.31,22.01,157.04,131.34, ,219.79,166.28, ,13.69,34.37,254.00,275.78, , ,84.66, ,90.59,147.04,158.40,276.72,184.42,42.98,120.05,43.16,112.64,0.01,231.52,38.48,250.92,122.75,203.99,10.97,255.17,249.28,185.39,25.21, ,68.19,291.84,185.53, ,82.68,228.08,253.32,28.95,85.89,210.44,214.78,284.45,79.42,283.51,159.74,34.61,76.91,23.36
