Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124
213.44,140.41, ,206.79,54.92,291.88, ,238.17,112.13,44.96,283.13,79.49,238.95,59.18,147.89,36.74,132.90,269.45,181.87,180.10,282.07,180.14,278.35, ,90.48,155.97,132.71,129.51,187.57, ,42.02,251.03, ,83.93,66.63,210.81,237.34,275.86,279.21,211.71,145.47,247.10,52.21,250.06,144.67,188.91,179.66,219.73,141.17,287.37, ,198.18, ,297.25,231.60,211.91,73.98,145.50,58.82,100.90,79.43,146.52,214.26,12.32, ,153.49,271.98,198.56,262.88,167.42,128.40,52.24, ,109.62,238.95,14.93,177.32,285.41,62.70, ,75.02,34.65,171.32,289.80,176.80,266.68,92.99,188.09,66.80,254.85,44.91,198.94,0.61,70.18,56.00, , ,3.52,59.53,115.76,244.71,1.99,36.77,6.48,240.21,30.83,257.29,18.34,160.50,149.54,43.40,200.53,36.56,227.02,78.88,145.41, ,147.40,72.12,241.46,182.60,27.81,272.04,96.00
264.05,277.81,158.35,95.26,219.91,203.26,78.18,161.40,281.38,36.75,251.19,50.48, ,78.29,265.00,7.44,145.89,71.08,280.73,135.87, ,135.17,190.35,106.27,15.12,60.55,141.15,30.08,145.52,269.92,288.04,64.40,297.65,152.39,167.51,174.15,281.17, ,171.52, ,223.27,178.63,289.65,295.56,211.40,42.78, ,30.82, ,112.12,149.23,69.00,71.34,141.23,252.46, ,175.13,147.30,95.54,102.56,126.69,26.72,165.07,165.82, ,128.27,271.85,272.53,294.25,284.00,96.39,261.42,111.60, ,224.51,298.85,89.20,149.37, , ,23.96,210.33,87.41,236.93,190.87,59.17,261.78,31.13,156.08,9.84,219.28,8.31,261.42,43.67,213.44,125.23,96.13,202.48,253.91, ,144.78,7.63,78.98,110.65,58.37,287.07, ,221.42,299.62,198.62,293.63, ,118.86,276.41,251.94,108.33,108.41, ,116.04,287.53,143.29,76.70,251.82,86.98
270.59,56.09,129.88,281.26,168.58,286.57,282.65,131.33,254.93,282.54,117.08,89.30,234.82,265.85, ,52.83,6.08,115.98,269.30,156.55,34.28,266.03,169.91,188.62,67.48,226.45,90.14,227.76,131.35,16.35,129.26,77.88, ,193.86,177.90, ,157.37,54.43,151.11,235.96,168.25,12.79,141.90,291.22,153.42, ,169.78,292.69,218.44,147.56,138.65,171.86,182.83,60.25,116.81,242.19,152.84, ,247.54, ,238.76,125.68,20.63,201.89,234.42, ,81.98,279.98,104.50, ,70.20,296.51,30.64,43.55,184.34,131.02,185.14, ,10.82, ,6.28,163.00,153.32,22.67,284.32,190.46,120.39,16.18,147.66,55.60, ,239.94, ,211.81,131.10,0.04,190.57,295.19,247.01,57.91,234.47,99.80,12.36,85.58,37.08,75.36, ,5.67,228.55,244.43,198.09,217.82,175.87,155.48,171.16,287.35,238.46,240.64,41.94,148.97,197.91,145.84,206.67,23.22
218.49,53.00,252.96,276.87,194.97,58.27,136.34,206.97,75.20,138.18,8.43,187.61, , ,196.93,184.95,111.25,187.79,220.03,135.07,269.57, ,27.84,165.59,3.13,148.65,78.55,159.16,153.40,135.05,262.42,71.80,222.32,70.36,95.27,221.64,180.68,21.42,47.84,281.98,127.39,201.71,96.42,271.64, ,106.68,88.79,208.45,140.08,41.71,178.97,148.28,133.49,192.57,147.80,23.99,206.96,100.49,251.04,84.54,287.73,37.52,108.98,47.88,29.67,175.70,42.40,79.79,123.95,217.91,51.93, ,258.89,271.02, ,132.38,248.43,47.56,196.63,231.93,105.61, ,281.31, ,5.30,252.40,222.38,100.99,112.20,233.20,242.54,256.29,161.33,195.03,190.67,65.45, ,171.05,70.27,254.43,157.66,99.16,126.84,87.89,81.67,34.35,1.95,246.69,200.68,271.91,42.07,175.03,99.74,248.86,198.45,16.77,107.76,43.01,85.40,35.76,190.32,157.47,109.46,269.15
255.56,119.73,4.62,162.30,40.84,274.37,14.46,295.40,107.08,56.82, ,92.58, ,162.69, , ,21.17,282.31,162.12,274.36,96.80,271.10,247.82, ,262.28,72.33,43.70,141.33,280.05,295.73,96.60,291.60,233.92,51.07,74.78, ,241.52,21.67,87.54,158.10,231.78, ,16.28,47.53,74.60,91.52,67.28,283.08,256.88,271.53,127.65,161.05,287.83,34.33,198.49,58.55,235.61,299.76,291.68,109.50,74.88,136.61,89.14,201.03,36.69,53.98,218.88,177.00,25.98,107.16,215.16, , , ,287.19,10.66,212.16,109.36,213.54, ,33.23,248.35,25.12,234.26,217.35,150.70, ,257.86,237.76, ,88.53,142.42,153.21,103.34,286.27,143.69,118.85,90.34,246.84,69.53,59.45,292.36,230.22,168.01,252.72,253.26,134.13,232.43,272.59, ,258.86,61.17,71.15, ,138.36,102.45,66.03,194.78,72.06,73.35,223.02,231.65,67.32,271.96
53.11, ,270.59,287.82,100.05,269.84, ,154.77,105.22,51.40,279.19,125.00,63.53,78.62,224.30, ,196.25,114.08,181.20,44.20,116.43, ,86.27, ,241.04,230.55,172.21,141.03,55.54,59.20,272.19,27.86, , , ,229.43,145.01,109.11,130.53,242.03,184.67,157.84,297.90,177.68,160.71,283.98,232.55,26.47,115.40,102.29,108.41,104.43,45.83,267.45,166.91,93.16,276.82,57.05,270.67, ,131.38, ,185.66,274.68,27.55,56.74,129.60,161.57,118.56, ,86.01,14.48,176.91,272.30,123.10,98.58,150.18,165.89, ,206.50,27.75,102.09,63.90, ,225.47,68.19,13.29,216.63,149.68,93.82,221.44,69.00,274.74,249.98,256.50,47.14,93.35,70.59,45.09,127.47,168.00,103.43,49.86,209.05,113.59,21.52, ,90.52,194.53,5.03,266.19,82.29,163.97,5.27,108.58,169.28,175.55,182.58,114.81,265.89,16.23,35.87, ,126.38
83.06,111.34,102.26,200.52,45.94,42.22,72.58,257.04,225.33,34.30,136.80,248.06,253.16,187.01,105.35,110.74,149.47,6.63,104.05,288.68,171.15,237.74,80.68,95.45,216.76,288.18,66.69,204.71,153.04,24.27,105.12,146.80,57.09,206.32,60.57,11.13,225.91,175.45,143.65,12.60, ,0.78,167.34,18.68, ,110.41, ,215.52,195.24,103.56,76.43,109.24,275.84, ,224.72,203.93,187.31,128.79,217.31,155.31,261.45,244.37,253.95,287.38, ,157.49, ,233.93,45.96,44.53,102.71,3.33, ,190.64,166.41,140.47,33.91,70.62,239.16,30.36,129.86,120.03,134.76,221.28,102.71,247.98,229.35,192.96,254.85,159.16,262.20, ,296.11,1.04,233.58,102.87,273.38,285.58, ,42.33,171.87,8.65,34.68, ,227.65,291.93,33.15, ,32.77,269.56,44.65,260.77,144.95,161.55,111.90,247.01,4.28,299.28,238.73,250.93,261.61,267.75,158.07,246.31
124.54,218.03,257.95, ,102.90,218.91, ,41.19,271.26,147.39,58.41,4.51,61.95, ,29.69,292.33,185.30,235.16,101.21,59.13,161.71,285.12,243.53,121.81,73.40,119.43,225.69,48.45,267.51, ,297.20,61.63,138.85,42.99,46.02,299.16,9.06,11.15,104.71, ,76.75,78.78,230.64,101.75,239.51,293.66,66.46,70.44,86.06,217.28,61.27,25.24,73.68,98.44,291.14,74.85,98.43, ,29.06,65.83,97.62,1.81,201.55,176.87,35.08, , ,253.38,86.41,131.41,139.11,263.98,69.62,149.27,295.95,81.37,186.48,196.87,285.42, ,162.29,172.38,167.37,7.79,19.95, ,292.79,51.27, ,120.89,87.70,284.60, ,46.38,4.50,40.81,41.67,152.21, ,206.62,284.04,8.39,262.88,296.78,116.17,88.89,242.19,281.19,142.61,273.17,111.20,35.94, ,214.05,174.02,159.95,248.58,265.71,37.24,249.35,146.77,276.59, ,153.17
71.88,171.72,290.92,261.47,84.04,240.90, ,205.44,50.91,271.68,106.59, ,55.94,194.00,173.22,103.93,42.84,22.18,220.86, ,182.32,281.52,280.86,195.48,216.21,40.31,263.00,196.82,202.83, ,161.67,182.05,293.06,141.41,139.45,28.35,244.59,18.46,49.16,241.96,253.56, ,141.46,122.67,161.57,131.74,187.17,247.86,91.47,294.18,12.20,135.06,1.04,67.59,252.52,289.48,58.51,163.75,29.16,238.25,11.91,256.54,168.40,51.86,77.15,66.59,102.49,138.48,105.02,151.06,11.02,245.52,18.35,269.49,95.68,238.25, ,194.80,146.13,58.54,176.34,172.58,207.07,104.17,179.25,161.66,21.26,182.31,20.55, ,68.06,268.01,194.86,201.12,91.87,260.08,176.65,70.44, ,144.66,282.34,256.74,260.70,146.20,68.78,134.58,234.82,97.05,116.70,142.25,134.66,278.32,19.21,102.95,14.71,108.04, ,64.78,232.22,287.26,111.55,209.81,88.83,37.65
248.36,172.21,215.11,244.92,33.97,50.58,2.61,3.55, ,68.33,201.95,127.98,222.67,186.99,70.82,200.92,267.00,272.99,196.48,178.52, ,166.42,217.25,192.89,168.69,289.13,64.57,137.39,22.92,228.73,190.20,87.10,214.38,263.97,264.95,26.51,273.46, ,190.70,196.64,230.66,100.64,123.82,77.47, , ,94.30,87.06,197.09,256.06,42.01,230.51,130.56,267.19,43.32,85.47,269.40,299.21,256.21,270.92,288.59,230.54,4.71,124.57,95.64,167.36,184.68,131.38,137.44,38.75,256.47,120.71,140.34,295.90, ,266.82,231.54, ,14.43,78.38,68.05,219.63,11.66,33.28,119.55,241.62,51.46,282.51,123.94,292.08,219.41, ,49.65,248.21,180.99,188.80,182.51,239.62,74.48,151.20,163.48,159.13,73.37,4.29,181.16,237.62,46.56,87.67, , ,206.63,150.34,240.19,158.24, ,232.71,1.97,87.21, ,108.99,66.58,42.79, ,280.42
