Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120
174.12,299.70,270.02,38.62,2.07,161.64,287.95,127.08,214.96,266.85, , ,166.49,242.34,211.81,31.05,167.45,233.92,85.96,70.28, ,72.35,232.48,67.43,19.23,91.79,27.41,137.11,230.71, ,172.23,200.58,21.07, ,254.99,194.41,5.47,229.76,98.47,269.97, ,289.21,130.86,253.85,157.07,125.78,285.05,154.89,201.29,91.41,247.63,141.28, ,50.12,124.21,180.55,206.00,159.15,211.83,53.62,251.87, ,252.13,211.14, ,163.25,77.59,263.76,40.96,233.36,1.69,266.65,138.07,90.65,93.48, ,147.10,62.21,200.39,155.98,207.01,274.77,219.74,186.89,215.41,64.41,279.14,273.13,260.05,252.04,239.26,67.60,278.56,117.66,144.16,290.47, ,265.25,35.54,161.18,55.11,231.00,117.76,34.72,13.02,231.18,119.76,37.89, ,167.71,43.21,297.42, ,113.21,37.32,138.63,15.34,37.12,255.34,299.32
134.03,170.56, ,290.32,20.52,115.16,220.23,200.09,192.06,30.85,0.43,282.98,192.30,297.10,171.39,178.80,8.02,6.79,267.97,65.39,186.63,44.20,207.15,238.46,40.04,248.87,17.46,216.25,164.04,178.86,24.31,283.84,160.26,289.12,220.82, ,107.44,135.65,7.14,282.01,107.66,189.27,259.68,248.99,285.16,48.31,186.65, , ,266.24,208.10, ,262.61,23.32, ,66.87,89.19,10.15,291.10,229.58,20.54, ,5.70,168.55,227.56,30.72,240.76,54.64,241.66,221.15,79.85,31.85, ,80.74,228.75, , ,22.63,36.91,85.42, ,111.71,285.94,151.92,168.22,261.94,223.81,74.86,125.81,153.27,187.45,86.47,72.20,281.92,281.72,237.34,288.40,52.96,255.65,48.53, ,15.05,17.33,122.32,224.95,119.05,181.61,111.84,36.40,61.40,62.17,180.32,77.57,64.97,52.24,185.00,134.10,127.71,109.05,126.86
27.21,174.02,240.94,123.71, ,185.12,6.32, ,18.32,207.02,188.33,42.03,185.41,273.37,27.56,263.15,116.41,100.34,199.18,276.28,18.61,208.01,226.75,59.16,234.16,28.36, ,70.39,110.85,169.17,274.09,87.12,67.99,228.85,276.67,34.70,288.73, ,237.46,89.88, ,24.04,155.30,188.24,42.33,172.22,123.06,163.08,274.82, ,203.67, ,173.80,263.92,279.33,99.99,261.38,288.15,225.89,175.63,16.28,279.74, ,127.67,233.02,121.82,176.89,261.80,83.72,207.18,288.05,254.15,196.60,125.98,168.47,130.98,282.05,158.44,248.43,28.90,96.29,277.03,98.26,179.67,293.56,239.13,298.64,80.63,135.86,150.60,172.39,183.03,155.52, ,103.95, ,285.40,255.16,97.05,201.27,235.41, ,174.54,62.22,257.08, ,163.70, ,36.08, ,190.52,132.50, ,160.08,34.51,25.67,81.00, , ,14.50
121.29,269.49,256.85,140.97,90.26, ,126.35,159.54,283.83,282.93,152.12,67.44,79.10,217.07,262.60,172.69,96.07,25.14,18.57,120.55,41.97,247.60,118.90,205.92, ,157.38, ,298.52, ,1.95,211.09,84.42, ,206.39,13.19,233.83,151.31,1.82,17.92,243.26,46.98,247.53,6.56,127.92,133.28,7.04,153.66,90.73,54.53,34.38,269.11,225.66,84.30, ,102.22,41.33,209.08,186.57,197.08,207.96, ,150.53,83.45,213.16,166.69, ,201.07,140.39,261.07,253.58,58.88,50.65,294.84,290.73,39.77, ,247.73,202.43,299.17,102.46,160.05,180.02,170.22,171.72,176.49,293.07, ,48.87,291.62,75.43,225.13,170.16,62.92, ,161.18,238.71,171.64,232.79,130.08,267.08,142.51,134.33,208.61,184.46,17.36,99.72,153.30,169.87,277.84,156.54, ,95.25,260.94,35.46,24.08,279.67,280.99,160.21,31.84, 
 ,203.31, , ,82.51,72.88, ,202.88,187.65,238.01,253.12,25.78, ,164.25,181.97,68.61,261.81,228.14,156.60,192.06,34.46,83.25,260.79,10.22,19.52,41.57,255.52,35.62,29.67, ,211.64,235.22,6.93,181.97, ,13.42,204.73, , ,155.22,119.85, ,139.37,242.33,123.36,184.83, ,84.71,57.23,146.40,136.76, ,106.54, , , ,254.33,267.05,202.01,275.00,226.27,45.11,266.20,260.32,6.61,221.96,174.86,74.90,250.43,118.17,174.39,3.84,191.36, ,93.36,213.27, ,56.11,59.55, ,19.87,108.88,255.04,239.76,247.62, ,215.55,298.59,156.11,218.66, ,156.93,31.12,126.32, ,80.49,189.37,99.27,50.66,132.57, ,23.78,139.45,287.31,229.37,17.65,211.73,33.41, ,161.88,153.72,18.33,218.52,170.74, ,121.35,71.50,51.35,147.07,81.08
246.69,229.70,217.80,80.42,181.03,21.23,298.68,290.11,98.85,11.04,172.66, ,45.37,36.49,172.30,36.95,20.39,234.47,244.64,266.89,277.08,62.08,149.04,142.92,188.21,239.89,164.89,19.46,3.39, ,65.48,148.50,248.37,6.09,44.67,33.75,41.20,81.53,130.40,202.03,74.07,143.46,133.17,293.10,88.07,239.89,160.54,86.41, ,263.63,67.04,47.15,88.47,267.72,273.17,44.51,82.08, ,188.79,280.06,77.55,109.05,265.05,188.39,200.23,15.09,90.37,267.35,79.75,291.30,5.92,194.58,223.85,91.95,10.10,294.53,140.15,105.09,73.17,156.66,16.81,193.60,163.02,130.76,193.70,92.84,263.84,176.82,23.18,0.32,40.79,120.94,98.43,286.13, ,142.78,236.32,38.59, ,199.54,120.33,296.33,292.85,200.59,147.85, ,148.17,179.23,77.99,241.45,46.29,223.53,258.05,203.61,203.34,196.18,201.49,73.94,282.28,15.25
181.95,290.40,178.79, ,191.14,42.18,274.04,7.53,150.22,250.48,291.95,157.31,8.87, ,116.43,105.45,244.09,272.06,293.55,7.63,41.99,4.78,54.30,219.28,41.31,280.08,10.55,77.76,186.99,96.17,27.41,202.38,45.21,136.14,25.29,1.36,224.04,279.02,197.23,7.94,216.90,158.99,166.15,173.63,38.79,56.55,171.43,37.70,133.37, ,158.66,256.76,241.66,204.95,160.13,227.94,20.15,257.67,82.10,121.23,233.22,191.80,262.47,37.13,284.10,134.52,228.59,68.68,54.18,90.24,76.88,13.00,234.13,44.62, , ,151.48,256.89,97.74,194.00,98.48,45.83,20.85,24.28,272.53,0.09,197.09,197.73, ,233.60,195.04,296.69,175.23,272.13,125.59,24.75,185.68,42.74,122.63,255.02,38.16,47.02, ,26.17,294.24,81.95,91.08,76.76, ,142.54,295.62, ,20.36,243.41,242.43,247.74,182.34,46.21,41.69,108.89
145.17,263.91,183.21,89.05,75.46,102.51,121.83,125.80,270.32,267.30,296.52,220.80,209.71,225.93,263.84,19.26,137.96,36.13,38.15,281.14,251.40,181.68,154.29, ,124.61,182.71,73.22,258.16,7.45,178.01,189.00,278.10, ,261.27, , ,159.34,113.03,136.76,183.96,2.20,115.65,282.08,152.11,111.16,87.28,282.20,94.46, ,273.89,81.30,108.91,2.85,161.74,207.29,162.06,201.60,164.53,138.49,108.31,251.73,156.94,187.83,78.44,71.96,65.40,59.45,253.56,209.34, ,116.64,31.48,120.00,191.50, ,121.30,25.23,189.54,57.01,168.37,189.05, ,254.45,247.22,47.15,38.10,178.95,80.85,181.71,220.03,138.42,194.51,93.37,73.84,24.55,143.91,40.26, ,294.71,294.99,224.98,161.58,183.47,168.27,198.03,13.93,207.55,165.75,175.43,165.69,157.84,294.87, ,79.11,51.88,60.61,181.92,36.93,248.60,137.62
251.28,56.42,114.29,88.27,13.91,71.84,79.40,159.75,140.49,250.97,256.49,63.98,222.96,278.95,179.99,137.62,84.26,144.19,58.60,210.23,93.50,10.12,30.04,150.84,74.06,79.58,142.26,67.84,291.46,103.73,128.17,191.92,167.17,26.45,230.03,239.60,185.78,223.40,72.70,101.33,264.83, , ,24.46,172.30,291.95,187.36,217.38,32.54,115.40,10.33,295.67,68.96,199.65,97.27,66.60,119.12,79.50,138.52,241.59,119.89,286.86,53.65,86.53, , ,145.19,247.36,249.07,22.31,8.68,121.08,18.17,106.72,236.63,201.64,256.07, ,242.93,165.40,115.31,135.97,96.78, ,237.64,280.92,232.90,79.53,64.87,214.96,246.04,283.80,110.07,52.99,190.54, ,122.40, ,26.08,35.45,138.11,231.27,132.91,17.32,105.43,43.85,129.54,96.12,194.43,288.15, ,217.48,277.49,97.59,276.04,95.65,171.29,145.86,101.38,55.71
95.64,245.93,45.32,25.48, ,172.19,76.74,105.66,219.76,54.48,175.26,224.08,94.53,16.90,31.26, ,179.60,253.50, ,298.82,225.87,158.65,227.13,46.81,118.58,179.17,154.45,206.59,75.56, ,92.46,287.57,148.65,168.42,292.69,100.97,294.68,5.42, ,240.82,278.01,106.13,232.46,211.62,39.10,140.17,79.64,282.98,185.86,30.68, ,99.49,289.61,188.19,264.86,66.63,233.29,48.89,154.95,180.55,118.75,197.96,109.70,252.88,172.15, ,72.21,94.46,55.68,9.39,149.96, ,233.20,136.74,186.54,279.38,25.69,56.68,137.18,182.20,263.64,186.52,126.56,26.26,28.38,257.15,61.33,264.22,125.80,276.61,92.66,79.42,54.12,41.99,2.48,281.36,278.54,197.93,140.57,52.86,135.56,281.93,234.84,191.41,47.12,72.97, ,152.39,178.14,0.12, ,224.31,257.09,218.68,7.96,79.21,228.20,70.84,111.66, 
