Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48
48.91,21.81,70.21, ,281.57,40.76,182.24, ,51.69, , ,198.74,43.44,49.68,274.27,146.57,188.87,261.87,134.77,39.87,53.55,186.55, ,275.64,209.06,112.15,282.00,228.42,65.26,121.60,92.16, , ,291.05, ,228.83,119.27,104.29,4.59,51.04,266.48,290.32,223.64,181.22,248.43,10.71,74.75,158.48
295.08,167.98, ,96.80,287.04,63.18,70.09,210.90, ,22.39,219.73,161.68,191.49, ,202.21,128.86,34.91,276.89,173.76,234.88,295.38,36.06,81.78, , ,257.50,15.07,52.81,260.86,152.60,207.87,247.40, ,282.31,13.51,216.28,284.29, ,206.21,103.95,29.05,280.67,49.61,85.73, ,46.58, ,117.55
164.26,200.80,47.26,214.39,159.59,80.97,9.78,269.33,275.18,30.26,284.93,251.59,182.30,117.24,17.89,2.57,299.73,83.02,146.68,143.67,261.81,52.69,211.83,85.32,20.40, ,5.32,94.44,77.75,193.21,20.76,218.82,127.73,285.92, ,283.34,275.13,243.03,216.73,49.84,41.87,117.62,75.56,279.16,90.82, ,7.07,172.75
 , , ,191.62,16.94, ,292.07,136.62,36.83,69.73,33.35,156.51, ,169.58,67.08,179.26, ,182.05,193.36,285.06,279.37,258.37,53.85,274.43,270.34,181.95,50.15,180.04,133.37,76.24,162.66,209.85,4.11,259.07, ,244.13, , ,97.28, ,47.72,48.72, ,230.68,49.18,238.17,279.35,32.07
196.41,219.79,72.82,129.97, ,74.10,50.36,206.48,36.75,51.48,272.27,16.15,99.69, ,55.53,2.32,151.42,156.31,69.63,82.90,199.43,273.70,24.59,215.12, ,169.32,274.43,190.28,171.99,152.71,45.50,142.88,145.61,289.41,111.24, ,10.84, ,284.54, ,136.74,86.85,211.05,0.11,116.90,224.63,143.40,152.38
208.07,283.21,274.90,60.92,199.75, ,173.70,138.03,193.04,259.10,90.81,218.84,2.62, ,109.49,133.27,190.53,247.36, ,222.25,51.95, ,123.71,147.21,265.16,73.05,278.56, , ,210.61,166.89,147.27,173.07, ,63.60,185.61,12.91, ,64.86,284.61,50.68,68.58, ,141.62,129.84,96.48,44.00,160.99
22.93,37.21,75.62,25.35,38.16,69.09,103.12, ,291.68,165.69,59.16, ,219.91,35.27,140.91,192.06,243.41,139.27,218.46,81.44,176.12,282.08,168.86,237.85,76.88,68.41,40.33,39.02,232.17,276.64,153.56, ,96.97,214.26,2.16,159.04,5.27, ,250.48,13.25,50.22,169.50,227.27, ,266.28,136.17,146.71, 
15.41,291.10,198.50,101.27,227.73,32.92,275.30,53.87,171.72,78.69,222.72,251.04,272.24,262.89,267.82,206.94,156.39,82.34,266.73,82.54,230.85,100.84,98.85,194.71,258.80,11.79,279.35, ,251.59,271.13,51.76,171.34,299.67,117.33,36.12,137.09,231.79,31.43,51.40,32.66,144.94,33.76,285.41,34.70, ,5.84,132.29,72.74
 , ,284.61,178.24,40.44,217.34,140.25,44.39,87.96,171.34, ,197.80,96.72,16.42,238.34,9.53,290.57,236.24,161.42, ,146.97,119.75,173.02,119.61,286.39,283.77,1.59,55.53, ,288.03,57.86, ,67.40,5.83,250.07,105.64,149.45,269.68,16.93,229.20,60.11,44.12,73.31,127.79,126.72,116.87, ,43.25
133.66,245.25,7.14,183.51,233.21,66.49,153.05, ,289.59,47.20, ,120.51,140.97,206.13, ,130.28,109.47,49.30,14.94, ,98.71,270.49,146.81, ,299.86,65.94,215.46,23.16,233.65, ,183.00,218.99,138.98,58.69,183.93,223.62,98.92,21.81,54.25,106.39,168.48,54.52,268.02,181.10,101.30,266.28,292.37,233.52
