Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123
151.07,224.24,186.85,155.90,278.68,202.44,160.34,236.36,116.01,137.67,205.21,13.91,39.55,221.29,277.99,36.42,203.38,283.70,41.57,30.86,283.87,169.67, ,106.03,43.49, ,128.64,50.52,148.40,192.27,222.56,211.70,299.32,219.65,205.31,122.63,281.47,169.46,250.71,257.18,140.43,10.07,230.47,111.62, ,3.89,73.22,60.26, , ,251.85,80.65,279.13,194.54,186.28, ,283.23,97.89,294.07,92.72,168.55,3.40, ,151.96,82.38,124.63,87.57,112.35,289.55,185.04,177.10,229.77, ,232.63,178.21,119.29,151.24,175.27,7.04,6.60, ,218.83,121.73,0.58,174.62,25.55,174.22,130.99,116.10,36.62,63.75,246.71,114.55,209.95,241.58,275.79,159.33,265.15, ,265.74, ,255.87,135.30,143.35,234.08, ,270.70, ,234.02,250.27,268.12,17.76,153.67,250.75,188.18,294.06,181.64,164.83,149.90,267.60,266.43,252.70,172.39
33.86, , ,154.98,144.35,250.97,166.30,11.03,117.63,143.68,214.30,136.77,8.65,57.45,6.06,93.34,49.71,284.85, , ,164.13,12.57, ,178.88,264.74,134.45,77.04,184.13,270.49,94.20,5.78,80.91,162.62,65.63,244.21,101.16,52.62,96.61,10.56,184.55,208.85, ,285.88,129.27,123.19,165.64,83.37,278.96,97.54,164.93,182.53,188.53, ,245.38,273.77,38.67,231.24,177.31,233.40,5.64,153.21,170.47,166.61,30.23,202.93,130.83, ,184.25,117.65,124.19,264.06,219.50,11.37,299.68,100.42,193.38,182.91,275.73, ,81.12,109.13,232.94,274.34,124.21,201.67,277.35,78.57,2.00,68.85,200.63, ,230.32,74.71,126.59,47.40,131.56,78.94,244.74,89.94,143.11,230.43,220.45,36.18,14.94,46.78,137.75,153.41,153.35,181.30,278.55,249.76,240.50,225.71, ,15.65,190.71,144.43,179.21, ,157.14,121.63,56.25, 
209.66,60.65,208.76,116.33,290.35,77.96,152.15,66.65,177.20,126.55,105.68,178.98,162.90,111.82, ,71.21,17.19,34.77,7.42, ,144.89,197.73,84.77,186.05,217.68,108.79,84.88,49.99,204.66,15.14,279.71,87.69,139.86,288.61,193.77,266.13,129.70,261.52,213.73,65.89,210.82, ,295.70,225.64,293.80,274.69,118.24,97.97,237.22,60.69,178.09, ,216.75,62.04,168.83,25.84,107.19,109.40,232.36,208.47,192.35, , ,165.25,0.61, , ,298.02,163.02,31.43,77.05, ,245.88,283.89,176.44,290.00, ,188.55,44.82,114.75,283.53,175.40, ,76.59,215.34,132.08,241.27,115.07,169.90,104.00,241.55,74.34,139.72,120.10,272.07,22.21,184.54,58.90,219.53,137.74,45.33,172.89,181.68,21.35,48.92,205.37,105.79,222.03,206.95,152.97,243.14,62.52,177.40,296.35,256.91,231.80,103.91,288.84,92.66,37.18,135.53,132.05, 
54.07,129.22,39.80,39.34,70.77,92.38,163.36,149.10,121.11,101.37,140.17,18.45, ,160.03,66.70,227.21,46.15,118.19,153.84,181.70, ,48.72,89.39,50.51,209.53,89.82,97.41,97.86,80.35,275.89,288.71,293.45,14.11,95.87,261.33,38.16,119.50,191.34, ,241.85,208.49,237.19,210.87,17.25,247.54,2.62,227.98,7.24, ,114.73,141.15,223.83,106.20,266.19,252.21,239.39, ,52.86,93.03,203.96,290.46,49.55,165.29,263.67,183.19,287.26,89.51, ,268.83, ,235.02,104.07,106.45,73.81,240.41,123.04,277.12,295.86,106.59,4.19,33.68,18.62,72.09,84.25,76.96,32.49,120.82,212.15,40.20,86.57,152.79,124.97,23.12, ,129.71,160.76,15.66,218.59,120.23,120.85,103.68,33.35,195.42,27.81,210.11,209.26,166.55,15.69,141.99,153.02,118.51,171.67,61.93,170.77,116.98, ,220.67,216.37,261.64,64.14,296.39,293.59,244.45
202.80,254.46,93.92,157.84,97.83,169.64,162.79,5.07,234.82,220.63,262.06,237.47,266.60,104.09,120.97,72.66,289.44,63.09,253.28,191.07,212.94,239.19,112.51, ,47.33,150.76, ,33.03,158.25,69.84,259.83,10.88,214.58,59.61,83.68,198.61,64.00,35.47,187.27,247.45,195.30,268.16,249.50,229.79,0.83,70.10, ,80.98,105.03, ,82.71,65.64,139.74, ,175.21,280.13,80.28,218.49, ,12.30,66.90,254.98, ,25.07,132.18,21.53,187.36,19.91,139.91,192.09,94.08,102.38,90.49,171.76,80.38,21.27,4.36,182.58, ,207.65,37.27,122.00,201.06,294.39,36.19,145.50,89.70,108.11, ,290.77,12.26,273.14,298.75,296.89, ,201.98,150.06,102.69, ,3.75,208.13,204.51,102.66,293.45,18.36,18.75,193.05,80.28,64.54, , ,260.36,263.41,43.33,152.04,116.40,183.70,112.96,228.28,298.46,231.09,79.11,25.95
280.85,138.35, ,282.04,145.62,70.23,218.64, ,234.02,202.81, ,15.77,42.12,204.39,162.48,42.97,247.15,93.17,153.48, ,135.52,84.24,15.61,229.47,26.22,77.82,281.20,244.79,233.78, ,197.64,12.72,150.99,255.73,13.24,82.72,244.72,36.11,43.70,185.02,41.55,110.03,29.71,215.37,235.47,8.36,130.22,73.71,280.96,225.36,138.65,246.07,36.17,38.93,297.51,112.09,272.45,9.62,223.81,219.00,16.55,292.39,248.44, ,229.39,53.33, ,61.41,17.56,151.84,177.45, ,289.54,252.88,198.02,135.47,174.03,139.56,287.13,49.83,114.30,148.77,202.81,229.04,100.53,224.32,204.08,137.45,262.06,105.27,45.37,283.11,235.48,20.79,109.00,275.85, ,124.62,252.65,19.96,8.12,249.44, ,23.10,144.28,92.92,145.25,190.29,57.70,251.03,48.38,149.11,283.32,148.85,151.60,94.20,64.56,126.16,91.45,232.28,134.42,185.28,163.50
108.04,201.33,299.70,119.09,273.95,47.77,176.65, ,270.85,243.80,202.24,203.09,105.77,185.93,24.10,294.48,273.64,0.99,215.39,151.79,224.65,111.97,130.85,226.70,87.42,213.34,43.99,41.17,255.25,280.74,92.70,79.00,190.92,99.04,30.70,170.51,205.03,2.80,293.82, , ,100.00,70.91,167.34,293.75,39.17,101.93,249.72,198.21,260.93,246.94,248.08,246.97,99.94,188.99,179.28,174.99,77.49,123.26, ,117.01,97.15,169.36,41.23,127.23,11.22,128.81,72.56,249.81,46.20,114.67,78.86,14.95, ,260.85,163.56,298.41,115.98,100.34,131.14,172.23,161.84,141.81,69.26,114.49, , ,109.60,92.94,289.18,169.57,32.47,268.86,264.11,120.79, ,251.92,2.07,76.91,106.74,68.04,56.09, ,70.16,3.33,123.43,14.18,242.55,26.13,77.53,296.26,54.68,150.24,128.17,46.67,221.90,194.99,44.35,145.81, ,149.14,253.99,291.79
 ,38.44, ,115.97,291.88,18.04,164.52,246.15,34.47,201.59,268.09,67.09,164.12,56.63,159.22,154.93,257.61,189.46, ,5.43,226.64,212.12,184.24,290.77,234.38,65.52,31.96,24.21,247.94,14.66,65.02,116.13,282.89,105.49,290.03,107.70,130.64,261.30,219.74,178.81,15.94,111.24,28.15,5.93,41.25,237.30,45.87,22.31,108.70,242.38,238.73,15.41,69.90,84.25,228.78,143.75,207.39,292.62,90.44,211.64,19.14,237.97,202.38,93.78,88.09,109.82,86.24,96.20,101.95,145.77,143.52,275.45,244.52,286.46,266.61,166.65,47.04,50.77, ,144.54,152.98, ,179.80,195.55,123.08,156.45,28.23,258.37,50.87,271.74,237.85, ,104.49,282.47,274.88,274.00,192.39,0.12, ,267.06,282.78,155.76,58.98,139.20, ,190.07,159.40,158.09,162.83,21.86,171.69,77.19,116.16,272.66,232.28, ,90.53,173.47,101.47,130.27,249.80,130.74,177.33
28.14,220.98,296.94, , , ,8.09,113.04,226.12,260.20,135.84,182.93,23.90,212.40,65.18,95.30,107.65,263.37,74.42,79.68,116.50,284.17,183.20, ,109.32,65.54,278.36,1.70,11.87, ,276.43,203.22,117.49,225.18,93.61, ,173.28,151.45,124.47,129.84,81.37,64.19,57.94, ,59.64,146.75,75.94,58.98,194.91,290.04,257.33,119.69,256.93, ,203.57, ,33.41,201.13,70.35,30.51,182.92,215.95,266.87,152.84,271.05,202.31,167.83,44.73,151.91,247.52,205.22,115.39,38.15,211.21,64.55,221.40,31.87,277.13, , ,24.59,177.71,61.37,86.54,33.07,107.76,234.09,12.59,251.62,66.00,159.25, ,80.65, ,218.00,135.17,185.13,147.53,86.67,108.38,15.01,111.66,122.05,135.75, ,87.37,161.24,44.64,54.75,69.82,43.30, , ,10.10,238.08,272.77,181.32,162.00,257.64,144.83,120.52,98.64, 
259.88,209.50,212.83,21.49,78.09,130.34,156.57, ,229.51,253.69, ,115.69,92.83,278.44,220.98,194.86,122.77,286.94,106.40,67.06,3.77, ,134.11,130.93,120.48,139.76,171.27,189.87,67.77,283.32, ,241.23, ,63.99,27.10,19.99,163.31,230.64,122.24,22.23,215.29, ,55.04,184.89, ,189.77,97.08, ,8.38,20.59,178.31,75.64,254.16,137.88,233.16,224.29, ,177.46, ,191.07,228.16,298.22,265.73,131.98,57.71,253.14,188.90,12.47,106.02,267.07,68.67,90.23,198.12,170.41,270.07,79.54,137.45,233.14,173.73,242.00,205.48,9.74,26.59,58.94,288.84, ,57.50,166.74,124.34,220.87,95.61,15.20,119.80,226.97,266.69, ,198.14,60.11,291.96, ,50.90,218.92,295.80,3.12, ,127.46,247.75, ,230.11,77.52,171.27,272.88, ,137.85,194.17,243.98,284.66, ,237.03,203.96,92.99,13.93,199.76
