Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107
144.52,44.06,134.07,285.95,24.07,216.09,295.19,134.81,106.85,275.28,17.42,230.01,242.35,121.14,260.99,108.07,233.83, ,67.90,299.09,150.37,195.59,151.51,282.13,215.12,158.09,32.32,138.11,249.78,74.83,43.05,69.63,192.10, ,260.00,160.80,198.42,135.08,168.62,27.86,158.47,209.51, ,216.95,28.77,286.74, ,29.79,197.91,253.97,40.05,167.73,153.46,217.96, ,86.58,139.75,90.36,47.51,257.58,61.63, ,48.37,259.48,151.82,256.51,277.06,19.76,197.41, ,115.36,22.82,93.65,39.94,45.08,40.96,51.91,289.01,150.96,142.58,230.77,185.64,277.04,56.33,79.61,32.76,91.30,96.91, ,136.85,263.23,109.93, ,212.51,159.30,33.86,292.60,1.85,1.19,60.45,100.72,287.06,35.03,189.06,263.32, ,32.29
193.09,36.34, ,291.24,118.20,30.48,289.73,289.05,11.22,48.44,189.56,245.41,113.87,56.54,241.69,109.49,218.41, ,87.71,39.73,124.64,146.78,54.55,224.50,190.34,93.92,163.56,247.69,243.30,144.69,23.86,129.98, ,81.69,176.14,124.20,212.76,139.22,243.58,72.70, ,46.70,210.95,212.40,298.42,240.81,176.20,13.12,0.66,87.87,277.69,209.35,88.75,109.35,41.95,9.65,36.37,113.98, , ,105.96,182.08,108.14,11.44,64.46,222.82,97.25,28.32,170.64,104.97,54.02,107.68,177.93,120.02,91.37,18.30,51.67,244.11,258.66,281.08,267.66,175.45,104.41,71.51,20.84,255.05,23.39,138.53,206.78,193.23,45.19,195.49,111.91,256.67,95.16,93.69,141.65,127.73,172.91, ,193.76,176.16, ,238.89,0.43,65.70,143.83
105.20,207.75,178.92,287.67,102.16,36.90,50.50, ,223.41,110.98,139.59,85.78,226.03,239.13,258.63,215.54,237.99,277.27,133.78,142.77,243.85, , ,274.62,77.52,73.28,15.20,175.64,151.57,293.91,173.38,223.49,22.06,43.77,16.58,141.01,285.42,83.47, ,58.09,50.04,212.86,271.32,114.18,277.29,66.20,89.23,291.48,40.81,221.92,169.54, ,28.89, ,112.36,238.52,54.67,126.57,227.10,93.26, ,70.55,236.38,46.36, , ,295.93,146.43,152.53,217.22,30.80,293.77,121.75,0.55,290.79,37.41,61.33,258.85,35.82,270.42,150.36,6.68,83.42,182.36,99.01,117.37,282.80,75.69,275.36,214.85,44.30,54.82,30.94, ,66.76,207.92,59.26,155.62,91.78,87.91,107.73,145.10, , ,13.22,231.60,189.68
133.75,252.57,172.88,176.89,175.13,88.57,93.17,139.94,252.90, ,60.63,57.79,285.63,11.39,245.63,150.14,234.60,95.95,164.95,50.87,237.31,193.15,228.86,11.65,90.24,26.51,54.84,149.05,98.34, ,43.97,151.07,195.88,283.30,8.10,120.73,282.80,5.84, ,143.17,299.10, ,25.61,160.49,233.34, ,93.78,252.22,52.97,250.93,122.88,204.22,141.52,151.15,22.74,283.22,171.80,99.33, ,183.62,117.86,38.91,210.73,278.33,293.78, ,189.91,237.51,109.14,111.02,176.97,265.95,299.67,142.52,115.20,282.61,268.32,292.06,10.30,272.77, , ,192.81,31.47,210.68,209.34,100.91,155.46,246.50,204.62,254.12, ,236.74,207.81, ,202.24,197.89,22.70,265.70,241.10, ,151.78,255.15,238.69,28.94,287.96,210.17
138.20, ,74.93, ,111.24,126.51, ,1.53,190.43,96.04,264.38,283.31, ,156.79,138.47,46.40,69.80,203.41,186.57,282.93,144.14,257.53,252.01,272.18,213.84,228.59,203.79,28.67,167.46,46.79,71.19,132.36,49.76,48.99,255.65,25.86, ,283.38,78.10,42.62,220.64,139.24,185.81,294.68,77.15,238.55, ,31.73,92.32,251.21,17.81,173.22, ,299.31,77.09,33.85, ,254.49,127.29,287.55, ,179.30,95.32,197.20,149.58,138.97,63.85,248.88,153.50, ,152.80,54.45, ,174.16,7.94,45.54,263.45,143.62,196.64,260.60,285.59,206.47,41.25,104.84,241.03,282.68,111.14,272.84,55.74,259.60,122.90,292.12,87.66,229.11, ,189.71,60.27,284.62,41.14, ,31.27,248.00,114.36,16.24,100.48,234.19,135.66
65.22, ,152.89,72.56,38.19,215.33,262.15,283.29,154.89,34.57,220.95,165.21,64.77,80.56,186.60,272.40,205.87,87.14,63.70,195.94,121.96,200.36,11.23,87.41,156.60,216.97,170.50,57.64,34.59,72.01,278.84,164.88,144.59,243.46, ,139.40,233.67,210.54,261.91,105.19,250.79,45.00,97.66,85.97,161.78,104.93,203.02,247.85,293.93,31.19,11.58, ,245.25,122.94,83.18,68.22,167.91,256.21,93.04,282.22, ,206.40, ,109.41,275.99,74.17,228.32,187.44,188.80,220.19,95.72,228.87,214.58,159.32,293.04,254.18,78.33,181.66,227.50,89.46,188.21,79.36, , , ,28.83,135.64,195.21,269.45, ,66.24,224.38,170.84,34.54,77.92,258.39,207.28,208.92,211.48, ,51.51,127.48,54.57,120.91,102.13,8.94,156.60
80.10,98.25, ,47.41,166.62,42.01,53.64,169.39,239.22, ,194.30,96.97,172.00,198.66,8.25,129.86,135.01,80.72,168.62,280.66,197.75,247.22,40.10,141.04,137.37,21.85,131.33,280.55,36.71,277.47,86.80,209.80,17.29,155.06,21.65,91.12,122.17,191.06,236.49,167.49,254.54,105.53,8.17,89.21,265.28,89.83,174.02,273.90,290.15,77.22,264.68,231.20,206.67, ,143.16,116.61,108.89,22.54,14.12,283.98, , , ,125.99,148.46,115.99,228.85, ,193.53, ,280.38,203.87,111.38, ,28.39,52.07,61.88,159.55,125.18,96.52,59.45,122.48, ,261.09,30.40,281.72,193.11,60.16,191.60, ,237.71,22.32,250.86,55.97,130.05,43.86,155.16,247.77,262.64,238.73,115.36, ,207.30,294.64,40.32,139.00,123.96
217.84,289.77, ,100.18,50.85,58.66,247.34,183.65, , ,260.81,172.60,114.06,288.00,156.25,220.51,298.19,269.61,249.21,281.64,103.74, ,162.41,140.77,122.16,260.25, ,167.01,4.92,233.08,62.58,167.16,141.10,242.53,277.28,82.37,241.12,291.41,48.52,275.32,52.08,177.61, ,44.62,42.56,46.84,88.26,202.64, ,67.99,87.98,205.63,4.20,56.46,281.30,225.52,22.34,282.69,274.21,244.57,62.90,134.81,58.51,1.02,248.24,143.77,114.29,206.57,196.15,114.09,67.99,134.07,17.21,290.29, ,234.86, ,205.11,298.37,185.17,93.50,68.40,169.63,286.66,1.17,39.22,60.25,154.86,197.55,11.08,163.49,122.69,48.17,157.08,291.42,45.94,175.67,22.18,297.03,121.50,191.64,113.45,267.94,146.21,140.39,53.32,5.47
246.76,203.82,100.19,146.09, ,21.76,2.34,257.49,188.57,202.83,69.14,17.23, ,182.72,158.23,181.72,112.06, ,15.88,17.52,78.40,191.27, , ,167.23,204.80,37.28,105.10,262.34,143.88,5.05,121.50,203.44,53.16, ,69.04,220.06,42.63,171.43,207.81,10.03,269.84,26.69, ,133.11,293.26,3.09,298.71, ,202.15,292.58, ,61.62,232.37,240.94,213.21,223.89,93.76,248.10,239.98,30.52,65.38,50.07,22.10,193.05,250.94,254.09,15.15,83.31,57.49,263.60,107.98,248.97,100.78,61.33,222.64,113.84,115.63, ,137.73,249.55,163.63,53.33,267.53,131.96, ,156.20,97.24,66.15, ,166.93,227.25,165.93,21.52,134.74,210.45,98.13,71.70,112.37, ,79.91,142.36,20.61,173.63,262.75,164.06,106.71
55.92,273.28,35.91,209.76,37.67,19.48, ,281.24,78.96, ,273.03, , , ,258.55,95.32,275.56,5.03,279.91, ,54.94,183.41,276.69,146.93, ,100.86,128.79,269.06,152.85,3.66,235.64,257.98, , ,254.95,16.44,184.99,289.80,256.03,217.02,101.44,295.86, ,124.65,159.68,234.96,47.04,198.39,39.43,169.79, ,35.35,119.16, ,108.96,18.04,77.70,164.90,191.01,181.51,149.31,59.04,3.93,165.71,115.33,131.68,178.10,20.47,135.14,229.52,101.50,7.56,142.71,170.11,239.66,49.37,92.80,173.23, ,38.95,29.83, , ,122.18,35.42,281.86,219.19,77.75,233.52,9.46,127.06,45.65,92.55,271.49,7.85,115.46,67.28,290.88,160.23,44.74,102.74,171.90,252.56,188.69,206.61,292.07,241.33
