Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133
109.57,141.62,241.19,14.60,63.94,90.97,37.74,179.50,98.58,58.29,223.58,283.13, ,209.54,235.44,135.05,254.77, , ,156.50,14.09,20.84,109.58,83.43,206.71, ,274.20,249.23,106.52,284.46,141.90,211.13,245.25,241.86,125.72,17.06,255.45,103.47,145.25,84.58, ,201.51,11.59,139.86,183.25,193.82,214.11,70.07,249.27,143.07,143.41,126.89,39.87,29.51,7.80,125.59,197.59,17.09,103.83,118.56, ,12.38,143.28,216.08,265.67,187.55,77.18,202.39,11.84, ,52.85,192.92,199.20, ,216.28,9.37,118.26,2.39,142.45,147.04,190.16,292.30,188.21,49.68,72.69,155.53,114.38,298.33,127.47,198.37,88.55,116.99,204.17,37.44,265.05,105.16, ,97.46,185.39,282.61,239.63,131.51,158.52,43.38, ,132.23,231.02, ,48.00,161.61,165.02,132.43,13.39,46.68,220.57,277.80, ,217.43,39.57,105.82,5.86,286.61,6.87,58.87,265.63,125.92,51.47,265.45,47.54,147.64,173.66,136.20,287.76
 ,27.33,129.96,21.98,113.30,93.99,218.94,296.56,184.21,156.86,95.02,265.90,105.47,221.77,260.50, ,14.13,200.27,152.68,52.22,140.25,33.79,131.23,167.74,276.30,93.48,92.33,160.57,156.77,62.21,245.37,214.89,83.54,289.75,142.11,176.02,254.26,153.53,1.91,22.11,18.58,172.88, ,33.45,23.66,13.58,263.70,280.49,157.92,212.95,237.75,270.16,209.18,73.64,181.89,16.79,113.50,32.99,299.27,175.78,84.77,88.54,263.74,271.67, ,184.62,102.43,185.96,48.72,96.18,247.84,60.19,4.59,140.94,191.85, ,214.78,294.14,40.61,72.34,79.54,196.89,39.44,181.30,85.16,158.16,195.09,188.75,53.85,143.98,273.17,87.63,43.49,191.26,39.65,96.37,200.62,114.53,29.70,2.04,243.09,243.41,209.46,141.22,213.49,246.16,36.54,74.61,115.56,164.14,229.47,274.41,253.77,70.15,84.77,98.32,232.39,166.03,173.89,105.16,292.44,274.03,85.10,109.02,14.51, ,243.98,30.29,187.44,144.23,204.00,269.23, 
 ,97.89,184.85,95.82,97.58,246.26,232.24,235.59,9.41,188.79,142.42,27.47, ,171.69,242.31,170.00,236.92,272.05,65.81,23.40,174.78,284.29,102.78,236.94, ,145.69,241.99, ,269.46,81.87,218.75,229.27,198.34,269.72, ,35.53,117.18,122.36,57.86, ,37.04,26.19,206.34,267.64,194.23,212.44,78.26,0.28,219.95,173.71,69.01,225.20,84.66,138.96,56.62,162.87,23.32,119.31,39.73,124.12,24.04,210.05,167.75,109.82,108.95,277.37,251.02,194.55,201.34,108.05, ,270.92,19.50,170.94, ,257.88, ,281.93,43.71,277.60,194.05, ,177.59,240.94,245.25,164.28,169.01,104.55,243.25,184.69,27.12,2.94,207.13,266.93,180.32,294.58,245.20,197.35,102.55,251.39,273.79,194.39,88.00,7.99,155.13,134.49,26.52,167.25,274.04,250.64,185.32,288.72,5.09, ,107.64,204.71,298.16,49.84,108.39,148.94,203.91,274.14,68.14,253.41,85.61,252.44,272.90,228.69, ,114.76,10.39,261.46,137.29
215.67,90.23,127.19,168.37,204.02,236.95,207.93,101.20, ,41.18,88.85,71.84,84.63,1.98,90.05,61.05,83.48,162.12,166.48,216.29, ,170.82,11.60,210.99,74.26,153.98,191.02,114.52,208.48,184.59,33.16, ,105.05, , ,183.80,59.17,134.34,270.92,66.79,17.56,123.93,33.58,10.76,281.14,65.91,77.96,257.41,91.43,266.24,29.64,123.06,250.14, ,221.06, ,270.73,90.38,201.27,261.27,281.39, ,47.30,183.37,124.07,36.88, ,60.89,130.02,4.99,141.35,1.22,59.78,286.86,66.60,274.12,100.17,270.28,2.82,88.95,261.01,285.16,82.66,63.73,229.99,292.84,217.71,276.66,266.00,127.65,151.66,60.48,57.29, ,60.12,246.35,128.71,293.55,131.69,39.99,269.59, ,40.93,31.27,3.92,281.11,29.87,233.35,84.60,121.10, ,288.80,59.15,237.38,93.77,92.29,113.44,242.47,102.80,181.92,272.82,101.51,209.06,37.74, ,28.38,260.89,109.32, ,226.82,190.98,155.70,154.35
45.15,119.80,65.72,268.34,180.91,142.94,4.12,89.38,209.05,283.90,19.22,126.47,219.77,266.63,0.71,44.61,217.80,193.80,166.12,22.07,231.98,137.00, ,226.39,254.73,243.01,155.51,69.38,295.92,68.18,87.53,115.99, ,280.40,90.49,189.34,193.55,277.57,57.43,256.93,277.98, ,220.89,35.71,50.28, ,118.46,164.63,219.00,114.60,25.21,45.91,17.65,35.87,270.00,18.47,109.84,20.16,217.34,105.11,19.17,284.70,239.73,145.25,147.35, ,172.56,104.03,182.59,122.98,13.48,196.28,26.13,260.58,110.07,200.63,248.64,2.37,277.09,231.52,299.05,193.95,56.31, ,238.90,81.70,54.94,13.00,24.12,255.95,15.80,20.28,134.05, ,220.32,187.54, ,186.58, ,58.19,62.48,38.41,98.61,158.88,168.13,120.72,110.19,89.65,260.64,129.66,158.96,53.01, , ,233.08, ,291.27,50.55,82.92,106.80,13.36,106.18,24.12,277.79, ,273.40,92.81,243.41,153.03,298.26,219.99,299.84,222.61
258.61,127.28,37.59,126.46,171.50,265.11,271.86, ,245.26,114.03,98.12,201.34,64.05,14.54, ,222.60,0.36,148.79,294.31,192.96,127.37,114.83,116.00,22.06,31.95,251.25,274.90,281.60,81.10,83.98,193.78,294.49,187.80,21.78,29.66,2.88,279.20,249.50,204.41,232.43,148.34,16.62,200.73,192.69,235.99,58.31,283.25,23.90,196.07,53.16,260.42,82.75,173.75,34.82,3.81,14.51,150.93,275.39,29.34,33.48, ,91.79,128.01, ,299.06,164.68,266.38,108.26,64.71,81.38,60.17,66.78,237.35,105.81,269.37,80.82,100.49, ,195.58, ,14.58,279.87,104.87,4.35, ,69.06,76.77,255.31,235.38,99.32,135.80,122.46,92.88,71.44,219.94,72.04,281.61,139.03,229.56,165.21, ,234.28,157.45,293.13,38.25,118.74,158.93,13.79,223.67,201.33,59.04,14.17,149.96,57.23,68.42,176.04,223.19,248.93,213.19,100.06,265.19,142.77,49.59,254.01,295.65,215.39,23.69,272.89,68.43,184.48,172.64, ,95.83
296.88,84.03,276.53,204.13,178.23,244.91,282.26, ,137.60,85.13,63.13,34.95,88.14,268.41,279.96, ,150.80,233.08,252.20,270.30,104.93,184.58,183.32,268.01,4.44,298.89,164.71,200.68,145.05,264.68,100.06,162.43,294.30,185.69,5.11,102.83,4.52,159.87, ,127.88,158.69,100.49,94.16,225.10,2.45,55.12,145.27,270.71,30.47,281.82,71.32,79.79,142.34,41.23,221.45,131.77,98.57,104.57,89.67,283.16,74.87,200.39,74.45,16.27,237.31,81.88,135.91, ,278.24,231.22,150.33,140.19,198.90,35.04,162.12,74.79, ,113.08,59.72, ,75.98,263.04,74.32,209.98,161.66, ,92.88,15.18,36.83,92.10,280.70,271.41,258.53,184.98,80.28,259.12,20.68, ,94.76,40.73,261.86,192.96,295.27,141.90,126.43,280.58,68.26,207.12,122.83,298.65,213.05,153.56,264.03,88.12,131.00,63.53,31.25,219.58,46.10,215.00,149.05,108.24,59.89,30.97,148.13,77.16, , ,80.24,35.84,295.80,297.22,259.70
15.83,55.00,240.77,234.45,165.58,7.11,58.05,108.19, , ,267.35,116.06, , ,215.94,18.74,32.80,241.63,157.71,110.55,266.63,188.29,87.69,57.67,233.49,51.91,51.20,41.86,66.84,19.16,293.00,195.94,16.33,74.43,134.20,272.52,229.98,233.03,56.21,163.41,156.55,290.89,234.58,75.01,52.28,284.21,132.07,71.07,17.73,22.44,30.48,252.76,155.78,278.13,176.49, ,33.04,192.58,291.46,15.80,277.61,277.09,242.05,93.95,174.96,112.90,269.93,279.65,263.64,208.52,41.93, ,74.97,269.90,98.40, ,91.28,141.54,195.72, ,289.67,100.58,286.94,199.06,107.12,58.44,37.97,14.49,11.39,194.98, ,293.39,136.77,49.36,153.04,61.91,234.76,179.23,222.89,62.94,113.82,76.12,230.35,100.87,21.57,213.37,295.53,179.39,291.43,110.62,173.84,223.13,108.48,272.48,109.06,49.05,227.80,9.27, ,110.14,156.93,89.91,295.99,39.19,288.09,238.92,141.78,55.69,219.93,222.86,267.11,0.34, 
 ,199.27,260.87,220.77,9.86,277.59,7.35,134.16,284.72,128.01,184.53,76.89,41.75, ,8.86,56.11,144.11,98.12,142.49,109.11,117.39,237.88, ,254.66,122.58,30.48,65.89,134.29,19.48,142.52,184.89,131.35, ,12.96,132.99, ,242.10,106.79,53.61,189.02,187.44,247.65,262.19, ,96.47,152.41,298.84,157.40,59.00,44.05,123.03, ,112.43,43.15,181.02,149.26,105.03,81.64,254.63,66.21,140.31,239.97,221.37,270.22,226.63,64.80,34.39,226.01,60.98,66.05,65.92,12.05,252.02,223.62,137.53, ,277.83,234.18,133.73,60.86,28.43,219.28,6.62,253.03,222.11,219.50,288.10,176.16, ,269.86,293.47,72.51,85.22,221.85,118.60,236.72,52.09,192.37,215.57,32.14,275.60,288.52,242.43,15.88,210.15,184.15,93.12,191.29,241.53,54.20,136.80,33.21,199.87,267.99,279.08,184.47,254.46,94.39,296.32,298.36,96.01,110.09,139.17,67.48,114.52,140.82, ,174.03,12.48,108.20,78.69,12.40,62.78
127.76,181.70,258.03,34.05,198.26,279.71,290.66,14.16,201.22, ,75.26,237.42,213.88,253.56,77.74,85.00,114.68,144.83,2.70,86.77,131.26,122.95,0.62,45.06,84.57,37.91,116.23,34.69,40.67,52.33,275.17,81.54,181.99,142.57,159.38,27.92,239.30,21.54,34.21,52.88,77.14,278.61,66.11,223.49,1.56,225.20,113.14,66.59,233.12,179.81,138.50,83.14,58.60,17.72,171.27,211.59, ,190.20,227.50,65.27,205.07,259.49,154.23,248.38,199.35,29.16,296.04,74.99, ,179.67,88.30,162.16,299.35,190.10, ,93.61,285.33, ,244.82,101.73, ,251.08,286.39,102.26,217.14,56.28,56.92,0.93,10.00, ,33.55,248.35,284.53,269.93, ,214.75,203.99,292.52,236.20,135.31,261.35,215.70,265.07,165.47,80.48,266.81,209.03,136.05,142.26, ,125.47,78.31, ,204.10,152.12,260.58,178.76,39.87,239.55,67.08,270.92,280.50,35.26,95.47, ,237.74,246.71,255.18,52.34,229.12,104.36,294.58,248.18
