Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95
97.17,71.91,151.18,2.03,266.79, , ,29.04,276.08,37.79,199.41,12.06,167.00, ,224.99,214.33,102.28,177.29,290.49,194.85,105.79,67.10,101.34,145.43,97.37,97.66,149.41,75.15,241.04,16.70,201.93,246.15,149.60,47.87,227.21,240.39,227.37,149.39,128.78,88.58,244.82,289.25,260.27,191.23,26.04,67.35,138.95,232.17,136.95,128.63,222.77,97.17,76.51,178.85,241.39,131.45,153.65,280.43,185.10,15.24,79.58,139.11,96.10,207.08,51.33,297.21, ,94.39,181.25,3.08,282.34,217.99,124.16,148.97,223.79,253.33,100.21,274.05,132.02,225.82,96.66,62.28,66.27,195.00,197.62,34.06,168.58,48.50,290.74,230.83, ,184.16,18.31,23.52,52.10
 ,117.17,224.41,236.27,36.11,238.19,29.34,113.69,224.30,190.67,59.66,129.57,5.65, ,225.74,33.14, ,296.01,136.91, ,73.18,10.56,149.29,233.79,57.98,45.84,22.39,279.83,90.44,149.54,253.68,172.02,53.11,282.83, ,203.25,53.52,133.13,263.65,191.76,135.40,131.03,45.87,35.41,182.34,39.29,246.68,23.83,167.67,216.32,147.59,138.35, ,271.47,197.56,50.85,184.30,113.78,120.20,275.28,88.02,49.24,214.96, ,148.45,130.91,47.25,184.34,179.63,157.07,15.82,89.56,90.26,112.35,284.10,5.42,106.04,43.30,188.66,9.53,238.57,101.88,118.95,171.41,104.47,37.29,234.44,118.86,290.75,54.84,249.24,268.91,33.95,101.15,219.30
259.72,251.12,143.68,47.82,68.65,43.56, ,278.00,91.45,223.54,57.54,271.90,167.30,151.74,128.34,98.80,34.07,190.14,100.36,143.50,28.87,159.01,268.38,67.60,139.71,82.50,189.53,15.04,81.59, ,209.93,35.13,275.21,39.09,92.16,214.39,28.18, ,162.98, ,230.57,43.34,20.90,111.24,255.63,156.89,104.39,63.54, ,38.75,254.86,223.49,24.03,282.34,197.71,112.79,75.90,144.67, ,85.26,147.39,276.92,163.30,71.09,220.83,265.59, ,75.23,195.89, ,178.23,4.45,146.26,99.45,250.45,269.54,205.91,76.59,121.21,264.14,166.73,179.16, ,120.88,212.79,6.82,194.99,23.99, ,129.78,84.00,115.07,115.94,170.47,203.81
132.42,183.99,52.92,131.48,184.03, , ,45.86,95.79,246.37,272.69,32.33,156.37,110.23,168.38,164.84,272.38,240.13,296.41,219.52,283.11, ,185.95,212.80,100.13,54.69, ,130.83,28.33,294.19,259.51,119.26,234.76,121.60,248.01,167.95,245.91,271.07,37.00,25.66,75.54,200.01,296.25,36.79,18.05,163.14,193.56,101.90, ,223.50,22.04,171.16,287.43,160.64, ,136.05,204.53,150.55,101.59,135.39,171.38,169.36,130.99,16.92,191.24,156.39,112.99, ,2.55,87.81, ,147.02,111.54,210.83,156.11,108.89,150.80,144.94,14.79,83.09,208.82,122.66,168.77,263.10, ,148.43, ,134.03,100.62,220.77,207.67,23.88,68.37,296.83,194.84
189.24,43.33,252.25, ,121.02,126.37,39.82,77.57,108.83,241.82,167.55,262.06, ,278.62,151.83,226.09,287.07,24.60,213.40,196.38,97.87,203.03,37.82,230.83, ,177.61,41.05,74.11,289.58,281.74,203.08,228.46,244.25,274.35,257.18,171.02,49.08,236.88,206.84,133.17,101.36,206.69,55.95,145.53,32.05,47.88,84.45,184.88,20.13,3.34,110.44,11.16,43.38,61.85,62.75,36.07,205.81,6.53,223.55,7.28,279.33, ,63.78,75.61,51.64,95.83,45.29,40.12,13.57,266.66, ,161.68,215.02,242.60,29.25,73.61,121.75, ,12.48,123.21,209.20,22.94,203.80,275.22,273.02,232.07,252.57,101.36,198.00,195.02, , ,193.16,182.92, 
195.39,149.55,272.02,6.42, ,74.64,172.11,241.07,287.35,87.17,146.05,257.56,104.73, ,297.89,285.15, ,180.54,266.22,278.82,170.45,218.82,208.15,292.76,195.12,42.85,68.81,267.47,229.97,182.05,70.08,17.36,89.03,20.87, ,299.70,232.38,264.69,163.73,170.24,250.74,55.80,219.16,200.50,174.68,127.58,42.78,224.25,188.99,77.73, , ,290.11,33.00,293.95,10.42,209.68,14.53,194.20,210.20,179.22,67.40,291.77, ,216.02,295.74,244.76,222.26, ,38.73, ,32.68,195.31,161.61,211.39,50.68,37.29,24.28,212.79,113.94,137.84,190.02,68.13,73.56, ,3.65,212.16,61.80,83.86,25.69,170.04,291.01,190.08, ,12.24
70.48,72.17,156.14,41.90, , ,214.66,119.11,166.11,5.58,91.51,55.89,134.28,22.86, ,159.26,111.00,259.26,280.63,93.32,209.47, ,24.93,293.73,176.03,151.70,190.03,145.85,275.06,154.59,129.52, ,18.31,65.64,1.52,145.14,289.08,112.43, ,44.68,223.60,182.44,102.33,18.51,18.38,228.32,291.49,126.33,76.15,214.30, ,260.57, ,249.65,99.46,33.03, ,256.63,183.56,167.18,50.44,274.41,43.67,35.50,273.71,177.66,98.47,56.58,130.23,8.69,143.06, ,287.20,73.36,171.89,219.22,155.74,102.32,78.26,235.26, ,119.43,87.80,288.80,276.94,187.98,202.73,272.85,18.25,92.82, ,198.12,260.98,24.10,253.61
13.00,282.13,8.29,24.22,28.35,203.13,56.58,50.10,161.61, ,122.79,176.16,60.50,216.83,189.79,67.96,293.13,274.27,265.10,253.76, ,122.35,189.54,283.19, ,144.80,72.42,171.58,223.45,114.27,46.42,120.41, ,113.53,270.47,36.30,296.84,26.47, ,216.02,5.20,264.68,164.86,117.59,285.69,268.51,181.32,104.02,129.31,115.26,70.69,236.80,155.18,81.46,186.40,272.49, ,237.17,18.00,159.19,259.97,22.94,81.54,163.95,167.19,198.53, ,56.86,89.85,168.89,186.41,168.79,246.90,96.08, ,70.36,94.36,47.92,90.26,155.18,212.73,218.37,90.06,168.12,43.08,263.45, ,18.74,125.47,105.12,254.14,291.91,239.42,149.75, 
279.22,66.69,234.27,3.21,238.29,118.88,251.49,195.76,101.07, ,66.71,265.08,229.11,122.69,279.23,225.25, ,137.15,143.60,143.47,95.74,18.14, ,269.63,258.88,98.01,231.22,21.89,185.57,153.29,119.53,280.69,224.23,181.93,75.96, , ,49.09, , ,71.00,260.65, ,58.66,29.43,289.60,108.94,79.03,60.12,97.89,135.78,286.83,106.20,144.54,289.27,269.87,223.41,213.62,278.62,221.02,195.65,233.79,151.21,121.79,224.37,16.24,249.93,278.57,243.25, ,232.52,54.96,198.93,99.12,213.98,73.25,267.06,155.82,135.07,93.44, ,13.13,153.16,65.71, ,8.96,104.27,230.35,126.98,94.59,281.52,297.50, ,264.56,86.43
 ,255.07,220.11, ,282.75,5.84,32.96,57.42,129.28,218.15,125.89,83.10,28.95,49.49,22.27,122.35,250.27,63.77,216.16, ,198.91,28.55,46.05,4.80,182.85, ,171.36,299.42, ,28.37,231.07,68.40,234.43,195.39, ,175.31,52.73,45.55,226.57, ,280.13,145.71,1.43,34.34,97.13,12.60,34.93,237.58, ,172.02,84.19,221.31,249.14, ,294.69,84.09,151.72,285.35, ,286.78,261.55,192.27,130.40, , ,255.35,262.87,69.07,229.86,6.55,264.42,173.69,248.17,155.99,146.66,239.61,248.56, ,140.82,81.64,136.81,113.94, ,241.30,165.63,284.89,50.16,36.26,253.59,85.17, ,231.83,236.43,211.56,16.51
289.11,210.97,253.87,51.36,266.21,238.09,30.77,187.54,146.54,233.67,196.56,127.80,6.26,193.65,201.82,270.20,8.32,16.86,206.08,34.64,114.10,9.67,83.00,124.94,8.61,60.50,101.87,33.56,252.53,25.95,137.38,45.29,177.32,107.88,130.37,255.70,115.25,89.33,162.59,127.78,272.89,76.37,76.58,182.88,37.14,183.47,204.98,20.21,290.90,165.70,270.62,65.74,86.78,284.12,69.34,120.56, , , ,76.77,299.87,44.00,289.35,113.67,238.71,209.01,61.67,37.42,96.03,269.85,107.40,20.45,39.78,219.49,179.66,243.57, ,287.57,91.49, ,9.60,97.88, ,159.55,249.01,44.93,12.47, ,231.68,99.00,79.15, ,258.81, ,138.35
 ,226.58,45.38,217.99,226.37,101.76,85.49,128.54, ,141.01,2.76,142.92,44.16,120.25,180.89, ,19.24,243.39,160.28,74.31,178.94,214.86,86.59,31.46,130.78,56.14,157.29,100.15,173.00, ,125.33,214.30,222.36,172.79,26.48,242.48,40.50,19.61,29.75,52.66,150.74,1.03,64.47,208.11,2.87, ,128.20,17.12,55.81,230.40,209.79,166.47,132.46,34.14, ,54.11,84.28,113.50,12.81,215.18,201.49,151.26,46.26, ,103.86,204.74,264.51,126.23,129.07,240.61,112.35,217.32,164.28,132.17, ,10.15, ,211.63,207.15, ,191.86, ,232.39,267.20,256.63,27.88, ,268.50,164.48,166.23,212.77,15.32,123.36, ,179.25
109.95,153.04,278.26,171.96,232.49,107.54,232.59,274.81,103.92,149.19,89.95,65.19,47.67,201.70,254.67,10.24, ,163.28,145.59,175.59,186.16,163.77,247.35,50.10,103.11,81.25,63.77,20.71,161.26,43.80,202.92,244.63,292.08,271.18,61.58,193.90,161.52,23.03,56.87,40.93,46.94,115.50,235.78,252.81,84.47,31.43,121.35,254.93,83.97,251.11,72.88,93.29,202.69,43.28,189.44,119.54,206.39, ,142.17,299.90,155.72,270.63,117.86,98.05,30.66,182.40,97.04,269.49,230.10,74.72,275.25,9.20,65.31,258.71,15.50,146.68, ,117.31,72.98,112.39,94.65,186.67,233.59, ,265.03,26.15,33.84,198.67,213.02,287.29,171.45,130.34,174.02,135.44,158.43
0.76,294.08,49.38,70.89,205.28,107.65,75.67,232.83,184.54,238.31,17.59,174.62, ,48.64,263.33,91.82,237.77,156.84,3.90,145.97,27.06,75.01,257.56,191.33,101.05,170.20,54.78,147.49,107.86,136.10,133.15,233.94,182.44,146.00,212.57,153.71,173.86,198.12,145.23,63.32,126.64,219.15,213.48,84.14,262.78,92.52,148.17,166.85,117.25,216.95, ,70.66,178.68,167.57,144.62,73.42,83.66,10.04,220.43,49.22,39.47,34.29,117.63,2.25,178.01,65.20,19.90,177.27, ,44.84,279.86,282.10, , , ,50.60,157.49,151.23,69.29,32.36, ,34.61,124.28,100.36,69.60,209.38,71.47,176.86,256.07,122.08,148.00,92.18,60.37,208.69, 
94.21,148.21,24.30,164.77,283.74, ,219.96,111.78,60.47,42.75,147.60,58.13,67.72,53.07,42.31,85.42,55.98,151.81,99.41,261.24,18.92,17.01,264.37,230.30,117.44,41.39,137.89,260.65, ,13.72,292.13,119.13,31.46, ,127.93,182.73,167.06,247.28,140.53, ,70.84,130.30,277.89,181.79,55.99,27.22, ,19.36,240.24,76.64, ,204.57, ,293.73,247.02,179.26,152.66,158.39,22.42,67.05,84.08,173.75,171.67,292.60,288.63,206.11,67.32,269.85,114.11,190.64,204.59,148.68, , , ,284.44,213.46,293.43, , ,229.57,157.51,208.03,26.71,157.67,243.15,209.57,243.76,111.32,119.37,275.69,14.99, ,228.44, 
286.35,194.14,257.67,36.52,141.99,138.99,158.69,52.78,288.87,38.95,10.22,268.76, ,283.75,20.55,8.36,198.54, ,114.46,295.55, ,137.55,8.99,72.90,189.99,80.00,180.10,196.76,148.95,23.18,128.70,44.89,93.50,183.70,57.89,32.97,58.00,123.09,7.72,158.11,37.14,84.26,118.29,255.66,163.68,99.93,22.57,129.44,88.24,153.49,201.14,55.01, ,178.10,64.69, ,262.41,122.33,28.47,27.68,207.86,262.98,183.73,152.60,101.63, ,255.12,227.45, ,186.59,20.09, ,94.17,225.65,219.27,233.86, ,217.99, ,180.97,75.08,228.13,268.15,114.56,255.96,64.84,228.59,118.04,226.63,238.24,117.61,124.59,17.40,269.46,15.94
160.68,16.95,179.27,257.80,208.37,35.84,11.71,236.60,105.74,41.96,15.51,201.49,211.03,264.68, ,280.62,164.73,47.88,250.91,211.35,241.35,280.58,136.81,151.18,50.75,8.51,29.91,296.22,79.10,134.69, ,115.31,83.89, ,37.44, ,248.78,12.73,63.19,210.69,78.48,58.95,185.75, ,53.82, ,132.92,127.50, ,242.81,68.05,121.42,267.63,54.27,205.52,113.43,38.85,211.30,180.59, ,34.27,155.67, ,288.59,247.28,233.34,164.12,19.85,106.88, ,161.15,83.85,151.14,28.16,127.97,153.36, ,187.62,201.77,78.91,20.96, ,254.30,135.57,236.14, ,223.62,223.72,83.28,112.47,241.19,127.92,238.60,231.55,219.20
 ,298.10,218.97,295.14,240.58,128.95,251.81,100.34,115.24,34.53,174.14,269.46,162.40,197.98,86.46,41.67,222.22,243.47,64.07,14.46,69.31,181.37,34.93,272.37,43.37,178.43,41.38, ,203.78,74.87,89.26,67.92,21.30,252.51,171.77,176.95,260.43,57.79,55.29,253.92,82.87,83.89,2.19,177.27,234.58,232.23,51.21,32.88,107.85,235.00,176.51,156.05,132.31, ,187.60,72.41,36.20,176.95,35.41,213.85,43.31,173.62,217.20,100.02,281.62,224.70,261.93,117.29,168.95,217.36,284.47,149.61,22.99,57.25, ,271.10,178.60,173.41,54.28,45.77,28.81,268.69,93.11,107.35,174.29,109.34,122.94,80.45,122.10,200.87,242.30,180.30, ,53.71,63.34
112.42, ,243.61,119.76,81.36,228.71,65.58, ,188.53,266.93,259.26,233.01, ,104.98,137.14, ,203.79,174.68,284.71,259.82,124.14,142.09,225.25,116.83,284.22,100.45,37.50,25.08,199.48,75.49,178.45,293.33, ,168.01,51.62,58.26, , ,254.45,280.05,164.61,36.40,43.80,207.47,12.62,3.00,253.46,232.37,215.88,209.89,113.05,256.29,73.86,226.11,0.61,80.49,149.51,35.20,104.43,296.83,120.63,170.97,222.38,217.08,117.95,222.16,88.47,102.31,131.28,190.63,234.59,297.12,88.00,277.42,274.98,9.47,274.08,169.70,283.79,34.72,213.75,32.74,135.33,164.55,163.48,98.50,26.29,182.17, ,159.59, ,133.83,198.51,196.64, 
180.43,39.09,68.75,14.92,131.29,235.51,13.45,196.39,16.98,293.69,119.93,137.99,287.11,121.35,50.82,99.39,44.56,213.43,134.45,184.27,78.32,63.63, ,260.02,127.44,196.98,71.96,96.70,37.37,116.14,1.71,231.78, ,70.26,163.57,74.74,170.45,167.61,244.84,194.11,105.51,45.11,218.10,160.92,132.74,29.03,113.51,196.91,84.99,192.86,171.88,296.39,120.67,276.42,142.08,213.64,16.66,11.81,54.12,147.64,284.53,152.00,211.39,144.51,16.08,244.94, ,241.32,125.65,206.71,247.40,104.79, ,63.54,28.65,79.53,4.53,52.97,162.10,205.43,260.74,43.98,109.47,147.00,174.60,246.49,199.73,170.54,117.62,1.52,51.74, ,56.27,75.54,7.22
 ,13.83,39.73,206.32,106.76,188.98,5.64,47.12,159.18,0.09,151.74,123.08,82.67,259.74,221.19,235.00,290.75,261.73,6.63,179.68,221.36,94.76,204.12,132.38,59.54,40.11,134.08,114.76,8.84,144.53,247.03,191.12,28.35,268.26,20.88,148.37,216.60,169.24,85.01,184.02,134.09, ,268.17, ,184.91,245.09,26.19, ,217.31,137.31,98.16,91.04,20.66, ,263.79,283.42,204.14,193.36,91.57,6.40, ,191.31,64.88,1.24,29.72,86.90,288.70,39.32,131.16,113.01,23.78,277.27,219.68,265.95,236.28, ,115.17,155.62,99.81,91.45, ,10.00,273.12,28.76,78.43,72.43,153.78,206.98,168.79,275.77,84.56,49.88,27.22,204.49,184.61
208.88,86.95, ,60.07,113.89,296.01,144.95,127.58,94.43,109.94,234.40,5.66,294.55,173.66, , ,263.97,199.98,26.82,290.51,36.44,159.41,78.21,219.91,245.50,164.43,235.44, ,241.09,294.66,118.94,254.63,37.99,10.01, ,128.88,8.21,38.29,197.77,171.98,22.29,132.03,172.93,285.55,8.56,167.70,49.76,258.81,279.71,169.81,74.63,156.97,164.01,250.47, ,122.45,34.05,11.49,112.86,206.32,87.51, ,91.69,95.33,46.70,203.81,298.12, ,155.09, ,50.36,140.98,134.21,96.17,31.94,187.00,223.26,198.40, ,290.09,121.83, , ,244.40,194.99,125.69,284.13,100.44,45.87,130.11,258.73,98.25,91.25,198.93,107.55
290.66,206.62,138.23,9.36,111.11,5.47,254.42,141.69,285.50,217.42,253.88,19.86,151.82,261.28,75.27,10.08,166.47, ,4.70,187.78,228.42,92.80,46.54,6.92,67.91,18.82,148.37,203.38,46.78,161.78, ,230.61,155.69,24.31, ,141.62, ,70.04,281.91,60.55,242.19,132.24,180.77,285.04,219.14,122.52,47.33,23.40,27.65,75.01,213.20,193.58,65.89,149.09,198.89,112.13,71.58,277.75,260.12,28.08, ,150.60,195.67,136.29, ,15.38,150.26,125.41,63.66,7.47,239.11,122.38,47.44,295.60,146.31, ,174.40,136.33,247.87,95.64,205.62,99.54,44.21,279.66,91.77,95.51,110.08,126.89, ,20.85,74.50,112.64,41.56,198.82,195.48
162.21,136.44,79.18,100.36,270.34,199.07,283.92,251.39,30.48,35.10, ,109.61,82.26, , ,70.92, ,1.74, ,138.19,284.19,45.34,99.22,290.55,217.67,191.91,224.61,238.57,274.24, ,56.50,154.50,291.19,11.74,69.95,131.11,200.93,60.27, ,294.01,299.73,177.09,115.14,196.25,77.64,101.88, ,22.15,13.38,7.70,6.26,241.87,92.58,97.36,135.21,146.86,156.29,295.27,173.68,244.18,174.62,29.27,41.68,273.28,64.75,80.18,58.64, ,151.23,5.76,0.06,150.94,18.62,113.51,83.17,10.73, ,125.41, ,167.09,205.09,156.00,2.32,244.73, ,95.95,141.17, , ,250.98,22.12,121.00,243.64,99.40,116.59
294.02, , ,253.49,241.26,16.37,84.30,3.69,229.94,280.29,148.36,126.69,91.74, , ,279.19,289.57,283.35,144.18,68.86, ,10.12,105.65,21.54, ,201.80,26.95,195.51,113.36,45.78, ,4.92,249.10,230.04,46.80,189.06,282.49,211.33,223.98,171.01,163.37,147.32,80.05,135.20, ,157.41,47.86,6.06,76.42,218.36,116.32,10.35,114.48,149.70,221.06,278.10,30.05,13.90,111.24,104.93,186.06,67.73,89.66,222.24,143.31,287.37,272.59,197.98,294.80,194.16,214.36,82.44,203.45,214.14,139.64,81.29,281.42,259.62,222.81,237.16,22.47,25.74,222.25,82.13,271.40,132.91,148.54,130.17,11.69,66.68,63.39, ,44.81,136.66,219.79
53.05,40.98,11.65,199.83,118.17,206.78,249.79,243.00,222.72,176.84,61.67,30.43,205.21, ,41.86,126.41,244.19,101.36,123.97,121.60,255.58,266.12,188.27,293.05,281.38,230.26, ,258.43,259.34,54.08,205.50,292.37,189.40,67.25,228.65,232.77,160.24,254.11,59.51,203.32,294.15, ,242.56,1.62,200.42, ,66.37,220.69,36.65,163.43,221.26,8.56, ,168.79,34.19,84.79,282.40,41.11, ,283.67, ,205.06,107.79,81.62,101.22,215.21, ,19.11,95.87,286.61,196.47,210.13,96.67,257.94,298.20,235.29,246.53,186.93,285.61,43.40,168.69,79.39,187.55,212.59,126.17,159.36,211.08,298.18,26.58,2.13, ,237.43,34.35, ,296.13
 ,39.54,129.74, ,209.75,142.92,94.27,21.53,291.74,23.12,240.36,246.03, ,33.85,81.13,295.17,64.33,235.75,61.06,27.17,275.23,248.40,232.30,119.10,209.23,209.06,292.08,145.18,33.24,114.50,247.24,89.07,205.70, ,266.77,142.61,65.54,20.66,212.94,282.21,147.39,7.93, ,266.70,260.58,70.76,114.30,184.76,29.57,228.19,57.23,287.63,84.03,150.13,181.21,229.34,235.67, , ,289.27,173.94,254.65,24.94,262.69,272.32, ,200.51,57.39,124.91,3.04,36.99,274.38,179.51,60.95,242.48,132.05,217.10,151.83,106.85,124.49,193.11, ,93.62,74.10,78.94,15.66,297.96,146.49,145.35,184.19,43.43, ,240.62,202.09,6.26
13.23,25.49,247.51,299.96,116.30,280.48,28.26,75.22,299.09,139.44,82.65,143.47,247.74,154.47,176.53,158.77,291.48,96.11,226.46,140.53,108.67,120.02,273.60,131.02,93.70,72.73,98.03,186.35,0.28,195.60,201.54,66.58,238.63,132.00,258.76,207.85,93.53,204.36,223.11, ,16.81, ,193.15,28.75,149.64,120.32,205.83,99.62,214.87,135.10,203.33,19.39,161.29,139.05,180.06,101.03,78.97,32.44,210.75,51.63,90.21,105.64,193.80,268.46,243.50,155.53,197.42,258.01,287.84,124.36,159.21,87.79,32.27, ,243.02,261.94,271.63,109.06,27.68,236.14,257.82,291.87,237.11,62.66,154.64,120.18,18.92,110.33,77.85,167.42,111.99, ,83.62,133.35,290.91
287.44,105.49,119.13,264.25, ,260.07,132.50,163.10,125.82,108.54,204.00,224.54, ,248.83,68.54,150.91,229.85,186.71,165.50,245.47,291.76,89.81,50.77,295.42,295.88,10.74,172.84,124.08,91.99,288.44,155.08,219.99,277.71,120.26,112.54,272.95,284.01, ,34.78,232.04,228.69,247.72,73.73,252.31,26.41,250.99, ,90.34,265.23,213.64,211.26,151.23,130.48,246.96,170.02, ,107.01, ,54.73,273.75,189.01,15.54, ,202.49, ,9.42,45.69,145.26,249.23,141.16,131.73,146.82,267.90,108.76,45.98,13.07,152.62,256.04,116.32, ,210.85,80.07,166.67,115.86,252.36,264.78,244.08, ,245.83,24.85, ,70.83,110.25,70.70,46.61
128.65,9.52,10.93, ,177.60,125.97,45.07,266.01,182.40, ,128.23,280.87,136.89,100.89,142.27,259.47,110.45,78.83,127.61,209.55,267.35,263.67,47.33,234.59,84.39,80.50,293.22, ,130.11,196.31,255.35,36.72, ,124.83,298.31,12.81,90.15,210.13,248.75,255.81,81.93,136.83,252.82,223.80,260.17,244.56,292.22,74.14,190.80,59.51,151.41,96.97,52.49,295.39,264.56,184.57,291.40, ,244.22,132.72,111.63,237.03,161.82,223.19, ,122.16,29.38,130.11, ,182.60,210.53,98.01,68.41,153.13, ,97.35, ,89.82,55.74,201.95,276.32,215.83,247.30,145.99,103.73,136.03,105.79,170.17,208.28,48.29,28.39, ,269.67,248.57,43.59
