Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122
291.66,10.65,116.28,185.95,88.41,219.87,193.49,42.22,22.58, ,216.48,194.88,187.47,109.71,159.18,22.07,275.74,4.47,29.45,167.91,17.91,14.76, ,80.03,268.12,98.57,19.08,2.41,226.65, , ,206.48,288.91,189.72,204.77,231.52,39.59,152.19,41.18,113.11,28.99,223.81,188.76,166.74,63.09,238.47,121.17,222.96,246.42,206.01,9.24, ,126.54,27.04,162.87,2.24,13.73, ,123.54,95.89,217.73,136.76,146.46,13.22,231.69,82.96,30.09,236.26,218.74,24.56,56.22,14.83,144.42, ,267.96,167.50,69.69,157.89,65.03,79.15,47.52, , , ,9.62,66.41,14.84, ,71.06,255.80,66.08,242.97,159.88,55.17,29.03,295.50,28.88,228.51,113.45,261.62,155.55, , ,97.93, ,168.99,280.68,27.45,283.32,148.48,116.67,122.82,73.56,58.60,145.39,261.67,96.62, ,179.71, ,277.65, 
146.64,236.35,121.29,170.31, ,264.09,151.49,29.19,3.79, ,149.18,34.93,19.41,75.17,286.14,76.01,58.33,299.49,104.50,250.01, ,114.51,213.33,290.84,276.35,277.01,130.44,188.60,99.68,262.13,38.05,19.52,222.63,47.25,271.15,51.81,202.11,185.80,201.08,3.18,177.17,44.18,106.13,194.58,284.70,149.32,21.01,70.51,35.48,45.45, , ,24.41,263.58,68.88,86.84,42.09, ,86.28,158.36,166.21,3.76,213.50,43.94,97.03,117.82,33.02,266.12,93.86,288.45,145.91,0.62,81.56,35.27,136.25,233.27,273.37,33.74,27.20,195.43, , ,137.14,181.68,138.71,54.72,7.49, ,150.54,90.49,55.27,245.88,99.83,122.10,14.75,289.87,162.28,152.80,215.41,30.52,255.68,265.08,120.73, ,222.44,7.07,139.09,40.42,71.74,53.27,188.47,88.12,136.82,164.18,27.47,108.95,166.00,38.87,176.57,267.52,33.34,17.85
271.12,12.16,128.27,251.71,62.20,28.12, ,192.30,179.36,86.41,268.61,292.01,18.82,159.90,174.78, ,47.21, ,59.37,22.22,100.19,186.99,67.09,291.91,63.47,62.01,124.41,292.12,223.00,257.87,128.77,217.39,179.86,158.41,171.49,64.01,219.60, ,286.69, ,246.09,274.88,250.35,38.72,215.72,253.42, ,82.19,262.02,205.05,156.52,189.32,5.28,239.91,177.34,238.06,18.41,0.77,13.02,260.15,291.95,95.61,120.90, ,95.77,87.90,114.60,184.82,183.80,198.42,201.52,200.18,106.52, ,55.80,108.25,187.57,120.70,48.83,211.27,37.37, ,147.01,271.67,49.37,258.27,135.67,128.43,123.78,104.87,290.74,196.81,74.48,127.39,45.84,268.94,106.36,41.97,42.12,285.20,169.10,39.28,103.25,40.63,102.66,15.58,32.41,100.09,209.40,164.56,296.47,105.20,81.72,56.20,160.80,215.33,284.86,34.68,122.32,15.14,220.80,18.38
243.10,60.11,45.95,107.74,58.17,145.25,60.11,263.73,242.85,250.82,133.67,15.82,60.80,180.97,143.45, ,4.16,296.97,2.89,81.29,162.89,113.27,297.35,127.89,105.87,180.86,267.96,198.51,16.69,194.98,34.02,299.61,69.51,185.09,277.45,47.34,258.31,253.97,97.33, ,203.21,96.40, , ,163.94,169.81, , ,88.55,264.68,262.43, ,34.84, ,82.17,236.52,33.03,40.11,107.71,15.57,208.75,57.23,109.22,127.21,192.12,122.13,42.49,118.06, ,56.78,201.58,269.04,168.87,184.47,268.92,299.33,36.53,230.26,292.76,236.43,49.42,44.11,194.68,24.28,248.08,281.52,216.89,294.01,111.78,69.52,6.26,253.73,252.40,152.00,41.29, ,90.70,211.25,135.29,13.22,112.16,92.61,287.83,42.29,55.81,146.81,169.10,147.93,48.42,112.60,86.71,30.96,25.40,83.50,110.58,226.13, ,18.74,146.40, ,49.62,29.04
8.23,296.92,255.28, ,67.88,167.52,264.60,140.02,88.19,215.83,10.52,43.49,12.10,243.12,239.51,256.98,221.01,132.87,110.40,157.99,111.84,292.90,30.20,181.69,217.31,3.29, ,46.78,248.18,200.22,176.18,133.09,34.01,144.99,98.61,269.17,135.04,269.79,24.87,93.17,20.03,146.55, ,193.34,74.94,105.19,6.19,84.14,252.19,163.31,170.96,32.54,21.56,117.64,52.09, ,195.35, ,41.90,43.66,46.28,218.48,256.33,251.25, ,112.07,68.14,174.88,77.37,81.13,287.08,269.60, ,192.03,84.14,75.66,141.88,149.11,74.65,87.34,293.17,137.97,62.94,139.55,266.93,246.55,288.46,287.24,141.32,69.88,226.79,29.06,267.47,129.02, ,216.36,276.77,206.00,274.10,80.98,62.49,86.07,70.81,67.36,69.81,45.74,173.42,24.33,158.75,71.11,186.10,268.90, ,174.90, , ,185.28, ,267.64,113.08,26.82,14.32
 ,60.07,0.50, ,242.59,18.72,10.97,1.17,67.69,154.78,72.53,57.28,158.19,183.11,63.38,151.71,137.76,279.29,214.67,235.57,190.05,77.90,44.55,218.01,35.72, , ,257.17,105.07,7.26,21.76,80.54,182.91,165.99,250.34, ,14.38,110.74,125.39,23.24,268.59, ,260.95, ,218.12,28.61,227.13,266.52,209.04,75.85,196.27,6.92, ,21.30, ,299.99,129.86,71.43,264.53,59.40,2.20,66.18,222.28,159.31,219.08,124.93,52.08, ,204.10,140.91,287.23,46.72,237.25,194.04,90.14,264.65, ,4.99,59.20,15.43,266.28,156.27,9.13,11.52, ,82.99,208.16,223.59,298.12,39.59,108.14,117.48,54.29,80.67,165.28,186.84, ,249.78,202.91,191.23,183.97,177.86,224.35,271.25, ,182.01,42.85,125.70,255.16,82.83,108.69,69.02,261.42,200.50,196.76,250.30,211.41,136.45,17.77, ,150.25,120.16
151.38,179.11,3.35,235.97,252.27, ,209.76,133.27,101.11,34.72, ,246.13,9.48,0.60,289.46,148.81,129.49,267.79,153.32,152.17, ,104.44,285.53,257.30,148.83,109.81,31.34,93.24,109.63,73.57,263.13,26.39,52.98,130.71,36.60,163.17, ,274.07,258.08, ,296.38,127.10, ,107.09,140.79,127.17,101.24,26.66,127.36,259.78, ,215.95,54.23,245.17,78.22,218.26,179.12,39.37,263.10, ,206.06, ,269.37,40.08,295.50,206.12,222.84,74.56,7.92, ,104.80,157.13,181.27,102.08,177.01, ,165.93,237.90,283.81, ,53.92,119.66,47.67,36.33,212.01,22.13, ,299.26,184.12,54.71,61.47, ,70.98,103.76,76.99, ,53.19,183.77,172.45,261.46,34.99,78.50,38.58,45.27,21.78,297.22,290.21,283.91,129.67,31.81,199.99,105.56,291.62,166.97,287.99,30.56,144.88,41.26,257.39,221.28,15.91,55.67
277.19, ,106.86,265.98,62.58,188.12,196.42,182.74,165.43,91.05,156.05,229.67,157.50,260.79,32.11,192.34,156.49, ,263.35,238.38,157.09, ,172.86,111.48,100.09,66.78,165.32,91.24,262.34, ,223.12, ,102.42,232.13,229.03,7.75,164.76,26.28,82.49,37.09,93.51,25.76,98.39,299.02,271.72,186.18,293.77,79.32,106.68,71.85,11.38,92.60,271.62,198.54,76.29,222.90,133.58,226.53,119.79,109.73,289.86,226.66,147.64,96.42,17.42,290.03,247.87,204.95,201.50, ,277.79, ,147.60,145.15,104.66,299.68,56.45,210.29,273.16,289.09,12.25,237.85,35.31,84.91,105.20,43.75,264.20,275.28,255.55,185.92, ,185.59,141.82,184.88,148.30,114.01,255.06,155.73,155.83,42.25,146.64,139.84,292.85,200.70,178.25,290.56,106.49,213.05,51.28,73.23,40.73,117.45,287.45,146.49,281.50,69.52,119.33,183.50,107.84,178.72, ,226.31
51.96,266.41,125.80,88.63,15.12,222.36,123.96,261.23,159.69,75.07,233.01,76.41,50.41,270.16,233.70,275.99, ,242.39,145.89,162.64, ,299.15,79.96,296.99,128.67,154.87,49.58,146.31,179.32,210.50, ,144.20,113.95,66.04,203.87,6.44, ,271.65,227.16,188.77,92.81,80.82,221.18, ,67.49,214.88,166.88, ,11.09,216.13,176.36, ,88.29,111.32,250.57,123.80,65.76,94.99,128.76,4.37,78.22,215.55,36.07,57.45,93.51,54.37,44.12,279.28,5.77, ,256.34,152.86,33.34,53.51,291.82,50.96,70.78,43.46,13.76,155.17,202.27,14.81,213.45,74.25,92.46,158.55,231.27,256.64, ,273.22,107.28, ,212.29,125.31,109.83,235.72,119.62,285.12,20.26,5.96,298.37,60.63, ,291.90,46.52,278.67,282.33,158.95,298.24, ,253.99,177.98,143.79,27.70,132.02, ,137.98,25.84,203.10,26.29,45.96, 
24.63,279.35,251.50,108.82,231.86,199.24,252.52,107.42,171.93,28.19,77.42,225.24,73.77,40.12, ,112.93,178.58,245.14,156.98,97.98,69.94,76.67,113.31,287.20,291.63,121.72,4.06,116.26,66.15,58.01, ,170.93, ,76.41,245.94,83.92,110.84,204.71,33.64,7.21,111.54,247.47,189.86,225.64,269.42,230.36,26.70,198.36,265.34,273.24,208.17, ,19.01,159.91,244.67,213.72,289.46,212.97,102.41,148.36,133.92,38.89,166.84,59.71,12.79,167.48,242.65,179.28,135.68,168.17,217.11,45.85,294.45,129.28,123.33,205.38,117.78,118.60,291.72,178.85,212.79,228.58,270.99,117.10,147.05, ,64.15,232.88,61.61,100.00,15.04,63.85,195.42,90.89,299.83,58.88,181.99,232.92,76.21,154.53,187.83,69.91,206.97,222.70,194.50,127.05,100.34,181.82,199.03,175.79,241.92,203.20,39.89, ,268.75,143.50,245.58,152.46,193.81,207.32,177.71,265.75
