Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71
258.27, ,125.04,84.72,39.22,42.74,157.60,166.04,146.80,105.93,193.67,35.38, ,35.71,174.56,209.00,183.07,279.44,292.31,135.18,49.43,234.78,169.95,29.91, ,262.84,9.18,276.05, ,24.20,100.37, ,9.37,52.99,160.97,168.95,238.63,220.62,295.76,120.93,114.40,220.14,132.95,233.75,273.88,133.20, , ,224.06,213.49,252.84,80.50,245.64, ,166.26,178.53,91.02,65.16,283.21,147.95,76.15,186.41,90.16, ,122.12,185.66, ,138.51,222.16,55.70,143.07
211.38,172.72,84.67,17.40,80.29,280.42,122.31,199.05,107.38,34.59,194.18,113.64,180.25,292.98,277.08,157.92,157.64,190.86, ,208.26,48.81,290.61,195.92,104.30,264.82, ,236.80,213.16,39.68, ,32.66,63.32,187.28, ,217.92,268.65,50.90,235.26,269.46,20.43,244.82,91.72, ,28.52,184.94,104.31, ,136.97, ,5.67,180.31,112.91,0.66,73.86,234.62,248.97,218.80,19.96,167.59,19.40,142.23,275.07, ,140.28,190.39,89.18,249.13, ,272.08,197.65,101.37
244.31,207.41,126.21,210.72,4.95,189.90,134.46,93.72,5.25,207.54,266.42,23.19, ,295.27,88.86,10.84,285.52, ,148.63,55.89,181.18,289.47,208.03,236.06,141.08,178.98,15.37,41.54,233.01,33.83,21.60, ,242.73,214.51,209.19,127.15,283.08,258.02, , ,290.22,223.02,276.76,246.90,13.18,55.17,19.29,267.53,50.98,154.88,281.52,67.38,32.62,296.68,104.62,72.58,190.48,26.38,267.25,289.40,258.74,226.35,242.22,72.35,104.14,258.68,291.31,194.34,76.51,14.56,283.72
275.98,82.75,41.44,275.64,30.42,75.40,212.40,150.65,10.81,211.99,40.46,295.55, ,72.06,241.79,109.53,229.18,111.68,25.17,207.18,192.09,131.42,53.96,299.51,159.85,250.71,294.76,124.88,81.24,55.37,150.14,51.96,148.64,10.86,25.31,229.83,59.59,66.26,210.28,152.27,20.07,199.47,256.98,244.39,221.29,61.25, ,113.21,13.31,161.61,2.15,116.95,139.24,285.81,88.47, , ,71.65,58.07,165.02, ,203.24,30.64,75.14,77.70, ,54.54,95.75,167.15,276.24,90.89
259.18,13.64,37.97,272.29,171.77,178.46,40.56,233.29,257.31,82.75,37.23,270.69,193.98,45.68,144.23,132.28,15.94,167.66,231.21,149.94,277.27,5.63,210.56,22.89,67.53,51.06,242.92,237.74,159.60,7.12,119.99,107.24,285.32,189.83,114.86,19.51,68.17,109.97,264.05,146.59,238.49,136.34,219.41,18.31,57.51,82.84,164.84,13.44, ,203.27,279.84,86.20,11.21,181.95,75.38,136.53,253.29, ,134.70,17.39,32.61,178.45,252.41, , ,193.45,169.11,150.34,46.34,123.36,104.27
233.06,249.82,72.36,283.33, ,0.72,270.21, ,85.65,281.81,293.88,261.67,135.41,275.15,34.34,39.43,211.81,257.67,12.50,145.64,237.09,296.55, ,72.17,139.10, ,230.27,92.74,257.08,3.95,109.89,30.74, ,242.55,134.57, ,164.60,130.13,33.05,98.84,198.86,225.59,251.99,93.15,47.80,272.86, ,82.76,13.21,266.94,53.88,59.94,266.12,18.32, ,145.01, ,43.86,54.89,153.14,136.08,258.55, ,10.30,253.49,182.00,67.28,239.45,197.71, ,207.46
202.72, , ,79.56,270.53,77.76,45.20,21.54,100.16, ,268.95,114.38,31.33,288.71,50.46,98.43,93.88,88.10,235.37,123.70,128.00, ,251.67,261.81,7.11,165.48, ,11.23,181.87,17.20,13.34,57.00,253.04,56.16,195.02,198.61,261.74,276.88,278.28,271.52,287.34,116.96,64.41,144.02,170.76, ,184.10,173.86,181.92, ,223.06,43.56, ,5.30,215.36,126.57,286.52,182.94, ,191.43,23.21,30.70,196.67,78.07,21.42,7.47,125.97,265.92, ,204.41,200.49
189.84,15.37, ,198.30,0.13,280.80,125.18, ,21.85, ,147.39,69.31,226.65,85.39,64.81,96.98,38.09,129.48,232.12, ,130.43,170.39,183.03,45.34,111.03,53.60,214.58,175.71,160.74,154.83,135.80,150.30,30.52,204.93,299.18,265.93, ,136.32,296.02,95.09,141.07,244.15,76.86,123.18,38.98,1.13,29.98,242.60,24.08, ,119.75,221.12,138.43,222.00,30.14,283.28, ,145.56,40.57,43.09,68.71,57.93,174.36,63.40,193.34,126.60,207.23,124.81,273.85,214.91,189.07
145.32,260.05,274.61,213.29, ,282.00,222.32,274.12,115.24,203.56,217.67,109.96,232.06,26.95,17.78,280.05,34.31,144.79,64.42,238.48,9.80,181.88,272.33,242.34,247.06,290.29,253.16,217.84,203.12,276.20,133.78,105.64,46.06,193.29,95.84,192.60,52.25,37.75,230.48,112.15,126.00,42.27,202.70,264.37, ,240.57,38.68,132.36,242.87,100.07,178.63,245.96,284.09,22.02,250.91,120.82, ,223.27,207.28,130.84,231.78,112.22,74.42,90.87,251.91,81.27,52.28,251.22,297.19,58.56,222.58
126.68,188.79,221.76,175.91, ,107.69,79.94,162.75,157.06,40.88,225.23,83.00,297.36, ,269.02,241.38,238.78,242.63,118.00,223.64,216.97,101.59,271.29,168.06,24.85, ,55.57, , ,175.57,258.10,113.66,52.47,74.98,247.89,238.51, , , ,17.54,34.55,201.80,49.10,214.62,282.21, ,120.78,142.16,138.52,215.08, ,290.07,208.97,250.02,18.80,50.48,216.44,25.18,287.63, ,202.24,27.10,222.05,81.53,226.75,20.04,111.04,131.90,190.09,72.56,43.32
