Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45
223.45, ,261.34,11.43,94.32,16.69, ,258.08,199.23,231.31,22.40,34.15, ,192.17,197.03,1.76,296.18, ,183.26, ,114.57,20.72,231.55,56.28,33.84,111.33,29.45,126.35,152.10,157.85,61.48,38.89,136.67, ,12.96,50.41,92.34,58.59,191.12,103.37,92.12,18.17,94.04,251.39,173.77
187.19,36.25,145.23,183.46,282.85,217.50, ,9.84, ,56.94,51.15,90.78,224.91,268.32,130.62,48.29,194.48,110.73,282.27,24.63, ,7.49,113.20,296.44,33.57,179.98, ,40.29,183.74,117.23, ,247.86,32.44,266.24,62.98,250.19,221.60,214.65,178.08,269.83,150.89,163.84, ,204.31,229.19
36.37,240.10,294.28,52.96,278.11,9.50,271.07,96.68,243.10,265.07,295.60,121.83,3.44,219.90,223.88,295.80, ,235.90,189.78,33.73,225.88, ,100.95,174.26, , ,223.39,88.30,217.35, ,220.78,137.88,286.71, ,246.96,60.24,72.25,261.46,233.89,54.36, ,228.61, ,45.97,232.18
74.86,44.39, ,107.23,198.84,117.69,40.91,83.42,72.41, ,280.96,246.17,60.15, ,292.62,9.90,74.53,223.35,188.55,294.37,46.91,89.72,216.39,164.76,99.27,91.23,218.12, ,253.44,263.45,169.31,227.26,180.34,241.15,259.97, ,255.75,291.99,68.85,176.11,208.18,170.77,4.75,115.95,42.33
243.74,161.96,186.96,229.88,120.91,218.36, ,174.11,125.04,251.34,95.70,241.60,55.72,75.83,56.97,186.94, ,146.64,49.38,91.35,291.98,13.55, ,146.61,73.00,4.04,5.07,209.30,170.82,187.69,109.63,2.76,294.28,143.21,51.98,297.21,168.79,44.80,99.98, , , ,167.63,168.12, 
114.80,71.64, ,181.27,87.60,241.44,21.04,142.18,144.51,66.64,218.23,153.96,9.36,272.69, ,140.81,30.89,282.55,258.10,283.80,155.00,146.69,182.67,87.39,138.50,147.17,179.05,46.44, ,73.38,179.29,102.18,28.53,6.21,15.89,114.86,228.61,67.83,159.17, ,239.69,222.01,92.79,79.81,89.75
212.60,261.41,153.30,238.78,291.27,226.99,184.71,293.49,215.96,20.36,128.49,178.09,46.92,151.57,110.10,208.84, ,170.25,145.75,171.73,146.58,283.83,126.28,204.94,47.92,7.84, ,267.89,251.24,174.65,141.54,44.14, ,36.58,240.40,75.94,239.17,53.70,133.98,54.96,167.45,111.16,128.57,143.18,263.14
207.00,299.53,110.10,199.21,270.54,29.00,251.75,269.00,191.16,185.42,141.90,49.00,228.15,264.96,209.91,229.32,294.06,8.67,278.77,250.83,47.50,295.80,247.99,4.69,67.78,85.27,242.97, ,171.12,127.70,221.75,171.77,49.85,47.33, , ,104.83,2.72,24.50, ,289.30,171.80,196.78,266.75,91.34
10.88, ,253.32,12.98, ,62.83,110.92,5.10,21.66,68.86,58.30,138.96,77.51, ,274.28,71.43,59.17,124.91,158.11,187.26,203.33,233.93,61.77,134.14,172.43, ,278.75,267.61,273.83,128.46,19.40,149.93,155.46,258.35,208.97,205.06,239.92,13.99, ,164.75,45.59, ,242.36,297.26,133.63
255.09,49.60,58.39,107.93,250.39,231.64,102.87,239.41,292.62,111.75,118.15,255.88,85.87, ,83.13,4.89,63.31,103.82,25.38,145.73,253.74,170.87,14.88,52.51,0.19,169.42,124.07, ,279.40,64.61,53.25,155.56,236.14,211.30,147.93,119.66,168.39,258.02,46.55,34.00,265.78,273.64,163.97,42.63,128.02
294.04,280.07,288.76,272.14,190.14,114.71,207.22,41.47, , ,130.83,192.23,38.49,272.87,23.77,45.84,122.74, ,102.81,21.83,161.61,209.16,36.59,188.90,260.43, ,48.44,282.86,281.59,106.55,223.81,269.96,282.12, ,15.20,198.99,214.54,258.92,42.28,42.66,15.20,285.32,51.54,282.33,151.88
98.77,227.49,76.31,211.21,206.66,64.53,263.44,166.24,102.77,217.87,139.70,148.53, ,200.07,214.88,147.20,291.06,146.06,29.86,131.36,249.85,263.40,21.22,221.74,45.24,161.45,269.96,39.20,27.07,90.30,131.56,160.52,191.05,42.76,49.77,119.78,231.90,55.13,25.65,196.71,107.13,261.57,152.68,172.07, 
262.36,71.60, , , ,288.80,11.82,111.10,38.20,214.78,296.13,70.20,11.32,251.00,254.41,273.66,283.43,88.84, ,288.70,179.51,76.16,91.44,227.59, ,270.60, ,266.73,16.47,89.57, ,62.46,214.24,274.67,249.81,2.81,52.21,114.62,166.33,223.27,158.70,134.01, ,80.28,62.38
255.61,290.54,214.41,280.42, ,178.10,176.93,135.45,271.07,60.97,181.18, ,39.88,252.48,114.68, ,177.07,220.83,120.06,243.44,267.43, ,145.53, ,26.43,178.29,179.82,134.90,223.50,100.88,205.84,168.73,235.28,68.12,74.82,143.12,146.98,212.22,256.08,168.35,236.28,280.01,285.90,177.10,68.27
263.45,248.03,212.70,177.98,39.42,168.99,271.05, ,183.28,249.16,103.53,126.08, ,242.18,26.58,45.46,97.25,68.95,141.09,228.60,262.48,271.86,150.55, ,143.63,82.62,15.99,24.46,36.32,84.25,262.72, ,57.57,226.76,46.06,108.18,86.91,242.67,202.13,1.68,236.84, ,29.63,18.34,285.93
290.22,227.05,273.69,10.52,71.65,20.52,245.22,226.41,237.84,218.01, ,267.58,114.73, ,258.59,51.61,172.77,14.68,294.78,244.71,262.84,142.34,155.87,278.53,103.45,67.46,247.43, ,215.33,88.81,127.64,264.46,79.69,86.83,1.08,124.23,38.05,148.72,296.46,299.94,39.73,146.21,163.75,50.22,69.58
291.93,45.95,269.36,262.70,5.15,131.41,270.15,269.97,190.86,55.15,45.18,107.11,156.06,91.92,49.94,157.76,161.81,270.37,152.65,98.51, ,38.14,53.40,279.97,26.30, ,128.23,297.66,166.09,127.87,126.21, ,283.97,271.29,183.26,50.96,12.50,181.94,108.70,91.89,168.43,241.04, ,236.51,118.86
 ,246.73,15.64, ,299.61,75.95,167.09,248.88, ,135.18,53.07,254.77,32.55,263.14,87.48,210.10,28.41,238.84,7.88,46.09,254.09,188.48,197.02,100.89,180.84,53.94,179.96,78.86,131.91,186.10, ,96.20,279.97,207.65,116.78,1.21,116.22,117.79,228.15,69.12,177.04,16.60, ,25.31,97.66
 ,283.76,183.37,45.42,188.86, ,5.64, ,234.94,150.80,199.64,48.93,41.61,273.95,36.92,83.52,256.76,158.55,17.35, ,62.77,209.34,23.74,131.02,149.92,294.22,262.07, ,230.83,177.56,172.98,63.89,141.22,197.24,261.17,41.69, ,246.96,293.20,105.96,114.12,186.65,158.53,181.50,79.56
287.67,169.26,48.24, ,68.89,43.14,237.59,11.71,31.79,208.15,8.65,116.61,219.02,123.05,106.44,147.31,220.83,271.98,179.90,166.35, ,209.49,58.33,290.56,26.10,181.43,201.90,145.21,132.83, ,200.58,222.64,279.31,179.55,266.45,49.03,8.24,42.29,228.10,277.65,62.70,82.81,72.81, ,239.24
6.66,30.01,151.37,162.56,257.45,261.29,162.88,25.14,136.38,260.74,289.89,235.69,244.93,233.61,263.50,70.98, ,101.00,252.95,15.97,136.35,209.08, ,3.18,25.35,190.63,12.55, ,248.24,93.14,274.92,238.73,105.67,249.35,62.31,85.57,150.09,208.10, ,200.81,253.57,201.90,212.25,24.71,162.68
153.60, ,188.29,188.72,285.54,200.64,40.37,126.12,208.13,249.62,235.04,236.87, , ,73.44,105.77,290.99,287.51,212.73,205.55,169.77,239.52,238.93,56.61,170.35,99.28,248.05,131.93,195.51,265.98,174.11,102.86,243.54,294.00,266.17,257.71,90.64,206.34,177.12, , ,227.70,167.44, ,299.37
