Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117
86.95,230.95, ,8.35,250.90,105.92,41.05,13.22,251.35,56.32,252.80,231.58,42.10,152.92, ,45.20,135.22,152.37,97.73, ,44.05,220.66,46.82,13.72,129.64, , ,236.75,101.00,275.38,118.38,74.14,173.49,142.69,283.16,103.38,283.36,13.34,297.41,165.74,120.20,276.19,181.35,10.94,81.27,125.45,114.62,207.13, , ,293.75, ,97.13,242.03,199.70,241.98,11.80, ,7.18,19.24,142.24,170.88,16.50,123.17,195.92,119.22,80.11,239.86,210.11,280.81,25.91,96.66,138.67,65.83,279.07,34.38,115.24,44.83,201.58,262.85,198.29, ,278.40,263.66,105.17,297.98,115.78,56.51,263.51,167.38,85.35,143.74, ,48.99, ,250.57,162.29,17.78,71.88,139.42,13.35,125.41,204.45,136.19,42.73,67.24,209.06,162.56,59.26,101.80,129.68,130.23,100.44,236.34,144.19,207.86,20.36
168.88, ,5.07,17.18,253.01,13.83,89.85,164.86,168.43,149.79,5.84,21.24,78.10,298.04, ,155.58,134.68,99.04,29.53,126.32,237.81, ,43.42,214.77,163.57,83.88,4.00, ,25.24,233.23,241.60,20.22,261.32,121.65,264.04, ,90.35,282.98,133.63,287.43,234.67,131.60,164.36,108.26,160.84,252.71,293.42,99.87,1.13,212.26,218.81,106.65,48.94,153.13,116.02, ,50.69,62.56,155.91,177.49,59.00,128.11,222.74,238.52,169.05,225.61,112.11,37.19,37.99,274.41,242.84,151.51,106.51,62.77,112.23,137.82,169.57,9.89,133.84, ,2.88,31.26,253.83, ,75.10, ,49.51,40.27,130.37, , ,96.57,156.67,71.22,206.40,37.80,170.98,104.37,127.93,107.28,155.95,156.86,175.32, ,215.59,23.48,41.82,45.96,224.59,46.45,289.19, ,287.90,276.51,128.43,227.90,186.19
13.61,298.10,249.42,104.52,214.68,62.08, ,37.30,182.66,159.70,167.34,159.76,126.52,250.33,179.93,117.15, ,160.20,88.58,153.08,129.87,247.01,50.36,229.25,229.55, ,101.40,267.25,2.23,213.19,24.72,138.61,56.90,2.07,126.84,171.85,241.55,266.94,289.97,62.74,243.37, ,44.77,32.02,258.29,219.12,150.51,49.47,69.14,294.45,214.58,259.76, ,199.36,181.18,215.28,136.85,19.66,203.43, ,209.36,59.43,144.88,140.73,202.33,282.08,297.79,2.91,131.17,156.91,231.78, ,175.70,106.57, ,10.00,18.34,105.10,47.86,287.71,144.33,98.47, ,96.25,89.73,154.24,210.70,72.11,134.78,140.02,143.17,251.36,243.06,119.36,218.58,8.54,213.67,205.64,285.41,63.15,55.68,215.47,104.26,223.32,235.39,180.40,288.05,92.83,2.48, ,221.06,260.47,195.20,233.87,144.46,298.43,291.44
135.07,20.07,181.14,58.05,139.51,232.51,229.45,273.74, ,194.80,76.02,18.38,156.90, , ,252.09,84.10,134.21,187.98,223.05,14.91,286.60,100.03,80.97,231.60,79.19, , ,49.43,90.28,17.82,298.99,168.96,137.82,125.00,260.03,172.90,215.57,126.47,117.36,279.25,130.06,175.36,213.65, ,3.94, ,173.76,227.74,213.19,45.88,91.37,86.24,280.85,123.76,17.41,14.76,290.07,55.09,20.66,90.22,272.68,218.49,51.44,189.15, ,235.03,3.16,89.06,221.78,91.19,108.27,43.87,22.38, ,187.82,128.75,170.01, ,88.49,250.81,137.01,146.51,218.26,12.97,117.11,98.17,263.86,240.61,11.36,196.41,150.81,0.12,275.76,28.21,49.42, , ,194.46,258.47,295.17,120.03, ,218.21,170.06, ,177.79,224.17,7.37,179.95,203.82,109.04,219.97,211.05,44.89,64.44,218.24
274.81, ,181.01,192.45,81.13,228.86,77.81,224.51,183.02, , ,41.04,258.70, ,177.65,5.22,247.75,1.69,261.73, ,218.21,154.64,219.66,216.48,86.56,150.26,72.98,8.31,195.52,13.52, ,257.91,86.74,23.90,128.22,261.99,203.84,86.42,247.67,119.66,256.48,95.38,33.62,234.36,197.77,161.17,46.02,93.43,24.75,221.18,102.95,84.75,211.18,209.97,41.08,103.97,290.27,223.61,201.61,171.54,59.34,92.37,151.79,238.12,3.12,29.51,42.46,112.87,285.43,112.48,52.47, ,42.74,247.69,17.42,238.16, ,270.87,270.37,94.97,299.21, ,28.72,110.25,17.04,128.42,176.38,92.36,179.01,208.64,201.72,232.37, ,97.37,252.03,233.42,276.24,145.10,261.35, ,104.34,218.18,106.21,87.68,187.39,33.66,93.39,22.09,75.27,123.13,16.99,119.45,167.12,209.09,13.43,65.43,24.69
50.52, , ,29.46,104.89,61.58,298.50,224.05,148.63,259.79,238.06,229.61,131.32,16.33,97.07,262.52,65.36,252.66,151.24,109.08,45.23,154.42, ,78.47,102.96,77.29,63.71,198.19,287.85, ,132.61,266.97,255.73,108.17,175.86,190.50,215.55, ,69.97,109.93,96.94,274.09,181.47,30.76,206.68,116.55,151.22,58.86, ,91.19,114.62,13.94,251.98,240.84,299.47,217.51, ,130.40, ,11.87,222.23,66.47,208.08,92.06,217.23,64.83,92.93,275.47,184.57,36.36,35.02,45.70, ,62.93,5.73,94.81,176.63,232.00,94.42,209.52,7.60,17.84,40.86,291.48,81.86,184.10,253.95,252.96,103.66, , ,270.30, , ,270.56,264.39,297.28,17.99,121.85, , ,233.13,10.45,231.30,222.26,114.47,91.73,191.12,27.52,165.38,8.35, ,272.74,206.64,218.92,268.51,232.41
187.89,141.68, ,36.23,61.33,0.37,68.84,234.22,52.91,98.80,235.54,34.00,214.80,55.38,149.17,58.72,198.03,122.08,179.59, ,240.92,226.43,77.85,28.20,170.82,273.02,63.33, , ,195.98,255.18,295.90,81.01,163.36,98.38, ,256.70,205.02,116.76,43.57,27.20,105.49,190.80,218.33, ,118.13,150.37,90.25,38.63,122.57, ,220.95,219.88,56.59,143.36,123.90,108.03,104.71,6.10,251.09,167.50,42.57, ,115.88,251.36,196.96,56.50,294.87,72.62,279.35,15.87,21.42, ,172.52,174.26,3.02,103.06,80.07,105.97,261.51,136.51,28.64,172.52,205.31,253.99,74.63,93.69,172.92,188.08,4.00,224.07,187.68,177.54,172.76,152.90,115.19,250.29,199.84,25.21,218.09,182.97,130.71,220.06,273.16,49.08,170.48,284.18, ,161.71,173.04,178.79,260.42,257.60, ,80.41,173.19,108.66
291.22,32.83,243.00,19.42,283.14,265.23, ,265.50,273.94,274.26,145.85,20.93,38.92,183.86,262.17,277.04, ,216.41,84.85,57.15,151.49,294.17,7.62,82.22,216.17,110.91,66.61,89.84,84.51,53.92,140.99,229.94,109.84,210.49,5.75,298.97,7.94,273.96,235.37,152.21,276.93,220.44, ,10.28,93.23,267.52, ,203.79,189.40,122.40,208.33,67.54,285.40,200.46,91.04, ,243.25,292.45,207.81,215.09,249.59,107.18,54.45,120.90,26.65, ,126.54,281.06,250.18,269.56,225.81,286.47,3.86,233.79,181.64,125.33,219.38,206.91,188.10,257.39,70.81,71.51,134.81,91.43,19.04, ,244.85,222.10,125.45,119.97,77.57,161.02,9.13,84.21,182.77,103.02,199.18,172.89,29.76,187.97,244.50,50.38,70.56,75.53, ,195.50,245.98,92.72,294.39,207.49,270.16,243.03,235.03,244.42,167.74,219.53,114.38
 ,3.73,5.35, ,173.76,66.76,260.02,243.02,246.87,94.43,186.36,288.57,175.45,152.96, , ,25.68, ,58.55,180.02,0.25,237.66,81.83, ,241.31,189.44,150.92,105.22, ,93.79, ,26.79,239.98,84.13,46.93,24.21,205.12,268.17, ,243.18, ,178.21,83.58,131.52,51.53,271.78,30.54,269.66,142.11,186.99, ,233.92,199.50,156.45,170.01,13.39,78.66,291.40,180.14,153.53,110.58,86.42,120.81,153.10,58.99,65.12,238.02,236.55,200.88, ,70.89,138.54,248.30,175.48,115.24,123.83,45.10,16.30,34.91,81.64,292.18, ,277.40,277.20,219.92,6.96,248.97,183.60,124.89,8.53,233.94,219.02,288.15,180.11,168.02,298.34,105.48,59.22,225.10,296.84,214.50,190.08,180.38,296.53,192.38,100.46,248.11,290.13,152.60,152.96, ,151.29,89.02,160.90,219.10,168.73,111.82
 ,275.30,27.88,58.18,276.88,46.58,178.12, ,30.72,14.20,190.50,153.02,159.50,151.41,211.24,142.71,192.66,298.36, ,270.18, ,247.06,91.62, ,128.33,71.23,47.50,225.78,275.59,72.50,56.70,200.74,293.81,269.50,222.17,215.50,218.82,139.41,52.17,121.72,44.75,215.78,15.52, ,291.10,77.74,103.55,181.35,222.64,149.89,27.32, ,219.67,189.41, , ,70.53,122.08,79.66,207.53, ,212.78,226.26,66.88,219.35,210.20,53.38,155.36,125.06, ,108.84,59.44,215.22,60.54,245.26,75.15,235.38,65.57,180.83,88.54,275.45,120.84,90.15,272.80,5.99,171.22,30.66,288.66,60.64,283.17,189.41,158.69,12.88,146.44,280.35,104.35,271.74,73.24,106.13,232.74,103.06,226.96,34.62,79.59,264.83,101.15,121.07,279.02,184.10,27.66,60.43,120.25,57.21,94.07,239.53,275.47,130.77
