Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147
30.08,195.42,2.39,13.38,114.47,124.65, ,298.36,17.24,204.15,248.63,95.64, ,37.62,270.91,230.08,2.35,7.70,281.77,5.31,144.63,283.77,284.63, , ,36.17,288.67,2.06,6.72,58.44,266.14,72.90,76.44,156.37,273.02,94.23,133.30, ,117.07,82.74, ,167.26,229.22,83.24,113.42,251.53, ,217.67, , ,277.65,270.26, ,108.41,233.80,94.89,58.78,114.65,178.82,66.93,137.84, ,251.26,290.85,74.46,24.32,22.40,264.13,63.77,101.07,153.41,14.69,101.57,299.97,196.54,63.28,119.73,43.89,153.60,194.10, ,218.42,265.66,173.86,284.16,59.39,246.87,218.65,203.75,132.16,132.90,263.37,233.78,181.37,30.43, ,258.49,117.28,125.02,42.08,21.84,142.73,82.41, ,214.60,80.81,48.75,160.81,51.18,188.95,99.36, ,298.22,8.02, , , ,88.18,175.02,59.11,6.14,245.26,152.68,267.50,239.78,213.54,222.91, ,22.26,72.17,199.75,135.98,213.23, ,129.61,257.76,264.99,192.74,184.63,236.32,246.84,280.44,167.06, ,90.57, ,162.74
184.50,82.07,156.15,164.38,235.40,174.47,86.03,110.63,112.62, ,59.46,103.22,90.10,182.72,232.16,43.41,51.97,260.31,142.49,46.70,266.93,2.72,254.87,277.95,182.55, ,242.01,151.52,38.06,44.58,90.23,262.13,264.02,228.79,90.95,193.04,227.26,221.92,16.74,72.54,174.40,290.56,45.40,278.27,0.15,2.19,234.89,58.86,212.79,45.25,247.98,222.94,0.16,269.83,136.71,259.17,139.81,127.52,91.81,268.67,128.64,182.34, ,241.20,147.97,7.69,176.83,74.65,246.13, ,263.04,64.27,67.32,171.93,89.29,0.64,55.69, ,238.03,264.01,155.24,108.08,263.68,108.90,36.99,257.84,18.07,123.16,81.38,112.20,116.54,276.86,131.63,203.33,298.94,248.90,279.31,17.10, ,125.99,78.89,239.17,199.09,260.95, ,288.19,10.84,27.49,279.24,93.84,228.79, ,177.69,29.21,264.04,276.57,253.54,271.06,193.25,145.94,9.50,142.39,191.38,288.55,226.35,272.92,76.46,158.82,12.64,188.83,160.25,66.72,220.86,6.49,207.92,268.30,32.98,178.48,57.80,103.45,14.70,93.07,142.07, ,154.71,234.15,0.18
198.12,20.41,120.45,143.82, ,61.24,213.50,230.22,106.75,255.45,110.03,212.62,0.42,106.81,192.08, ,291.63,254.48,72.21,146.55,47.82, ,53.68,216.99,134.15,17.57,145.19,138.13,79.70,15.74,278.89, ,119.41,261.03,211.49,148.83,249.28,7.39, ,170.25,234.25,167.28,94.01,79.41,70.28,70.67,45.62, ,170.34,193.30, ,104.78,91.70,113.89,170.21,238.70,183.98,44.86,124.75,63.74,71.00,63.28,220.03,191.23,279.25,107.17,3.06,275.23,74.77,83.11,129.55,285.45,194.75,64.80,169.18,223.67,262.55, ,182.58,273.08,75.11,203.62,36.34,160.95,190.34,214.21,79.62,120.77, ,151.08,150.28,286.49,260.44,60.91,131.61, ,228.06,48.66,117.62,247.25,216.11,228.64, ,8.26,93.68,197.12,259.37,265.02,121.35,194.90,267.76,39.05, , ,31.80, ,116.81,67.14,171.08,163.24, ,229.58,105.47, , ,174.10,10.70, ,205.60,40.68,216.76,186.68,55.62,276.26,6.41,205.35,39.18,21.48,298.17,148.69,141.58, , ,224.24,61.94, ,102.62
88.88,248.62, ,221.54,54.49,296.24,105.45,28.42,78.66,86.09,151.46,140.88,216.69,144.84, ,16.97,256.90,207.70,82.43,127.07,144.24,31.52,160.48,132.50,145.60, ,72.95,1.17, ,217.86,5.83, , ,277.76,128.64,36.34,275.21,246.35,218.44,223.54,44.81,66.34,215.13,263.36,141.01,86.67,156.15,255.38,115.29,160.88,118.60,155.01,60.62,213.27,79.22,57.98,192.84,14.44,264.16,33.67,155.00,164.05,212.84,41.21,52.57,272.07,99.31,264.98,228.45,138.99,15.05,131.71,21.30,15.87, , ,90.63, ,254.68,82.71,31.32,126.67,82.92,32.72,262.81,138.45,31.64,156.10,277.83,249.92,79.86,247.94,26.00, ,280.68,81.98,248.31, ,181.72,179.28,185.74,107.09,283.13,170.32,67.36,203.22,272.14,252.64,112.47,146.97,259.32,193.71,12.28,195.54,62.27,108.44,216.90,272.22,54.27,39.26,290.70,138.90,225.56,182.92,70.18,149.77,93.85,43.60,130.02, ,192.30,108.57,230.86,112.53,78.37,170.15,245.78,38.90,38.19,91.53,200.62,226.00,215.27, ,21.39,212.87,291.81
130.09,157.69, ,288.57,199.73,132.56,271.36,54.12,1.90,85.78,267.08,132.64,281.27,203.74,19.24,72.58,55.35,103.75,149.37,142.10,251.05,194.61,146.12,231.96,94.39,50.53, ,183.18,10.78,147.56, ,72.81,254.84, ,58.59,218.21,179.79,101.96,161.91,0.57, ,148.58,274.06,266.51,82.29,14.35,57.88,80.61,270.03,258.86,94.05, ,244.96,224.39,30.80,71.29,196.95,179.95,1.68,68.50,161.35, ,233.18,125.50,167.40,49.25,134.41,122.81,88.25,15.87,29.95,206.47,299.12,241.26,235.77,169.61, ,148.43,114.84,86.11,52.54,177.88,16.05,1.61,109.42,123.41,30.71,151.08,224.71,33.29,20.94,195.43, , ,222.57,229.00,178.75,190.33,160.34,77.80,13.91,162.71,131.82,62.90,285.44,68.07,13.42,72.33,50.97,252.71,57.71,282.23,163.25,293.08,78.93,185.54,258.10,230.15,241.66,72.82,280.65, ,294.08,18.16, ,25.76,254.40,37.35,19.93,109.18,224.19,83.88,280.95, , ,131.90,204.15,26.73,45.62, ,275.52,81.80,16.49,210.79, ,147.42,175.39
132.90,144.71,209.31,258.77,36.75,166.92,295.40,125.70,166.22,16.54,86.38,173.44,183.70,298.61, ,174.00,226.21, ,143.00,258.08,250.19,192.44,235.73,10.75, , ,66.01,33.92,218.32,176.22,180.77,133.14,48.83,200.29,253.29,205.32,145.05,206.19,272.61,225.34,203.35,160.34,99.61,121.75, ,297.97,282.39,253.10,221.63,156.75, , ,149.36,45.09,144.80,277.48,7.93,190.07,121.18,261.75,281.19,117.06,99.63,151.95,55.91,126.69,17.62,112.70,92.54,171.86,240.38,224.07,110.19,110.45,273.58, ,254.76,63.86,151.51,85.87,219.22,30.93,177.06,244.59,277.41,215.90,42.77,138.83,175.43,101.54,226.54,53.60, ,117.46,77.13,201.09,199.99, ,31.87, ,276.46,174.58,197.55,121.61,228.16, ,181.13,245.01,87.96,288.98,116.08,90.71,5.29,296.84,84.37,3.41,5.17,156.12,182.60,205.62,173.61,283.61,232.53,162.41,227.24,34.08,255.58, ,260.87,137.02,281.24,30.11,170.90,118.89, ,64.35,43.15,178.83,292.69,255.38,131.87,6.48,225.94,290.73,222.94,203.13,168.83
 ,131.60,294.89,194.66,14.84,235.80,234.02,245.49,217.94,177.25, ,43.20,69.13,92.61,221.52,241.69,64.59,221.95,216.32, ,108.97, ,44.78, ,7.33, ,225.27,110.85,293.23,52.32,187.97,54.42,140.66,199.83,217.54,209.61,294.22,242.84, ,287.61,251.02,107.16,220.22,295.47,286.54,298.36,37.48,103.33,283.95,46.79,16.99,98.82, ,207.43,44.28,81.30,221.27,173.02,296.46,101.36,152.89,240.87,288.35,5.12,68.11,182.11,121.55, ,272.40,263.57,257.73,147.39,155.08,196.62,220.10,62.33,215.85,103.48,1.54,122.76,255.75,18.96,48.86,269.22,283.08,87.35,166.61,264.41,158.37,282.67,224.00,241.07, ,44.55,59.73, ,196.58,7.57,101.02,285.16,77.70,3.04,209.06,99.78,191.35,34.51,36.61,219.01,98.36,22.23,36.92,136.12,142.36,149.04,200.13,13.63,102.45,142.88,186.31,184.97,200.80,251.68,177.99, ,276.35,237.33,184.81,168.34, ,12.03,277.51,101.56,190.00,7.80,215.50,275.54,271.77,19.95,113.76,94.14,174.29,266.19,126.84,74.84,192.07,212.50,299.04
160.71,218.06, ,133.56,197.46,34.40,253.99,187.56,51.99,26.22, ,232.73,40.56,66.00,94.44,102.21,292.56,282.52,131.44,44.18,101.90,228.46,232.22,63.25,238.30, ,232.32,43.10,202.84,119.17,145.10,237.69,90.24,221.09,32.05,45.04,227.43,154.58, ,40.89,39.63, ,150.00, ,193.10,211.16,83.86,88.86,284.33,271.77,248.53,216.99,17.66,1.49,297.68,296.39,270.99,17.76,186.02,125.36,193.96,22.87,83.16,159.34,139.17,252.42,103.73, ,121.39,163.24,10.21,158.71,238.84,66.54,80.75,181.23, ,217.75,167.58,294.47,68.39,158.03,221.33,190.23,83.16,246.32,212.97,104.18,153.02,28.29,79.65,90.12,213.88,122.25,8.78,108.38,250.36,97.99,228.18,254.76,190.98,256.82,115.26,65.69,59.90,177.17,118.09,79.06,275.16,113.42,18.04,61.11,188.22,140.08, ,94.84,38.29,84.57,111.19,207.92,205.46,256.63,119.99,124.07,199.09,265.37,43.42,244.13,75.40,151.89,250.54,19.56,242.66,131.06,249.69,133.31,40.88,200.15,13.87,12.81, ,278.18,93.04,40.11,240.76,256.75,93.88
152.13,146.14,213.77,205.94,33.28,293.63,261.24, ,285.47,50.04,145.49,128.12,186.13,251.61,189.72,123.36,236.30,239.33,119.83,98.50,172.59,66.21,120.83,132.91,88.01,141.38,28.97,244.35,202.47,244.58,280.13,185.39,274.00, ,93.84,207.49,136.63,232.63, , , ,294.21, ,135.59,177.28,119.19,7.56,36.97,295.27,285.14,78.92,20.70,73.90,39.17,295.28,42.98,125.14, ,66.48,13.00,33.92, ,126.31, ,163.29,70.92, , ,47.11, ,219.87,231.53,4.83,230.85,110.00,56.14,122.47,0.41,246.71,124.29,244.15,236.31,270.86,80.10,251.62, ,171.49,188.35, ,115.15,247.44,117.36,212.56,216.37,3.61,31.47,236.10,27.85,145.18,76.92,252.20,25.78,200.02,97.37,120.23,91.93,137.68,71.26,149.12,263.21,150.70,280.64,270.32,259.22,7.19,40.78,64.67,168.42,287.16,295.24,178.31, ,15.99,246.31,145.57,29.44,84.64, ,171.45,287.43,109.95,166.80,254.02,217.30,196.15,88.22,11.84,278.56,282.52,133.21,120.59,78.19,151.79,97.84,96.76,153.91, 
20.70,33.92,274.74,148.32,244.57,191.04,18.27, ,293.28,242.38,278.30,232.76,122.89,153.33,115.87,126.36, ,183.80,280.12,86.03,37.73,168.14,241.71,6.70,179.69,77.72,196.15,226.32,221.17,179.57,72.78,267.18,214.76,198.23,9.53,23.31,14.87,276.03,77.87, ,257.56, ,251.11, ,177.43,189.10,2.54, ,189.35,175.68, ,73.91,157.62,22.30,73.05,180.91,291.62, ,249.17,291.21,160.96,77.72,148.24,286.46,119.19,175.27,279.92,68.78,180.98,1.21, ,214.96,229.64,130.42,155.75,42.42,55.61,133.76,149.80,26.01,165.01,203.22,181.74,228.65,107.56,161.86,255.61,160.19, , , ,139.16,278.87,240.87,28.96, ,74.77,158.18,208.23,99.65,287.99,250.63,83.91, ,39.52,149.16,172.73,161.21,25.02,207.10,120.51,246.30,10.83,108.90,160.95,50.26,158.29,201.57,162.47,242.81,203.39,126.75,231.73,88.02, ,295.11,248.55,168.95,242.00, ,192.60,178.49,233.56, ,135.13,183.90,233.42,52.58,212.64,257.12,216.72,28.65,136.52,143.01,176.49,127.15,277.61
